WmoStationNumber,StationNameEnglish,StationNameThai,Province,Latitude,Longitude,WindSpeed,Date,Time,AirTemperature,DewPoint,RelativeHumidity,Rainfall,StationPressure,MeanSeaLevelPressure,Rainfall24Hr,LandVisibility,WindDirection,VaporPressure
48300,MAE HONG SON,แม่ฮ่องสอน,แม่ฮ่องสอน,19.29897,97.97578,0.0,07-26-2019,10:00:00,26.5,23.0,81,0.00,977.16,1008.05,15.60,10.00,000,28.03
48302,DOI ANG KANG,ดอยอ่างขาง,เชียงใหม่,19.93139,99.04833,18.5,07-26-2019,10:00:00,18.1,17.9,99,1.70,845.36,1006.97,4.20,4.00,240,20.54
48303,CHIANG RAI,เชียงราย,เชียงราย,19.96139,99.88139,13.0,07-26-2019,10:00:00,23.9,22.4,91,7.20,965.34,1009.30,10.30,8.00,160,27.08
48304,CHAING RAI AGROMET.,เชียงราย สกษ.,เชียงราย,19.87083,99.78278,0.0,07-26-2019,10:00:00,24.1,23.2,95,2.40,963.44,1009.29,7.70,2.00,000,28.44
48307,THUNG CHANG,ทุ่งช้าง,น่าน,19.41194,100.88353,0.0,07-26-2019,10:00:00,23.7,23.7,100,2.80,971.87,1009.86,28.80,8.00,000,29.29
48310,PHAYAO,พะเยา,พะเยา,19.13333,99.90000,9.3,07-26-2019,10:00:00,24.2,23.2,94,1.00,963.85,1009.24,10.40,8.00,070,28.36
48315,THA WANGPHA,ท่าวังผา,น่าน,19.11056,100.80250,9.3,07-26-2019,10:00:00,25.3,23.8,92,1.30,983.58,1010.47,16.00,8.00,180,29.54
48324,THOEN,เถิน,ลำปาง,17.63661,99.24475,1.9,07-26-2019,10:00:00,27.0,21.8,73,0.00,987.75,1009.51,0.20,12.00,290,26.06
48325,MAE SARIANG,แม่สะเรียง,แม่ฮ่องสอน,18.16667,97.93333,0.0,07-26-2019,10:00:00,26.5,23.1,82,0.40,985.46,1009.61,7.50,7.00,000,28.29
48327,CHIANG MAI,เชียงใหม่,เชียงใหม่,18.79000,98.97694,0.0,07-26-2019,10:00:00,26.0,23.2,85,0.70,974.43,1009.01,3.40,10.00,000,28.44
48328,LAMPANG,ลำปาง,ลำปาง,18.28333,99.51667,0.0,07-26-2019,10:00:00,27.0,21.9,74,0.00,981.65,1009.17,8.90,10.00,000,26.32
48329,LAMPHUN,ลำพูน,ลำพูน,18.56722,99.03389,0.0,07-26-2019,10:00:00,28.1,22.2,70,0.00,975.12,1008.51,0.00,10.00,000,26.71
48330,PHRAE,แพร่,แพร่,18.16667,100.16667,7.4,07-26-2019,10:00:00,27.5,22.6,75,0.01,990.94,1009.42,0.10,12.00,270,27.47
48331,NAN,น่าน,น่าน,18.77972,100.77778,0.0,07-26-2019,10:00:00,25.1,24.1,94,3.40,986.87,1009.86,5.70,8.00,000,29.97
48333,NAN AGROMET.,น่าน สกษ.,น่าน,18.86667,100.75000,0.0,07-26-2019,10:00:00,24.1,22.8,92,2.60,979.92,1010.12,4.60,8.00,000,27.68
48334,LAMPANG AGROMET.,ลำปาง สกษ.,ลำปาง,18.31667,99.28333,0.0,07-26-2019,10:00:00,27.2,23.4,80,0.00,973.57,1009.02,11.00,7.00,000,28.78
48350,LOEI AGROMET.,เลย สกษ.,เลย,17.40000,101.73333,3.7,07-26-2019,10:00:00,29.2,23.1,70,0.00,978.86,1008.33,0.00,15.00,140,28.21
48351,UTTARADIT,อุตรดิตถ์,อุตรดิตถ์,17.61667,100.10000,0.0,07-26-2019,10:00:00,27.3,24.0,82,0.00,1002.54,1009.85,16.20,9.00,000,29.77
48352,NONG KHAI,หนองคาย,หนองคาย,17.86717,102.73303,11.1,07-26-2019,10:00:00,29.0,23.9,74,0.00,989.06,1008.85,0.20,14.00,220,29.74
48353,LOEI,เลย,เลย,17.45000,101.73333,5.6,07-26-2019,10:00:00,29.0,21.9,66,0.00,980.17,1008.64,0.00,12.00,190,26.24
48354,UDON THANI,อุดรธานี,อุดรธานี,17.38333,102.80000,9.3,07-26-2019,10:00:00,27.1,23.3,80,0.20,989.13,1009.33,6.10,15.00,210,28.59
48355,SAKON NAKHON AGROMET.,สกลนคร สกษ.,สกลนคร,17.12503,104.06100,3.7,07-26-2019,10:00:00,26.3,22.9,82,0.00,988.48,1010.31,1.90,12.00,260,27.93
48356,SAKON NAKHON,สกลนคร,สกลนคร,17.15000,104.13333,9.3,07-26-2019,10:00:00,26.8,23.3,81,0.00,989.81,1009.34,3.40,15.00,240,28.57
48357,NAKHON PHANOM,นครพนม,นครพนม,17.41083,104.78250,0.0,07-26-2019,10:00:00,24.5,23.8,96,6.80,993.35,1010.28,16.20,8.00,000,29.41
48358,NAKHON PHANOM AGROMET.,นครพนม สกษ.,นครพนม,17.44306,104.77361,0.0,07-26-2019,10:00:00,24.5,23.6,95,3.50,992.80,1010.40,13.40,5.00,000,29.15
48360,NONG BUA LAM PHU,หนองบัวลำภู,หนองบัวลำภู,17.23250,102.42944,7.4,07-26-2019,10:00:00,28.0,22.5,72,0.00,983.05,1008.77,1.50,12.00,230,27.32
48372,SUKHOTHAI*,สุโขทัย,สุโขทัย,17.10611,99.80000,7.4,07-26-2019,10:00:00,28.0,25.4,86,0.00,1003.69,1009.47,5.20,10.00,130,32.52
48373,SI SAMRONG AGROMET.,ศรีสำโรง สกษ.,สุโขทัย,17.16136,99.86167,13.0,07-26-2019,10:00:00,32.5,22.8,57,0.00,1003.79,1009.89,25.80,10.00,160,27.69
48374,LOM SAK,หล่มสัก,เพชรบูรณ์,16.77361,101.24944,0.0,07-26-2019,10:00:00,24.5,23.5,94,7.20,994.68,1011.32,44.80,6.00,000,28.89
48375,MAE SOT,แม่สอด,ตาก,16.65917,98.55083,7.4,07-26-2019,10:00:00,23.8,22.6,93,3.00,986.99,1009.60,41.70,8.00,170,27.42
48376,TAK,ตาก,ตาก,16.87833,99.14333,0.0,07-26-2019,10:00:00,26.2,23.9,87,1.80,996.25,1010.72,3.00,6.00,000,29.60
48377,BHUMIBOL DAM,เขื่อนภูมิพล,ตาก,17.24389,99.00250,3.7,07-26-2019,10:00:00,26.5,23.4,83,0.00,993.70,1010.16,0.50,7.00,120,28.82
48378,PHITSANULOK,พิษณุโลก,พิษณุโลก,16.79481,100.27930,5.6,07-26-2019,10:00:00,26.5,23.7,85,0.01,1005.27,1010.52,3.10,10.00,210,29.35
48379,PHETCHABUN,เพชรบูรณ์,เพชรบูรณ์,16.43333,101.15000,0.0,07-26-2019,10:00:00,24.7,24.0,96,11.90,996.12,1009.45,53.10,6.00,000,29.77
48380,KAMPHAENG PHET,กำแพงเพชร,กำแพงเพชร,16.48681,99.52697,7.4,07-26-2019,10:00:00,27.5,24.8,85,0.70,1001.04,1010.38,1.70,10.00,150,31.25
48381,KHON KAEN,ขอนแก่น,ขอนแก่น,16.46111,102.78972,9.3,07-26-2019,10:00:00,26.8,23.9,84,0.00,988.09,1009.84,7.40,10.00,240,29.64
48382,MAHASARAKHAM,มหาสารคาม,มหาสารคาม,16.24722,103.06805,0.0,07-26-2019,10:00:00,28.0,24.4,81,0.00,992.83,1010.33,2.10,12.00,000,30.56
48383,MUKDAHAN,มุกดาหาร,มุกดาหาร,16.54139,104.72889,9.3,07-26-2019,10:00:00,23.8,23.4,97,9.20,993.59,1009.64,26.80,8.00,270,28.69
48384,THA PHRA AGROMET.,ท่าพระ สกษ.,ขอนแก่น,16.33333,102.81667,0.0,07-26-2019,10:00:00,28.1,25.0,83,0.00,989.79,1008.64,7.90,8.00,000,31.59
48385,UMPHANG,อุ้มผาง,ตาก,16.02472,98.86444,0.0,07-26-2019,10:00:00,24.3,21.4,84,0.30,958.67,1010.29,16.70,10.00,000,25.51
48386,PICHIT AGROMET.,พิจิตร สกษ.,พิจิตร,16.43806,100.29250,14.8,07-26-2019,10:00:00,25.3,24.4,95,4.00,1006.52,1010.52,35.90,5.00,100,30.60
48387,DOI MU SOE AGROMET.,ดอยมูเซอร์ สกษ.,ตาก,16.75000,98.93333,14.8,07-26-2019,10:00:00,20.1,19.5,96,3.00,914.94,1010.81,25.70,.80,160,22.60
48390,KALASIN,กาฬสินธุ์,กาฬสินธุ์,16.33250,103.58833,0.0,07-26-2019,10:00:00,27.0,24.4,86,0.00,993.90,1009.93,6.70,8.00,000,30.56
48400,NAKHON SAWAN,นครสวรรค์ ,นครสวรรค์,15.67183,100.13236,0.0,07-26-2019,10:00:00,26.2,25.0,93,0.00,1006.51,1010.56,11.90,10.00,000,31.76
48401,TAKFA AGROMET.,ตากฟ้า สกษ.,นครสวรรค์,15.34944,100.53028,0.0,07-26-2019,10:00:00,26.5,24.8,90,1.90,1001.07,1011.82,9.20,9.00,000,31.24
48402,CHAINAT AGROMET.,ชัยนาท สกษ.,ชัยนาท,15.15000,100.18333,5.6,07-26-2019,10:00:00,27.5,24.6,84,0.00,1009.17,1011.10,1.30,10.00,150,30.97
48403,CHAIYAPHUM,ชัยภูมิ,ชัยภูมิ,15.80000,102.03333,14.8,07-26-2019,10:00:00,27.6,22.1,72,0.10,989.43,1010.31,8.20,10.00,240,26.60
48404,ROI ET AGROMET.,ร้อยเอ็ด สกษ.,ร้อยเอ็ด,16.07322,103.60844,11.1,07-26-2019,10:00:00,27.8,24.2,81,0.10,992.04,1009.70,14.00,10.00,270,30.17
48405,ROI ET,ร้อยเอ็ด,ร้อยเอ็ด,16.02000,103.74389,0.0,07-26-2019,10:00:00,27.5,23.3,78,0.50,993.54,1009.71,13.50,10.00,000,28.53
48407,UBON RATCHATHANI,อุบลราชธานี (ศูนย์ฯ),อุบลราชธานี,15.25000,104.86667,0.0,07-26-2019,10:00:00,28.1,23.4,76,0.00,996.31,1010.34,13.60,10.00,000,28.84
48408,UBON RATCHATHANI AGROMET.,อุบลราชธานี สกษ.,อุบลราชธานี,15.23914,105.02350,0.0,07-26-2019,10:00:00,28.0,23.6,77,0.00,995.52,1010.34,2.40,8.00,000,29.19
48409,SI SAKET AGROMET.,ศรีสะเกษ,ศรีสะเกษ,15.00000,104.05000,11.1,07-26-2019,10:00:00,28.3,24.3,79,0.20,995.63,1010.29,9.20,8.00,270,30.31
48410,UTHAITHANI,อุทัยธานี,อุทัยธานี,15.37417,100.03889,0.0,07-26-2019,10:00:00,27.8,24.5,82,0.01,1007.42,1010.44,1.20,10.00,"{'0': '   ', '@attributes': {'Unit': 'degree'}}",30.72
48413,WICHIAN BURI,วิเชียรบุรี,เพชรบูรณ์,15.65700,101.10800,0.0,07-26-2019,10:00:00,24.9,23.0,89,4.80,1002.90,1010.94,33.70,6.00,000,28.04
48415,AYUTTHAYA,พระนครศรีอยุธยา,พระนครศรีอยุธยา,14.53472,100.72500,0.0,07-26-2019,10:00:00,{'@attributes': {'Unit': 'celcius'}},{'@attributes': {'Unit': 'celcius'}},{'@attributes': {'Unit': '%'}},0.00,{'@attributes': {'unit': 'hPa'}},{'@attributes': {'Unit': 'hPa'}},0.00,{'@attributes': {'Unit': 'km'}},"{'0': '   ', '@attributes': {'Unit': 'degree'}}",{'@attributes': {'Unit': 'mb'}}
48416,THA TUM,ท่าตูม,สุรินทร์,15.31667,103.68333,0.0,07-26-2019,10:00:00,28.5,23.6,75,0.00,996.07,1010.74,25.90,8.00,000,29.05
48417,NAKORNNAYOK,นครนายก,นครนายก,14.36222,101.39278,7.4,07-26-2019,10:00:00,19.3,19.0,98,0.00,875.40,1011.01,18.60,.05,290,21.93
