WmoStationNumber,StationNameEnglish,StationNameThai,Province,Latitude,Longitude,Rainfall24Hr,Date,Time,MaximumTemperature,RelativeHumidity,VaporPressure,AirTemperature,Rainfall,LandVisibility,WindSpeed,DewPoint,MeanSeaLevelPressure,StationPressure,WindDirection
48300,MAE HONG SON,แม่ฮ่องสอน,แม่ฮ่องสอน,19.29897,97.97578,0.90,09-06-2019,19:00:00,33.2,90,31.55,26.8,0.90,10.00,0.0,24.9,1004.97,974.20,000
48302,DOI ANG KANG,ดอยอ่างขาง,เชียงใหม่,19.93139,99.04833,0.00,09-06-2019,19:00:00,24.8,87,21.93,21.2,0.00,10.00,7.4,19.0,1003.57,844.03,270
48303,CHIANG RAI,เชียงราย,เชียงราย,19.96139,99.88139,0.01,09-06-2019,19:00:00,33.1,85,27.73,25.6,0.01,10.00,11.1,22.8,1004.09,960.60,300
48304,CHAING RAI AGROMET.,เชียงราย สกษ.,เชียงราย,19.87083,99.78278,0.00,09-06-2019,19:00:00,33.5,72,29.88,29.5,0.00,12.00,11.1,24.0,1003.73,958.92,030
48307,THUNG CHANG,ทุ่งช้าง,น่าน,19.41194,100.88353,0.00,09-06-2019,19:00:00,33.0,81,32.26,29.0,0.00,10.00,0.0,25.3,1004.02,966.90,000
48310,PHAYAO,พะเยา,พะเยา,19.13333,99.90000,0.00,09-06-2019,19:00:00,33.0,78,30.15,28.5,0.00,12.00,9.3,24.2,1002.90,958.42,150
48315,THA WANGPHA,ท่าวังผา,น่าน,19.11056,100.80250,0.00,09-06-2019,19:00:00,33.8,77,33.21,30.3,0.00,10.00,0.0,25.8,1004.52,978.23,000
48324,THOEN,เถิน,ลำปาง,17.63661,99.24475,0.00,09-06-2019,19:00:00,33.5,84,29.93,27.1,0.00,15.00,0.0,24.1,1005.26,983.60,000
48325,MAE SARIANG,แม่สะเรียง,แม่ฮ่องสอน,18.16667,97.93333,0.20,09-06-2019,19:00:00,31.5,84,28.90,26.4,0.00,10.00,0.0,23.5,1006.76,982.68,000
48327,CHIANG MAI,เชียงใหม่,เชียงใหม่,18.79000,98.97694,0.00,09-06-2019,19:00:00,34.0,62,26.87,30.5,0.00,10.00,7.4,22.3,1003.34,969.45,240
48328,LAMPANG,ลำปาง,ลำปาง,18.28333,99.51667,0.00,09-06-2019,19:00:00,34.5,79,30.01,28.0,0.00,10.00,0.0,24.1,1004.76,977.45,000
48329,LAMPHUN,ลำพูน,ลำพูน,18.56722,99.03389,0.00,09-06-2019,19:00:00,34.5,62,26.03,29.9,0.00,10.00,9.3,21.7,1003.64,970.60,240
48330,PHRAE,แพร่,แพร่,18.16667,100.16667,0.00,09-06-2019,19:00:00,33.7,85,31.95,28.0,0.00,12.00,3.7,25.1,1004.26,985.90,270
48331,NAN,น่าน,น่าน,18.77972,100.77778,0.00,09-06-2019,19:00:00,33.4,78,32.88,30.0,0.00,10.00,0.0,25.6,1004.27,981.78,000
48333,NAN AGROMET.,น่าน สกษ.,น่าน,18.86667,100.75000,0.00,09-06-2019,19:00:00,32.0,84,33.08,28.7,0.00,10.00,0.0,25.7,1004.19,974.63,000
48334,LAMPANG AGROMET.,ลำปาง สกษ.,ลำปาง,18.31667,99.28333,0.01,09-06-2019,19:00:00,33.0,83,30.81,27.7,0.00,7.00,0.0,24.5,1004.58,969.35,000
48350,LOEI AGROMET.,เลย สกษ.,เลย,17.40000,101.73333,5.00,09-06-2019,19:00:00,33.0,90,33.53,27.8,0.00,12.00,3.7,26.0,1004.13,974.65,140
48351,UTTARADIT,อุตรดิตถ์,อุตรดิตถ์,17.61667,100.10000,0.00,09-06-2019,19:00:00,34.5,83,32.10,28.5,0.00,10.00,0.0,25.2,1004.91,997.66,000
48352,NONG KHAI,หนองคาย,หนองคาย,17.86717,102.73303,5.20,09-06-2019,19:00:00,34.7,79,36.42,31.5,0.00,12.00,5.6,27.4,1002.95,983.44,070
48353,LOEI,เลย,เลย,17.45000,101.73333,2.00,09-06-2019,19:00:00,33.5,80,31.98,29.0,0.00,15.00,5.6,25.2,1004.13,975.78,150
48354,UDON THANI,อุดรธานี,อุดรธานี,17.38333,102.80000,4.30,09-06-2019,19:00:00,34.0,85,29.17,26.4,4.30,7.00,5.6,23.6,1004.42,984.28,110
48355,SAKON NAKHON AGROMET.,สกลนคร สกษ.,สกลนคร,17.12503,104.06100,0.30,09-06-2019,19:00:00,32.1,84,32.47,28.4,0.00,12.00,0.0,25.4,1004.99,983.42,000
48356,SAKON NAKHON,สกลนคร,สกลนคร,17.15000,104.13333,0.30,09-06-2019,19:00:00,32.2,83,33.20,28.9,0.00,12.00,7.4,25.8,1004.24,984.94,210
48357,NAKHON PHANOM,นครพนม,นครพนม,17.41083,104.78250,0.30,09-06-2019,19:00:00,31.5,86,34.07,28.9,0.00,12.00,0.0,26.2,1005.47,988.86,000
48358,NAKHON PHANOM AGROMET.,นครพนม สกษ.,นครพนม,17.44306,104.77361,0.80,09-06-2019,19:00:00,32.0,91,34.73,28.1,0.00,10.00,0.0,26.6,1005.36,988.05,000
48360,NONG BUA LAM PHU,หนองบัวลำภู,หนองบัวลำภู,17.23250,102.42944,8.80,09-06-2019,19:00:00,34.0,91,32.10,26.8,8.80,12.00,3.7,25.2,1003.83,978.14,140
