WmoStationNumber,StationNameEnglish,StationNameThai,Province,Latitude,Longitude,StationPressure,Date,Time,DewPoint,RelativeHumidity,Rainfall,MinimumTemperature,AirTemperature,WindSpeed,LandVisibility,WindDirection,MeanSeaLevelPressure,Rainfall24Hr,VaporPressure
48300,MAE HONG SON,แม่ฮ่องสอน,แม่ฮ่องสอน,19.29897,97.97578,977.85,09-08-2019,07:00:00,24.1,95,0.00,23.1,25.0,0.0,10.00,000,1008.93,7.00,30.05
48302,DOI ANG KANG,ดอยอ่างขาง,เชียงใหม่,19.93139,99.04833,844.81,09-08-2019,07:00:00,17.3,94,0.00,18.1,18.3,16.7,8.00,280,1006.19,7.70,19.74
48303,CHIANG RAI,เชียงราย,เชียงราย,19.96139,99.88139,963.39,09-08-2019,07:00:00,23.8,87,0.00,25.5,26.1,0.0,12.00,000,1006.94,0.00,29.41
48304,CHAING RAI AGROMET.,เชียงราย สกษ.,เชียงราย,19.87083,99.78278,962.02,09-08-2019,07:00:00,23.9,90,0.00,23.4,25.7,0.0,15.00,000,1007.56,0.00,29.74
48307,THUNG CHANG,ทุ่งช้าง,น่าน,19.41194,100.88353,970.41,09-08-2019,07:00:00,24.4,99,0.00,24.0,24.6,0.0,12.00,000,1008.22,0.00,30.65
48310,PHAYAO,พะเยา,พะเยา,19.13333,99.90000,961.77,09-08-2019,07:00:00,23.8,88,0.00,24.5,26.0,0.0,12.00,000,1006.78,0.00,29.50
48315,THA WANGPHA,ท่าวังผา,น่าน,19.11056,100.80250,981.14,09-08-2019,07:00:00,24.6,95,0.00,25.0,25.5,0.0,10.00,000,1007.94,0.00,30.98
48324,THOEN,เถิน,ลำปาง,17.63661,99.24475,986.87,09-08-2019,07:00:00,23.2,96,0.00,23.5,23.9,0.0,12.00,000,1008.85,1.70,28.35
48325,MAE SARIANG,แม่สะเรียง,แม่ฮ่องสอน,18.16667,97.93333,985.66,09-08-2019,07:00:00,23.6,97,0.00,22.3,24.2,0.0,5.00,000,1010.00,2.00,29.13
48327,CHIANG MAI,เชียงใหม่,เชียงใหม่,18.79000,98.97694,973.70,09-08-2019,07:00:00,23.3,88,0.00,25.0,25.5,0.0,10.00,000,1008.31,0.20,28.59
48328,LAMPANG,ลำปาง,ลำปาง,18.28333,99.51667,981.13,09-08-2019,07:00:00,23.7,92,0.00,24.1,25.0,0.0,10.00,000,1008.82,2.00,29.26
48329,LAMPHUN,ลำพูน,ลำพูน,18.56722,99.03389,974.42,09-08-2019,07:00:00,23.2,90,0.00,24.8,25.0,0.0,10.00,000,1008.14,0.00,28.48
48330,PHRAE,แพร่,แพร่,18.16667,100.16667,989.68,09-08-2019,07:00:00,24.0,89,0.00,25.4,26.0,3.7,12.00,260,1008.23,0.20,29.76
48331,NAN,น่าน,น่าน,18.77972,100.77778,985.26,09-08-2019,07:00:00,24.4,90,0.00,25.4,26.1,0.0,10.00,000,1008.13,0.10,30.48
48333,NAN AGROMET.,น่าน สกษ.,น่าน,18.86667,100.75000,978.10,09-08-2019,07:00:00,24.2,93,0.00,24.5,25.5,0.0,9.00,000,1008.10,0.00,30.17
48334,LAMPANG AGROMET.,ลำปาง สกษ.,ลำปาง,18.31667,99.28333,973.25,09-08-2019,07:00:00,23.0,97,0.00,23.3,23.5,0.0,6.00,000,1009.14,5.20,28.17
48350,LOEI AGROMET.,เลย สกษ.,เลย,17.40000,101.73333,977.60,09-08-2019,07:00:00,23.0,95,0.00,23.4,23.9,0.0,12.00,000,1007.57,0.00,28.10
48351,UTTARADIT,อุตรดิตถ์,อุตรดิตถ์,17.61667,100.10000,1001.05,09-08-2019,07:00:00,24.6,92,0.00,25.8,26.0,0.0,10.00,000,1008.38,0.00,30.84
48352,NONG KHAI,หนองคาย,หนองคาย,17.86717,102.73303,987.28,09-08-2019,07:00:00,25.5,90,0.00,26.7,27.2,0.0,12.00,000,1007.15,0.00,32.61
48353,LOEI,เลย,เลย,17.45000,101.73333,978.95,09-08-2019,07:00:00,23.7,95,0.00,24.4,24.6,0.0,10.00,000,1007.81,0.00,29.33
48354,UDON THANI,อุดรธานี,อุดรธานี,17.38333,102.80000,987.13,09-08-2019,07:00:00,24.1,87,0.00,24.9,26.4,3.7,18.00,240,1007.33,1.80,29.97
48355,SAKON NAKHON AGROMET.,สกลนคร สกษ.,สกลนคร,17.12503,104.06100,986.00,09-08-2019,07:00:00,24.3,85,0.00,26.5,27.0,3.7,12.00,170,1007.73,0.00,30.29
48356,SAKON NAKHON,สกลนคร,สกลนคร,17.15000,104.13333,987.50,09-08-2019,07:00:00,24.8,86,0.00,26.2,27.4,3.7,15.00,260,1006.95,0.00,31.33
48357,NAKHON PHANOM,นครพนม,นครพนม,17.41083,104.78250,991.30,09-08-2019,07:00:00,24.6,89,0.00,26.0,26.5,1.9,10.00,120,1008.08,0.80,30.97
48358,NAKHON PHANOM AGROMET.,นครพนม สกษ.,นครพนม,17.44306,104.77361,990.76,09-08-2019,07:00:00,25.3,96,0.00,24.5,26.0,0.0,10.00,000,1008.24,0.00,32.20
48360,NONG BUA LAM PHU,หนองบัวลำภู,หนองบัวลำภู,17.23250,102.42944,981.08,09-08-2019,07:00:00,24.6,97,0.00,25.0,25.0,0.0,12.00,000,1007.01,0.00,30.85
48372,SUKHOTHAI*,สุโขทัย,สุโขทัย,17.10611,99.80000,1003.15,09-08-2019,07:00:00,23.9,81,0.00,24.5,27.5,3.7,10.00,270,1008.94,0.00,29.60
48373,SI SAMRONG AGROMET.,ศรีสำโรง สกษ.,สุโขทัย,17.16136,99.86167,1002.52,09-08-2019,07:00:00,24.3,87,0.00,26.0,26.6,0.0,12.00,000,1008.72,0.00,30.34
48374,LOM SAK,หล่มสัก,เพชรบูรณ์,16.77361,101.24944,992.69,09-08-2019,07:00:00,23.5,92,0.00,24.0,25.0,0.0,12.00,000,1009.26,0.00,29.00
48375,MAE SOT,แม่สอด,ตาก,16.65917,98.55083,986.29,09-08-2019,07:00:00,22.8,96,0.00,23.0,23.5,5.6,10.00,150,1008.91,8.10,27.66
48376,TAK,ตาก,ตาก,16.87833,99.14333,995.25,09-08-2019,07:00:00,22.1,75,0.00,26.3,27.0,9.3,10.00,270,1009.67,0.00,26.58
48377,BHUMIBOL DAM,เขื่อนภูมิพล,ตาก,17.24389,99.00250,992.49,09-08-2019,07:00:00,22.9,85,0.00,25.2,25.6,0.0,8.00,000,1008.98,0.00,27.99
48378,PHITSANULOK,พิษณุโลก,พิษณุโลก,16.79481,100.27930,1004.17,09-08-2019,07:00:00,24.9,96,0.00,24.0,25.6,0.0,10.00,000,1009.44,44.80,31.44
48379,PHETCHABUN,เพชรบูรณ์,เพชรบูรณ์,16.43333,101.15000,994.50,09-08-2019,07:00:00,23.8,96,0.00,23.7,24.5,0.0,10.00,000,1007.82,1.30,29.41
48380,KAMPHAENG PHET,กำแพงเพชร,กำแพงเพชร,16.48681,99.52697,999.44,09-08-2019,07:00:00,24.9,97,0.00,24.9,25.3,1.9,11.00,220,1008.83,57.00,31.41
48381,KHON KAEN,ขอนแก่น,ขอนแก่น,16.46111,102.78972,987.37,09-08-2019,07:00:00,24.3,95,0.20,24.9,25.2,3.7,8.00,240,1009.23,6.40,30.42
48382,MAHASARAKHAM,มหาสารคาม,มหาสารคาม,16.24722,103.06805,990.61,09-08-2019,07:00:00,24.0,92,0.00,25.0,25.5,0.0,10.00,000,1008.22,2.80,29.91
48383,MUKDAHAN,มุกดาหาร,มุกดาหาร,16.54139,104.72889,991.55,09-08-2019,07:00:00,25.1,92,0.00,25.3,26.5,3.7,10.00,250,1007.42,1.40,31.79
48384,THA PHRA AGROMET.,ท่าพระ สกษ.,ขอนแก่น,16.33333,102.81667,987.92,09-08-2019,07:00:00,24.1,89,0.00,25.0,26.0,1.9,10.00,270,1006.86,1.60,30.03
48385,UMPHANG,อุ้มผาง,ตาก,16.02472,98.86444,958.10,09-08-2019,07:00:00,21.8,94,1.40,21.5,22.9,0.0,7.00,000,1009.94,5.20,26.17
48386,PICHIT AGROMET.,พิจิตร สกษ.,พิจิตร,16.43806,100.29250,1004.87,09-08-2019,07:00:00,25.4,92,0.00,25.5,26.8,3.7,5.00,170,1008.84,2.90,32.38
48387,DOI MU SOE AGROMET.,ดอยมูเซอร์ สกษ.,ตาก,16.75000,98.93333,914.38,09-08-2019,07:00:00,19.9,98,0.50,19.8,20.2,22.2,.20,230,1010.16,4.20,23.20
48390,KALASIN,กาฬสินธุ์,กาฬสินธุ์,16.33250,103.58833,991.89,09-08-2019,07:00:00,24.2,86,0.00,25.3,26.8,0.0,8.00,000,1007.90,8.40,30.18
48400,NAKHON SAWAN,นครสวรรค์ ,นครสวรรค์,15.67183,100.13236,1005.01,09-08-2019,07:00:00,24.2,89,0.00,25.6,26.2,0.0,10.00,000,1009.06,0.01,30.13
48401,TAKFA AGROMET.,ตากฟ้า สกษ.,นครสวรรค์,15.34944,100.53028,999.51,09-08-2019,07:00:00,23.6,89,0.00,24.7,25.5,0.0,9.00,000,1010.27,0.00,29.11
48402,CHAINAT AGROMET.,ชัยนาท สกษ.,ชัยนาท,15.15000,100.18333,1007.28,09-08-2019,07:00:00,23.5,87,0.00,25.6,25.8,0.0,6.00,000,1009.22,0.00,28.87
48403,CHAIYAPHUM,ชัยภูมิ,ชัยภูมิ,15.80000,102.03333,987.88,09-08-2019,07:00:00,22.5,84,0.00,24.1,25.3,7.4,10.00,220,1008.89,0.00,27.20
48404,ROI ET AGROMET.,ร้อยเอ็ด สกษ.,ร้อยเอ็ด,16.07322,103.60844,990.01,09-08-2019,07:00:00,23.4,85,0.00,25.6,26.2,3.7,10.00,250,1007.73,5.30,28.80
48405,ROI ET,ร้อยเอ็ด,ร้อยเอ็ด,16.02000,103.74389,991.30,09-08-2019,07:00:00,23.6,84,0.00,26.2,26.5,5.6,10.00,240,1007.49,10.20,29.08
48407,UBON RATCHATHANI,อุบลราชธานี (ศูนย์ฯ),อุบลราชธานี,15.25000,104.86667,994.42,09-08-2019,07:00:00,24.4,88,0.00,25.9,26.6,5.6,10.00,220,1008.49,0.00,30.62
48408,UBON RATCHATHANI AGROMET.,อุบลราชธานี สกษ.,อุบลราชธานี,15.23914,105.02350,994.11,09-08-2019,07:00:00,24.6,93,0.00,24.9,25.8,0.0,9.00,000,1009.03,0.00,31.00
48409,SI SAKET AGROMET.,ศรีสะเกษ,ศรีสะเกษ,15.00000,104.05000,994.07,09-08-2019,07:00:00,24.6,89,0.00,25.0,26.6,7.4,8.00,240,1008.79,0.01,30.89
48410,UTHAITHANI,อุทัยธานี,อุทัยธานี,15.37417,100.03889,1005.45,09-08-2019,07:00:00,24.1,86,0.00,25.0,26.7,0.0,10.00,"{'0': '   ', '@attributes': {'Unit': 'degree'}}",1008.47,0.00,29.99
48413,WICHIAN BURI,วิเชียรบุรี,เพชรบูรณ์,15.65700,101.10800,1001.18,09-08-2019,07:00:00,23.6,85,0.00,25.1,26.2,0.0,1000.00,000,1009.17,6.10,29.07
48415,AYUTTHAYA,พระนครศรีอยุธยา,พระนครศรีอยุธยา,14.53472,100.72500,1008.12,09-08-2019,07:00:00,23.6,85,0.00,25.1,26.4,7.4,8.00,190,1009.24,0.00,29.17
48416,THA TUM,ท่าตูม,สุรินทร์,15.31667,103.68333,993.19,09-08-2019,07:00:00,23.7,89,0.00,25.2,25.7,0.0,8.00,000,1007.95,0.00,29.21
48417,NAKORNNAYOK,นครนายก,นครนายก,14.36222,101.39278,875.84,09-08-2019,07:00:00,19.0,100,0.00,18.3,19.0,7.4,.05,270,1011.66,0.00,21.95
48418,BUA CHUM,บัวชุม  ,ลพบุรี,15.26667,101.18736,1003.58,09-08-2019,07:00:00,24.1,93,0.00,24.1,25.3,7.4,10.00,210,1009.51,0.00,30.07
48419,PATHUMTHANI,ปทุมธานี สกษ.,ปทุมธานี,14.10000,100.61667,1008.93,09-08-2019,07:00:00,25.1,91,0.00,25.9,26.7,5.6,8.00,230,1009.74,0.00,31.91
48420,Samut Prakarn,สมุทรปราการ สกษ.,สมุทรปราการ,13.51667,100.76167,1009.46,09-08-2019,07:00:00,23.9,81,0.00,27.1,27.5,0.0,10.00,000,1009.90,0.00,29.60
48421,THONG PHAPHUM,ทองผาภูมิ,กาญจนบุรี,14.74222,98.63639,999.64,09-08-2019,07:00:00,23.6,97,4.10,23.8,24.2,0.0,3.00,000,1011.09,10.30,29.13
48425,SUPHAN BURI,สุพรรณบุรี,สุพรรณบุรี,14.47444,100.13889,1008.65,09-08-2019,07:00:00,24.3,87,0.00,25.5,26.6,0.0,10.00,000,1009.67,0.00,30.34
48426,LOP BURI,ลพบุรี,ลพบุรี,14.79972,100.64500,1007.75,09-08-2019,07:00:00,23.5,84,0.00,25.8,26.4,3.7,7.00,120,1009.58,0.00,28.90
48427,U THONG AGROMET.,อู่ทอง สกษ.,สุพรรณบุรี,14.30361,99.86472,1008.63,09-08-2019,07:00:00,23.1,82,0.00,25.0,26.3,0.0,8.00,000,1009.40,0.00,28.19
48429,SUVARNABHUMI AIRPORT,สนามบินสุวรรณภูมิ,สมุทรปราการ,13.68639,100.76750,1009.64,09-08-2019,07:00:00,22.6,75,0.00,25.4,27.5,0.0,10.00,000,1010.34,0.00,27.47
48430,PRACHIN BURI,ปราจีนบุรี,ปราจีนบุรี,14.05842,101.36930,1009.40,09-08-2019,07:00:00,23.6,83,0.00,26.0,26.8,5.6,8.00,310,1010.11,0.00,29.10
48431,NAKHON RATCHASIMA,นครราชสีมา,นครราชสีมา,14.96830,102.08603,988.03,09-08-2019,07:00:00,22.4,79,0.00,24.8,26.4,3.7,10.00,260,1009.27,0.00,27.07
48432,SURIN,สุรินทร์,สุรินทร์,14.88333,103.50000,992.02,09-08-2019,07:00:00,24.1,89,0.00,24.4,26.1,0.0,7.00,000,1008.81,1.20,29.95
48433,SURIN AGROMET.,สุรินทร์ สกษ.,สุรินทร์,14.88333,103.45000,991.73,09-08-2019,07:00:00,24.3,93,0.00,24.0,25.5,5.6,6.00,180,1008.27,3.30,30.44
48434,CHOK CHAI,โชคชัย,นครราชสีมา,14.71889,102.16861,986.97,09-08-2019,07:00:00,22.2,86,0.00,24.0,24.7,0.0,10.00,000,1009.04,0.00,26.68
48435,PAKCHONG AGROMET.,ปากช่อง สกษ.,นครราชสีมา,14.64389,101.33194,966.09,09-08-2019,07:00:00,21.9,82,0.00,24.0,25.2,14.8,15.00,250,1009.70,0.00,26.27
48436,NANG RONG,นางรอง,บุรีรัมย์,14.58333,102.80000,988.22,09-08-2019,07:00:00,22.6,82,0.00,25.5,26.0,5.6,10.00,230,1008.88,0.00,27.40
48437,BURIRUM,บุรีรัมย์,บุรีรัมย์,15.22575,103.24808,989.42,09-08-2019,07:00:00,23.9,88,0.00,24.5,26.1,11.1,8.00,240,1010.37,0.00,29.68
48438,SAMUTSONGKRAM,สมุทรสงคราม,สมุทรสงคราม,13.40778,100.03222,1009.41,09-08-2019,07:00:00,23.8,83,0.00,26.2,27.0,3.7,10.00,250,1009.84,0.00,29.48
48439,KABIN BURI,กบินทร์บุรี,ปราจีนบุรี,13.98333,101.70722,1008.36,09-08-2019,07:00:00,24.1,92,0.00,25.5,25.6,0.0,8.00,000,1009.78,0.00,30.09
48440,SA KAEW,สระแก้ว,สระแก้ว,13.78889,102.03472,1005.17,09-08-2019,07:00:00,25.8,98,0.00,25.5,26.2,0.0,7.00,000,1010.13,0.00,33.15
48450,KANCHANA BURI,กาญจนบุรี,กาญจนบุรี,14.02250,99.53583,1006.47,09-08-2019,07:00:00,23.7,86,0.00,24.2,26.3,0.0,10.00,000,1009.78,0.00,29.25
48451,NAKHONPATHOM,นครปฐม,นครปฐม,14.01167,99.97000,1008.93,09-08-2019,07:00:00,24.0,92,0.00,24.2,25.5,0.0,10.00,000,1010.05,0.00,29.91
48453,BANG NA AGROMET.,กรุงเทพฯ บางนา สกษ.,กรุงเทพมหานคร,13.66639,100.60611,1009.87,09-08-2019,07:00:00,23.3,80,0.00,26.3,27.0,0.0,10.00,000,1010.17,0.00,28.67
48454,BANGKOK PORT (KLONG TOEI),กรุงเทพฯ ท่าเรือคลองเตย,กรุงเทพมหานคร,13.70694,100.56805,1009.63,09-08-2019,07:00:00,23.7,83,0.00,26.5,26.9,0.0,10.00,000,1010.32,0.00,29.29
48455,BANGKOK METROPOLIS,กรุงเทพมหานคร,กรุงเทพมหานคร,13.72639,100.56000,1008.86,09-08-2019,07:00:00,23.4,82,0.00,26.5,26.8,0.0,10.00,000,1009.35,0.00,28.84
48456,DON MUANG AIRPORT,สนามบินดอนเมือง,กรุงเทพมหานคร,13.91917,100.60500,1008.68,09-08-2019,07:00:00,23.2,80,0.01,26.1,26.9,5.6,10.00,280,1010.09,0.01,28.49
48457,PILOT STATION,นำร่อง,สมุทรปราการ,13.39389,100.59944,1008.61,09-08-2019,07:00:00,27.0,90,0.00,28.1,28.8,14.8,10.00,260,1010.28,0.00,35.63
48458,CHACHOENGSAO,ฉะเชิงเทรา,ฉะเชิงเทรา,13.51556,101.45833,1003.56,09-08-2019,07:00:00,24.3,97,0.00,24.7,24.9,0.0,10.00,000,1011.66,0.00,30.40
48459,CHON BURI,ชลบุรี,ชลบุรี,13.36667,100.98333,1009.92,09-08-2019,07:00:00,24.1,79,0.00,27.0,28.0,0.0,10.00,000,1010.20,0.00,30.01
48460,KO SICHANG,เกาะสีชัง,ชลบุรี,13.16167,100.80194,1006.82,09-08-2019,07:00:00,23.6,77,0.00,27.2,28.1,0.0,10.00,000,1009.95,0.00,29.11
48461,PHATTHAYA,พัทยา,ชลบุรี,12.92000,100.86944,1002.77,09-08-2019,07:00:00,23.7,77,0.00,27.5,28.1,5.6,10.00,240,1009.70,0.00,29.38
48462,ARANYA PRATHET,อรัญประเทศ,สระแก้ว,13.70000,102.58333,1004.17,09-08-2019,07:00:00,25.2,95,0.00,25.3,26.1,0.0,10.00,000,1009.80,0.00,32.12
48463,LAEM CHABANG,แหลมฉบัง,ชลบุรี,13.07694,100.87583,1001.88,09-08-2019,07:00:00,23.7,79,0.00,27.2,27.8,9.3,10.00,330,1011.20,0.01,29.36
48464,RATCHA BURI,ราชบุรี,ราชบุรี,13.48931,99.79239,1009.27,09-08-2019,07:00:00,24.1,89,0.00,25.3,26.0,1.9,12.00,180,1010.55,0.00,30.03
48465,PHETCHA BURI,เพชรบุรี,เพชรบุรี,12.99944,100.06056,1009.27,09-08-2019,07:00:00,23.6,85,0.00,25.4,26.2,0.0,11.00,000,1009.71,4.20,29.07
