WmoStationNumber,StationNameEnglish,StationNameThai,Province,Latitude,Longitude,Date,Time,LandVisibility,AirTemperature,Rainfall24Hr,WindSpeed,MeanSeaLevelPressure,VaporPressure,StationPressure,DewPoint,WindDirection,Rainfall,RelativeHumidity
48300,MAE HONG SON,แม่ฮ่องสอน,แม่ฮ่องสอน,19.29897,97.97578,10-05-2019,01:00:00,7.00,23.6,1.40,0.0,1010.58,26.83,979.31,22.2,000,1.40,92
48302,DOI ANG KANG,ดอยอ่างขาง,เชียงใหม่,19.93139,99.04833,10-05-2019,01:00:00,8.00,17.6,0.00,7.4,1009.23,19.69,847.01,17.3,140,0.00,98
48303,CHIANG RAI,เชียงราย,เชียงราย,19.96139,99.88139,10-05-2019,01:00:00,10.00,23.1,0.01,0.0,1010.67,25.03,966.53,21.1,000,0.00,89
48304,CHAING RAI AGROMET.,เชียงราย สกษ.,เชียงราย,19.87083,99.78278,10-05-2019,01:00:00,12.00,22.2,0.60,0.0,1010.87,24.81,964.66,21.0,000,0.00,93
48307,THUNG CHANG,ทุ่งช้าง,น่าน,19.41194,100.88353,10-05-2019,01:00:00,6.00,23.0,0.40,0.0,1010.77,28.07,972.66,23.0,000,0.00,100
48310,PHAYAO,พะเยา,พะเยา,19.13333,99.90000,10-05-2019,01:00:00,8.00,23.0,0.20,7.4,1011.45,25.60,965.79,21.5,030,0.00,91
48315,THA WANGPHA,ท่าวังผา,น่าน,19.11056,100.80250,10-05-2019,01:00:00,6.00,23.0,0.00,0.0,1012.22,26.33,985.08,21.9,000,0.00,94
48324,THOEN,เถิน,ลำปาง,17.63661,99.24475,10-05-2019,01:00:00,5.00,22.5,27.80,1.9,1011.86,26.50,989.72,22.0,270,11.80,97
48325,MAE SARIANG,แม่สะเรียง,แม่ฮ่องสอน,18.16667,97.93333,10-05-2019,01:00:00,6.00,24.0,6.60,0.0,1010.80,27.76,986.42,22.8,000,0.00,93
48327,CHIANG MAI,เชียงใหม่,เชียงใหม่,18.79000,98.97694,10-05-2019,01:00:00,10.00,24.2,40.70,0.0,1011.72,25.35,976.84,21.3,000,0.00,84
48328,LAMPANG,ลำปาง,ลำปาง,18.28333,99.51667,10-05-2019,01:00:00,10.00,23.5,40.00,0.0,1012.45,27.66,984.52,22.8,000,0.00,96
48329,LAMPHUN,ลำพูน,ลำพูน,18.56722,99.03389,10-05-2019,01:00:00,8.00,23.9,3.90,0.0,1011.40,24.86,977.45,21.0,000,0.10,84
48330,PHRAE,แพร่,แพร่,18.16667,100.16667,10-05-2019,01:00:00,3.00,23.7,3.90,0.0,1010.58,27.50,991.84,22.7,000,0.00,94
