WmoStationNumber,StationNameEnglish,StationNameThai,Province,Latitude,Longitude,RelativeHumidity,Date,Time,Rainfall24Hr,VaporPressure,MeanSeaLevelPressure,DewPoint,StationPressure,Rainfall,WindDirection,AirTemperature,LandVisibility,WindSpeed
48407,UBON RATCHATHANI,อุบลราชธานี (ศูนย์ฯ),อุบลราชธานี,15.25000,104.86667,59,09-12-2019,13:00:00,0.01,28.50,1009.86,23.2,996.03,0.00,300,32.2,10.00,9.3
48408,UBON RATCHATHANI AGROMET.,อุบลราชธานี สกษ.,อุบลราชธานี,15.23914,105.02350,63,09-12-2019,13:00:00,0.00,29.47,1009.87,23.8,995.23,0.00,000,31.7,12.00,0.0
48409,SI SAKET AGROMET.,ศรีสะเกษ,ศรีสะเกษ,15.00000,104.05000,66,09-12-2019,13:00:00,0.50,30.90,1011.36,24.6,996.85,0.00,330,31.7,10.00,14.8
48410,UTHAITHANI,อุทัยธานี,อุทัยธานี,15.37417,100.03889,61,09-12-2019,13:00:00,0.30,28.23,1011.80,23.1,1008.82,0.00,"{'0': '   ', '@attributes': {'Unit': 'degree'}}",31.5,10.00,0.0
48413,WICHIAN BURI,วิเชียรบุรี,เพชรบูรณ์,15.65700,101.10800,67,09-12-2019,13:00:00,0.70,30.77,1010.65,24.5,1002.78,0.00,300,31.5,10.00,3.7
48415,AYUTTHAYA,พระนครศรีอยุธยา,พระนครศรีอยุธยา,14.53472,100.72500,66,09-12-2019,13:00:00,23.00,29.76,1012.50,24.0,1011.40,0.00,350,31.0,8.00,3.7
48416,THA TUM,ท่าตูม,สุรินทร์,15.31667,103.68333,70,09-12-2019,13:00:00,0.00,32.01,1011.39,25.2,996.86,0.00,100,31.4,9.00,3.7
48417,NAKORNNAYOK,นครนายก,นครนายก,14.36222,101.39278,62,09-12-2019,13:00:00,7.20,22.97,1007.58,19.7,875.89,0.00,190,27.7,10.00,3.7
48418,BUA CHUM,บัวชุม  ,ลพบุรี,15.26667,101.18736,68,09-12-2019,13:00:00,19.90,32.10,1011.17,25.2,1005.36,0.00,290,32.0,10.00,5.6
48419,PATHUMTHANI,ปทุมธานี สกษ.,ปทุมธานี,14.10000,100.61667,56,09-12-2019,13:00:00,0.00,29.87,1011.71,24.0,1010.92,0.00,310,34.0,9.00,9.3
48420,Samut Prakarn,สมุทรปราการ สกษ.,สมุทรปราการ,13.51667,100.76167,60,09-12-2019,13:00:00,0.00,27.68,1011.50,22.8,1011.06,0.00,210,31.5,10.00,14.8
48421,THONG PHAPHUM,ทองผาภูมิ,กาญจนบุรี,14.74222,98.63639,66,09-12-2019,13:00:00,3.00,28.59,1012.87,23.3,1001.63,0.00,000,30.4,10.00,0.0
48425,SUPHAN BURI,สุพรรณบุรี,สุพรรณบุรี,14.47444,100.13889,58,09-12-2019,13:00:00,1.40,28.97,1011.35,23.5,1010.36,0.00,030,33.0,12.00,5.6
48426,LOP BURI,ลพบุรี,ลพบุรี,14.79972,100.64500,63,09-12-2019,13:00:00,8.50,30.08,1011.82,24.1,1010.02,0.00,330,32.0,8.00,3.7
48427,U THONG AGROMET.,อู่ทอง สกษ.,สุพรรณบุรี,14.30361,99.86472,46,09-12-2019,13:00:00,0.10,24.45,1011.02,20.7,1010.27,0.00,000,34.1,10.00,0.0
48429,SUVARNABHUMI AIRPORT,สนามบินสุวรรณภูมิ,สมุทรปราการ,13.68639,100.76750,49,09-12-2019,13:00:00,0.60,25.22,1011.07,21.2,1010.38,0.00,330,33.5,10.00,20.4
48430,PRACHIN BURI,ปราจีนบุรี,ปราจีนบุรี,14.05842,101.36930,64,09-12-2019,13:00:00,20.50,30.65,1010.83,24.5,1010.14,0.00,280,32.0,12.00,7.4
48431,NAKHON RATCHASIMA,นครราชสีมา,นครราชสีมา,14.96830,102.08603,65,09-12-2019,13:00:00,9.00,29.80,1010.27,24.0,989.34,0.00,290,31.3,12.00,7.4
48432,SURIN,สุรินทร์,สุรินทร์,14.88333,103.50000,62,09-12-2019,13:00:00,8.40,29.91,1010.15,24.0,993.67,0.00,240,32.2,12.00,5.6
48433,SURIN AGROMET.,สุรินทร์ สกษ.,สุรินทร์,14.88333,103.45000,67,09-12-2019,13:00:00,27.10,30.57,1010.93,24.4,994.67,0.00,270,31.4,14.00,9.3
48434,CHOK CHAI,โชคชัย,นครราชสีมา,14.71889,102.16861,64,09-12-2019,13:00:00,0.00,27.95,1010.71,22.9,989.02,0.00,000,30.5,10.00,0.0
48435,PAKCHONG AGROMET.,ปากช่อง สกษ.,นครราชสีมา,14.64389,101.33194,70,09-12-2019,13:00:00,20.20,27.18,1011.11,22.5,967.91,0.00,250,28.5,15.00,14.8
48436,NANG RONG,นางรอง,บุรีรัมย์,14.58333,102.80000,56,09-12-2019,13:00:00,6.00,26.15,1010.42,21.8,990.11,0.00,270,31.7,12.00,7.4
48437,BURIRUM,บุรีรัมย์,บุรีรัมย์,15.22575,103.24808,74,09-12-2019,13:00:00,1.20,32.05,1012.28,25.2,991.58,0.00,320,30.3,10.00,7.4
48438,SAMUTSONGKRAM,สมุทรสงคราม,สมุทรสงคราม,13.40778,100.03222,61,09-12-2019,13:00:00,0.50,27.65,1011.68,22.7,1011.25,0.00,140,31.2,10.00,11.1
48439,KABIN BURI,กบินทร์บุรี,ปราจีนบุรี,13.98333,101.70722,73,09-12-2019,13:00:00,40.10,33.70,1010.96,26.0,1009.56,0.00,000,31.5,11.00,0.0
48440,SA KAEW,สระแก้ว,สระแก้ว,13.78889,102.03472,76,09-12-2019,13:00:00,3.00,32.63,1010.81,25.5,1005.91,0.00,000,30.3,10.00,0.0
48450,KANCHANA BURI,กาญจนบุรี,กาญจนบุรี,14.02250,99.53583,49,09-12-2019,13:00:00,0.00,25.51,1011.83,21.4,1008.59,0.00,340,33.8,12.00,9.3
48451,NAKHONPATHOM,นครปฐม,นครปฐม,14.01167,99.97000,61,09-12-2019,13:00:00,16.40,29.66,1011.45,23.9,1010.36,0.00,300,32.5,10.00,1.9
48453,BANG NA AGROMET.,กรุงเทพฯ บางนา สกษ.,กรุงเทพมหานคร,13.66639,100.60611,49,09-12-2019,13:00:00,7.60,25.90,1011.34,21.7,1011.05,0.00,290,34.0,10.00,13.0
48454,BANGKOK PORT (KLONG TOEI),กรุงเทพฯ ท่าเรือคลองเตย,กรุงเทพมหานคร,13.70694,100.56805,52,09-12-2019,13:00:00,32.90,28.39,1010.90,23.2,1010.23,0.00,180,34.4,10.00,5.6
48455,BANGKOK METROPOLIS,กรุงเทพมหานคร,กรุงเทพมหานคร,13.72639,100.56000,55,09-12-2019,13:00:00,1.80,28.76,1011.60,23.4,1011.12,0.00,180,33.6,10.00,5.6
48456,DON MUANG AIRPORT,สนามบินดอนเมือง,กรุงเทพมหานคร,13.91917,100.60500,54,09-12-2019,13:00:00,1.20,27.79,1011.05,22.8,1009.66,0.00,310,33.4,10.00,9.3
48457,PILOT STATION,นำร่อง,สมุทรปราการ,13.39389,100.59944,75,09-12-2019,13:00:00,0.00,32.75,1012.64,25.6,1010.98,0.00,230,30.5,12.00,18.5
48458,CHACHOENGSAO,ฉะเชิงเทรา,ฉะเชิงเทรา,13.51556,101.45833,52,09-12-2019,13:00:00,0.20,25.79,1012.89,21.6,1004.99,0.00,000,32.8,10.00,0.0
48459,CHON BURI,ชลบุรี,ชลบุรี,13.36667,100.98333,57,09-12-2019,13:00:00,0.00,28.08,1011.08,23.0,1010.80,0.00,010,32.7,10.00,13.0
48460,KO SICHANG,เกาะสีชัง,ชลบุรี,13.16167,100.80194,62,09-12-2019,13:00:00,0.00,28.59,1011.52,23.3,1008.42,0.00,270,31.4,10.00,5.6
48461,PHATTHAYA,พัทยา,ชลบุรี,12.92000,100.86944,61,09-12-2019,13:00:00,0.00,27.85,1012.00,22.9,1005.12,0.00,000,31.3,8.00,0.0
48462,ARANYA PRATHET,อรัญประเทศ,สระแก้ว,13.70000,102.58333,59,09-12-2019,13:00:00,15.50,28.69,1011.56,23.4,1006.04,0.00,320,32.3,10.00,11.1
48463,LAEM CHABANG,แหลมฉบัง,ชลบุรี,13.07694,100.87583,51,09-12-2019,13:00:00,0.00,28.02,1012.54,23.0,1003.41,0.00,330,34.5,9.00,13.0
48464,RATCHA BURI,ราชบุรี,ราชบุรี,13.48931,99.79239,55,09-12-2019,13:00:00,0.01,27.95,1013.03,22.9,1011.78,0.00,350,33.2,15.00,11.1
48465,PHETCHA BURI,เพชรบุรี,เพชรบุรี,12.99944,100.06056,61,09-12-2019,13:00:00,0.00,30.61,1011.25,24.4,1010.82,0.00,300,33.1,11.00,5.6
48474,NONG PHLUB AGROMET.,หนองพลับ สกษ.,ประจวบคีรีขันธ์,12.58333,99.73333,50,09-12-2019,13:00:00,0.00,26.85,1011.49,22.3,999.46,0.00,180,34.2,9.00,11.1
48475,HUA HIN,หัวหิน,ประจวบคีรีขันธ์,12.58611,99.96250,63,09-12-2019,13:00:00,0.00,28.96,1011.67,23.5,1010.96,0.00,120,31.3,10.00,9.3
48477,SATTAHIP,สัตหีบ,ชลบุรี,12.68333,100.98333,69,09-12-2019,13:00:00,0.00,32.69,1011.83,25.5,1009.42,0.00,010,32.0,10.00,11.1
48478,RAYONG,ระยอง,ระยอง,12.63222,101.34361,74,09-12-2019,13:00:00,0.20,33.65,1012.40,26.0,1011.88,0.00,260,31.2,12.00,9.3
48479,HUAI PONG AGROMET.,ห้วยโป่ง สกษ.,ระยอง,12.73333,101.13333,61,09-12-2019,13:00:00,0.00,30.69,1011.06,24.5,1005.98,0.00,230,33.0,12.00,7.4
48480,CHANTHA BURI,จันทบุรี,จันทบุรี,12.61667,102.11333,55,09-12-2019,13:00:00,16.90,27.84,1011.34,22.9,1010.93,0.00,190,33.0,10.00,3.7
48481,PHLIU  AGROMET.,พลิ้ว สกษ.,จันทบุรี,12.50861,102.17305,76,09-12-2019,13:00:00,7.20,35.56,1011.43,27.0,1008.69,0.00,270,31.8,8.00,7.4
48500,PRACHUAP KHIRIKHAN,ประจวบคีรีขันธ์,ประจวบคีรีขันธ์,11.83333,99.83333,65,09-12-2019,13:00:00,0.00,31.27,1007.24,24.8,1006.47,0.00,120,32.3,10.00,16.7
48501,TRAD,ตราด,ตราด,11.76667,102.88333,71,09-12-2019,13:00:00,0.00,34.46,1011.16,26.4,1010.70,0.00,270,32.4,10.00,7.4
48517,CHUMPHON,ชุมพร,ชุมพร,10.49875,99.18847,53,09-12-2019,13:00:00,2.80,27.51,1012.19,22.7,1011.52,0.00,280,33.4,10.00,11.1
48520,SAWI AGROMET.,สวี สกษ.,ชุมพร,10.33333,99.10000,53,09-12-2019,13:00:00,6.80,26.45,1012.01,22.0,1010.51,0.00,300,33.0,10.00,7.4
48532,RANONG,ระนอง,ระนอง,9.98333,98.61667,57,09-12-2019,13:00:00,0.00,27.69,1013.22,22.8,1012.31,0.00,280,32.5,10.00,11.1
48550,KO SAMUI,เกาะสมุย,สุราษฎร์ธานี,9.46667,100.05000,84,09-12-2019,13:00:00,0.00,35.40,1012.78,26.9,1012.10,0.00,090,29.8,10.00,11.1
48551,SURAT THANI,สุราษฎร์ธานี,สุราษฎร์ธานี,9.13556,99.15194,60,09-12-2019,13:00:00,9.00,31.08,1012.31,24.7,1011.52,0.00,300,33.6,10.00,1.9
48552,NAKHONSI THAMMARAT,นครศรีธรรมราช,นครศรีธรรมราช,8.53778,99.96389,63,09-12-2019,13:00:00,2.20,31.57,1011.06,24.9,1010.43,0.00,030,33.0,10.00,7.4
48554,NAKHONSI THAMMARAT AGROMET.,นครศรีธรรมราช สกษ.,นครศรีธรรมราช,8.35931,100.00000,63,09-12-2019,13:00:00,0.01,33.08,1011.41,25.7,1011.01,0.00,020,33.7,10.00,7.4
48555,SURAT THANI AGROMET.,สุราษฎร์ธานี สกษ.,สุราษฎร์ธานี,9.10000,99.63333,70,09-12-2019,13:00:00,3.10,33.64,1013.40,26.0,1009.24,0.00,270,32.3,6.00,11.1
