WmoStationNumber,StationNameEnglish,StationNameThai,Province,Latitude,Longitude,AirTemperature,Date,Time,WindSpeed,StationPressure,LandVisibility,VaporPressure,Rainfall24Hr,RelativeHumidity,MeanSeaLevelPressure,DewPoint,MinimumTemperature,Rainfall,WindDirection
48300,MAE HONG SON,แม่ฮ่องสอน,แม่ฮ่องสอน,19.29897,97.97578,24.5,07-09-2019,07:00:00,0.0,977.21,6.00,27.86,1.20,91,1008.32,22.9,22.1,0.00,000
48302,DOI ANG KANG,ดอยอ่างขาง,เชียงใหม่,19.93139,99.04833,18.4,07-09-2019,07:00:00,22.2,844.12,7.00,19.87,2.40,94,1005.30,17.4,18.0,0.00,290
48303,CHIANG RAI,เชียงราย,เชียงราย,19.96139,99.88139,24.9,07-09-2019,07:00:00,0.0,962.87,12.00,27.79,1.90,88,1006.57,22.8,24.1,0.00,000
48304,CHAING RAI AGROMET.,เชียงราย สกษ.,เชียงราย,19.87083,99.78278,23.5,07-09-2019,07:00:00,0.0,960.62,15.00,27.66,2.00,96,1006.43,22.8,22.0,0.00,000
48307,THUNG CHANG,ทุ่งช้าง,น่าน,19.41194,100.88353,24.3,07-09-2019,07:00:00,0.0,969.91,12.00,29.57,7.40,97,1007.75,23.9,23.6,0.00,000
48310,PHAYAO,พะเยา,พะเยา,19.13333,99.90000,25.2,07-09-2019,07:00:00,5.6,961.81,15.00,26.78,0.00,84,1006.95,22.2,24.5,0.00,120
48315,THA WANGPHA,ท่าวังผา,น่าน,19.11056,100.80250,25.4,07-09-2019,07:00:00,0.0,981.42,10.00,28.67,0.01,88,1008.24,23.3,24.8,0.00,000
48324,THOEN,เถิน,ลำปาง,17.63661,99.24475,24.2,07-09-2019,07:00:00,1.9,986.64,12.00,28.36,2.20,94,1008.59,23.2,23.8,0.00,090
48325,MAE SARIANG,แม่สะเรียง,แม่ฮ่องสอน,18.16667,97.93333,24.0,07-09-2019,07:00:00,0.0,985.08,6.00,28.53,56.70,96,1009.42,23.3,23.0,0.00,000
48327,CHIANG MAI,เชียงใหม่,เชียงใหม่,18.79000,98.97694,25.3,07-09-2019,07:00:00,0.0,973.03,10.00,28.75,9.90,89,1007.64,23.4,24.8,0.00,000
48328,LAMPANG,ลำปาง,ลำปาง,18.28333,99.51667,25.2,07-09-2019,07:00:00,0.0,981.13,10.00,27.54,0.60,86,1008.80,22.7,24.5,0.00,000
48329,LAMPHUN,ลำพูน,ลำพูน,18.56722,99.03389,25.5,07-09-2019,07:00:00,0.0,973.84,12.00,27.29,0.00,84,1007.49,22.5,24.9,0.00,000
48330,PHRAE,แพร่,แพร่,18.16667,100.16667,25.0,07-09-2019,07:00:00,3.7,988.68,10.00,29.52,3.60,93,1007.28,23.8,24.6,0.00,240
48331,NAN,น่าน,น่าน,18.77972,100.77778,25.0,07-09-2019,07:00:00,0.0,984.53,10.00,29.52,0.00,93,1007.46,23.8,24.5,0.00,000
48333,NAN AGROMET.,น่าน สกษ.,น่าน,18.86667,100.75000,24.5,07-09-2019,07:00:00,0.0,978.00,9.00,28.11,0.00,91,1008.10,23.0,23.5,0.00,000
48334,LAMPANG AGROMET.,ลำปาง สกษ.,ลำปาง,18.31667,99.28333,23.7,07-09-2019,07:00:00,0.0,971.98,6.00,26.25,0.60,90,1007.80,21.9,23.5,0.00,000
48350,LOEI AGROMET.,เลย สกษ.,เลย,17.40000,101.73333,25.0,07-09-2019,07:00:00,0.0,976.72,12.00,26.69,0.00,84,1006.55,22.2,24.0,0.00,000
48351,UTTARADIT,อุตรดิตถ์,อุตรดิตถ์,17.61667,100.10000,25.5,07-09-2019,07:00:00,0.0,1000.95,8.00,30.17,4.30,93,1008.30,24.2,25.3,0.00,000
48352,NONG KHAI,หนองคาย,หนองคาย,17.86717,102.73303,27.4,07-09-2019,07:00:00,0.0,986.78,14.00,31.33,3.80,86,1006.63,24.8,27.1,0.00,000
48353,LOEI,เลย,เลย,17.45000,101.73333,28.0,07-09-2019,07:00:00,3.7,978.06,13.00,25.24,0.00,67,1006.57,21.3,27.0,0.00,090
48354,UDON THANI,อุดรธานี,อุดรธานี,17.38333,102.80000,27.0,07-09-2019,07:00:00,0.0,986.92,10.00,32.77,10.10,92,1007.08,25.6,26.0,0.00,000
48355,SAKON NAKHON AGROMET.,สกลนคร สกษ.,สกลนคร,17.12503,104.06100,26.0,07-09-2019,07:00:00,0.0,985.70,10.00,31.38,5.40,93,1007.49,24.8,25.7,0.00,000
48356,SAKON NAKHON,สกลนคร,สกลนคร,17.15000,104.13333,27.0,07-09-2019,07:00:00,3.7,987.83,12.00,31.66,2.50,89,1007.31,25.0,25.8,0.00,160
48357,NAKHON PHANOM,นครพนม,นครพนม,17.41083,104.78250,26.2,07-09-2019,07:00:00,3.7,991.15,10.00,32.04,8.00,94,1007.94,25.2,25.4,0.10,140
48358,NAKHON PHANOM AGROMET.,นครพนม สกษ.,นครพนม,17.44306,104.77361,26.4,07-09-2019,07:00:00,0.0,990.57,12.00,32.15,4.10,93,1008.02,25.3,24.3,0.00,000
48360,NONG BUA LAM PHU,หนองบัวลำภู,หนองบัวลำภู,17.23250,102.42944,26.6,07-09-2019,07:00:00,3.7,981.02,9.00,29.27,0.00,84,1006.80,23.7,25.6,0.00,120
48372,SUKHOTHAI*,สุโขทัย,สุโขทัย,17.10611,99.80000,27.2,07-09-2019,07:00:00,5.6,1001.78,10.00,27.98,0.00,78,1007.56,22.9,25.1,0.00,240
