WmoStationNumber,StationNameEnglish,StationNameThai,Province,Latitude,Longitude,MeanSeaLevelPressure,Date,Time,Rainfall,LandVisibility,VaporPressure,WindSpeed,Rainfall24Hr,DewPoint,RelativeHumidity,WindDirection,StationPressure,AirTemperature
48426,LOP BURI,ลพบุรี,ลพบุรี,14.79972,100.64500,1006.11,09-03-2019,04:00:00,0.00,6.00,30.32,0.0,10.00,24.3,96,000,1004.28,25.0
48427,U THONG AGROMET.,อู่ทอง สกษ.,สุพรรณบุรี,14.30361,99.86472,1005.98,09-03-2019,04:00:00,0.10,5.00,29.16,0.0,1.30,23.6,93,000,1005.20,24.8
48429,SUVARNABHUMI AIRPORT,สนามบินสุวรรณภูมิ,สมุทรปราการ,13.68639,100.76750,1006.59,09-03-2019,04:00:00,2.00,9.00,29.16,7.4,6.00,23.6,93,210,1005.88,24.8
48430,PRACHIN BURI,ปราจีนบุรี,ปราจีนบุรี,14.05842,101.36930,1005.89,09-03-2019,04:00:00,2.40,6.00,30.42,0.0,14.30,24.3,95,000,1005.18,25.2
48431,NAKHON RATCHASIMA,นครราชสีมา,นครราชสีมา,14.96830,102.08603,1004.73,09-03-2019,04:00:00,0.20,6.00,28.09,11.1,41.90,23.0,96,270,983.39,23.6
48432,SURIN,สุรินทร์,สุรินทร์,14.88333,103.50000,1003.21,09-03-2019,04:00:00,0.00,6.00,28.71,13.0,18.90,23.4,94,230,986.42,24.4
48433,SURIN AGROMET.,สุรินทร์ สกษ.,สุรินทร์,14.88333,103.45000,1003.57,09-03-2019,04:00:00,0.00,5.00,26.93,11.1,17.20,22.3,88,270,987.06,24.4
48434,CHOK CHAI,โชคชัย,นครราชสีมา,14.71889,102.16861,1004.95,09-03-2019,04:00:00,0.01,8.00,26.66,14.8,36.20,22.1,92,280,982.89,23.5
48435,PAKCHONG AGROMET.,ปากช่อง สกษ.,นครราชสีมา,14.64389,101.33194,1006.29,09-03-2019,04:00:00,1.40,8.00,26.09,14.8,32.90,21.8,93,250,962.52,23.0
48436,NANG RONG,นางรอง,บุรีรัมย์,14.58333,102.80000,1004.23,09-03-2019,04:00:00,0.00,8.00,27.42,11.1,22.20,22.6,93,210,983.51,23.8
48437,BURIRUM,บุรีรัมย์,บุรีรัมย์,15.22575,103.24808,1004.35,09-03-2019,04:00:00,0.00,7.00,28.52,16.7,13.00,23.3,97,250,983.36,23.7
48438,SAMUTSONGKRAM,สมุทรสงคราม,สมุทรสงคราม,13.40778,100.03222,1006.52,09-03-2019,04:00:00,0.60,10.00,30.30,9.3,0.90,24.3,90,210,1006.08,26.0
48439,KABIN BURI,กบินทร์บุรี,ปราจีนบุรี,13.98333,101.70722,1006.00,09-03-2019,04:00:00,5.50,6.00,29.85,0.0,17.60,24.0,97,000,1004.57,24.6
48440,SA KAEW,สระแก้ว,สระแก้ว,13.78889,102.03472,1006.00,09-03-2019,04:00:00,2.30,7.00,29.57,0.0,8.40,23.9,97,000,1001.02,24.3
48450,KANCHANA BURI,กาญจนบุรี,กาญจนบุรี,14.02250,99.53583,1006.36,09-03-2019,04:00:00,0.20,10.00,30.07,0.0,0.90,24.1,93,000,1003.05,25.3
48451,NAKHONPATHOM,นครปฐม,นครปฐม,14.01167,99.97000,1006.13,09-03-2019,04:00:00,0.30,7.00,31.66,0.0,4.90,25.0,100,000,1005.02,25.0
48453,BANG NA AGROMET.,กรุงเทพฯ บางนา สกษ.,กรุงเทพมหานคร,13.66639,100.60611,1006.46,09-03-2019,04:00:00,1.70,7.00,29.91,0.0,5.20,24.0,92,000,1006.16,25.5
48455,BANGKOK METROPOLIS,กรุงเทพมหานคร,กรุงเทพมหานคร,13.72639,100.56000,1006.74,09-03-2019,04:00:00,0.01,10.00,30.30,0.0,0.01,24.3,90,000,1006.25,26.0
48456,DON MUANG AIRPORT,สนามบินดอนเมือง,กรุงเทพมหานคร,13.91917,100.60500,1006.94,09-03-2019,04:00:00,0.30,8.00,30.93,7.4,5.10,24.6,98,210,1005.52,24.9
48458,CHACHOENGSAO,ฉะเชิงเทรา,ฉะเชิงเทรา,13.51556,101.45833,1008.51,09-03-2019,04:00:00,2.40,10.00,29.66,0.0,17.50,23.9,98,000,1000.42,24.2
48459,CHON BURI,ชลบุรี,ชลบุรี,13.36667,100.98333,1006.50,09-03-2019,04:00:00,5.00,6.00,30.32,5.6,7.80,24.3,96,210,1006.21,25.0
48460,KO SICHANG,เกาะสีชัง,ชลบุรี,13.16167,100.80194,1006.70,09-03-2019,04:00:00,5.50,10.00,29.00,0.0,9.10,23.5,92,000,1003.54,25.0
48461,PHATTHAYA,พัทยา,ชลบุรี,12.92000,100.86944,1007.11,09-03-2019,04:00:00,7.60,10.00,29.16,7.4,8.20,23.6,93,240,1000.12,24.8
48462,ARANYA PRATHET,อรัญประเทศ,สระแก้ว,13.70000,102.58333,1007.16,09-03-2019,04:00:00,1.20,7.00,29.41,0.0,26.70,23.8,96,000,1001.52,24.5
48464,RATCHA BURI,ราชบุรี,ราชบุรี,13.48931,99.79239,1007.41,09-03-2019,04:00:00,0.10,6.00,30.32,7.4,0.20,24.3,96,170,1006.13,25.0
48465,PHETCHA BURI,เพชรบุรี,เพชรบุรี,12.99944,100.06056,1006.58,09-03-2019,04:00:00,5.50,8.00,29.52,5.6,5.70,23.8,93,180,1006.15,25.0
48474,NONG PHLUB AGROMET.,หนองพลับ สกษ.,ประจวบคีรีขันธ์,12.58333,99.73333,1007.27,09-03-2019,04:00:00,0.10,10.00,28.78,0.0,0.40,23.4,97,000,994.88,24.0
48475,HUA HIN,หัวหิน,ประจวบคีรีขันธ์,12.58611,99.96250,1007.04,09-03-2019,04:00:00,1.70,10.00,31.14,0.0,1.70,24.7,97,000,1006.32,25.3
48477,SATTAHIP,สัตหีบ,ชลบุรี,12.68333,100.98333,1007.20,09-03-2019,04:00:00,16.00,7.00,28.48,0.0,17.80,23.2,90,000,1004.75,25.0
48478,RAYONG,ระยอง,ระยอง,12.63222,101.34361,1007.16,09-03-2019,04:00:00,4.80,6.00,29.91,9.3,5.00,24.0,92,290,1006.64,25.5
48479,HUAI PONG AGROMET.,ห้วยโป่ง สกษ.,ระยอง,12.73333,101.13333,1007.08,09-03-2019,04:00:00,10.20,6.00,30.17,0.0,11.10,24.2,93,000,1001.90,25.5
48480,CHANTHA BURI,จันทบุรี,จันทบุรี,12.61667,102.11333,1006.69,09-03-2019,04:00:00,0.40,6.00,31.33,0.0,9.90,24.8,97,000,1006.27,25.4
48481,PHLIU  AGROMET.,พลิ้ว สกษ.,จันทบุรี,12.50861,102.17305,1007.10,09-03-2019,04:00:00,12.80,8.00,30.32,0.0,27.20,24.3,96,000,1004.31,25.0
48500,PRACHUAP KHIRIKHAN,ประจวบคีรีขันธ์,ประจวบคีรีขันธ์,11.83333,99.83333,1007.51,09-03-2019,04:00:00,0.20,10.00,27.25,0.0,3.60,22.5,91,000,1006.71,24.0
48501,TRAD,ตราด,ตราด,11.76667,102.88333,1006.41,09-03-2019,04:00:00,5.10,3.00,31.65,9.3,11.80,25.0,94,270,1005.95,26.0
48517,CHUMPHON,ชุมพร,ชุมพร,10.49875,99.18847,1007.71,09-03-2019,04:00:00,0.00,8.00,30.98,0.0,2.60,24.6,95,000,1007.02,25.5
48520,SAWI AGROMET.,สวี สกษ.,ชุมพร,10.33333,99.10000,1008.17,09-03-2019,04:00:00,0.00,8.00,30.71,0.0,1.00,24.5,94,000,1006.64,25.5
