WmoStationNumber,StationNameEnglish,StationNameThai,Province,Latitude,Longitude,VaporPressure,Date,Time,RelativeHumidity,Rainfall,WindSpeed,WindDirection,DewPoint,LandVisibility,AirTemperature,MeanSeaLevelPressure,Rainfall24Hr,StationPressure
48375,MAE SOT,แม่สอด,ตาก,16.65917,98.55083,30.34,08-03-2019,16:00:00,87,6.90,11.1,270,24.3,10.00,26.6,1003.35,42.80,981.09
48376,TAK,ตาก,ตาก,16.87833,99.14333,26.01,08-03-2019,16:00:00,63,0.00,18.5,260,21.7,7.00,29.6,1003.80,0.00,989.58
48377,BHUMIBOL DAM,เขื่อนภูมิพล,ตาก,17.24389,99.00250,26.32,08-03-2019,16:00:00,57,0.00,16.7,120,21.9,7.00,31.5,1001.68,0.00,985.62
48378,PHITSANULOK,พิษณุโลก,พิษณุโลก,16.79481,100.27930,25.08,08-03-2019,16:00:00,54,0.00,22.2,260,21.1,10.00,31.7,1002.62,0.60,997.50
48379,PHETCHABUN,เพชรบูรณ์,เพชรบูรณ์,16.43333,101.15000,28.20,08-03-2019,16:00:00,66,0.00,0.0,000,23.1,12.00,30.2,1000.90,0.00,987.93
48380,KAMPHAENG PHET,กำแพงเพชร,กำแพงเพชร,16.48681,99.52697,26.07,08-03-2019,16:00:00,55,0.00,7.4,010,21.8,13.00,31.8,1002.58,0.40,993.45
48381,KHON KAEN,ขอนแก่น,ขอนแก่น,16.46111,102.78972,21.14,08-03-2019,16:00:00,42,0.00,25.9,260,18.4,12.00,33.0,999.87,0.00,978.76
48382,MAHASARAKHAM,มหาสารคาม,มหาสารคาม,16.24722,103.06805,23.74,08-03-2019,16:00:00,47,0.00,14.8,240,20.3,10.00,33.0,1000.28,0.00,983.24
48383,MUKDAHAN,มุกดาหาร,มุกดาหาร,16.54139,104.72889,25.39,08-03-2019,16:00:00,57,0.00,13.0,220,21.3,12.00,31.0,999.20,0.00,983.70
48384,THA PHRA AGROMET.,ท่าพระ สกษ.,ขอนแก่น,16.33333,102.81667,25.93,08-03-2019,16:00:00,51,0.00,1.9,190,21.7,10.00,33.3,999.04,0.00,980.69
48385,UMPHANG,อุ้มผาง,ตาก,16.02472,98.86444,26.84,08-03-2019,16:00:00,87,4.60,0.0,000,22.3,10.00,24.5,1004.99,21.10,953.67
48386,PICHIT AGROMET.,พิจิตร สกษ.,พิจิตร,16.43806,100.29250,26.56,08-03-2019,16:00:00,58,0.00,7.4,140,22.1,10.00,31.2,1002.76,0.60,998.87
48387,DOI MU SOE AGROMET.,ดอยมูเซอร์ สกษ.,ตาก,16.75000,98.93333,23.77,08-03-2019,16:00:00,96,0.90,18.5,230,20.3,.40,20.9,1004.26,11.30,909.25
48390,KALASIN,กาฬสินธุ์,กาฬสินธุ์,16.33250,103.58833,27.52,08-03-2019,16:00:00,59,0.00,5.6,270,22.7,10.00,31.7,999.79,0.80,984.16
48400,NAKHON SAWAN,นครสวรรค์ ,นครสวรรค์,15.67183,100.13236,29.42,08-03-2019,16:00:00,59,0.00,5.6,300,23.8,12.00,32.8,1002.90,0.30,998.96
48401,TAKFA AGROMET.,ตากฟ้า สกษ.,นครสวรรค์,15.34944,100.53028,25.25,08-03-2019,16:00:00,51,0.00,11.1,260,21.3,10.00,32.8,1003.44,0.20,993.01
48402,CHAINAT AGROMET.,ชัยนาท สกษ.,ชัยนาท,15.15000,100.18333,23.33,08-03-2019,16:00:00,45,0.00,7.4,270,20.0,10.00,33.5,1003.10,0.00,1001.22
48403,CHAIYAPHUM,ชัยภูมิ,ชัยภูมิ,15.80000,102.03333,24.68,08-03-2019,16:00:00,55,0.00,14.8,240,20.9,12.00,30.9,1001.33,2.20,980.86
48404,ROI ET AGROMET.,ร้อยเอ็ด สกษ.,ร้อยเอ็ด,16.07322,103.60844,22.12,08-03-2019,16:00:00,47,0.00,11.1,230,19.1,10.00,31.8,1000.01,0.40,982.74
48405,ROI ET,ร้อยเอ็ด,ร้อยเอ็ด,16.02000,103.74389,24.01,08-03-2019,16:00:00,48,0.00,11.1,240,20.4,10.00,33.0,999.32,0.40,983.60
48407,UBON RATCHATHANI,อุบลราชธานี (ศูนย์ฯ),อุบลราชธานี,15.25000,104.86667,26.81,08-03-2019,16:00:00,60,0.00,0.0,000,22.2,10.00,30.9,1001.34,8.40,987.57
48408,UBON RATCHATHANI AGROMET.,อุบลราชธานี สกษ.,อุบลราชธานี,15.23914,105.02350,30.58,08-03-2019,16:00:00,69,0.00,0.0,000,24.4,9.00,30.7,1002.27,6.90,987.69
48409,SI SAKET AGROMET.,ศรีสะเกษ,ศรีสะเกษ,15.00000,104.05000,30.05,08-03-2019,16:00:00,67,0.00,11.1,240,24.1,8.00,31.0,1001.55,3.00,987.15
48410,UTHAITHANI,อุทัยธานี,อุทัยธานี,15.37417,100.03889,23.81,08-03-2019,16:00:00,45,0.00,0.0,"{'0': '   ', '@attributes': {'Unit': 'degree'}}",20.3,10.00,33.9,1002.98,0.01,1000.04
48413,WICHIAN BURI,วิเชียรบุรี,เพชรบูรณ์,15.65700,101.10800,27.35,08-03-2019,16:00:00,58,0.00,7.4,300,22.6,10.00,31.9,1002.20,0.50,994.41
48415,AYUTTHAYA,พระนครศรีอยุธยา,พระนครศรีอยุธยา,14.53472,100.72500,26.59,08-03-2019,16:00:00,58,0.00,22.2,220,22.1,8.00,31.5,1003.54,0.00,1002.45
48416,THA TUM,ท่าตูม,สุรินทร์,15.31667,103.68333,29.88,08-03-2019,16:00:00,66,0.00,7.4,200,24.0,8.00,31.2,1001.60,0.10,987.20
48417,NAKORNNAYOK,นครนายก,นครนายก,14.36222,101.39278,22.83,08-03-2019,16:00:00,97,0.00,13.0,270,19.6,4.00,20.1,1005.44,0.00,870.91
48418,BUA CHUM,บัวชุม  ,ลพบุรี,15.26667,101.18736,26.97,08-03-2019,16:00:00,55,0.00,5.6,280,22.3,10.00,32.7,1002.72,0.00,996.97
48419,PATHUMTHANI,ปทุมธานี สกษ.,ปทุมธานี,14.10000,100.61667,25.58,08-03-2019,16:00:00,53,0.00,16.7,230,21.5,8.00,32.4,1004.26,0.00,1003.48
48420,Samut Prakarn,สมุทรปราการ สกษ.,สมุทรปราการ,13.51667,100.76167,27.22,08-03-2019,16:00:00,63,0.00,29.6,230,22.5,10.00,30.4,1004.85,0.00,1004.41
48421,THONG PHAPHUM,ทองผาภูมิ,กาญจนบุรี,14.74222,98.63639,26.54,08-03-2019,16:00:00,70,0.00,7.4,340,22.1,7.00,28.0,1006.09,9.80,994.83
48425,SUPHAN BURI,สุพรรณบุรี,สุพรรณบุรี,14.47444,100.13889,26.51,08-03-2019,16:00:00,57,0.00,3.7,270,22.0,12.00,31.6,1004.09,0.50,1003.09
48426,LOP BURI,ลพบุรี,ลพบุรี,14.79972,100.64500,28.02,08-03-2019,16:00:00,59,0.00,7.4,160,23.0,12.00,32.1,1003.29,0.00,1001.50
48427,U THONG AGROMET.,อู่ทอง สกษ.,สุพรรณบุรี,14.30361,99.86472,30.14,08-03-2019,16:00:00,70,0.01,5.6,280,24.2,8.00,30.2,1004.38,0.01,1003.63
48429,SUVARNABHUMI AIRPORT,สนามบินสุวรรณภูมิ,สมุทรปราการ,13.68639,100.76750,26.76,08-03-2019,16:00:00,62,0.00,22.2,260,22.2,10.00,30.3,1004.97,0.00,1004.27
48430,PRACHIN BURI,ปราจีนบุรี,ปราจีนบุรี,14.05842,101.36930,26.01,08-03-2019,16:00:00,54,0.00,11.1,240,21.7,12.00,32.2,1004.10,0.00,1003.41
48431,NAKHON RATCHASIMA,นครราชสีมา,นครราชสีมา,14.96830,102.08603,26.58,08-03-2019,16:00:00,54,0.00,13.0,290,22.1,10.00,32.5,1001.94,0.30,981.27
48432,SURIN,สุรินทร์,สุรินทร์,14.88333,103.50000,23.73,08-03-2019,16:00:00,48,0.00,11.1,250,20.2,9.00,32.7,1001.33,0.10,985.02
48433,SURIN AGROMET.,สุรินทร์ สกษ.,สุรินทร์,14.88333,103.45000,24.96,08-03-2019,16:00:00,51,0.00,14.8,210,21.1,9.00,32.5,1002.88,0.01,986.81
48434,CHOK CHAI,โชคชัย,นครราชสีมา,14.71889,102.16861,22.55,08-03-2019,16:00:00,49,0.00,29.6,280,19.4,10.00,31.6,1002.17,0.01,980.75
48435,PAKCHONG AGROMET.,ปากช่อง สกษ.,นครราชสีมา,14.64389,101.33194,23.74,08-03-2019,16:00:00,60,0.00,29.6,240,20.3,14.00,28.9,1003.52,0.00,960.70
48436,NANG RONG,นางรอง,บุรีรัมย์,14.58333,102.80000,21.90,08-03-2019,16:00:00,44,0.00,24.1,250,19.0,10.00,32.7,1001.69,0.20,981.62
48437,BURIRUM,บุรีรัมย์,บุรีรัมย์,15.22575,103.24808,27.43,08-03-2019,16:00:00,62,0.00,16.7,270,22.6,10.00,30.8,1002.76,2.60,982.29
48438,SAMUTSONGKRAM,สมุทรสงคราม,สมุทรสงคราม,13.40778,100.03222,25.36,08-03-2019,16:00:00,64,0.01,16.7,320,21.3,10.00,28.8,1004.48,0.10,1004.05
48439,KABIN BURI,กบินทร์บุรี,ปราจีนบุรี,13.98333,101.70722,26.73,08-03-2019,16:00:00,60,0.00,14.8,280,22.2,11.00,31.0,1003.67,0.00,1002.28
48440,SA KAEW,สระแก้ว,สระแก้ว,13.78889,102.03472,27.93,08-03-2019,16:00:00,61,0.00,7.4,300,22.9,8.00,31.2,1003.86,0.00,999.01
48450,KANCHANA BURI,กาญจนบุรี,กาญจนบุรี,14.02250,99.53583,25.57,08-03-2019,16:00:00,57,0.01,7.4,290,21.5,12.00,31.1,1004.19,0.40,1000.95
48451,NAKHONPATHOM,นครปฐม,นครปฐม,14.01167,99.97000,27.27,08-03-2019,16:00:00,57,0.00,3.7,290,22.5,10.00,32.0,1004.53,0.01,1003.45
48453,BANG NA AGROMET.,กรุงเทพฯ บางนา สกษ.,กรุงเทพมหานคร,13.66639,100.60611,28.09,08-03-2019,16:00:00,63,0.01,5.6,280,23.0,10.00,31.0,1004.52,0.01,1004.22
48454,BANGKOK PORT (KLONG TOEI),กรุงเทพฯ ท่าเรือคลองเตย,กรุงเทพมหานคร,13.70694,100.56805,28.59,08-03-2019,16:00:00,62,0.00,9.3,220,23.3,10.00,31.4,1004.53,0.00,1003.86
48455,BANGKOK METROPOLIS,กรุงเทพมหานคร,กรุงเทพมหานคร,13.72639,100.56000,27.27,08-03-2019,16:00:00,61,0.00,9.3,210,22.5,10.00,31.0,1004.35,0.00,1003.87
48456,DON MUANG AIRPORT,สนามบินดอนเมือง,กรุงเทพมหานคร,13.91917,100.60500,27.11,08-03-2019,16:00:00,60,0.00,24.1,260,22.4,10.00,31.2,1004.73,0.00,1003.35
48457,PILOT STATION,นำร่อง,สมุทรปราการ,13.39389,100.59944,27.71,08-03-2019,16:00:00,62,0.00,18.5,240,22.8,10.00,30.8,1004.63,0.00,1002.97
48458,CHACHOENGSAO,ฉะเชิงเทรา,ฉะเชิงเทรา,13.51556,101.45833,26.09,08-03-2019,16:00:00,59,0.00,5.6,270,21.8,10.00,30.8,1006.64,0.00,998.74
48459,CHON BURI,ชลบุรี,ชลบุรี,13.36667,100.98333,31.15,08-03-2019,16:00:00,71,0.00,14.8,300,24.7,12.00,30.7,1005.23,0.00,1004.95
48460,KO SICHANG,เกาะสีชัง,ชลบุรี,13.16167,100.80194,26.62,08-03-2019,16:00:00,65,0.00,18.5,270,22.1,10.00,29.5,1004.51,0.00,1001.41
48461,PHATTHAYA,พัทยา,ชลบุรี,12.92000,100.86944,27.88,08-03-2019,16:00:00,67,0.00,16.7,250,22.9,12.00,29.6,1005.30,0.00,998.43
48462,ARANYA PRATHET,อรัญประเทศ,สระแก้ว,13.70000,102.58333,28.10,08-03-2019,16:00:00,59,0.00,18.5,290,23.0,7.00,32.0,1003.46,0.00,997.98
48463,LAEM CHABANG,แหลมฉบัง,ชลบุรี,13.07694,100.87583,29.96,08-03-2019,16:00:00,73,0.00,33.3,320,24.1,12.00,29.4,1006.34,0.00,997.10
48464,RATCHA BURI,ราชบุรี,ราชบุรี,13.48931,99.79239,26.95,08-03-2019,16:00:00,73,0.40,14.8,280,22.3,12.00,27.5,1005.50,0.60,1004.24
48465,PHETCHA BURI,เพชรบุรี,เพชรบุรี,12.99944,100.06056,28.68,08-03-2019,16:00:00,75,0.20,13.0,280,23.3,11.00,28.3,1004.22,4.00,1003.79
48474,NONG PHLUB AGROMET.,หนองพลับ สกษ.,ประจวบคีรีขันธ์,12.58333,99.73333,29.50,08-03-2019,16:00:00,88,1.00,0.0,000,23.8,10.00,26.0,1006.37,16.40,994.08
48475,HUA HIN,หัวหิน,ประจวบคีรีขันธ์,12.58611,99.96250,31.00,08-03-2019,16:00:00,88,0.70,0.0,000,24.6,9.00,26.8,1005.97,10.20,1005.26
48477,SATTAHIP,สัตหีบ,ชลบุรี,12.68333,100.98333,25.02,08-03-2019,16:00:00,56,0.00,14.8,270,21.1,10.00,30.8,1006.04,0.01,1003.64
48478,RAYONG,ระยอง,ระยอง,12.63222,101.34361,28.78,08-03-2019,16:00:00,70,0.00,24.1,280,23.4,10.00,29.5,1006.13,0.00,1005.61
48479,HUAI PONG AGROMET.,ห้วยโป่ง สกษ.,ระยอง,12.73333,101.13333,25.32,08-03-2019,16:00:00,60,0.00,20.4,290,21.3,10.00,29.8,1005.41,0.00,1000.31
48481,PHLIU  AGROMET.,พลิ้ว สกษ.,จันทบุรี,12.50861,102.17305,32.88,08-03-2019,16:00:00,84,0.00,11.1,270,25.6,8.00,28.6,1005.91,14.60,1003.16
48500,PRACHUAP KHIRIKHAN,ประจวบคีรีขันธ์,ประจวบคีรีขันธ์,11.83333,99.83333,29.03,08-03-2019,16:00:00,76,0.20,20.4,320,23.5,6.00,28.2,1006.79,8.30,1006.01
48501,TRAD,ตราด,ตราด,11.76667,102.88333,31.05,08-03-2019,16:00:00,77,0.00,13.0,290,24.7,8.00,29.1,1006.12,5.20,1005.66
48517,CHUMPHON,ชุมพร,ชุมพร,10.49875,99.18847,30.60,08-03-2019,16:00:00,75,0.00,5.6,300,24.4,8.00,29.3,1006.93,30.80,1006.25
48520,SAWI AGROMET.,สวี สกษ.,ชุมพร,10.33333,99.10000,27.71,08-03-2019,16:00:00,66,0.00,0.0,000,22.8,9.00,29.8,1007.34,33.00,1005.82
48532,RANONG,ระนอง,ระนอง,9.98333,98.61667,31.88,08-03-2019,16:00:00,73,0.00,7.4,240,25.1,10.00,30.5,1007.84,28.20,1006.93
48550,KO SAMUI,เกาะสมุย,สุราษฎร์ธานี,9.46667,100.05000,31.72,08-03-2019,16:00:00,75,0.00,9.3,270,25.0,10.00,30.0,1007.47,3.70,1006.79
48551,SURAT THANI,สุราษฎร์ธานี,สุราษฎร์ธานี,9.13556,99.15194,31.47,08-03-2019,16:00:00,70,0.01,9.3,240,24.9,10.00,31.0,1008.02,1.60,1007.23
48552,NAKHONSI THAMMARAT,นครศรีธรรมราช,นครศรีธรรมราช,8.53778,99.96389,27.67,08-03-2019,16:00:00,54,0.00,5.6,240,22.8,10.00,33.2,1007.01,5.00,1006.38
48554,NAKHONSI THAMMARAT AGROMET.,นครศรีธรรมราช สกษ.,นครศรีธรรมราช,8.35931,100.00000,30.33,08-03-2019,16:00:00,58,0.00,7.4,280,24.3,10.00,33.8,1007.18,0.00,1006.79
48555,SURAT THANI AGROMET.,สุราษฎร์ธานี สกษ.,สุราษฎร์ธานี,9.10000,99.63333,32.17,08-03-2019,16:00:00,74,0.00,7.4,260,25.3,7.00,30.5,1009.13,0.00,1004.96
48556,PHRA SANG,พระแสง สอท.,สุราษฎร์ธานี,8.57022,99.25825,27.55,08-03-2019,16:00:00,58,0.00,0.0,000,22.7,10.00,32.0,1008.76,2.00,1007.17
48557,CHAWANG,ฉวาง,นครศรีธรรมราช,8.43194,99.51194,28.66,08-03-2019,16:00:00,60,0.00,9.3,290,23.3,10.00,32.0,1007.97,0.01,1004.55
48560,PHATTHALUNG AGROMET.,พัทลุง สกษ.,พัทลุง,7.58333,100.16667,23.77,08-03-2019,16:00:00,50,0.00,3.7,210,20.3,10.00,32.0,1007.39,0.00,1006.06
48561,TAKUA PA,ตะกั่วป่า,พังงา,8.68417,98.25222,30.31,08-03-2019,16:00:00,71,0.00,14.8,240,24.3,10.00,30.0,1008.47,0.00,1007.59
48563,KRABI,กระบี่,กระบี่,8.10361,98.97528,28.09,08-03-2019,16:00:00,63,0.00,9.3,290,23.0,10.00,31.0,1007.91,0.00,1004.40
48564,PHUKET,ภูเก็ต,ภูเก็ต,7.88333,98.40000,30.28,08-03-2019,16:00:00,61,0.00,9.3,260,24.2,10.00,32.8,1008.17,0.00,1007.74
48565,PHUKET AIRPORT,ภูเก็ต (ศูนย์ฯ),ภูเก็ต,8.14500,98.31444,30.48,08-03-2019,16:00:00,63,0.00,3.7,280,24.4,10.00,32.2,1007.87,0.00,1006.89
48566,KO LANTA,เกาะลันตา,กระบี่,7.53333,99.05000,32.34,08-03-2019,16:00:00,75,0.00,20.4,280,25.3,10.00,30.3,1008.09,0.00,1007.29
48567,TRANG AIRPORT,ตรัง,ตรัง,7.51667,99.61667,30.18,08-03-2019,16:00:00,69,0.00,11.1,210,24.2,10.00,30.5,1008.22,0.00,1006.43
48568,SONGKHLA,สงขลา,สงขลา,7.18211,100.60769,26.45,08-03-2019,16:00:00,56,0.00,14.8,220,22.0,10.00,32.0,1007.22,0.00,1006.49
48569,HAT YAI AIRPORT,หาดใหญ่,สงขลา,6.91667,100.43333,27.63,08-03-2019,16:00:00,62,0.00,14.8,250,22.7,10.00,30.9,1007.82,0.00,1003.88
48570,SATUN,สตูล,สตูล,6.65000,100.08333,28.37,08-03-2019,16:00:00,63,0.00,0.0,000,23.2,10.00,31.0,1008.69,0.00,1008.02
48571,KHO HONG AGROMET.,คอหงษ์ สกษ.,สงขลา,7.00000,100.50000,30.53,08-03-2019,16:00:00,68,0.00,0.0,000,24.4,10.00,31.1,1007.48,0.00,1006.38
48574,SA DAO,สะเดา,สงขลา,6.79806,100.39056,28.50,08-03-2019,16:00:00,59,0.00,13.0,260,23.2,12.00,32.2,1007.69,0.00,1004.82
48580,PATTANI AIRPORT,ปัตตานี,ปัตตานี,6.78333,101.15000,30.44,08-03-2019,16:00:00,62,0.00,0.0,000,24.3,10.00,32.6,1006.62,0.00,1005.94
48581,YALA AGROMET.,ยะลา สกษ.,ยะลา,6.51667,101.28333,26.09,08-03-2019,16:00:00,52,0.00,0.0,000,21.8,10.00,33.1,1007.87,0.00,1003.82
48583,NARATHIWAT,นราธิวาส,นราธิวาส,6.41667,101.81667,30.49,08-03-2019,16:00:00,66,0.00,13.0,070,24.4,10.00,31.5,1007.98,0.00,1007.40
