WmoStationNumber,StationNameEnglish,StationNameThai,Province,Latitude,Longitude,VaporPressure,Date,Time,RelativeHumidity,Rainfall,WindSpeed,WindDirection,DewPoint,LandVisibility,AirTemperature,MeanSeaLevelPressure,Rainfall24Hr,StationPressure
48300,MAE HONG SON,แม่ฮ่องสอน,แม่ฮ่องสอน,19.29897,97.97578,28.15,08-03-2019,16:00:00,61,0.00,3.7,130,23.0,15.00,31.6,1001.76,4.10,971.56
48302,DOI ANG KANG,ดอยอ่างขาง,เชียงใหม่,19.93139,99.04833,21.28,08-03-2019,16:00:00,86,0.70,18.5,300,18.5,8.00,20.9,999.45,5.10,840.42
48303,CHIANG RAI,เชียงราย,เชียงราย,19.96139,99.88139,26.48,08-03-2019,16:00:00,62,0.00,0.0,000,22.0,15.00,30.0,999.32,1.10,956.64
48304,CHAING RAI AGROMET.,เชียงราย สกษ.,เชียงราย,19.87083,99.78278,31.31,08-03-2019,16:00:00,72,0.00,0.0,000,24.8,15.00,30.5,999.25,0.50,954.78
48307,THUNG CHANG,ทุ่งช้าง,น่าน,19.41194,100.88353,32.22,08-03-2019,16:00:00,79,0.01,7.4,210,25.3,12.00,29.4,1000.38,0.01,963.44
48310,PHAYAO,พะเยา,พะเยา,19.13333,99.90000,26.28,08-03-2019,16:00:00,55,0.00,3.7,250,21.9,11.00,32.2,999.71,0.00,955.90
48315,THA WANGPHA,ท่าวังผา,น่าน,19.11056,100.80250,32.75,08-03-2019,16:00:00,75,0.00,5.6,160,25.6,12.00,30.5,1000.49,0.00,974.32
48324,THOEN,เถิน,ลำปาง,17.63661,99.24475,21.75,08-03-2019,16:00:00,43,0.00,14.8,270,18.8,15.00,33.2,1001.75,0.00,980.58
48325,MAE SARIANG,แม่สะเรียง,แม่ฮ่องสอน,18.16667,97.93333,28.37,08-03-2019,16:00:00,71,0.00,0.0,000,23.2,10.00,29.0,1003.91,6.00,980.09
48327,CHIANG MAI,เชียงใหม่,เชียงใหม่,18.79000,98.97694,25.10,08-03-2019,16:00:00,53,0.00,7.4,250,21.2,10.00,32.0,1001.10,0.00,967.45
48328,LAMPANG,ลำปาง,ลำปาง,18.28333,99.51667,28.46,08-03-2019,16:00:00,60,0.00,0.0,000,23.2,10.00,31.9,1001.26,0.00,974.39
48329,LAMPHUN,ลำพูน,ลำพูน,18.56722,99.03389,24.93,08-03-2019,16:00:00,52,0.00,5.6,240,21.1,12.00,32.2,1001.08,0.00,968.37
48330,PHRAE,แพร่,แพร่,18.16667,100.16667,30.57,08-03-2019,16:00:00,67,0.00,0.0,000,24.4,15.00,31.4,1000.71,0.00,982.61
48331,NAN,น่าน,น่าน,18.77972,100.77778,29.66,08-03-2019,16:00:00,61,0.00,0.0,000,23.9,10.00,32.5,999.90,0.00,977.68
48333,NAN AGROMET.,น่าน สกษ.,น่าน,18.86667,100.75000,29.48,08-03-2019,16:00:00,66,0.00,0.0,000,23.8,12.00,31.0,1000.08,0.00,970.85
48334,LAMPANG AGROMET.,ลำปาง สกษ.,ลำปาง,18.31667,99.28333,23.19,08-03-2019,16:00:00,53,0.00,0.0,000,19.9,8.00,30.5,1001.24,0.00,966.44
48350,LOEI AGROMET.,เลย สกษ.,เลย,17.40000,101.73333,24.17,08-03-2019,16:00:00,53,0.00,14.8,270,20.5,17.00,31.2,999.07,0.00,970.06
48351,UTTARADIT,อุตรดิตถ์,อุตรดิตถ์,17.61667,100.10000,26.86,08-03-2019,16:00:00,55,0.00,7.4,160,22.3,11.00,32.5,1001.15,0.00,994.02
48352,NONG KHAI,หนองคาย,หนองคาย,17.86717,102.73303,29.48,08-03-2019,16:00:00,66,0.00,5.6,280,23.8,12.00,31.0,998.19,0.00,978.74
48353,LOEI,เลย,เลย,17.45000,101.73333,22.47,08-03-2019,16:00:00,47,0.00,14.8,270,19.4,18.00,32.0,999.50,0.00,971.56
48354,UDON THANI,อุดรธานี,อุดรธานี,17.38333,102.80000,26.02,08-03-2019,16:00:00,57,0.00,14.8,250,21.7,15.00,31.2,999.03,0.00,979.31
48355,SAKON NAKHON AGROMET.,สกลนคร สกษ.,สกลนคร,17.12503,104.06100,31.39,08-03-2019,16:00:00,72,0.00,7.4,200,24.9,15.00,30.4,999.38,0.00,978.07
48356,SAKON NAKHON,สกลนคร,สกลนคร,17.15000,104.13333,30.06,08-03-2019,16:00:00,70,0.00,1.9,220,24.1,15.00,30.3,998.51,0.00,979.41
48357,NAKHON PHANOM,นครพนม,นครพนม,17.41083,104.78250,30.24,08-03-2019,16:00:00,74,0.00,3.7,270,24.2,13.00,29.4,999.45,21.00,982.97
48358,NAKHON PHANOM AGROMET.,นครพนม สกษ.,นครพนม,17.44306,104.77361,29.19,08-03-2019,16:00:00,77,0.00,3.7,270,23.6,12.00,28.0,999.87,1.60,982.65
48360,NONG BUA LAM PHU,หนองบัวลำภู,หนองบัวลำภู,17.23250,102.42944,24.27,08-03-2019,16:00:00,53,0.00,9.3,270,20.6,12.00,31.4,998.86,0.00,973.67
48372,SUKHOTHAI*,สุโขทัย,สุโขทัย,17.10611,99.80000,27.19,08-03-2019,16:00:00,57,0.00,11.1,270,22.5,10.00,32.1,1001.40,0.40,995.74
48373,SI SAMRONG AGROMET.,ศรีสำโรง สกษ.,สุโขทัย,17.16136,99.86167,27.02,08-03-2019,16:00:00,56,0.00,14.8,200,22.4,10.00,32.3,1001.67,0.20,995.62
48374,LOM SAK,หล่มสัก,เพชรบูรณ์,16.77361,101.24944,26.33,08-03-2019,16:00:00,60,0.00,0.0,000,21.9,10.00,30.5,1002.34,0.00,986.17
