WmoStationNumber,StationNameEnglish,StationNameThai,Province,Latitude,Longitude,DewPoint,Date,Time,WindDirection,Rainfall24Hr,RelativeHumidity,WindSpeed,AirTemperature,MeanSeaLevelPressure,VaporPressure,Rainfall,StationPressure,LandVisibility
48381,KHON KAEN,ขอนแก่น,ขอนแก่น,16.46111,102.78972,23.3,07-28-2019,22:00:00,170,0.00,64,5.6,31.0,1006.63,28.65,0.00,985.24,10.00
48382,MAHASARAKHAM,มหาสารคาม,มหาสารคาม,16.24722,103.06805,24.7,07-28-2019,22:00:00,000,1.30,78,0.0,29.0,1007.19,31.13,1.30,989.80,10.00
48383,MUKDAHAN,มุกดาหาร,มุกดาหาร,16.54139,104.72889,24.7,07-28-2019,22:00:00,000,0.40,77,0.0,29.1,1006.44,31.05,0.00,990.72,10.00
48384,THA PHRA AGROMET.,ท่าพระ สกษ.,ขอนแก่น,16.33333,102.81667,24.5,07-28-2019,22:00:00,170,0.00,70,5.6,30.5,1005.42,30.74,0.00,986.79,10.00
48385,UMPHANG,อุ้มผาง,ตาก,16.02472,98.86444,22.4,07-28-2019,22:00:00,000,0.00,91,0.0,24.0,1011.07,27.00,0.00,959.36,7.00
48386,PICHIT AGROMET.,พิจิตร สกษ.,พิจิตร,16.43806,100.29250,26.0,07-28-2019,22:00:00,180,0.00,84,3.7,29.0,1007.20,33.70,0.00,1003.27,8.00
48387,DOI MU SOE AGROMET.,ดอยมูเซอร์ สกษ.,ตาก,16.75000,98.93333,20.0,07-28-2019,22:00:00,210,0.00,93,5.6,21.1,1010.26,23.37,0.00,914.74,6.00
48390,KALASIN,กาฬสินธุ์,กาฬสินธุ์,16.33250,103.58833,25.1,07-28-2019,22:00:00,000,0.00,78,0.0,29.4,1006.80,31.93,0.00,990.94,6.00
48400,NAKHON SAWAN,นครสวรรค์ ,นครสวรรค์,15.67183,100.13236,27.2,07-28-2019,22:00:00,000,1.70,95,0.0,28.0,1008.02,35.99,1.70,1004.00,8.00
48401,TAKFA AGROMET.,ตากฟ้า สกษ.,นครสวรรค์,15.34944,100.53028,23.1,07-28-2019,22:00:00,280,0.00,73,11.1,28.5,1009.08,28.24,0.00,998.43,8.00
48402,CHAINAT AGROMET.,ชัยนาท สกษ.,ชัยนาท,15.15000,100.18333,23.1,07-28-2019,22:00:00,000,0.00,77,0.0,27.5,1008.59,28.26,0.00,1006.67,9.00
48403,CHAIYAPHUM,ชัยภูมิ,ชัยภูมิ,15.80000,102.03333,22.1,07-28-2019,22:00:00,220,0.00,59,3.7,31.1,1007.33,26.65,0.00,986.75,10.00
48404,ROI ET AGROMET.,ร้อยเอ็ด สกษ.,ร้อยเอ็ด,16.07322,103.60844,25.0,07-28-2019,22:00:00,160,0.00,75,11.1,30.0,1006.70,31.72,0.00,989.22,10.00
48405,ROI ET,ร้อยเอ็ด,ร้อยเอ็ด,16.02000,103.74389,24.0,07-28-2019,22:00:00,160,0.00,68,7.4,30.5,1006.48,29.89,0.00,990.52,10.00
48407,UBON RATCHATHANI,อุบลราชธานี (ศูนย์ฯ),อุบลราชธานี,15.25000,104.86667,22.7,07-28-2019,22:00:00,180,0.00,79,9.3,26.5,1008.23,27.51,0.00,994.15,10.00
48408,UBON RATCHATHANI AGROMET.,อุบลราชธานี สกษ.,อุบลราชธานี,15.23914,105.02350,22.6,07-28-2019,22:00:00,170,2.00,82,9.3,26.0,1009.06,27.40,0.00,994.15,8.00
48409,SI SAKET AGROMET.,ศรีสะเกษ,ศรีสะเกษ,15.00000,104.05000,23.7,07-28-2019,22:00:00,170,0.00,85,5.6,26.5,1009.28,29.35,0.00,994.55,7.00
48410,UTHAITHANI,อุทัยธานี,อุทัยธานี,15.37417,100.03889,25.5,07-28-2019,22:00:00,"{'@attributes': {'Unit': 'degree'}, '0': '   '}",8.90,93,0.0,26.8,1007.81,32.66,0.50,1004.78,8.00
48413,WICHIAN BURI,วิเชียรบุรี,เพชรบูรณ์,15.65700,101.10800,24.9,07-28-2019,22:00:00,000,0.00,75,0.0,29.7,1007.21,31.40,0.00,999.33,8.00
48415,AYUTTHAYA,พระนครศรีอยุธยา,พระนครศรีอยุธยา,14.53472,100.72500,24.0,07-28-2019,22:00:00,200,0.00,68,9.3,30.5,1008.23,29.89,0.00,1007.13,8.00
48416,THA TUM,ท่าตูม,สุรินทร์,15.31667,103.68333,22.6,07-28-2019,22:00:00,000,0.00,71,0.0,28.5,1007.92,27.44,0.00,993.29,8.00
48417,NAKORNNAYOK,นครนายก,นครนายก,14.36222,101.39278,20.1,07-28-2019,22:00:00,190,0.00,97,7.4,20.6,1009.02,23.55,0.00,874.22,4.00
48418,BUA CHUM,บัวชุม  ,ลพบุรี,15.26667,101.18736,24.1,07-28-2019,22:00:00,000,0.00,75,0.0,29.0,1008.01,30.01,0.00,1002.16,10.00
48419,PATHUMTHANI,ปทุมธานี สกษ.,ปทุมธานี,14.10000,100.61667,24.4,07-28-2019,22:00:00,230,0.00,68,7.4,31.0,1008.36,30.61,0.00,1007.57,9.00
48420,Samut Prakarn,สมุทรปราการ สกษ.,สมุทรปราการ,13.51667,100.76167,25.8,07-28-2019,22:00:00,210,0.00,78,22.2,30.0,1008.79,33.17,0.00,1008.34,10.00
48421,THONG PHAPHUM,ทองผาภูมิ,กาญจนบุรี,14.74222,98.63639,23.6,07-28-2019,22:00:00,000,0.00,82,0.0,27.0,1010.13,29.21,0.00,998.79,5.00
48425,SUPHAN BURI,สุพรรณบุรี,สุพรรณบุรี,14.47444,100.13889,23.2,07-28-2019,22:00:00,260,0.00,65,3.7,30.5,1008.57,28.50,0.00,1007.57,10.00
48426,LOP BURI,ลพบุรี,ลพบุรี,14.79972,100.64500,23.9,07-28-2019,22:00:00,210,0.00,66,3.7,30.9,1008.06,29.56,0.00,1006.26,7.00
48427,U THONG AGROMET.,อู่ทอง สกษ.,สุพรรณบุรี,14.30361,99.86472,21.8,07-28-2019,22:00:00,000,0.00,63,0.0,29.5,1008.64,26.09,0.00,1007.88,7.00
48429,SUVARNABHUMI AIRPORT,สนามบินสุวรรณภูมิ,สมุทรปราการ,13.68639,100.76750,24.6,07-28-2019,22:00:00,210,7.20,79,13.0,28.6,1008.88,30.90,0.00,1008.18,10.00
48430,PRACHIN BURI,ปราจีนบุรี,ปราจีนบุรี,14.05842,101.36930,25.3,07-28-2019,22:00:00,000,23.00,76,0.0,30.0,1008.38,32.30,0.00,1007.68,7.00
48431,NAKHON RATCHASIMA,นครราชสีมา,นครราชสีมา,14.96830,102.08603,23.5,07-28-2019,22:00:00,250,0.00,65,7.4,30.7,1007.57,28.89,0.00,986.67,10.00
48432,SURIN,สุรินทร์,สุรินทร์,14.88333,103.50000,23.9,07-28-2019,22:00:00,000,0.00,73,0.0,29.2,1007.70,29.57,0.00,991.09,8.00
48433,SURIN AGROMET.,สุรินทร์ สกษ.,สุรินทร์,14.88333,103.45000,23.7,07-28-2019,22:00:00,190,0.00,72,5.6,29.2,1008.55,29.30,0.00,992.22,7.00
48434,CHOK CHAI,โชคชัย,นครราชสีมา,14.71889,102.16861,23.0,07-28-2019,22:00:00,000,0.10,66,0.0,30.1,1007.61,28.01,0.00,985.96,10.00
48435,PAKCHONG AGROMET.,ปากช่อง สกษ.,นครราชสีมา,14.64389,101.33194,22.3,07-28-2019,22:00:00,130,0.00,78,3.7,26.5,1008.78,26.99,0.00,965.40,10.00
48436,NANG RONG,นางรอง,บุรีรัมย์,14.58333,102.80000,21.5,07-28-2019,22:00:00,200,0.01,60,9.3,30.1,1007.14,25.60,0.00,986.79,11.00
48437,BURIRUM,บุรีรัมย์,บุรีรัมย์,15.22575,103.24808,25.9,07-28-2019,22:00:00,140,8.20,100,11.1,25.9,1009.89,33.40,8.20,988.94,8.00
48438,SAMUTSONGKRAM,สมุทรสงคราม,สมุทรสงคราม,13.40778,100.03222,22.6,07-28-2019,22:00:00,270,0.01,65,9.3,29.9,1008.97,27.36,0.00,1008.54,10.00
48439,KABIN BURI,กบินทร์บุรี,ปราจีนบุรี,13.98333,101.70722,25.4,07-28-2019,22:00:00,000,17.80,86,0.0,28.0,1008.23,32.52,0.00,1006.82,8.00
48440,SA KAEW,สระแก้ว,สระแก้ว,13.78889,102.03472,25.6,07-28-2019,22:00:00,000,0.10,88,0.0,27.7,1009.01,32.76,0.00,1004.08,8.00
48450,KANCHANA BURI,กาญจนบุรี,กาญจนบุรี,14.02250,99.53583,21.4,07-28-2019,22:00:00,000,0.00,60,0.0,30.0,1009.17,25.42,0.00,1005.90,12.00
48451,NAKHONPATHOM,นครปฐม,นครปฐม,14.01167,99.97000,22.3,07-28-2019,22:00:00,210,0.00,66,3.7,29.4,1008.84,26.97,0.00,1007.74,10.00
48453,BANG NA AGROMET.,กรุงเทพฯ บางนา สกษ.,กรุงเทพมหานคร,13.66639,100.60611,26.3,07-28-2019,22:00:00,220,0.00,80,9.3,30.2,1009.11,34.18,0.00,1008.81,10.00
48455,BANGKOK METROPOLIS,กรุงเทพมหานคร,กรุงเทพมหานคร,13.72639,100.56000,23.9,07-28-2019,22:00:00,000,0.00,69,0.0,30.2,1009.35,29.58,0.00,1008.86,10.00
48456,DON MUANG AIRPORT,สนามบินดอนเมือง,กรุงเทพมหานคร,13.91917,100.60500,25.0,07-28-2019,22:00:00,210,0.00,74,18.5,30.1,1008.81,31.64,0.00,1007.42,10.00
48458,CHACHOENGSAO,ฉะเชิงเทรา,ฉะเชิงเทรา,13.51556,101.45833,24.8,07-28-2019,22:00:00,230,0.01,84,11.1,27.8,1010.67,31.28,0.00,1002.66,10.00
48459,CHON BURI,ชลบุรี,ชลบุรี,13.36667,100.98333,26.0,07-28-2019,22:00:00,120,2.00,78,7.4,30.2,1008.93,33.59,0.00,1008.65,10.00
48460,KO SICHANG,เกาะสีชัง,ชลบุรี,13.16167,100.80194,24.7,07-28-2019,22:00:00,000,0.00,71,0.0,30.7,1009.05,31.15,0.00,1005.95,10.00
48461,PHATTHAYA,พัทยา,ชลบุรี,12.92000,100.86944,25.4,07-28-2019,22:00:00,180,0.00,79,5.6,29.4,1009.22,32.50,0.00,1002.32,10.00
48462,ARANYA PRATHET,อรัญประเทศ,สระแก้ว,13.70000,102.58333,24.5,07-28-2019,22:00:00,200,0.00,75,5.6,29.5,1008.86,30.72,0.00,1003.30,7.00
48464,RATCHA BURI,ราชบุรี,ราชบุรี,13.48931,99.79239,22.2,07-28-2019,22:00:00,270,1.90,70,7.4,28.3,1009.19,26.81,0.00,1007.93,10.00
48465,PHETCHA BURI,เพชรบุรี,เพชรบุรี,12.99944,100.06056,22.0,07-28-2019,22:00:00,270,0.00,64,18.5,29.5,1009.18,26.35,0.00,1008.75,11.00
48474,NONG PHLUB AGROMET.,หนองพลับ สกษ.,ประจวบคีรีขันธ์,12.58333,99.73333,21.1,07-28-2019,22:00:00,000,0.00,64,0.0,28.6,1009.97,25.01,0.00,997.74,8.00
48475,HUA HIN,หัวหิน,ประจวบคีรีขันธ์,12.58611,99.96250,22.0,07-28-2019,22:00:00,270,0.00,62,9.3,30.0,1009.13,26.48,0.00,1008.42,10.00
48477,SATTAHIP,สัตหีบ,ชลบุรี,12.68333,100.98333,25.0,07-28-2019,22:00:00,180,0.00,75,7.4,30.0,1009.41,31.72,0.00,1006.99,10.00
48478,RAYONG,ระยอง,ระยอง,12.63222,101.34361,25.9,07-28-2019,22:00:00,230,0.00,79,11.1,29.8,1009.28,33.33,0.00,1008.77,10.00
48479,HUAI PONG AGROMET.,ห้วยโป่ง สกษ.,ระยอง,12.73333,101.13333,25.1,07-28-2019,22:00:00,170,0.00,77,5.6,29.5,1009.44,31.85,0.00,1004.31,9.00
48480,CHANTHA BURI,จันทบุรี,จันทบุรี,12.61667,102.11333,25.6,07-28-2019,22:00:00,000,1.10,83,0.0,28.7,1010.12,32.79,0.00,1009.71,7.00
48481,PHLIU  AGROMET.,พลิ้ว สกษ.,จันทบุรี,12.50861,102.17305,25.4,07-28-2019,22:00:00,000,2.70,88,0.0,27.5,1010.32,32.36,0.00,1007.55,8.00
48500,PRACHUAP KHIRIKHAN,ประจวบคีรีขันธ์,ประจวบคีรีขันธ์,11.83333,99.83333,21.6,07-28-2019,22:00:00,000,0.00,64,0.0,29.0,1009.94,25.71,0.00,1009.16,10.00
48501,TRAD,ตราด,ตราด,11.76667,102.88333,25.3,07-28-2019,22:00:00,060,5.30,90,3.7,27.0,1010.17,32.21,0.00,1009.71,7.00
48517,CHUMPHON,ชุมพร,ชุมพร,10.49875,99.18847,23.4,07-28-2019,22:00:00,000,0.01,83,0.0,26.6,1010.85,28.74,0.00,1010.17,10.00
48520,SAWI AGROMET.,สวี สกษ.,ชุมพร,10.33333,99.10000,24.8,07-28-2019,22:00:00,000,0.60,89,0.0,26.8,1010.88,31.27,0.00,1009.35,8.00
48532,RANONG,ระนอง,ระนอง,9.98333,98.61667,23.3,07-28-2019,22:00:00,000,29.20,88,0.0,25.4,1010.08,28.67,0.00,1009.16,10.00
48550,KO SAMUI,เกาะสมุย,สุราษฎร์ธานี,9.46667,100.05000,25.1,07-28-2019,22:00:00,000,1.20,89,0.0,27.1,1011.10,31.85,1.20,1010.41,8.00
48551,SURAT THANI,สุราษฎร์ธานี,สุราษฎร์ธานี,9.13556,99.15194,24.4,07-28-2019,22:00:00,000,0.10,86,0.0,27.0,1011.17,30.56,0.00,1010.37,9.00
48552,NAKHONSI THAMMARAT,นครศรีธรรมราช,นครศรีธรรมราช,8.53778,99.96389,25.7,07-28-2019,22:00:00,000,0.50,90,0.0,27.5,1010.25,32.93,0.00,1009.61,10.00
48554,NAKHONSI THAMMARAT AGROMET.,นครศรีธรรมราช สกษ.,นครศรีธรรมราช,8.35931,100.00000,25.4,07-28-2019,22:00:00,000,0.00,92,0.0,26.8,1010.99,32.38,0.00,1010.58,10.00
48555,SURAT THANI AGROMET.,สุราษฎร์ธานี สกษ.,สุราษฎร์ธานี,9.10000,99.63333,24.0,07-28-2019,22:00:00,000,0.00,82,0.0,27.3,1012.58,29.77,0.00,1008.35,6.00
48556,PHRA SANG,พระแสง สอท.,สุราษฎร์ธานี,8.57022,99.25825,24.4,07-28-2019,22:00:00,000,4.20,93,0.0,25.6,1010.49,30.63,0.00,1008.87,10.00
48557,CHAWANG,ฉวาง,นครศรีธรรมราช,8.43194,99.51194,25.1,07-28-2019,22:00:00,000,12.00,92,0.0,26.5,1011.21,31.79,0.00,1007.72,8.00
