WmoStationNumber,StationNameEnglish,StationNameThai,Province,Latitude,Longitude,Rainfall24Hr,Date,Time,StationPressure,DewPoint,Rainfall,WindSpeed,AirTemperature,RelativeHumidity,VaporPressure,LandVisibility,WindDirection,MeanSeaLevelPressure
48463,LAEM CHABANG,แหลมฉบัง,ชลบุรี,13.07694,100.87583,0.00,09-09-2019,13:00:00,1000.29,24.9,0.00,14.8,31.3,69,31.51,10.00,240,1009.49
48464,RATCHA BURI,ราชบุรี,ราชบุรี,13.48931,99.79239,1.20,09-09-2019,13:00:00,1007.75,24.0,0.01,11.1,32.0,63,29.79,6.00,270,1009.00
48465,PHETCHA BURI,เพชรบุรี,เพชรบุรี,12.99944,100.06056,0.01,09-09-2019,13:00:00,1007.79,26.7,0.01,9.3,32.7,71,35.13,11.00,160,1008.22
48474,NONG PHLUB AGROMET.,หนองพลับ สกษ.,ประจวบคีรีขันธ์,12.58333,99.73333,0.40,09-09-2019,13:00:00,996.32,23.9,0.00,0.0,30.7,67,29.73,8.00,000,1008.44
48475,HUA HIN,หัวหิน,ประจวบคีรีขันธ์,12.58611,99.96250,7.20,09-09-2019,13:00:00,1007.39,23.7,0.00,14.8,33.7,56,29.25,10.00,270,1008.09
48477,SATTAHIP,สัตหีบ,ชลบุรี,12.68333,100.98333,0.00,09-09-2019,13:00:00,1006.25,24.2,0.00,11.1,33.5,59,30.28,10.00,220,1008.64
48478,RAYONG,ระยอง,ระยอง,12.63222,101.34361,0.01,09-09-2019,13:00:00,1008.38,25.6,0.00,9.3,30.5,75,32.75,10.00,230,1008.89
48479,HUAI PONG AGROMET.,ห้วยโป่ง สกษ.,ระยอง,12.73333,101.13333,0.00,09-09-2019,13:00:00,1002.95,23.7,0.00,13.0,31.3,64,29.24,12.00,190,1008.04
48480,CHANTHA BURI,จันทบุรี,จันทบุรี,12.61667,102.11333,0.00,09-09-2019,13:00:00,1008.09,24.3,0.00,7.4,31.6,65,30.41,10.00,220,1008.49
48481,PHLIU  AGROMET.,พลิ้ว สกษ.,จันทบุรี,12.50861,102.17305,0.00,09-09-2019,13:00:00,1006.79,25.6,0.00,0.0,30.5,75,32.75,8.00,000,1009.53
48500,PRACHUAP KHIRIKHAN,ประจวบคีรีขันธ์,ประจวบคีรีขันธ์,11.83333,99.83333,0.00,09-09-2019,13:00:00,1007.84,23.0,0.00,9.3,31.7,60,28.07,10.00,260,1008.62
48501,TRAD,ตราด,ตราด,11.76667,102.88333,36.30,09-09-2019,13:00:00,1008.83,25.6,19.00,11.1,27.0,92,32.77,5.00,270,1009.29
48517,CHUMPHON,ชุมพร,ชุมพร,10.49875,99.18847,0.10,09-09-2019,13:00:00,1008.75,23.3,0.00,5.6,31.0,64,28.65,8.00,090,1009.43
48520,SAWI AGROMET.,สวี สกษ.,ชุมพร,10.33333,99.10000,1.80,09-09-2019,13:00:00,1008.18,23.6,1.60,7.4,26.5,84,29.08,8.00,270,1009.72
48532,RANONG,ระนอง,ระนอง,9.98333,98.61667,71.60,09-09-2019,13:00:00,1009.33,24.4,2.30,3.7,28.0,81,30.56,10.00,040,1010.25
48550,KO SAMUI,เกาะสมุย,สุราษฎร์ธานี,9.46667,100.05000,26.20,09-09-2019,13:00:00,1009.18,24.9,0.00,14.8,30.0,74,31.44,10.00,180,1009.87
48551,SURAT THANI,สุราษฎร์ธานี,สุราษฎร์ธานี,9.13556,99.15194,30.30,09-09-2019,13:00:00,1008.47,25.8,0.00,3.7,32.5,68,33.17,8.00,180,1009.26
48552,NAKHONSI THAMMARAT,นครศรีธรรมราช,นครศรีธรรมราช,8.53778,99.96389,0.00,09-09-2019,13:00:00,1008.37,22.9,0.00,5.6,33.0,55,27.84,10.00,150,1008.99
48554,NAKHONSI THAMMARAT AGROMET.,นครศรีธรรมราช สกษ.,นครศรีธรรมราช,8.35931,100.00000,12.40,09-09-2019,13:00:00,1008.89,25.6,0.00,0.0,33.4,64,32.73,10.00,000,1009.28
48555,SURAT THANI AGROMET.,สุราษฎร์ธานี สกษ.,สุราษฎร์ธานี,9.10000,99.63333,21.10,09-09-2019,13:00:00,1007.25,23.9,0.00,0.0,32.5,61,29.66,7.00,000,1011.40
48556,PHRA SANG,พระแสง สอท.,สุราษฎร์ธานี,8.57022,99.25825,0.00,09-09-2019,13:00:00,1007.72,23.6,0.00,0.0,31.5,63,29.07,10.00,000,1009.31
48557,CHAWANG,ฉวาง,นครศรีธรรมราช,8.43194,99.51194,45.60,09-09-2019,13:00:00,1006.20,26.1,6.90,0.0,31.0,75,33.81,10.00,000,1009.64
48560,PHATTHALUNG AGROMET.,พัทลุง สกษ.,พัทลุง,7.58333,100.16667,0.00,09-09-2019,13:00:00,1008.54,23.5,0.00,9.3,28.3,75,28.95,9.00,180,1009.89
48561,TAKUA PA,ตะกั่วป่า,พังงา,8.68417,98.25222,45.40,09-09-2019,13:00:00,1009.57,25.5,0.00,9.3,29.6,79,32.63,10.00,180,1010.45
48563,KRABI,กระบี่,กระบี่,8.10361,98.97528,16.20,09-09-2019,13:00:00,1006.37,23.4,16.20,0.0,25.0,91,28.74,8.00,000,1009.96
48564,PHUKET,ภูเก็ต,ภูเก็ต,7.88333,98.40000,43.60,09-09-2019,13:00:00,1010.21,24.2,36.40,0.0,25.2,94,30.15,9.00,000,1010.65
