WmoStationNumber,StationNameEnglish,StationNameThai,Province,Latitude,Longitude,MeanSeaLevelPressure,Date,Time,RelativeHumidity,LandVisibility,VaporPressure,WindDirection,Rainfall,StationPressure,MaximumTemperature,Rainfall24Hr,AirTemperature,WindSpeed,DewPoint
48501,TRAD,ตราด,ตราด,11.76667,102.88333,1010.07,10-01-2019,19:00:00,90,7.00,33.21,000,1.50,1009.61,32.8,1.80,27.5,0.0,25.8
48517,CHUMPHON,ชุมพร,ชุมพร,10.49875,99.18847,1009.91,10-01-2019,19:00:00,83,10.00,28.46,000,0.00,1009.23,33.8,0.00,26.3,0.0,23.2
48520,SAWI AGROMET.,สวี สกษ.,ชุมพร,10.33333,99.10000,1009.82,10-01-2019,19:00:00,82,9.00,30.72,000,0.00,1008.30,34.7,0.40,27.8,0.0,24.5
48532,RANONG,ระนอง,ระนอง,9.98333,98.61667,1010.91,10-01-2019,19:00:00,84,10.00,31.56,000,0.00,1009.99,32.6,0.00,27.8,0.0,24.9
48550,KO SAMUI,เกาะสมุย,สุราษฎร์ธานี,9.46667,100.05000,1010.21,10-01-2019,19:00:00,79,10.00,31.29,000,0.00,1009.52,31.9,0.00,28.8,0.0,24.8
48551,SURAT THANI,สุราษฎร์ธานี,สุราษฎร์ธานี,9.13556,99.15194,1010.60,10-01-2019,19:00:00,87,7.00,28.51,330,2.50,1009.79,34.8,2.50,25.6,3.7,23.2
48552,NAKHONSI THAMMARAT,นครศรีธรรมราช,นครศรีธรรมราช,8.53778,99.96389,1010.20,10-01-2019,19:00:00,78,10.00,30.15,000,0.00,1009.56,33.1,0.00,28.5,0.0,24.2
48554,NAKHONSI THAMMARAT AGROMET.,นครศรีธรรมราช สกษ.,นครศรีธรรมราช,8.35931,100.00000,1010.62,10-01-2019,19:00:00,87,10.00,31.49,000,0.00,1010.22,34.4,0.00,27.2,0.0,24.9
48555,SURAT THANI AGROMET.,สุราษฎร์ธานี สกษ.,สุราษฎร์ธานี,9.10000,99.63333,1011.96,10-01-2019,19:00:00,90,5.00,33.21,000,0.00,1007.74,33.5,2.80,27.5,0.0,25.8
48556,PHRA SANG,พระแสง สอท.,สุราษฎร์ธานี,8.57022,99.25825,1010.68,10-01-2019,19:00:00,98,10.00,29.84,000,9.00,1009.05,34.0,9.20,24.3,0.0,24.0
