WmoStationNumber,StationNameEnglish,StationNameThai,Province,Latitude,Longitude,MinimumTemperature,Date,Time,MeanSeaLevelPressure,WindSpeed,WindDirection,VaporPressure,Rainfall,StationPressure,RelativeHumidity,LandVisibility,DewPoint,Rainfall24Hr,AirTemperature
48300,MAE HONG SON,แม่ฮ่องสอน,แม่ฮ่องสอน,19.29897,97.97578,21.8,09-28-2019,07:00:00,1015.64,0.0,000,25.76,0.00,984.13,93,8.00,21.6,6.60,22.8
48302,DOI ANG KANG,ดอยอ่างขาง,เชียงใหม่,19.93139,99.04833,15.9,09-28-2019,07:00:00,1014.04,7.4,110,17.77,0.00,850.25,98,8.00,15.6,0.00,16.0
48303,CHIANG RAI,เชียงราย,เชียงราย,19.96139,99.88139,20.5,09-28-2019,07:00:00,1017.05,3.7,230,22.63,0.00,972.31,92,2.00,19.5,0.00,20.9
48304,CHAING RAI AGROMET.,เชียงราย สกษ.,เชียงราย,19.87083,99.78278,18.5,09-28-2019,07:00:00,1016.79,0.0,000,22.24,0.00,969.97,95,6.00,19.2,0.00,20.0
48307,THUNG CHANG,ทุ่งช้าง,น่าน,19.41194,100.88353,19.9,09-28-2019,07:00:00,1017.16,0.0,000,23.36,0.00,978.43,100,4.00,20.0,2.00,20.0
48310,PHAYAO,พะเยา,พะเยา,19.13333,99.90000,21.5,09-28-2019,07:00:00,1017.59,0.0,000,26.83,0.00,971.64,96,8.00,22.2,1.80,23.0
48315,THA WANGPHA,ท่าวังผา,น่าน,19.11056,100.80250,21.6,09-28-2019,07:00:00,1017.07,0.0,000,25.45,0.00,989.71,96,.90,21.4,7.80,22.0
48324,THOEN,เถิน,ลำปาง,17.63661,99.24475,22.7,09-28-2019,07:00:00,1015.68,0.0,000,27.24,0.00,993.48,98,.50,22.5,11.70,22.8
48325,MAE SARIANG,แม่สะเรียง,แม่ฮ่องสอน,18.16667,97.93333,21.1,09-28-2019,07:00:00,1015.48,0.0,000,27.83,0.00,990.93,97,6.00,22.8,0.00,23.3
48327,CHIANG MAI,เชียงใหม่,เชียงใหม่,18.79000,98.97694,23.3,09-28-2019,07:00:00,1016.09,0.0,000,25.92,0.00,980.98,90,10.00,21.7,4.90,23.5
48328,LAMPANG,ลำปาง,ลำปาง,18.28333,99.51667,22.5,09-28-2019,07:00:00,1016.60,0.0,000,27.07,0.00,988.48,98,3.00,22.4,0.00,22.7
48329,LAMPHUN,ลำพูน,ลำพูน,18.56722,99.03389,23.5,09-28-2019,07:00:00,1015.96,0.0,000,27.66,0.00,981.81,96,7.00,22.8,1.70,23.5
48330,PHRAE,แพร่,แพร่,18.16667,100.16667,22.5,09-28-2019,07:00:00,1015.30,0.0,000,26.33,0.00,996.42,94,3.00,21.9,0.00,23.0
48331,NAN,น่าน,น่าน,18.77972,100.77778,21.6,09-28-2019,07:00:00,1016.41,0.0,000,25.21,0.00,993.04,95,10.00,21.2,4.20,22.0
48333,NAN AGROMET.,น่าน สกษ.,น่าน,18.86667,100.75000,21.0,09-28-2019,07:00:00,1016.74,0.0,000,24.21,0.00,986.09,94,7.00,20.6,4.60,21.5
48334,LAMPANG AGROMET.,ลำปาง สกษ.,ลำปาง,18.31667,99.28333,21.6,09-28-2019,07:00:00,1015.98,0.0,000,24.98,0.00,979.67,95,5.00,21.1,1.20,22.0
48350,LOEI AGROMET.,เลย สกษ.,เลย,17.40000,101.73333,21.1,09-28-2019,07:00:00,1015.49,0.0,000,24.68,0.00,985.02,98,4.00,20.9,0.00,21.2
48351,UTTARADIT,อุตรดิตถ์,อุตรดิตถ์,17.61667,100.10000,24.4,09-28-2019,07:00:00,1014.86,0.0,000,26.84,0.00,1007.44,87,8.00,22.3,0.60,24.5
48352,NONG KHAI,หนองคาย,หนองคาย,17.86717,102.73303,24.4,09-28-2019,07:00:00,1015.29,3.7,350,26.68,0.00,995.09,86,3.00,22.2,0.00,24.7
48353,LOEI,เลย,เลย,17.45000,101.73333,22.4,09-28-2019,07:00:00,1015.95,3.7,320,24.01,0.00,986.66,88,3.00,20.4,0.00,22.6
48354,UDON THANI,อุดรธานี,อุดรธานี,17.38333,102.80000,23.7,09-28-2019,07:00:00,1015.71,0.0,000,27.17,0.00,995.19,91,4.00,22.5,0.00,24.1
48355,SAKON NAKHON AGROMET.,สกลนคร สกษ.,สกลนคร,17.12503,104.06100,21.3,09-28-2019,07:00:00,1016.34,0.0,000,24.19,0.00,994.05,93,6.00,20.6,0.00,21.8
48356,SAKON NAKHON,สกลนคร,สกลนคร,17.15000,104.13333,21.7,09-28-2019,07:00:00,1015.55,0.0,000,24.72,0.00,995.62,90,6.00,20.9,0.00,22.6
48357,NAKHON PHANOM,นครพนม,นครพนม,17.41083,104.78250,21.5,09-28-2019,07:00:00,1016.05,0.0,000,23.87,0.00,998.89,89,5.00,20.3,0.00,22.2
48358,NAKHON PHANOM AGROMET.,นครพนม สกษ.,นครพนม,17.44306,104.77361,19.3,09-28-2019,07:00:00,1016.27,0.0,000,25.21,0.00,998.42,95,5.00,21.2,0.00,22.0
48360,NONG BUA LAM PHU,หนองบัวลำภู,หนองบัวลำภู,17.23250,102.42944,22.8,09-28-2019,07:00:00,1014.48,7.4,310,26.74,0.00,988.20,95,7.00,22.2,0.00,23.1
48372,SUKHOTHAI*,สุโขทัย,สุโขทัย,17.10611,99.80000,24.0,09-28-2019,07:00:00,1014.86,0.0,000,30.83,0.00,1008.99,99,4.00,24.5,0.00,24.7
48373,SI SAMRONG AGROMET.,ศรีสำโรง สกษ.,สุโขทัย,17.16136,99.86167,24.0,09-28-2019,07:00:00,1014.28,0.0,000,30.46,0.00,1008.00,99,10.00,24.3,1.00,24.5
48374,LOM SAK,หล่มสัก,เพชรบูรณ์,16.77361,101.24944,22.0,09-28-2019,07:00:00,1015.80,0.0,000,24.39,0.00,999.00,87,12.00,20.7,0.00,23.0
48375,MAE SOT,แม่สอด,ตาก,16.65917,98.55083,21.7,09-28-2019,07:00:00,1013.55,0.0,000,26.01,0.00,990.75,95,6.00,21.7,6.60,22.5
48376,TAK,ตาก,ตาก,16.87833,99.14333,23.3,09-28-2019,07:00:00,1015.64,0.0,000,27.76,0.00,1000.98,93,6.00,22.8,4.80,24.0
48377,BHUMIBOL DAM,เขื่อนภูมิพล,ตาก,17.24389,99.00250,22.8,09-28-2019,07:00:00,1015.53,0.0,000,27.16,0.00,998.82,94,8.00,22.4,0.00,23.5
48378,PHITSANULOK,พิษณุโลก,พิษณุโลก,16.79481,100.27930,24.2,09-28-2019,07:00:00,1014.63,3.7,010,29.08,0.00,1009.32,92,10.00,23.6,6.00,24.9
48379,PHETCHABUN,เพชรบูรณ์,เพชรบูรณ์,16.43333,101.15000,22.8,09-28-2019,07:00:00,1013.66,0.0,000,25.19,0.00,1000.22,87,8.00,21.2,2.20,23.5
48380,KAMPHAENG PHET,กำแพงเพชร,กำแพงเพชร,16.48681,99.52697,24.1,09-28-2019,07:00:00,1014.66,0.0,000,28.89,0.00,1005.18,94,6.00,23.5,5.70,24.5
48381,KHON KAEN,ขอนแก่น,ขอนแก่น,16.46111,102.78972,23.5,09-28-2019,07:00:00,1015.06,0.0,000,26.76,0.00,993.03,87,7.00,22.2,0.00,24.6
48382,MAHASARAKHAM,มหาสารคาม,มหาสารคาม,16.24722,103.06805,23.5,09-28-2019,07:00:00,1015.68,3.7,040,27.43,0.00,997.88,90,10.00,22.6,0.00,24.4
48383,MUKDAHAN,มุกดาหาร,มุกดาหาร,16.54139,104.72889,22.5,09-28-2019,07:00:00,1014.78,0.0,000,24.06,0.00,998.66,81,10.00,20.5,0.00,24.0
48384,THA PHRA AGROMET.,ท่าพระ สกษ.,ขอนแก่น,16.33333,102.81667,22.1,09-28-2019,07:00:00,1014.74,1.9,340,25.92,0.00,995.47,91,6.00,21.7,0.00,23.2
48385,UMPHANG,อุ้มผาง,ตาก,16.02472,98.86444,21.0,09-28-2019,07:00:00,1014.62,0.0,000,24.19,0.00,962.35,93,.80,20.6,0.00,21.8
48386,PICHIT AGROMET.,พิจิตร สกษ.,พิจิตร,16.43806,100.29250,24.0,09-28-2019,07:00:00,1014.37,1.9,300,30.15,0.00,1010.36,94,3.00,24.2,0.00,25.2
48387,DOI MU SOE AGROMET.,ดอยมูเซอร์ สกษ.,ตาก,16.75000,98.93333,18.9,09-28-2019,07:00:00,1015.54,0.0,000,22.73,0.00,919.34,94,5.00,19.6,0.80,20.5
