WmoStationNumber,StationNameEnglish,StationNameThai,Province,Latitude,Longitude,Date,Time,WindDirection,MeanSeaLevelPressure,RelativeHumidity,DewPoint,AirTemperature,LandVisibility,VaporPressure,Rainfall24Hr,StationPressure,WindSpeed,Rainfall
48300,MAE HONG SON,แม่ฮ่องสอน,แม่ฮ่องสอน,19.29897,97.97578,07-18-2019,10:00:00,000,1003.62,60,22.9,31.8,12.00,27.99,0.40,973.39,0.0,0.00
48302,DOI ANG KANG,ดอยอ่างขาง,เชียงใหม่,19.93139,99.04833,07-18-2019,10:00:00,270,1002.45,86,19.1,21.5,6.00,22.13,1.60,843.24,5.6,0.00
48303,CHIANG RAI,เชียงราย,เชียงราย,19.96139,99.88139,07-18-2019,10:00:00,210,1001.90,58,23.4,32.6,15.00,28.73,1.10,959.47,9.3,0.00
48304,CHAING RAI AGROMET.,เชียงราย สกษ.,เชียงราย,19.87083,99.78278,07-18-2019,10:00:00,040,1001.95,54,22.9,33.3,15.00,27.87,0.00,957.76,5.6,0.00
48307,THUNG CHANG,ทุ่งช้าง,น่าน,19.41194,100.88353,07-18-2019,10:00:00,000,1004.91,74,23.4,28.5,12.00,28.78,0.00,967.69,0.0,0.00
48310,PHAYAO,พะเยา,พะเยา,19.13333,99.90000,07-18-2019,10:00:00,210,1001.91,55,22.9,33.2,11.00,27.95,0.00,958.14,5.6,0.00
48315,THA WANGPHA,ท่าวังผา,น่าน,19.11056,100.80250,07-18-2019,10:00:00,000,1003.07,58,24.5,34.0,12.00,30.75,0.01,977.13,0.0,0.00
48324,THOEN,เถิน,ลำปาง,17.63661,99.24475,07-18-2019,10:00:00,210,1003.28,54,22.2,32.6,13.00,26.78,0.01,982.04,5.6,0.00
48325,MAE SARIANG,แม่สะเรียง,แม่ฮ่องสอน,18.16667,97.93333,07-18-2019,10:00:00,000,1004.86,74,23.4,28.5,8.00,28.78,0.00,980.99,0.0,0.00
48327,CHIANG MAI,เชียงใหม่,เชียงใหม่,18.79000,98.97694,07-18-2019,10:00:00,000,1002.59,54,22.6,33.2,10.00,27.39,0.00,969.02,0.0,0.00
48328,LAMPANG,ลำปาง,ลำปาง,18.28333,99.51667,07-18-2019,10:00:00,000,1003.04,57,22.5,32.0,10.00,27.27,0.00,976.13,0.0,0.00
48329,LAMPHUN,ลำพูน,ลำพูน,18.56722,99.03389,07-18-2019,10:00:00,000,1002.62,57,23.3,33.0,12.00,28.68,0.00,969.94,0.0,0.00
48330,PHRAE,แพร่,แพร่,18.16667,100.16667,07-18-2019,10:00:00,270,1002.76,57,23.8,33.4,12.00,29.50,0.00,984.75,1.9,0.00
48331,NAN,น่าน,น่าน,18.77972,100.77778,07-18-2019,10:00:00,000,1002.98,61,24.8,33.3,10.00,31.33,0.00,980.76,0.0,0.00
48333,NAN AGROMET.,น่าน สกษ.,น่าน,18.86667,100.75000,07-18-2019,10:00:00,000,1002.77,60,23.3,32.1,10.00,28.58,0.00,973.57,0.0,0.00
48334,LAMPANG AGROMET.,ลำปาง สกษ.,ลำปาง,18.31667,99.28333,07-18-2019,10:00:00,000,1002.71,54,22.8,33.2,8.00,27.67,0.00,968.16,0.0,0.00
48350,LOEI AGROMET.,เลย สกษ.,เลย,17.40000,101.73333,07-18-2019,10:00:00,140,1002.44,68,26.0,32.7,14.00,33.61,0.00,973.47,5.6,0.00
48351,UTTARADIT,อุตรดิตถ์,อุตรดิตถ์,17.61667,100.10000,07-18-2019,10:00:00,000,1003.52,56,23.6,33.5,11.00,29.13,0.00,996.40,0.0,0.00
48352,NONG KHAI,หนองคาย,หนองคาย,17.86717,102.73303,07-18-2019,10:00:00,170,1002.79,70,26.8,33.0,14.00,35.19,0.00,983.37,7.4,0.00
48353,LOEI,เลย,เลย,17.45000,101.73333,07-18-2019,10:00:00,100,1003.10,57,22.8,32.5,15.00,27.69,0.01,975.10,3.7,0.00
