WmoStationNumber,StationNameEnglish,StationNameThai,Province,Latitude,Longitude,Rainfall24Hr,Date,Time,WindSpeed,StationPressure,AirTemperature,DewPoint,VaporPressure,MeanSeaLevelPressure,LandVisibility,RelativeHumidity,Rainfall,WindDirection
48300,MAE HONG SON,แม่ฮ่องสอน,แม่ฮ่องสอน,19.29897,97.97578,0.00,10-10-2019,10:00:00,0.0,982.32,28.8,22.5,27.20,1013.14,12.00,69,0.00,000
48302,DOI ANG KANG,ดอยอ่างขาง,เชียงใหม่,19.93139,99.04833,0.00,10-10-2019,10:00:00,0.0,850.19,20.2,18.3,20.97,1011.48,8.00,89,0.00,000
48303,CHIANG RAI,เชียงราย,เชียงราย,19.96139,99.88139,0.00,10-10-2019,10:00:00,9.3,969.47,29.2,22.4,27.13,1012.84,10.00,67,0.00,180
48304,CHAING RAI AGROMET.,เชียงราย สกษ.,เชียงราย,19.87083,99.78278,0.00,10-10-2019,10:00:00,0.0,967.37,28.7,22.5,27.28,1012.69,15.00,69,0.00,000
48307,THUNG CHANG,ทุ่งช้าง,น่าน,19.41194,100.88353,0.00,10-10-2019,10:00:00,0.0,975.89,29.4,24.2,30.24,1013.30,12.00,74,0.00,000
48310,PHAYAO,พะเยา,พะเยา,19.13333,99.90000,0.00,10-10-2019,10:00:00,5.6,968.37,28.8,24.2,30.18,1013.26,8.00,76,0.00,230
48315,THA WANGPHA,ท่าวังผา,น่าน,19.11056,100.80250,0.00,10-10-2019,10:00:00,3.7,987.10,28.8,23.3,28.54,1013.76,10.00,72,0.00,160
48324,THOEN,เถิน,ลำปาง,17.63661,99.24475,1.40,10-10-2019,10:00:00,1.9,991.31,29.5,25.1,31.85,1012.97,6.00,77,0.00,090
48325,MAE SARIANG,แม่สะเรียง,แม่ฮ่องสอน,18.16667,97.93333,10.10,10-10-2019,10:00:00,0.0,990.13,26.0,22.3,26.88,1014.43,8.00,80,0.00,000
48327,CHIANG MAI,เชียงใหม่,เชียงใหม่,18.79000,98.97694,0.00,10-10-2019,10:00:00,3.7,978.62,30.3,23.0,28.12,1012.85,10.00,65,0.00,020
48328,LAMPANG,ลำปาง,ลำปาง,18.28333,99.51667,0.00,10-10-2019,10:00:00,0.0,985.93,29.5,24.5,30.72,1013.33,10.00,75,0.00,000
48329,LAMPHUN,ลำพูน,ลำพูน,18.56722,99.03389,0.00,10-10-2019,10:00:00,0.0,979.67,29.2,23.9,29.57,1013.09,10.00,73,0.00,000
48330,PHRAE,แพร่,แพร่,18.16667,100.16667,0.00,10-10-2019,10:00:00,1.9,994.51,31.0,24.1,30.05,1012.85,7.00,67,0.00,270
48331,NAN,น่าน,น่าน,18.77972,100.77778,0.00,10-10-2019,10:00:00,0.0,990.59,30.3,23.2,28.39,1013.26,10.00,66,0.00,000
48333,NAN AGROMET.,น่าน สกษ.,น่าน,18.86667,100.75000,0.00,10-10-2019,10:00:00,0.0,983.67,28.4,24.4,30.51,1013.54,12.00,79,0.00,000
48334,LAMPANG AGROMET.,ลำปาง สกษ.,ลำปาง,18.31667,99.28333,0.00,10-10-2019,10:00:00,0.0,977.43,29.2,24.2,30.13,1012.78,8.00,74,0.00,000
48350,LOEI AGROMET.,เลย สกษ.,เลย,17.40000,101.73333,0.00,10-10-2019,10:00:00,3.7,983.36,27.9,24.9,31.47,1013.10,10.00,84,0.00,320
48351,UTTARADIT,อุตรดิตถ์,อุตรดิตถ์,17.61667,100.10000,0.00,10-10-2019,10:00:00,0.0,1005.81,30.6,24.3,30.38,1013.07,9.00,69,0.00,000
48352,NONG KHAI,หนองคาย,หนองคาย,17.86717,102.73303,0.00,10-10-2019,10:00:00,9.3,993.66,31.0,23.8,29.48,1013.41,8.00,66,0.00,100
48353,LOEI,เลย,เลย,17.45000,101.73333,0.50,10-10-2019,10:00:00,5.6,984.64,26.5,23.4,28.82,1013.49,8.00,83,0.50,360
48354,UDON THANI,อุดรธานี,อุดรธานี,17.38333,102.80000,0.00,10-10-2019,10:00:00,5.6,993.41,31.0,21.5,25.65,1013.43,15.00,57,0.00,050
48355,SAKON NAKHON AGROMET.,สกลนคร สกษ.,สกลนคร,17.12503,104.06100,0.00,10-10-2019,10:00:00,9.3,991.34,30.6,22.2,26.79,1012.92,12.00,61,0.00,100
48356,SAKON NAKHON,สกลนคร,สกลนคร,17.15000,104.13333,0.00,10-10-2019,10:00:00,5.6,993.54,30.5,21.9,26.33,1012.90,15.00,60,0.00,080
48357,NAKHON PHANOM,นครพนม,นครพนม,17.41083,104.78250,0.00,10-10-2019,10:00:00,3.7,996.28,31.9,22.1,26.53,1012.85,11.00,56,0.00,090
48358,NAKHON PHANOM AGROMET.,นครพนม สกษ.,นครพนม,17.44306,104.77361,0.00,10-10-2019,10:00:00,3.7,995.79,30.6,20.7,24.40,1013.09,12.00,56,0.00,080
48360,NONG BUA LAM PHU,หนองบัวลำภู,หนองบัวลำภู,17.23250,102.42944,0.00,10-10-2019,10:00:00,3.7,986.56,30.5,23.2,28.50,1012.16,11.00,65,0.00,100
48372,SUKHOTHAI*,สุโขทัย,สุโขทัย,17.10611,99.80000,0.00,10-10-2019,10:00:00,3.7,1006.89,30.7,27.0,35.56,1012.64,8.00,81,0.00,070
48373,SI SAMRONG AGROMET.,ศรีสำโรง สกษ.,สุโขทัย,17.16136,99.86167,0.00,10-10-2019,10:00:00,0.0,1006.89,31.0,25.4,32.34,1013.03,8.00,72,0.00,000
48374,LOM SAK,หล่มสัก,เพชรบูรณ์,16.77361,101.24944,3.50,10-10-2019,10:00:00,0.0,997.22,31.0,23.5,28.92,1013.54,10.00,64,0.00,000
48375,MAE SOT,แม่สอด,ตาก,16.65917,98.55083,0.20,10-10-2019,10:00:00,0.0,989.64,28.7,23.3,28.62,1011.94,10.00,73,0.00,000
48376,TAK,ตาก,ตาก,16.87833,99.14333,0.00,10-10-2019,10:00:00,5.6,999.24,30.6,24.6,30.94,1013.54,8.00,70,0.00,040
48377,BHUMIBOL DAM,เขื่อนภูมิพล,ตาก,17.24389,99.00250,4.50,10-10-2019,10:00:00,0.0,996.59,30.6,24.6,30.94,1012.87,8.00,70,0.00,000
48378,PHITSANULOK,พิษณุโลก,พิษณุโลก,16.79481,100.27930,1.90,10-10-2019,10:00:00,9.3,1007.77,31.2,24.5,30.73,1012.96,12.00,68,0.00,040
48379,PHETCHABUN,เพชรบูรณ์,เพชรบูรณ์,16.43333,101.15000,0.40,10-10-2019,10:00:00,5.6,998.49,31.0,24.6,30.90,1011.57,12.00,69,0.00,090
48380,KAMPHAENG PHET,กำแพงเพชร,กำแพงเพชร,16.48681,99.52697,0.00,10-10-2019,10:00:00,3.7,1003.61,30.7,26.2,34.06,1012.88,12.00,77,0.00,050
48381,KHON KAEN,ขอนแก่น,ขอนแก่น,16.46111,102.78972,0.00,10-10-2019,10:00:00,3.7,991.24,30.5,22.4,27.14,1012.79,10.00,62,0.00,120
48382,MAHASARAKHAM,มหาสารคาม,มหาสารคาม,16.24722,103.06805,0.00,10-10-2019,10:00:00,0.0,995.33,31.0,24.6,30.90,1012.70,12.00,69,0.00,000
48383,MUKDAHAN,มุกดาหาร,มุกดาหาร,16.54139,104.72889,0.00,10-10-2019,10:00:00,5.6,996.81,30.5,23.2,28.50,1012.54,12.00,65,0.00,090
48384,THA PHRA AGROMET.,ท่าพระ สกษ.,ขอนแก่น,16.33333,102.81667,0.01,10-10-2019,10:00:00,3.7,993.40,30.0,23.3,28.64,1012.19,10.00,68,0.00,030
48385,UMPHANG,อุ้มผาง,ตาก,16.02472,98.86444,0.50,10-10-2019,10:00:00,0.0,963.74,27.0,21.6,25.81,1015.15,10.00,72,0.00,000
48386,PICHIT AGROMET.,พิจิตร สกษ.,พิจิตร,16.43806,100.29250,2.50,10-10-2019,10:00:00,0.0,1008.94,28.0,25.0,31.67,1012.91,6.00,84,0.10,000
48387,DOI MU SOE AGROMET.,ดอยมูเซอร์ สกษ.,ตาก,16.75000,98.93333,0.00,10-10-2019,10:00:00,9.3,918.43,24.7,21.4,25.43,1013.13,8.00,82,0.00,160
