WmoStationNumber,StationNameEnglish,StationNameThai,Province,Latitude,Longitude,StationPressure,Date,Time,DewPoint,MeanSeaLevelPressure,VaporPressure,Rainfall24Hr,RelativeHumidity,Rainfall,AirTemperature,LandVisibility,WindSpeed,WindDirection
48405,ROI ET,ร้อยเอ็ด,ร้อยเอ็ด,16.02000,103.74389,991.75,07-09-2019,10:00:00,23.2,1007.64,28.41,0.00,59,0.00,32.3,10.00,14.8,230
48407,UBON RATCHATHANI,อุบลราชธานี (ศูนย์ฯ),อุบลราชธานี,15.25000,104.86667,994.93,07-09-2019,10:00:00,24.0,1008.81,29.76,2.80,66,0.00,31.0,10.00,9.3,240
48408,UBON RATCHATHANI AGROMET.,อุบลราชธานี สกษ.,อุบลราชธานี,15.23914,105.02350,995.07,07-09-2019,10:00:00,24.9,1009.78,31.48,7.80,73,0.00,30.3,10.00,9.3,200
48409,SI SAKET AGROMET.,ศรีสะเกษ,ศรีสะเกษ,15.00000,104.05000,995.16,07-09-2019,10:00:00,23.5,1009.62,28.94,0.00,61,0.00,32.0,10.00,18.5,290
48410,UTHAITHANI,อุทัยธานี,อุทัยธานี,15.37417,100.03889,1005.83,07-09-2019,10:00:00,22.6,1008.79,27.33,0.00,56,0.00,32.6,10.00,0.0,"{'0': '   ', '@attributes': {'Unit': 'degree'}}"
48413,WICHIAN BURI,วิเชียรบุรี,เพชรบูรณ์,15.65700,101.10800,1001.43,07-09-2019,10:00:00,23.3,1009.30,28.62,26.60,65,0.00,30.7,10.00,7.4,200
48415,AYUTTHAYA,พระนครศรีอยุธยา,พระนครศรีอยุธยา,14.53472,100.72500,1009.19,07-09-2019,10:00:00,23.5,1010.28,28.91,0.00,62,0.00,31.7,8.00,16.7,210
48416,THA TUM,ท่าตูม,สุรินทร์,15.31667,103.68333,994.61,07-09-2019,10:00:00,24.4,1009.07,30.61,0.00,63,0.00,32.4,10.00,0.0,000
48417,NAKORNNAYOK,นครนายก,นครนายก,{'@attributes': {'Unit': 'decimal degree'}},{'@attributes': {'Unit': 'decimal degree'}},875.14,07-09-2019,10:00:00,21.3,1009.50,25.38,4.00,97,0.00,21.8,8.00,9.3,290
48418,BUA CHUM,บัวชุม  ,ลพบุรี,15.26667,101.18736,1003.91,07-09-2019,10:00:00,25.0,1009.71,31.77,0.00,68,0.00,31.7,10.00,3.7,220
48419,PATHUMTHANI,ปทุมธานี สกษ.,ปทุมธานี,14.10000,100.61667,1009.73,07-09-2019,10:00:00,26.1,1010.52,33.80,0.00,66,0.00,33.2,8.00,3.7,150
48420,Samut Prakarn,สมุทรปราการ สกษ.,สมุทรปราการ,13.51667,100.76167,1009.68,07-09-2019,10:00:00,25.0,1010.13,31.76,0.00,71,0.00,31.0,10.00,16.7,230
48421,THONG PHAPHUM,ทองผาภูมิ,กาญจนบุรี,14.74222,98.63639,1000.95,07-09-2019,10:00:00,24.1,1012.39,29.95,10.80,96,7.00,24.8,3.00,0.0,000
48425,SUPHAN BURI,สุพรรณบุรี,สุพรรณบุรี,14.47444,100.13889,1009.42,07-09-2019,10:00:00,24.1,1010.41,30.03,0.00,62,0.00,32.4,12.00,5.6,210
48426,LOP BURI,ลพบุรี,ลพบุรี,14.79972,100.64500,1008.36,07-09-2019,10:00:00,23.5,1010.16,28.87,0.00,63,0.00,31.4,10.00,9.3,160
48427,U THONG AGROMET.,อู่ทอง สกษ.,สุพรรณบุรี,14.30361,99.86472,1009.50,07-09-2019,10:00:00,23.1,1010.26,28.17,0.90,63,0.00,30.9,8.00,0.0,000
