WmoStationNumber,StationNameEnglish,StationNameThai,Province,Latitude,Longitude,VaporPressure,Date,Time,RelativeHumidity,WindDirection,AirTemperature,WindSpeed,Rainfall24Hr,MeanSeaLevelPressure,LandVisibility,Rainfall,StationPressure,DewPoint
48382,MAHASARAKHAM,มหาสารคาม,มหาสารคาม,16.24722,103.06805,31.52,08-25-2019,13:00:00,66,250,32.0,14.8,7.20,1003.14,12.00,0.00,985.99,24.9
48383,MUKDAHAN,มุกดาหาร,มุกดาหาร,16.54139,104.72889,31.95,08-25-2019,13:00:00,85,000,28.0,0.0,12.70,1004.80,12.00,0.01,989.06,25.1
48384,THA PHRA AGROMET.,ท่าพระ สกษ.,ขอนแก่น,16.33333,102.81667,31.51,08-25-2019,13:00:00,72,000,30.6,0.0,3.10,1003.32,10.00,0.01,984.73,24.9
48385,UMPHANG,อุ้มผาง,ตาก,16.02472,98.86444,26.78,08-25-2019,13:00:00,72,000,27.7,0.0,1.50,1004.54,11.00,0.00,953.78,22.2
48386,PICHIT AGROMET.,พิจิตร สกษ.,พิจิตร,16.43806,100.29250,31.93,08-25-2019,13:00:00,72,200,30.8,11.1,17.70,1004.83,12.00,0.00,1000.93,25.1
48387,DOI MU SOE AGROMET.,ดอยมูเซอร์ สกษ.,ตาก,16.75000,98.93333,25.28,08-25-2019,13:00:00,76,270,25.8,7.4,3.10,1004.90,8.00,0.00,911.30,21.3
48390,KALASIN,กาฬสินธุ์,กาฬสินธุ์,16.33250,103.58833,32.46,08-25-2019,13:00:00,77,240,29.8,3.7,8.10,1004.49,8.00,0.00,988.70,25.4
48400,NAKHON SAWAN,นครสวรรค์ ,นครสวรรค์,15.67183,100.13236,32.27,08-25-2019,13:00:00,69,220,31.8,5.6,4.30,1005.31,10.00,0.00,1001.34,25.3
48401,TAKFA AGROMET.,ตากฟ้า สกษ.,นครสวรรค์,15.34944,100.53028,30.49,08-25-2019,13:00:00,66,000,31.5,0.0,18.60,1006.14,10.00,0.00,995.63,24.4
48402,CHAINAT AGROMET.,ชัยนาท สกษ.,ชัยนาท,15.15000,100.18333,29.48,08-25-2019,13:00:00,66,150,31.0,3.7,3.40,1005.69,10.00,0.00,1003.79,23.8
48403,CHAIYAPHUM,ชัยภูมิ,ชัยภูมิ,15.80000,102.03333,28.70,08-25-2019,13:00:00,65,250,30.6,9.3,7.60,1004.47,12.00,0.01,983.91,23.4
48404,ROI ET AGROMET.,ร้อยเอ็ด สกษ.,ร้อยเอ็ด,16.07322,103.60844,29.85,08-25-2019,13:00:00,74,270,29.2,11.1,34.30,1004.10,10.00,0.00,986.62,24.0
48405,ROI ET,ร้อยเอ็ด,ร้อยเอ็ด,16.02000,103.74389,31.85,08-25-2019,13:00:00,77,320,29.5,9.3,36.30,1004.14,10.00,0.00,988.16,25.1
48407,UBON RATCHATHANI,อุบลราชธานี (ศูนย์ฯ),อุบลราชธานี,15.25000,104.86667,30.88,08-25-2019,13:00:00,76,250,29.3,9.3,20.40,1005.16,10.00,0.01,991.26,24.6
48408,UBON RATCHATHANI AGROMET.,อุบลราชธานี สกษ.,อุบลราชธานี,15.23914,105.02350,32.42,08-25-2019,13:00:00,79,240,29.5,3.7,12.90,1005.39,10.00,0.01,990.71,25.4
48409,SI SAKET AGROMET.,ศรีสะเกษ,ศรีสะเกษ,15.00000,104.05000,33.58,08-25-2019,13:00:00,81,240,29.5,9.3,38.50,1006.06,5.00,0.01,991.52,26.0
48410,UTHAITHANI,อุทัยธานี,อุทัยธานี,15.37417,100.03889,32.15,08-25-2019,13:00:00,66,"{'0': '   ', '@attributes': {'Unit': 'degree'}}",32.3,0.0,3.50,1005.10,10.00,0.00,1002.14,25.2
48413,WICHIAN BURI,วิเชียรบุรี,เพชรบูรณ์,15.65700,101.10800,32.84,08-25-2019,13:00:00,73,200,31.1,5.6,161.00,1004.73,10.00,0.00,996.91,25.6
48415,AYUTTHAYA,พระนครศรีอยุธยา,พระนครศรีอยุธยา,14.53472,100.72500,30.24,08-25-2019,13:00:00,62,230,32.5,7.4,1.20,1006.53,8.00,0.00,1005.44,24.2
48416,THA TUM,ท่าตูม,สุรินทร์,15.31667,103.68333,36.27,08-25-2019,13:00:00,90,110,29.1,3.7,38.40,1003.94,9.00,0.00,989.41,27.3
48417,NAKORNNAYOK,นครนายก,นครนายก,14.36222,101.39278,26.18,08-25-2019,13:00:00,99,300,22.0,9.3,19.20,1006.16,.10,0.00,872.33,21.8
48418,BUA CHUM,บัวชุม  ,ลพบุรี,15.26667,101.18736,31.73,08-25-2019,13:00:00,66,180,32.1,3.7,29.00,1005.34,10.00,0.00,999.57,25.0
48419,PATHUMTHANI,ปทุมธานี สกษ.,ปทุมธานี,14.10000,100.61667,28.71,08-25-2019,13:00:00,52,300,34.7,13.0,0.00,1006.17,12.00,0.00,1005.39,23.4
48420,Samut Prakarn,สมุทรปราการ สกษ.,สมุทรปราการ,13.51667,100.76167,31.93,08-25-2019,13:00:00,69,210,31.5,18.5,0.40,1005.67,10.00,0.00,1005.23,25.1
48421,THONG PHAPHUM,ทองผาภูมิ,กาญจนบุรี,14.74222,98.63639,31.38,08-25-2019,13:00:00,88,000,27.0,0.0,14.90,1007.70,4.00,7.50,996.39,24.8
48425,SUPHAN BURI,สุพรรณบุรี,สุพรรณบุรี,14.47444,100.13889,31.26,08-25-2019,13:00:00,58,180,34.1,3.7,0.00,1005.68,12.00,0.00,1004.69,24.8
48426,LOP BURI,ลพบุรี,ลพบุรี,14.79972,100.64500,30.24,08-25-2019,13:00:00,62,200,32.5,3.7,1.90,1005.84,9.00,0.00,1004.05,24.2
48427,U THONG AGROMET.,อู่ทอง สกษ.,สุพรรณบุรี,14.30361,99.86472,29.42,08-25-2019,13:00:00,62,200,32.1,3.7,4.60,1005.75,9.00,0.00,1004.99,23.8
48429,SUVARNABHUMI AIRPORT,สนามบินสุวรรณภูมิ,สมุทรปราการ,13.68639,100.76750,29.62,08-25-2019,13:00:00,59,230,32.9,16.7,0.10,1006.64,10.00,0.00,1005.95,23.9
48430,PRACHIN BURI,ปราจีนบุรี,ปราจีนบุรี,14.05842,101.36930,36.01,08-25-2019,13:00:00,76,000,32.0,0.0,10.40,1005.99,6.00,1.00,1005.29,27.2
48431,NAKHON RATCHASIMA,นครราชสีมา,นครราชสีมา,14.96830,102.08603,28.52,08-25-2019,13:00:00,56,250,33.2,9.3,0.90,1004.75,12.00,0.00,984.07,23.3
48432,SURIN,สุรินทร์,สุรินทร์,14.88333,103.50000,31.47,08-25-2019,13:00:00,67,240,31.7,7.4,51.00,1004.82,10.00,0.00,988.40,24.9
48433,SURIN AGROMET.,สุรินทร์ สกษ.,สุรินทร์,14.88333,103.45000,29.63,08-25-2019,13:00:00,64,230,31.5,5.6,57.50,1005.25,10.00,0.00,989.09,23.9
48434,CHOK CHAI,โชคชัย,นครราชสีมา,14.71889,102.16861,28.25,08-25-2019,13:00:00,58,310,32.5,5.6,0.01,1004.60,10.00,0.00,983.19,23.1
48435,PAKCHONG AGROMET.,ปากช่อง สกษ.,นครราชสีมา,14.64389,101.33194,30.27,08-25-2019,13:00:00,73,240,29.7,18.5,0.60,1005.48,15.00,0.00,962.68,24.2
48436,NANG RONG,นางรอง,บุรีรัมย์,14.58333,102.80000,29.09,08-25-2019,13:00:00,59,260,32.5,9.3,14.00,1004.46,10.00,0.00,984.32,23.6
48437,BURIRUM,บุรีรัมย์,บุรีรัมย์,15.22575,103.24808,33.93,08-25-2019,13:00:00,78,250,30.5,14.8,5.60,1006.21,10.00,0.00,985.65,26.2
48438,SAMUTSONGKRAM,สมุทรสงคราม,สมุทรสงคราม,13.40778,100.03222,29.48,08-25-2019,13:00:00,66,190,31.0,14.8,0.00,1006.66,10.00,0.00,1006.23,23.8
48439,KABIN BURI,กบินทร์บุรี,ปราจีนบุรี,13.98333,101.70722,34.88,08-25-2019,13:00:00,84,000,29.7,0.0,4.50,1005.86,8.00,0.90,1004.46,26.6
48440,SA KAEW,สระแก้ว,สระแก้ว,13.78889,102.03472,33.88,08-25-2019,13:00:00,71,000,32.0,0.0,33.50,1005.53,9.00,0.00,1000.68,26.1
48450,KANCHANA BURI,กาญจนบุรี,กาญจนบุรี,14.02250,99.53583,30.12,08-25-2019,13:00:00,58,190,33.7,13.0,0.01,1006.11,12.00,0.00,1002.90,24.2
