WmoStationNumber,StationNameEnglish,StationNameThai,Province,Latitude,Longitude,Rainfall,Date,Time,MaximumTemperature,StationPressure,AirTemperature,LandVisibility,WindSpeed,MeanSeaLevelPressure,RelativeHumidity,VaporPressure,Rainfall24Hr,DewPoint,WindDirection
48550,KO SAMUI,เกาะสมุย,สุราษฎร์ธานี,9.46667,100.05000,0.00,07-22-2019,19:00:00,33.5,1006.70,30.0,10.00,0.0,1007.38,78,33.17,0.00,25.8,000
48551,SURAT THANI,สุราษฎร์ธานี,สุราษฎร์ธานี,9.13556,99.15194,0.00,07-22-2019,19:00:00,36.3,1006.32,30.7,10.00,3.7,1007.11,65,28.89,0.00,23.5,310
48552,NAKHONSI THAMMARAT,นครศรีธรรมราช,นครศรีธรรมราช,8.53778,99.96389,0.00,07-22-2019,19:00:00,34.0,1006.20,30.0,10.00,0.0,1006.83,78,33.17,0.00,25.8,000
48554,NAKHONSI THAMMARAT AGROMET.,นครศรีธรรมราช สกษ.,นครศรีธรรมราช,8.35931,100.00000,0.00,07-22-2019,19:00:00,34.8,1006.83,30.2,10.00,0.0,1007.23,77,33.00,0.00,25.7,000
48555,SURAT THANI AGROMET.,สุราษฎร์ธานี สกษ.,สุราษฎร์ธานี,9.10000,99.63333,0.00,07-22-2019,19:00:00,35.2,1004.38,29.7,6.00,0.0,1008.55,77,31.97,0.00,25.2,000
48556,PHRA SANG,พระแสง สอท.,สุราษฎร์ธานี,8.57022,99.25825,0.00,07-22-2019,19:00:00,35.0,1005.19,29.5,10.00,0.0,1006.78,68,27.96,0.00,22.9,000
48557,CHAWANG,ฉวาง,นครศรีธรรมราช,8.43194,99.51194,0.00,07-22-2019,19:00:00,35.5,1003.56,31.0,10.00,0.0,1006.99,75,33.52,0.00,26.0,000
48560,PHATTHALUNG AGROMET.,พัทลุง สกษ.,พัทลุง,7.58333,100.16667,0.00,07-22-2019,19:00:00,33.5,1005.95,27.8,10.00,3.7,1007.30,71,26.70,0.00,22.2,360
48561,TAKUA PA,ตะกั่วป่า,พังงา,8.68417,98.25222,0.00,07-22-2019,19:00:00,33.1,1006.55,29.7,10.00,0.0,1007.43,71,29.71,1.20,23.9,000
48563,KRABI,กระบี่,กระบี่,8.10361,98.97528,0.00,07-22-2019,19:00:00,33.8,1003.59,27.6,10.00,0.0,1007.14,73,26.86,0.00,22.3,000
48564,PHUKET,ภูเก็ต,ภูเก็ต,7.88333,98.40000,0.00,07-22-2019,19:00:00,32.4,1006.60,29.9,10.00,0.0,1007.03,77,32.38,0.00,25.4,000
48565,PHUKET AIRPORT,ภูเก็ต (ศูนย์ฯ),ภูเก็ต,8.14500,98.31444,0.00,07-22-2019,19:00:00,33.2,1006.59,30.2,10.00,5.6,1007.57,67,28.75,0.00,23.4,320
48566,KO LANTA,เกาะลันตา,กระบี่,7.53333,99.05000,0.00,07-22-2019,19:00:00,31.6,1006.44,29.4,10.00,0.0,1007.25,74,30.24,0.00,24.2,000
48567,TRANG AIRPORT,ตรัง,ตรัง,7.51667,99.61667,7.60,07-22-2019,19:00:00,34.5,1005.41,25.7,12.00,0.0,1007.23,89,29.21,7.60,23.7,000
48568,SONGKHLA,สงขลา,สงขลา,7.18211,100.60769,0.00,07-22-2019,19:00:00,32.4,1006.57,29.0,10.00,3.7,1007.32,62,24.94,0.00,21.1,240
48569,HAT YAI AIRPORT,หาดใหญ่,สงขลา,6.91667,100.43333,2.40,07-22-2019,19:00:00,37.0,1003.70,25.1,10.00,0.0,1007.73,90,28.66,2.60,23.3,000
48570,SATUN,สตูล,สตูล,6.65000,100.08333,0.00,07-22-2019,19:00:00,34.5,1009.15,26.0,10.00,0.0,1009.84,88,29.50,0.00,23.8,000
48571,KHO HONG AGROMET.,คอหงษ์ สกษ.,สงขลา,7.00000,100.50000,1.40,07-22-2019,19:00:00,34.9,1006.33,25.7,10.00,0.0,1007.45,86,28.42,5.00,23.2,000
48574,SA DAO,สะเดา,สงขลา,6.79806,100.39056,0.01,07-22-2019,19:00:00,36.1,1004.77,25.7,10.00,5.6,1007.71,89,29.21,0.01,23.7,260
48580,PATTANI AIRPORT,ปัตตานี,ปัตตานี,6.78333,101.15000,0.00,07-22-2019,19:00:00,34.6,1006.81,28.4,6.00,9.3,1007.49,79,30.51,0.00,24.4,220
48581,YALA AGROMET.,ยะลา สกษ.,ยะลา,6.51667,101.28333,0.00,07-22-2019,19:00:00,35.6,1004.39,26.1,7.00,0.0,1008.53,83,28.10,0.00,23.0,000
48583,NARATHIWAT,นราธิวาส,นราธิวาส,6.41667,101.81667,0.00,07-22-2019,19:00:00,33.1,1007.24,28.5,10.00,0.0,1007.82,72,27.97,2.20,22.9,000
