WmoStationNumber,StationNameEnglish,StationNameThai,Province,Latitude,Longitude,WindDirection,Date,Time,VaporPressure,Rainfall24Hr,MeanSeaLevelPressure,RelativeHumidity,AirTemperature,WindSpeed,DewPoint,StationPressure,LandVisibility,Rainfall
48407,UBON RATCHATHANI,อุบลราชธานี (ศูนย์ฯ),อุบลราชธานี,15.25000,104.86667,000,10-03-2019,16:00:00,31.77,0.00,1007.20,68,31.7,0.0,25.0,993.38,9.00,0.00
48408,UBON RATCHATHANI AGROMET.,อุบลราชธานี สกษ.,อุบลราชธานี,15.23914,105.02350,000,10-03-2019,16:00:00,33.58,0.00,1007.88,71,32.0,0.0,26.0,993.28,10.00,0.00
48409,SI SAKET AGROMET.,ศรีสะเกษ,ศรีสะเกษ,15.00000,104.05000,000,10-03-2019,16:00:00,29.35,19.10,1008.14,64,31.5,0.0,23.7,993.67,10.00,19.10
48410,UTHAITHANI,อุทัยธานี,อุทัยธานี,15.37417,100.03889,"{'@attributes': {'Unit': 'degree'}, '0': '   '}",10-03-2019,16:00:00,34.42,0.00,1006.93,64,34.3,0.0,26.4,1003.98,6.00,0.00
48413,WICHIAN BURI,วิเชียรบุรี,เพชรบูรณ์,15.65700,101.10800,000,10-03-2019,16:00:00,30.04,0.00,1006.17,55,34.5,0.0,24.1,998.42,10.00,0.00
48415,AYUTTHAYA,พระนครศรีอยุธยา,พระนครศรีอยุธยา,14.53472,100.72500,160,10-03-2019,16:00:00,32.35,0.00,1008.51,63,33.5,9.3,25.4,1007.43,8.00,0.00
48416,THA TUM,ท่าตูม,สุรินทร์,15.31667,103.68333,100,10-03-2019,16:00:00,31.52,0.00,1007.83,66,32.0,3.7,24.9,993.37,9.00,0.00
48417,NAKORNNAYOK,นครนายก,นครนายก,14.36222,101.39278,260,10-03-2019,16:00:00,24.78,2.80,1007.17,83,24.0,5.6,20.9,874.03,7.00,0.00
48418,BUA CHUM,บัวชุม  ,ลพบุรี,15.26667,101.18736,210,10-03-2019,16:00:00,32.51,0.00,1006.28,60,34.4,5.6,25.4,1000.54,8.00,0.00
48419,PATHUMTHANI,ปทุมธานี สกษ.,ปทุมธานี,14.10000,100.61667,240,10-03-2019,16:00:00,30.32,15.10,1007.20,65,31.7,5.6,24.3,1006.41,8.00,8.60
48420,Samut Prakarn,สมุทรปราการ สกษ.,สมุทรปราการ,13.51667,100.76167,210,10-03-2019,16:00:00,31.93,0.00,1007.69,69,31.5,9.3,25.1,1007.25,10.00,0.00
48421,THONG PHAPHUM,ทองผาภูมิ,กาญจนบุรี,14.74222,98.63639,000,10-03-2019,16:00:00,31.35,0.00,1007.85,65,32.2,0.0,24.8,996.73,10.00,0.00
48425,SUPHAN BURI,สุพรรณบุรี,สุพรรณบุรี,14.47444,100.13889,260,10-03-2019,16:00:00,29.01,0.00,1006.64,50,35.4,1.9,23.5,1005.66,8.00,0.00
48426,LOP BURI,ลพบุรี,ลพบุรี,14.79972,100.64500,180,10-03-2019,16:00:00,31.13,0.00,1006.96,59,33.9,3.7,24.7,1005.18,7.00,0.00
48427,U THONG AGROMET.,อู่ทอง สกษ.,สุพรรณบุรี,14.30361,99.86472,000,10-03-2019,16:00:00,28.30,0.00,1006.54,52,34.5,0.0,23.1,1005.79,9.00,0.00
48429,SUVARNABHUMI AIRPORT,สนามบินสุวรรณภูมิ,สมุทรปราการ,13.68639,100.76750,190,10-03-2019,16:00:00,28.97,0.00,1007.61,58,33.0,18.5,23.5,1006.92,9.00,0.00
48430,PRACHIN BURI,ปราจีนบุรี,ปราจีนบุรี,14.05842,101.36930,220,10-03-2019,16:00:00,30.62,0.00,1009.21,53,35.6,3.7,24.4,1008.52,9.00,0.00
48431,NAKHON RATCHASIMA,นครราชสีมา,นครราชสีมา,14.96830,102.08603,040,10-03-2019,16:00:00,28.14,0.00,1006.31,53,34.0,3.7,23.0,985.65,7.00,0.00
48432,SURIN,สุรินทร์,สุรินทร์,14.88333,103.50000,000,10-03-2019,16:00:00,29.66,0.00,1007.02,58,33.2,0.0,23.9,990.65,12.00,0.00
48434,CHOK CHAI,โชคชัย,นครราชสีมา,14.71889,102.16861,000,10-03-2019,16:00:00,26.60,0.00,1006.13,49,34.5,0.0,22.1,984.82,8.00,0.00
48435,PAKCHONG AGROMET.,ปากช่อง สกษ.,นครราชสีมา,14.64389,101.33194,360,10-03-2019,16:00:00,31.22,0.30,1007.03,87,27.2,3.7,24.8,963.83,5.00,0.30
48436,NANG RONG,นางรอง,บุรีรัมย์,14.58333,102.80000,120,10-03-2019,16:00:00,29.87,0.00,1006.66,56,34.0,9.3,24.0,986.57,10.00,0.00
48437,BURIRUM,บุรีรัมย์,บุรีรัมย์,15.22575,103.24808,000,10-03-2019,16:00:00,33.29,0.00,1008.65,70,32.0,0.0,25.8,988.14,7.00,0.00
48438,SAMUTSONGKRAM,สมุทรสงคราม,สมุทรสงคราม,13.40778,100.03222,"{'@attributes': {'Unit': 'degree'}, '0': '   '}",10-03-2019,16:00:00,31.10,0.01,1006.99,66,31.8,0.0,24.7,1006.57,10.00,0.00
48439,KABIN BURI,กบินทร์บุรี,ปราจีนบุรี,13.98333,101.70722,000,10-03-2019,16:00:00,33.23,0.20,1006.67,59,35.0,0.0,25.8,1005.29,11.00,0.00
48440,SA KAEW,สระแก้ว,สระแก้ว,13.78889,102.03472,000,10-03-2019,16:00:00,31.88,4.70,1007.00,61,33.7,0.0,25.1,1002.18,9.00,0.00
48450,KANCHANA BURI,กาญจนบุรี,กาญจนบุรี,14.02250,99.53583,350,10-03-2019,16:00:00,26.78,0.00,1006.54,45,36.0,3.7,22.2,1003.34,10.00,0.00
48451,NAKHONPATHOM,นครปฐม,นครปฐม,14.01167,99.97000,000,10-03-2019,16:00:00,31.94,0.00,1006.92,60,34.0,0.0,25.1,1005.84,10.00,0.00
48453,BANG NA AGROMET.,กรุงเทพฯ บางนา สกษ.,กรุงเทพมหานคร,13.66639,100.60611,190,10-03-2019,16:00:00,31.34,0.00,1007.24,59,34.0,11.1,24.8,1006.95,10.00,0.00
48454,BANGKOK PORT (KLONG TOEI),กรุงเทพฯ ท่าเรือคลองเตย,กรุงเทพมหานคร,13.70694,100.56805,170,10-03-2019,16:00:00,31.69,0.00,1007.14,59,34.3,9.3,25.0,1006.47,10.00,0.00
48455,BANGKOK METROPOLIS,กรุงเทพมหานคร,กรุงเทพมหานคร,13.72639,100.56000,150,10-03-2019,16:00:00,30.29,0.00,1007.05,56,34.2,1.9,24.3,1006.57,7.00,0.00
48456,DON MUANG AIRPORT,สนามบินดอนเมือง,กรุงเทพมหานคร,13.91917,100.60500,330,10-03-2019,16:00:00,32.77,6.00,1007.07,69,31.9,9.3,25.6,1005.69,8.00,0.00
48457,PILOT STATION,นำร่อง,สมุทรปราการ,13.39389,100.59944,200,10-03-2019,16:00:00,36.14,0.00,1007.57,85,30.0,13.0,27.2,1005.90,8.00,0.00
48458,CHACHOENGSAO,ฉะเชิงเทรา,ฉะเชิงเทรา,13.51556,101.45833,230,10-03-2019,16:00:00,27.70,2.70,1010.72,88,25.0,18.5,22.8,1002.64,8.00,2.70
48459,CHON BURI,ชลบุรี,ชลบุรี,13.36667,100.98333,130,10-03-2019,16:00:00,35.04,0.00,1007.91,80,30.6,13.0,26.7,1007.63,10.00,0.00
48460,KO SICHANG,เกาะสีชัง,ชลบุรี,13.16167,100.80194,320,10-03-2019,16:00:00,32.55,0.00,1007.70,81,29.0,5.6,25.5,1004.59,10.00,0.00
48461,PHATTHAYA,พัทยา,ชลบุรี,12.92000,100.86944,000,10-03-2019,16:00:00,31.72,0.00,1007.52,72,30.7,0.0,25.0,1000.66,10.00,0.00
48462,ARANYA PRATHET,อรัญประเทศ,สระแก้ว,13.70000,102.58333,080,10-03-2019,16:00:00,33.67,1.30,1007.80,63,34.1,5.6,26.0,1002.32,7.00,0.00
48463,LAEM CHABANG,แหลมฉบัง,ชลบุรี,13.07694,100.87583,180,10-03-2019,16:00:00,33.33,0.00,1009.14,79,29.8,9.3,25.9,999.90,6.00,0.00
48464,RATCHA BURI,ราชบุรี,ราชบุรี,13.48931,99.79239,150,10-03-2019,16:00:00,34.57,0.00,1007.84,63,34.5,7.4,26.5,1006.61,12.00,0.00
48465,PHETCHA BURI,เพชรบุรี,เพชรบุรี,12.99944,100.06056,140,10-03-2019,16:00:00,35.19,0.00,1007.09,70,33.0,13.0,26.8,1006.66,11.00,0.00
48474,NONG PHLUB AGROMET.,หนองพลับ สกษ.,ประจวบคีรีขันธ์,12.58333,99.73333,000,10-03-2019,16:00:00,30.57,0.00,1007.09,67,31.4,0.0,24.4,995.01,7.00,0.00
48475,HUA HIN,หัวหิน,ประจวบคีรีขันธ์,12.58611,99.96250,130,10-03-2019,16:00:00,33.02,0.00,1007.25,71,31.6,11.1,25.7,1006.55,10.00,0.00
48477,SATTAHIP,สัตหีบ,ชลบุรี,12.68333,100.98333,180,10-03-2019,16:00:00,32.10,0.20,1008.35,68,32.0,14.8,25.2,1005.95,10.00,0.00
48478,RAYONG,ระยอง,ระยอง,12.63222,101.34361,210,10-03-2019,16:00:00,32.99,0.00,1007.86,69,32.0,11.1,25.7,1007.35,8.00,0.00
48479,HUAI PONG AGROMET.,ห้วยโป่ง สกษ.,ระยอง,12.73333,101.13333,000,10-03-2019,16:00:00,30.61,0.40,1007.83,68,31.0,0.0,24.4,1002.74,11.00,0.00
48480,CHANTHA BURI,จันทบุรี,จันทบุรี,12.61667,102.11333,000,10-03-2019,16:00:00,32.67,0.00,1008.55,74,30.6,0.0,25.5,1008.14,8.00,0.00
48481,PHLIU  AGROMET.,พลิ้ว สกษ.,จันทบุรี,12.50861,102.17305,000,10-03-2019,16:00:00,33.17,0.00,1008.56,78,30.0,0.0,25.8,1005.81,8.00,0.00
