WmoStationNumber,StationNameEnglish,StationNameThai,Province,Latitude,Longitude,DewPoint,Date,Time,AirTemperature,VaporPressure,MeanSeaLevelPressure,Rainfall,StationPressure,LandVisibility,WindSpeed,Rainfall24Hr,WindDirection,RelativeHumidity
48413,WICHIAN BURI,วิเชียรบุรี,เพชรบูรณ์,15.65700,101.10800,23.8,10-05-2019,13:00:00,31.7,29.47,1009.26,0.00,1001.41,10.00,7.4,0.00,240,63
48415,AYUTTHAYA,พระนครศรีอยุธยา,พระนครศรีอยุธยา,14.53472,100.72500,26.3,10-05-2019,13:00:00,33.0,34.27,1009.30,0.00,1008.21,8.00,5.6,0.00,360,68
48416,THA TUM,ท่าตูม,สุรินทร์,15.31667,103.68333,21.9,10-05-2019,13:00:00,30.0,26.21,1009.79,0.00,995.21,8.00,0.0,0.00,000,62
48417,NAKORNNAYOK,นครนายก,นครนายก,14.36222,101.39278,19.2,10-05-2019,13:00:00,19.4,22.28,1011.40,21.80,875.79,4.00,3.7,22.20,160,99
48418,BUA CHUM,บัวชุม  ,ลพบุรี,15.26667,101.18736,24.9,10-05-2019,13:00:00,28.9,31.49,1010.08,0.80,1004.22,8.00,5.6,0.80,090,79
48419,PATHUMTHANI,ปทุมธานี สกษ.,ปทุมธานี,14.10000,100.61667,25.6,10-05-2019,13:00:00,31.2,32.76,1009.42,0.00,1008.63,8.00,5.6,31.40,320,72
48420,Samut Prakarn,สมุทรปราการ สกษ.,สมุทรปราการ,13.51667,100.76167,25.7,10-05-2019,13:00:00,32.0,32.99,1009.94,0.00,1009.50,10.00,5.6,0.00,210,69
48421,THONG PHAPHUM,ทองผาภูมิ,กาญจนบุรี,14.74222,98.63639,22.3,10-05-2019,13:00:00,33.2,26.84,1008.69,0.00,997.60,10.00,0.0,0.40,000,53
48425,SUPHAN BURI,สุพรรณบุรี,สุพรรณบุรี,14.47444,100.13889,24.0,10-05-2019,13:00:00,32.2,29.91,1009.42,0.00,1008.42,8.00,0.0,0.00,000,62
48426,LOP BURI,ลพบุรี,ลพบุรี,14.79972,100.64500,24.1,10-05-2019,13:00:00,25.7,30.01,1009.92,26.00,1008.08,7.00,9.3,27.00,030,91
48427,U THONG AGROMET.,อู่ทอง สกษ.,สุพรรณบุรี,14.30361,99.86472,23.7,10-05-2019,13:00:00,32.5,29.38,1011.26,0.00,1010.51,9.00,0.0,0.00,000,60
48429,SUVARNABHUMI AIRPORT,สนามบินสุวรรณภูมิ,สมุทรปราการ,13.68639,100.76750,23.5,10-05-2019,13:00:00,29.0,28.91,1009.26,0.00,1008.56,8.00,9.3,0.50,260,72
48430,PRACHIN BURI,ปราจีนบุรี,ปราจีนบุรี,14.05842,101.36930,23.2,10-05-2019,13:00:00,34.3,28.47,1009.00,0.00,1008.32,7.00,7.4,0.00,120,53
48431,NAKHON RATCHASIMA,นครราชสีมา,นครราชสีมา,14.96830,102.08603,22.3,10-05-2019,13:00:00,22.8,26.99,1011.39,24.90,989.85,6.00,0.0,24.90,000,97
48432,SURIN,สุรินทร์,สุรินทร์,14.88333,103.50000,23.1,10-05-2019,13:00:00,30.9,28.17,1009.89,0.00,993.34,9.00,5.6,1.40,060,63
48433,SURIN AGROMET.,สุรินทร์ สกษ.,สุรินทร์,14.88333,103.45000,23.6,10-05-2019,13:00:00,30.8,29.09,1010.46,0.00,994.18,10.00,3.7,1.20,090,66
48434,CHOK CHAI,โชคชัย,นครราชสีมา,14.71889,102.16861,23.3,10-05-2019,13:00:00,27.0,28.67,1010.85,0.00,988.91,6.00,18.5,0.00,020,80
48435,PAKCHONG AGROMET.,ปากช่อง สกษ.,นครราชสีมา,14.64389,101.33194,21.1,10-05-2019,13:00:00,26.8,24.96,1009.77,0.01,966.39,7.00,22.2,0.01,100,71
48436,NANG RONG,นางรอง,บุรีรัมย์,14.58333,102.80000,24.1,10-05-2019,13:00:00,27.0,30.02,1010.53,0.00,989.90,10.00,5.6,0.00,020,84
48437,BURIRUM,บุรีรัมย์,บุรีรัมย์,15.22575,103.24808,24.5,10-05-2019,13:00:00,30.4,30.82,1011.95,0.00,991.27,9.00,9.3,3.90,040,71
48438,SAMUTSONGKRAM,สมุทรสงคราม,สมุทรสงคราม,13.40778,100.03222,24.7,10-05-2019,13:00:00,31.2,31.02,1009.45,0.00,1009.03,10.00,0.0,0.00,"{'0': '   ', '@attributes': {'Unit': 'degree'}}",68
48439,KABIN BURI,กบินทร์บุรี,ปราจีนบุรี,13.98333,101.70722,24.4,10-05-2019,13:00:00,33.1,30.61,1009.16,0.00,1007.77,11.00,0.0,15.40,000,61
48440,SA KAEW,สระแก้ว,สระแก้ว,13.78889,102.03472,23.2,10-05-2019,13:00:00,26.6,28.47,1010.14,0.00,1005.18,9.00,5.6,1.00,070,82
48450,KANCHANA BURI,กาญจนบุรี,กาญจนบุรี,14.02250,99.53583,24.0,10-05-2019,13:00:00,32.9,29.91,1009.22,0.00,1005.99,10.00,3.7,7.20,200,60
48451,NAKHONPATHOM,นครปฐม,นครปฐม,14.01167,99.97000,24.6,10-05-2019,13:00:00,32.0,30.94,1009.50,0.00,1008.41,10.00,0.0,0.00,000,65
48453,BANG NA AGROMET.,กรุงเทพฯ บางนา สกษ.,กรุงเทพมหานคร,13.66639,100.60611,23.5,10-05-2019,13:00:00,24.5,28.89,1009.34,55.20,1009.04,8.00,0.0,55.20,000,94
48454,BANGKOK PORT (KLONG TOEI),กรุงเทพฯ ท่าเรือคลองเตย,กรุงเทพมหานคร,13.70694,100.56805,24.8,10-05-2019,13:00:00,25.5,31.25,1009.12,15.20,1008.43,8.00,0.0,15.20,000,96
48455,BANGKOK METROPOLIS,กรุงเทพมหานคร,กรุงเทพมหานคร,13.72639,100.56000,24.7,10-05-2019,13:00:00,25.4,31.06,1008.88,12.10,1008.39,10.00,0.0,12.10,000,96
48456,DON MUANG AIRPORT,สนามบินดอนเมือง,กรุงเทพมหานคร,13.91917,100.60500,24.5,10-05-2019,13:00:00,30.4,30.82,1009.73,0.00,1008.33,10.00,20.4,21.80,190,71
48457,PILOT STATION,นำร่อง,สมุทรปราการ,13.39389,100.59944,27.4,10-05-2019,13:00:00,31.5,36.42,1010.20,0.00,1008.54,4.00,0.0,0.00,000,79
48458,CHACHOENGSAO,ฉะเชิงเทรา,ฉะเชิงเทรา,13.51556,101.45833,24.0,10-05-2019,13:00:00,32.2,29.91,1010.94,0.00,1003.04,10.00,3.7,2.90,230,62
48459,CHON BURI,ชลบุรี,ชลบุรี,13.36667,100.98333,24.2,10-05-2019,13:00:00,28.5,30.15,1009.67,0.60,1009.39,4.00,0.0,2.10,000,78
48460,KO SICHANG,เกาะสีชัง,ชลบุรี,13.16167,100.80194,24.9,10-05-2019,13:00:00,29.5,31.56,1009.07,0.00,1005.95,10.00,5.6,0.00,270,77
48461,PHATTHAYA,พัทยา,ชลบุรี,12.92000,100.86944,26.0,10-05-2019,13:00:00,29.5,33.58,1009.47,0.50,1002.57,9.00,0.0,0.50,000,81
48462,ARANYA PRATHET,อรัญประเทศ,สระแก้ว,13.70000,102.58333,25.2,10-05-2019,13:00:00,29.5,32.13,1010.24,0.40,1004.67,6.00,0.0,22.10,000,78
48463,LAEM CHABANG,แหลมฉบัง,ชลบุรี,13.07694,100.87583,26.8,10-05-2019,13:00:00,30.3,35.29,1009.72,0.00,1000.48,8.00,7.4,0.00,230,82
48464,RATCHA BURI,ราชบุรี,ราชบุรี,13.48931,99.79239,25.4,10-05-2019,13:00:00,32.0,32.40,1010.59,0.00,1009.34,12.00,7.4,0.00,040,68
48465,PHETCHA BURI,เพชรบุรี,เพชรบุรี,12.99944,100.06056,24.2,10-05-2019,13:00:00,31.8,30.24,1009.31,0.10,1008.88,11.00,0.0,0.10,000,64
48474,NONG PHLUB AGROMET.,หนองพลับ สกษ.,ประจวบคีรีขันธ์,12.58333,99.73333,23.9,10-05-2019,13:00:00,30.9,29.56,1008.90,0.00,996.78,10.00,11.1,0.10,040,66
48475,HUA HIN,หัวหิน,ประจวบคีรีขันธ์,12.58611,99.96250,25.7,10-05-2019,13:00:00,31.5,33.10,1009.53,0.00,1008.82,10.00,5.6,0.00,080,72
48477,SATTAHIP,สัตหีบ,ชลบุรี,12.68333,100.98333,24.4,10-05-2019,13:00:00,32.5,30.53,1009.87,0.00,1007.47,10.00,3.7,0.00,180,62
48478,RAYONG,ระยอง,ระยอง,12.63222,101.34361,25.4,10-05-2019,13:00:00,30.8,32.51,1009.38,0.00,1008.87,9.00,9.3,0.00,220,73
48479,HUAI PONG AGROMET.,ห้วยโป่ง สกษ.,ระยอง,12.73333,101.13333,24.2,10-05-2019,13:00:00,28.2,30.12,1009.12,14.90,1003.98,10.00,11.1,14.90,190,79
48480,CHANTHA BURI,จันทบุรี,จันทบุรี,12.61667,102.11333,23.8,10-05-2019,13:00:00,30.4,29.42,1009.10,0.00,1008.69,8.00,9.3,46.40,050,68
48481,PHLIU  AGROMET.,พลิ้ว สกษ.,จันทบุรี,12.50861,102.17305,24.5,10-05-2019,13:00:00,30.8,30.78,1009.68,0.30,1006.94,8.00,0.0,7.40,000,69
48500,PRACHUAP KHIRIKHAN,ประจวบคีรีขันธ์,ประจวบคีรีขันธ์,11.83333,99.83333,24.9,10-05-2019,13:00:00,32.3,31.56,1009.70,0.00,1008.92,10.00,11.1,0.00,120,65
48501,TRAD,ตราด,ตราด,11.76667,102.88333,26.3,10-05-2019,13:00:00,30.8,34.27,1008.84,0.00,1008.39,10.00,5.6,19.90,280,77
48517,CHUMPHON,ชุมพร,ชุมพร,10.49875,99.18847,25.4,10-05-2019,13:00:00,32.7,32.41,1008.76,0.00,1008.09,10.00,0.0,0.00,000,66
48520,SAWI AGROMET.,สวี สกษ.,ชุมพร,10.33333,99.10000,24.3,10-05-2019,13:00:00,33.4,30.37,1008.65,0.00,1007.15,9.00,3.7,0.00,140,59
48532,RANONG,ระนอง,ระนอง,9.98333,98.61667,24.3,10-05-2019,13:00:00,28.2,30.40,1009.73,0.30,1008.81,10.00,5.6,0.30,060,80
48550,KO SAMUI,เกาะสมุย,สุราษฎร์ธานี,9.46667,100.05000,24.6,10-05-2019,13:00:00,30.6,30.94,1009.80,0.00,1009.12,12.00,9.3,0.00,080,70
48551,SURAT THANI,สุราษฎร์ธานี,สุราษฎร์ธานี,9.13556,99.15194,24.7,10-05-2019,13:00:00,33.2,31.11,1009.29,0.00,1008.51,12.00,5.6,49.10,260,61
48552,NAKHONSI THAMMARAT,นครศรีธรรมราช,นครศรีธรรมราช,8.53778,99.96389,25.5,10-05-2019,13:00:00,32.5,32.58,1008.60,0.20,1007.97,10.00,7.4,0.20,090,67
48554,NAKHONSI THAMMARAT AGROMET.,นครศรีธรรมราช สกษ.,นครศรีธรรมราช,8.35931,100.00000,25.8,10-05-2019,13:00:00,31.3,33.27,1008.72,0.00,1008.32,10.00,7.4,2.00,050,73
48555,SURAT THANI AGROMET.,สุราษฎร์ธานี สกษ.,สุราษฎร์ธานี,9.10000,99.63333,24.4,10-05-2019,13:00:00,31.7,30.61,1010.78,0.01,1006.62,5.00,9.3,0.20,100,65
48556,PHRA SANG,พระแสง สอท.,สุราษฎร์ธานี,8.57022,99.25825,21.7,10-05-2019,13:00:00,32.3,25.93,1008.59,0.00,1007.00,10.00,0.0,32.60,000,54
48557,CHAWANG,ฉวาง,นครศรีธรรมราช,8.43194,99.51194,24.7,10-05-2019,13:00:00,32.5,31.11,1008.56,0.00,1005.14,12.00,0.0,0.90,000,64
48560,PHATTHALUNG AGROMET.,พัทลุง สกษ.,พัทลุง,7.58333,100.16667,25.1,10-05-2019,13:00:00,30.6,31.80,1009.68,0.00,1008.33,8.00,18.5,0.01,110,72
48561,TAKUA PA,ตะกั่วป่า,พังงา,8.68417,98.25222,25.0,10-05-2019,13:00:00,30.8,31.64,1009.92,0.00,1009.04,12.00,7.4,15.80,270,71
48563,KRABI,กระบี่,กระบี่,8.10361,98.97528,24.2,10-05-2019,13:00:00,31.1,30.25,1009.19,0.00,1005.67,10.00,0.0,0.20,000,67
48564,PHUKET,ภูเก็ต,ภูเก็ต,7.88333,98.40000,24.8,10-05-2019,13:00:00,32.0,31.23,1009.67,0.00,1009.24,10.00,7.4,3.50,130,66
48565,PHUKET AIRPORT,ภูเก็ต (ศูนย์ฯ),ภูเก็ต,8.14500,98.31444,23.7,10-05-2019,13:00:00,31.2,29.32,1009.38,0.00,1008.39,7.00,5.6,3.60,240,65
48566,KO LANTA,เกาะลันตา,กระบี่,7.53333,99.05000,25.2,10-05-2019,13:00:00,27.3,31.97,1009.93,31.40,1009.12,10.00,5.6,59.00,210,88
48567,TRANG AIRPORT,ตรัง,ตรัง,7.51667,99.61667,24.3,10-05-2019,13:00:00,27.0,30.29,1008.59,0.10,1006.78,6.00,11.1,2.10,160,85
48568,SONGKHLA,สงขลา,สงขลา,7.18211,100.60769,23.6,10-05-2019,13:00:00,29.7,29.16,1009.60,0.00,1008.85,12.00,9.3,1.10,080,70
48569,HAT YAI AIRPORT,หาดใหญ่,สงขลา,6.91667,100.43333,24.1,10-05-2019,13:00:00,24.8,29.95,1009.73,1.20,1005.70,10.00,5.6,1.40,320,96
48570,SATUN,สตูล,สตูล,6.65000,100.08333,23.0,10-05-2019,13:00:00,24.5,28.11,1009.80,26.80,1009.11,5.00,11.1,26.80,240,91
48571,KHO HONG AGROMET.,คอหงษ์ สกษ.,สงขลา,7.00000,100.50000,23.8,10-05-2019,13:00:00,24.5,29.41,1010.66,16.00,1009.53,10.00,5.6,22.80,140,96
48574,SA DAO,สะเดา,สงขลา,6.79806,100.39056,23.8,10-05-2019,13:00:00,27.3,29.50,1009.63,0.00,1006.71,10.00,9.3,0.00,090,81
48580,PATTANI AIRPORT,ปัตตานี,ปัตตานี,6.78333,101.15000,25.1,10-05-2019,13:00:00,29.4,31.93,1009.65,0.90,1008.96,10.00,9.3,0.90,210,78
48581,YALA AGROMET.,ยะลา สกษ.,ยะลา,6.51667,101.28333,23.5,10-05-2019,13:00:00,32.4,28.89,1008.89,0.00,1004.84,10.00,0.0,1.20,000,59
48583,NARATHIWAT,นราธิวาส,นราธิวาส,6.41667,101.81667,22.9,10-05-2019,13:00:00,30.5,27.95,1009.04,0.00,1008.45,10.00,13.0,0.00,060,64
