WmoStationNumber,StationNameEnglish,StationNameThai,Province,Latitude,Longitude,DewPoint,Date,Time,AirTemperature,VaporPressure,MeanSeaLevelPressure,Rainfall,StationPressure,LandVisibility,WindSpeed,Rainfall24Hr,WindDirection,RelativeHumidity
48300,MAE HONG SON,แม่ฮ่องสอน,แม่ฮ่องสอน,19.29897,97.97578,23.7,10-05-2019,13:00:00,27.8,29.36,1010.27,0.10,979.44,12.00,0.0,5.60,000,79
48302,DOI ANG KANG,ดอยอ่างขาง,เชียงใหม่,19.93139,99.04833,19.5,10-05-2019,13:00:00,20.9,22.63,1009.25,0.00,848.66,8.00,9.3,0.00,200,92
48303,CHIANG RAI,เชียงราย,เชียงราย,19.96139,99.88139,20.2,10-05-2019,13:00:00,30.0,23.60,1009.96,0.00,966.83,12.00,7.4,0.01,120,56
48304,CHAING RAI AGROMET.,เชียงราย สกษ.,เชียงราย,19.87083,99.78278,21.9,10-05-2019,13:00:00,31.0,26.19,1009.89,0.00,965.03,15.00,7.4,0.60,050,58
48307,THUNG CHANG,ทุ่งช้าง,น่าน,19.41194,100.88353,24.4,10-05-2019,13:00:00,29.8,30.47,1010.97,0.00,973.68,12.00,0.0,0.40,000,73
48310,PHAYAO,พะเยา,พะเยา,19.13333,99.90000,23.2,10-05-2019,13:00:00,30.5,28.50,1010.98,0.00,966.43,10.00,7.4,0.20,020,65
48315,THA WANGPHA,ท่าวังผา,น่าน,19.11056,100.80250,23.3,10-05-2019,13:00:00,29.3,28.67,1011.66,0.00,985.10,12.00,7.4,0.00,170,70
48324,THOEN,เถิน,ลำปาง,17.63661,99.24475,22.9,10-05-2019,13:00:00,30.2,27.93,1011.69,0.00,990.10,13.00,5.6,34.80,260,65
48325,MAE SARIANG,แม่สะเรียง,แม่ฮ่องสอน,18.16667,97.93333,24.0,10-05-2019,13:00:00,30.5,29.89,1010.64,0.00,986.78,10.00,0.0,6.60,000,68
48327,CHIANG MAI,เชียงใหม่,เชียงใหม่,18.79000,98.97694,22.8,10-05-2019,13:00:00,29.8,27.71,1010.69,0.00,976.48,10.00,5.6,40.70,210,66
48328,LAMPANG,ลำปาง,ลำปาง,18.28333,99.51667,23.6,10-05-2019,13:00:00,30.4,29.14,1011.08,0.00,983.81,10.00,0.0,40.00,000,67
48329,LAMPHUN,ลำพูน,ลำพูน,18.56722,99.03389,22.7,10-05-2019,13:00:00,30.0,27.55,1010.37,0.00,977.12,12.00,0.0,3.90,000,65
48330,PHRAE,แพร่,แพร่,18.16667,100.16667,23.2,10-05-2019,13:00:00,31.0,28.37,1010.37,0.00,992.08,5.00,0.0,3.90,000,63
48331,NAN,น่าน,น่าน,18.77972,100.77778,23.5,10-05-2019,13:00:00,29.6,28.97,1011.21,0.00,988.54,10.00,0.0,19.30,000,70
48333,NAN AGROMET.,น่าน สกษ.,น่าน,18.86667,100.75000,22.6,10-05-2019,13:00:00,28.5,27.44,1011.00,0.00,981.21,12.00,0.0,1.20,000,71
48334,LAMPANG AGROMET.,ลำปาง สกษ.,ลำปาง,18.31667,99.28333,22.9,10-05-2019,13:00:00,29.5,27.96,1011.33,0.00,976.06,8.00,0.0,29.20,000,68
48350,LOEI AGROMET.,เลย สกษ.,เลย,17.40000,101.73333,23.7,10-05-2019,13:00:00,31.9,29.31,1009.43,0.00,980.18,10.00,7.4,0.50,120,62
48351,UTTARADIT,อุตรดิตถ์,อุตรดิตถ์,17.61667,100.10000,23.1,10-05-2019,13:00:00,32.5,28.25,1009.70,0.00,1002.51,8.00,0.0,7.90,000,58
48352,NONG KHAI,หนองคาย,หนองคาย,17.86717,102.73303,24.3,10-05-2019,13:00:00,31.7,30.32,1010.29,0.00,990.65,8.00,3.7,0.00,210,65
48353,LOEI,เลย,เลย,17.45000,101.73333,22.2,10-05-2019,13:00:00,31.7,26.69,1010.50,0.00,982.22,9.00,9.3,1.20,060,57
48354,UDON THANI,อุดรธานี,อุดรธานี,17.38333,102.80000,22.3,10-05-2019,13:00:00,32.1,26.91,1010.25,0.00,990.37,12.00,7.4,5.90,130,56
48355,SAKON NAKHON AGROMET.,สกลนคร สกษ.,สกลนคร,17.12503,104.06100,22.7,10-05-2019,13:00:00,32.0,27.55,1010.47,0.00,989.04,10.00,3.7,0.00,350,58
48356,SAKON NAKHON,สกลนคร,สกลนคร,17.15000,104.13333,22.2,10-05-2019,13:00:00,32.0,26.72,1009.97,0.00,990.76,12.00,5.6,0.00,040,56
48357,NAKHON PHANOM,นครพนม,นครพนม,17.41083,104.78250,23.0,10-05-2019,13:00:00,32.8,28.00,1010.06,0.00,993.59,10.00,5.6,0.00,120,56
48358,NAKHON PHANOM AGROMET.,นครพนม สกษ.,นครพนม,17.44306,104.77361,23.2,10-05-2019,13:00:00,33.0,28.40,1010.11,0.00,993.00,12.00,3.7,0.00,090,56
48360,NONG BUA LAM PHU,หนองบัวลำภู,หนองบัวลำภู,17.23250,102.42944,23.5,10-05-2019,13:00:00,30.7,28.89,1009.49,0.00,983.98,10.00,0.0,0.00,000,65
48372,SUKHOTHAI*,สุโขทัย,สุโขทัย,17.10611,99.80000,25.6,10-05-2019,13:00:00,31.5,32.81,1010.99,0.00,1005.26,10.00,3.7,2.30,340,71
48373,SI SAMRONG AGROMET.,ศรีสำโรง สกษ.,สุโขทัย,17.16136,99.86167,24.9,10-05-2019,13:00:00,32.0,31.52,1009.91,0.00,1003.81,8.00,7.4,0.20,310,66
48374,LOM SAK,หล่มสัก,เพชรบูรณ์,16.77361,101.24944,22.6,10-05-2019,13:00:00,33.5,27.43,1009.98,0.00,993.85,10.00,5.6,0.00,060,53
48375,MAE SOT,แม่สอด,ตาก,16.65917,98.55083,22.4,10-05-2019,13:00:00,30.5,27.14,1008.00,0.00,985.92,10.00,0.0,0.30,000,62
48376,TAK,ตาก,ตาก,16.87833,99.14333,23.1,10-05-2019,13:00:00,29.8,28.26,1011.13,0.00,996.82,10.00,0.0,41.40,000,67
48377,BHUMIBOL DAM,เขื่อนภูมิพล,ตาก,17.24389,99.00250,21.9,10-05-2019,13:00:00,31.5,26.32,1009.96,0.00,993.77,12.00,0.0,26.70,000,57
48378,PHITSANULOK,พิษณุโลก,พิษณุโลก,16.79481,100.27930,22.8,10-05-2019,13:00:00,30.7,27.79,1010.28,0.00,1005.10,8.00,5.6,2.30,230,63
48379,PHETCHABUN,เพชรบูรณ์,เพชรบูรณ์,16.43333,101.15000,23.4,10-05-2019,13:00:00,33.9,28.80,1008.12,0.00,995.21,12.00,5.6,0.00,060,54
48380,KAMPHAENG PHET,กำแพงเพชร,กำแพงเพชร,16.48681,99.52697,22.9,10-05-2019,13:00:00,29.6,27.88,1010.34,0.00,1001.06,12.00,3.7,60.80,320,67
48381,KHON KAEN,ขอนแก่น,ขอนแก่น,16.46111,102.78972,23.3,10-05-2019,13:00:00,29.0,28.64,1010.62,0.00,989.01,9.00,0.0,6.00,000,72
48382,MAHASARAKHAM,มหาสารคาม,มหาสารคาม,16.24722,103.06805,23.5,10-05-2019,13:00:00,33.3,29.01,1010.54,0.00,993.34,10.00,11.1,0.00,120,57
48383,MUKDAHAN,มุกดาหาร,มุกดาหาร,16.54139,104.72889,24.5,10-05-2019,13:00:00,31.8,30.81,1009.65,0.00,994.02,12.00,5.6,0.00,140,66
48384,THA PHRA AGROMET.,ท่าพระ สกษ.,ขอนแก่น,16.33333,102.81667,25.2,10-05-2019,13:00:00,31.1,31.97,1009.86,0.00,991.18,10.00,3.7,40.10,020,71
48385,UMPHANG,อุ้มผาง,ตาก,16.02472,98.86444,22.4,10-05-2019,13:00:00,30.5,27.14,1009.83,0.00,959.26,11.00,0.0,0.00,000,62
48386,PICHIT AGROMET.,พิจิตร สกษ.,พิจิตร,16.43806,100.29250,24.5,10-05-2019,13:00:00,31.8,30.81,1009.70,0.00,1005.79,4.00,7.4,0.20,320,66
48387,DOI MU SOE AGROMET.,ดอยมูเซอร์ สกษ.,ตาก,16.75000,98.93333,20.4,10-05-2019,13:00:00,24.4,23.97,1010.03,0.00,915.53,8.00,0.0,17.00,000,78
48390,KALASIN,กาฬสินธุ์,กาฬสินธุ์,16.33250,103.58833,24.5,10-05-2019,13:00:00,31.2,30.73,1010.25,0.00,994.44,10.00,0.0,8.10,000,68
48400,NAKHON SAWAN,นครสวรรค์ ,นครสวรรค์,15.67183,100.13236,24.7,10-05-2019,13:00:00,31.0,31.19,1010.02,0.00,1006.03,8.00,0.0,0.30,000,69
48401,TAKFA AGROMET.,ตากฟ้า สกษ.,นครสวรรค์,15.34944,100.53028,23.0,10-05-2019,13:00:00,23.7,28.01,1011.64,32.30,1000.80,2.00,0.0,32.40,000,96
48402,CHAINAT AGROMET.,ชัยนาท สกษ.,ชัยนาท,15.15000,100.18333,24.0,10-05-2019,13:00:00,30.5,29.89,1009.03,0.00,1007.12,9.00,0.0,0.00,000,68
48403,CHAIYAPHUM,ชัยภูมิ,ชัยภูมิ,15.80000,102.03333,22.8,10-05-2019,13:00:00,25.9,27.74,1011.46,0.30,990.44,8.00,0.0,0.30,000,83
48404,ROI ET AGROMET.,ร้อยเอ็ด สกษ.,ร้อยเอ็ด,16.07322,103.60844,22.8,10-05-2019,13:00:00,31.0,27.82,1010.05,0.00,992.56,10.00,11.1,0.00,050,62
48405,ROI ET,ร้อยเอ็ด,ร้อยเอ็ด,16.02000,103.74389,22.9,10-05-2019,13:00:00,31.3,27.85,1009.76,0.00,993.78,10.00,13.0,0.30,110,61
48407,UBON RATCHATHANI,อุบลราชธานี (ศูนย์ฯ),อุบลราชธานี,15.25000,104.86667,22.3,10-05-2019,13:00:00,29.4,26.97,1010.24,0.00,996.27,10.00,5.6,3.30,100,66
48408,UBON RATCHATHANI AGROMET.,อุบลราชธานี สกษ.,อุบลราชธานี,15.23914,105.02350,23.7,10-05-2019,13:00:00,28.5,29.33,1011.07,0.00,996.25,8.00,0.0,8.00,000,75
48409,SI SAKET AGROMET.,ศรีสะเกษ,ศรีสะเกษ,15.00000,104.05000,24.2,10-05-2019,13:00:00,30.2,30.14,1010.15,0.00,995.59,10.00,7.4,0.01,150,70
48410,UTHAITHANI,อุทัยธานี,อุทัยธานี,15.37417,100.03889,23.8,10-05-2019,13:00:00,32.1,29.42,1009.61,0.00,1006.63,8.00,0.0,0.00,"{'0': '   ', '@attributes': {'Unit': 'degree'}}",62
