WmoStationNumber,StationNameEnglish,StationNameThai,Province,Latitude,Longitude,Rainfall,Date,Time,MeanSeaLevelPressure,StationPressure,DewPoint,RelativeHumidity,LandVisibility,VaporPressure,Rainfall24Hr,WindDirection,AirTemperature,WindSpeed
48300,MAE HONG SON,แม่ฮ่องสอน,แม่ฮ่องสอน,19.29897,97.97578,0.00,07-28-2019,04:00:00,1007.32,976.23,23.4,94,7.00,28.71,4.40,000,24.4,0.0
48302,DOI ANG KANG,ดอยอ่างขาง,เชียงใหม่,19.93139,99.04833,0.00,07-28-2019,04:00:00,1005.79,843.83,16.7,98,8.00,18.95,25.30,280,17.0,9.3
48303,CHIANG RAI,เชียงราย,เชียงราย,19.96139,99.88139,0.00,07-28-2019,04:00:00,1006.80,962.78,21.6,93,12.00,25.76,6.20,000,22.8,0.0
48304,CHAING RAI AGROMET.,เชียงราย สกษ.,เชียงราย,19.87083,99.78278,0.00,07-28-2019,04:00:00,1007.26,961.26,21.7,95,10.00,26.01,14.60,000,22.5,0.0
48307,THUNG CHANG,ทุ่งช้าง,น่าน,19.41194,100.88353,0.00,07-28-2019,04:00:00,1006.58,968.69,23.2,98,5.00,28.42,3.40,000,23.5,0.0
48310,PHAYAO,พะเยา,พะเยา,19.13333,99.90000,0.00,07-28-2019,04:00:00,1008.12,962.45,20.5,91,7.00,24.03,9.80,000,22.0,0.0
48315,THA WANGPHA,ท่าวังผา,น่าน,19.11056,100.80250,0.00,07-28-2019,04:00:00,1008.23,981.11,21.2,95,7.00,25.21,1.20,000,22.0,0.0
48324,THOEN,เถิน,ลำปาง,17.63661,99.24475,0.00,07-28-2019,04:00:00,1007.38,985.46,23.0,93,10.00,28.10,0.80,090,24.2,3.7
48325,MAE SARIANG,แม่สะเรียง,แม่ฮ่องสอน,18.16667,97.93333,0.00,07-28-2019,04:00:00,1007.50,983.26,23.7,94,5.00,29.25,0.60,000,24.7,0.0
48327,CHIANG MAI,เชียงใหม่,เชียงใหม่,18.79000,98.97694,0.00,07-28-2019,04:00:00,1007.77,972.90,22.2,95,10.00,26.74,11.80,000,23.1,0.0
48328,LAMPANG,ลำปาง,ลำปาง,18.28333,99.51667,0.00,07-28-2019,04:00:00,1007.80,980.00,23.0,97,10.00,28.17,15.60,000,23.5,0.0
48329,LAMPHUN,ลำพูน,ลำพูน,18.56722,99.03389,0.00,07-28-2019,04:00:00,1007.49,973.62,23.0,97,10.00,28.17,6.00,000,23.5,0.0
48330,PHRAE,แพร่,แพร่,18.16667,100.16667,0.00,07-28-2019,04:00:00,1007.46,988.73,22.3,96,10.00,26.91,15.20,000,22.9,0.0
48331,NAN,น่าน,น่าน,18.77972,100.77778,0.00,07-28-2019,04:00:00,1007.59,984.46,22.2,98,6.00,26.74,3.20,000,22.5,0.0
48333,NAN AGROMET.,น่าน สกษ.,น่าน,18.86667,100.75000,0.00,07-28-2019,04:00:00,1007.81,977.37,20.2,95,7.00,23.69,3.30,000,21.0,0.0
48334,LAMPANG AGROMET.,ลำปาง สกษ.,ลำปาง,18.31667,99.28333,0.00,07-28-2019,04:00:00,1007.72,971.92,23.1,96,4.00,28.18,10.00,000,23.8,0.0
48350,LOEI AGROMET.,เลย สกษ.,เลย,17.40000,101.73333,0.00,07-28-2019,04:00:00,1006.46,976.34,20.5,91,10.00,24.03,0.00,000,22.0,0.0
48351,UTTARADIT,อุตรดิตถ์,อุตรดิตถ์,17.61667,100.10000,0.00,07-28-2019,04:00:00,1008.29,1000.89,22.8,96,8.00,27.66,3.20,000,23.5,0.0
48352,NONG KHAI,หนองคาย,หนองคาย,17.86717,102.73303,0.00,07-28-2019,04:00:00,1005.82,985.86,22.9,86,10.00,27.89,0.00,260,25.4,5.6
48353,LOEI,เลย,เลย,17.45000,101.73333,0.00,07-28-2019,04:00:00,1006.12,977.16,21.5,91,12.00,25.60,0.00,270,23.0,3.7
48354,UDON THANI,อุดรธานี,อุดรธานี,17.38333,102.80000,0.00,07-28-2019,04:00:00,1006.32,986.00,21.4,84,12.00,25.51,0.00,000,24.3,0.0
48355,SAKON NAKHON AGROMET.,สกลนคร สกษ.,สกลนคร,17.12503,104.06100,0.00,07-28-2019,04:00:00,1005.95,984.21,23.3,84,12.00,28.54,0.00,240,26.2,5.6
48356,SAKON NAKHON,สกลนคร,สกลนคร,17.15000,104.13333,0.00,07-28-2019,04:00:00,1005.51,986.03,23.1,82,10.00,28.29,0.00,000,26.5,0.0
48357,NAKHON PHANOM,นครพนม,นครพนม,17.41083,104.78250,0.01,07-28-2019,04:00:00,1006.53,989.75,25.0,93,10.00,31.76,11.30,000,26.2,0.0
