WmoStationNumber,StationNameEnglish,StationNameThai,Province,Latitude,Longitude,DewPoint,Date,Time,StationPressure,WindSpeed,Rainfall,Rainfall24Hr,RelativeHumidity,LandVisibility,VaporPressure,MeanSeaLevelPressure,AirTemperature,WindDirection
48300,MAE HONG SON,แม่ฮ่องสอน,แม่ฮ่องสอน,19.29897,97.97578,23.6,07-15-2019,22:00:00,973.51,1.9,0.00,0.20,77,10.00,29.11,1004.13,28.1,120
48302,DOI ANG KANG,ดอยอ่างขาง,เชียงใหม่,19.93139,99.04833,17.6,07-15-2019,22:00:00,842.65,29.6,0.00,0.00,83,8.00,20.07,1002.34,20.5,270
48303,CHIANG RAI,เชียงราย,เชียงราย,19.96139,99.88139,22.7,07-15-2019,22:00:00,959.24,0.0,0.00,0.00,66,15.00,27.63,1002.05,29.9,000
48304,CHAING RAI AGROMET.,เชียงราย สกษ.,เชียงราย,19.87083,99.78278,24.4,07-15-2019,22:00:00,957.51,0.0,0.00,0.00,81,12.00,30.56,1002.47,28.0,000
48307,THUNG CHANG,ทุ่งช้าง,น่าน,19.41194,100.88353,24.0,07-15-2019,22:00:00,965.21,0.0,0.00,0.00,83,8.00,29.85,1002.49,27.2,000
48310,PHAYAO,พะเยา,พะเยา,19.13333,99.90000,22.6,07-15-2019,22:00:00,958.24,18.5,0.00,0.00,71,10.00,27.44,1002.70,28.5,150
48315,THA WANGPHA,ท่าวังผา,น่าน,19.11056,100.80250,24.5,07-15-2019,22:00:00,977.66,5.6,0.00,0.00,75,10.00,30.72,1004.01,29.5,180
48324,THOEN,เถิน,ลำปาง,17.63661,99.24475,21.6,07-15-2019,22:00:00,983.91,7.4,0.00,1.10,66,15.00,25.86,1005.48,28.5,210
48325,MAE SARIANG,แม่สะเรียง,แม่ฮ่องสอน,18.16667,97.93333,22.6,07-15-2019,22:00:00,982.58,0.0,0.00,0.50,82,8.00,27.40,1006.69,26.0,000
48327,CHIANG MAI,เชียงใหม่,เชียงใหม่,18.79000,98.97694,21.8,07-15-2019,22:00:00,969.95,3.7,0.00,0.00,63,10.00,26.09,1003.97,29.5,190
