WmoStationNumber,StationNameEnglish,StationNameThai,Province,Latitude,Longitude,Rainfall,Date,Time,StationPressure,VaporPressure,DewPoint,AirTemperature,WindSpeed,MeanSeaLevelPressure,LandVisibility,RelativeHumidity,MaximumTemperature,Rainfall24Hr,WindDirection
48300,MAE HONG SON,แม่ฮ่องสอน,แม่ฮ่องสอน,19.29897,97.97578,0.00,07-20-2019,19:00:00,971.64,33.40,25.9,31.5,0.0,1001.86,15.00,72,35.3,0.00,000
48302,DOI ANG KANG,ดอยอ่างขาง,เชียงใหม่,19.93139,99.04833,0.00,07-20-2019,19:00:00,842.54,22.05,19.1,23.0,11.1,1000.77,8.00,79,25.5,0.00,270
48303,CHIANG RAI,เชียงราย,เชียงราย,19.96139,99.88139,0.00,07-20-2019,19:00:00,958.10,30.28,24.2,33.5,3.7,1000.35,15.00,59,36.0,0.00,020
48304,CHAING RAI AGROMET.,เชียงราย สกษ.,เชียงราย,19.87083,99.78278,0.00,07-20-2019,19:00:00,956.38,31.87,25.1,33.0,0.0,1000.55,15.00,63,36.3,0.00,000
48307,THUNG CHANG,ทุ่งช้าง,น่าน,19.41194,100.88353,0.00,07-20-2019,19:00:00,965.54,26.77,22.2,34.3,0.0,1001.96,10.00,49,39.0,0.00,000
48310,PHAYAO,พะเยา,พะเยา,19.13333,99.90000,0.00,07-20-2019,19:00:00,956.96,28.09,23.0,31.0,0.0,1001.00,10.00,63,34.4,0.00,000
48315,THA WANGPHA,ท่าวังผา,น่าน,19.11056,100.80250,0.00,07-20-2019,19:00:00,975.42,34.13,26.3,35.4,0.0,1001.20,10.00,59,38.5,0.00,000
48324,THOEN,เถิน,ลำปาง,17.63661,99.24475,0.01,07-20-2019,19:00:00,980.06,27.85,22.9,34.7,3.7,1001.11,15.00,50,39.2,0.01,150
48325,MAE SARIANG,แม่สะเรียง,แม่ฮ่องสอน,18.16667,97.93333,0.00,07-20-2019,19:00:00,979.62,28.91,23.5,30.0,0.0,1003.34,10.00,68,35.5,0.00,000
48327,CHIANG MAI,เชียงใหม่,เชียงใหม่,18.79000,98.97694,0.00,07-20-2019,19:00:00,966.86,26.36,22.0,34.8,3.7,1000.17,12.00,47,39.5,0.00,240
48328,LAMPANG,ลำปาง,ลำปาง,18.28333,99.51667,0.00,07-20-2019,19:00:00,974.77,28.43,23.2,34.7,0.0,1001.41,10.00,51,40.3,0.00,000
48329,LAMPHUN,ลำพูน,ลำพูน,18.56722,99.03389,0.00,07-20-2019,19:00:00,967.76,29.50,23.8,32.7,0.0,1000.40,15.00,60,40.2,0.00,000
48330,PHRAE,แพร่,แพร่,18.16667,100.16667,0.00,07-20-2019,19:00:00,982.97,27.59,22.7,33.3,5.6,1000.96,12.00,54,37.9,0.00,220
48331,NAN,น่าน,น่าน,18.77972,100.77778,0.00,07-20-2019,19:00:00,978.56,31.36,24.8,34.7,0.0,1000.64,10.00,57,39.0,0.00,000
48333,NAN AGROMET.,น่าน สกษ.,น่าน,18.86667,100.75000,0.00,07-20-2019,19:00:00,971.92,28.80,23.4,34.6,0.0,1000.83,12.00,52,37.6,0.00,000
48334,LAMPANG AGROMET.,ลำปาง สกษ.,ลำปาง,18.31667,99.28333,0.00,07-20-2019,19:00:00,965.99,27.19,22.5,35.5,0.0,1000.21,8.00,47,38.0,0.00,000
48350,LOEI AGROMET.,เลย สกษ.,เลย,17.40000,101.73333,0.00,07-20-2019,19:00:00,972.88,32.69,25.5,27.1,3.7,1002.38,14.00,91,37.6,2.60,250
48351,UTTARADIT,อุตรดิตถ์,อุตรดิตถ์,17.61667,100.10000,0.00,07-20-2019,19:00:00,994.09,29.71,23.9,34.2,0.0,1001.18,10.00,55,37.9,0.00,000
48352,NONG KHAI,หนองคาย,หนองคาย,17.86717,102.73303,0.00,07-20-2019,19:00:00,982.84,34.99,26.7,32.5,0.0,1002.28,14.00,72,36.4,0.00,000
48353,LOEI,เลย,เลย,17.45000,101.73333,0.01,07-20-2019,19:00:00,974.29,31.13,24.7,29.0,3.7,1002.59,15.00,78,38.1,0.01,100
48354,UDON THANI,อุดรธานี,อุดรธานี,17.38333,102.80000,0.00,07-20-2019,19:00:00,982.77,33.12,25.8,32.2,3.7,1002.49,12.00,69,35.5,1.20,070
48355,SAKON NAKHON AGROMET.,สกลนคร สกษ.,สกลนคร,17.12503,104.06100,0.00,07-20-2019,19:00:00,982.70,31.21,24.8,28.9,0.0,1004.21,12.00,78,35.6,0.00,000
48356,SAKON NAKHON,สกลนคร,สกลนคร,17.15000,104.13333,0.00,07-20-2019,19:00:00,983.95,28.86,23.5,28.4,0.0,1003.26,12.00,75,34.5,0.00,000
48357,NAKHON PHANOM,นครพนม,นครพนม,17.41083,104.78250,0.00,07-20-2019,19:00:00,987.66,33.50,25.9,32.1,3.7,1004.07,11.00,70,34.6,0.00,110
48358,NAKHON PHANOM AGROMET.,นครพนม สกษ.,นครพนม,17.44306,104.77361,0.00,07-20-2019,19:00:00,986.89,32.75,25.6,30.5,0.0,1004.04,10.00,75,34.2,0.00,000
48360,NONG BUA LAM PHU,หนองบัวลำภู,หนองบัวลำภู,17.23250,102.42944,0.00,07-20-2019,19:00:00,977.94,30.31,24.3,30.0,0.0,1003.35,11.00,71,38.0,0.00,000
