WmoStationNumber,StationNameEnglish,StationNameThai,Province,Latitude,Longitude,AirTemperature,Date,Time,MeanSeaLevelPressure,WindDirection,WindSpeed,Rainfall24Hr,VaporPressure,StationPressure,DewPoint,Rainfall,LandVisibility,RelativeHumidity
48329,LAMPHUN,ลำพูน,ลำพูน,18.56722,99.03389,31.6,09-15-2019,13:00:00,1006.61,000,0.0,28.50,29.55,973.66,23.8,0.00,15.00,64
48330,PHRAE,แพร่,แพร่,18.16667,100.16667,33.6,09-15-2019,13:00:00,1005.83,300,3.7,0.00,30.49,987.77,24.4,0.00,12.00,59
48331,NAN,น่าน,น่าน,18.77972,100.77778,34.3,09-15-2019,13:00:00,1006.18,000,0.0,0.00,28.47,983.96,23.2,0.00,10.00,53
48333,NAN AGROMET.,น่าน สกษ.,น่าน,18.86667,100.75000,33.5,09-15-2019,13:00:00,1006.11,270,5.6,0.00,28.84,976.94,23.4,0.00,12.00,56
48334,LAMPANG AGROMET.,ลำปาง สกษ.,ลำปาง,18.31667,99.28333,32.3,09-15-2019,13:00:00,1006.54,000,0.0,0.20,28.98,971.76,23.5,0.00,8.00,60
48350,LOEI AGROMET.,เลย สกษ.,เลย,17.40000,101.73333,32.0,09-15-2019,13:00:00,1006.08,070,7.4,0.00,31.52,976.94,24.9,0.00,17.00,66
48351,UTTARADIT,อุตรดิตถ์,อุตรดิตถ์,17.61667,100.10000,34.8,09-15-2019,13:00:00,1006.11,000,0.0,0.00,28.63,998.99,23.3,0.00,11.00,51
48352,NONG KHAI,หนองคาย,หนองคาย,17.86717,102.73303,33.5,09-15-2019,13:00:00,1006.83,040,9.3,0.00,28.84,987.37,23.4,0.00,18.00,56
48353,LOEI,เลย,เลย,17.45000,101.73333,33.0,09-15-2019,13:00:00,1006.52,120,5.6,3.50,28.68,978.47,23.3,0.00,15.00,57
48354,UDON THANI,อุดรธานี,อุดรธานี,17.38333,102.80000,32.5,09-15-2019,13:00:00,1007.38,060,5.6,16.90,26.04,987.58,21.8,0.00,15.00,53
48355,SAKON NAKHON AGROMET.,สกลนคร สกษ.,สกลนคร,17.12503,104.06100,31.5,09-15-2019,13:00:00,1007.35,110,5.6,0.00,26.32,985.95,21.9,0.00,15.00,57
48356,SAKON NAKHON,สกลนคร,สกลนคร,17.15000,104.13333,31.5,09-15-2019,13:00:00,1006.75,190,5.6,0.00,25.51,987.56,21.4,0.00,15.00,55
48357,NAKHON PHANOM,นครพนม,นครพนม,17.41083,104.78250,33.3,09-15-2019,13:00:00,1006.98,090,3.7,0.00,24.84,990.59,21.0,0.00,12.00,49
48358,NAKHON PHANOM AGROMET.,นครพนม สกษ.,นครพนม,17.44306,104.77361,32.8,09-15-2019,13:00:00,1007.17,140,3.7,0.00,23.91,990.09,20.4,0.00,12.00,48
48360,NONG BUA LAM PHU,หนองบัวลำภู,หนองบัวลำภู,17.23250,102.42944,31.8,09-15-2019,13:00:00,1005.92,120,7.4,5.00,28.82,980.59,23.4,0.00,15.00,61
48372,SUKHOTHAI*,สุโขทัย,สุโขทัย,17.10611,99.80000,33.5,09-15-2019,13:00:00,1006.46,000,0.0,0.50,34.77,1000.80,26.6,0.00,10.00,67
48373,SI SAMRONG AGROMET.,ศรีสำโรง สกษ.,สุโขทัย,17.16136,99.86167,33.0,09-15-2019,13:00:00,1006.45,000,0.0,0.60,30.69,1000.38,24.5,0.00,12.00,61
48374,LOM SAK,หล่มสัก,เพชรบูรณ์,16.77361,101.24944,32.8,09-15-2019,13:00:00,1007.03,000,0.0,0.00,28.00,990.90,23.0,0.00,12.00,56
48375,MAE SOT,แม่สอด,ตาก,16.65917,98.55083,33.3,09-15-2019,13:00:00,1004.21,050,11.1,8.20,27.59,982.41,22.7,0.00,10.00,54
48376,TAK,ตาก,ตาก,16.87833,99.14333,33.0,09-15-2019,13:00:00,1007.20,130,3.7,11.00,31.28,993.09,24.8,0.00,8.00,62
48377,BHUMIBOL DAM,เขื่อนภูมิพล,ตาก,17.24389,99.00250,34.0,09-15-2019,13:00:00,1006.15,120,9.3,0.00,29.00,990.15,23.5,0.00,8.00,55
48378,PHITSANULOK,พิษณุโลก,พิษณุโลก,16.79481,100.27930,33.3,09-15-2019,13:00:00,1006.47,250,11.1,6.30,34.33,1001.36,26.4,0.00,10.00,67
48379,PHETCHABUN,เพชรบูรณ์,เพชรบูรณ์,16.43333,101.15000,34.3,09-15-2019,13:00:00,1004.87,010,5.6,4.00,30.21,992.02,24.2,0.00,12.00,56
48380,KAMPHAENG PHET,กำแพงเพชร,กำแพงเพชร,16.48681,99.52697,33.1,09-15-2019,13:00:00,1006.40,080,9.3,0.00,30.32,997.26,24.3,0.00,12.00,60
48381,KHON KAEN,ขอนแก่น,ขอนแก่น,16.46111,102.78972,32.8,09-15-2019,13:00:00,1007.03,090,9.3,0.00,28.56,985.76,23.3,0.00,10.00,57
48382,MAHASARAKHAM,มหาสารคาม,มหาสารคาม,16.24722,103.06805,32.5,09-15-2019,13:00:00,1005.30,200,7.4,0.00,31.11,988.14,24.7,0.00,12.00,64
48383,MUKDAHAN,มุกดาหาร,มุกดาหาร,16.54139,104.72889,32.5,09-15-2019,13:00:00,1006.43,070,3.7,3.20,30.24,990.89,24.2,0.00,12.00,62
48384,THA PHRA AGROMET.,ท่าพระ สกษ.,ขอนแก่น,16.33333,102.81667,32.9,09-15-2019,13:00:00,1005.92,000,0.0,0.00,30.78,987.42,24.5,0.00,12.00,62
48385,UMPHANG,อุ้มผาง,ตาก,16.02472,98.86444,31.2,09-15-2019,13:00:00,1006.22,000,0.0,26.40,26.56,955.94,22.1,0.00,12.00,58
48386,PICHIT AGROMET.,พิจิตร สกษ.,พิจิตร,16.43806,100.29250,33.8,09-15-2019,13:00:00,1005.88,090,7.4,0.90,29.46,1002.01,23.8,0.00,7.00,56
48387,DOI MU SOE AGROMET.,ดอยมูเซอร์ สกษ.,ตาก,16.75000,98.93333,27.0,09-15-2019,13:00:00,1006.22,060,13.0,2.60,24.54,912.84,20.8,0.00,9.00,69
48390,KALASIN,กาฬสินธุ์,กาฬสินธุ์,16.33250,103.58833,32.2,09-15-2019,13:00:00,1006.57,130,3.7,8.90,32.82,990.86,25.6,0.00,12.00,68
48400,NAKHON SAWAN,นครสวรรค์ ,นครสวรรค์,15.67183,100.13236,33.5,09-15-2019,13:00:00,1006.41,150,5.6,0.00,32.65,1002.46,25.5,0.00,12.00,63
48401,TAKFA AGROMET.,ตากฟ้า สกษ.,นครสวรรค์,15.34944,100.53028,33.3,09-15-2019,13:00:00,1006.96,130,7.4,4.90,29.29,996.51,23.7,0.00,10.00,57
48402,CHAINAT AGROMET.,ชัยนาท สกษ.,ชัยนาท,15.15000,100.18333,32.7,09-15-2019,13:00:00,1006.55,000,0.0,7.40,30.07,1004.65,24.1,0.00,12.00,61
48403,CHAIYAPHUM,ชัยภูมิ,ชัยภูมิ,15.80000,102.03333,33.0,09-15-2019,13:00:00,1006.32,040,9.3,0.00,26.17,985.89,21.8,0.00,12.00,52
48404,ROI ET AGROMET.,ร้อยเอ็ด สกษ.,ร้อยเอ็ด,16.07322,103.60844,30.8,09-15-2019,13:00:00,1006.59,080,11.1,0.00,30.78,989.16,24.5,0.00,10.00,69
48405,ROI ET,ร้อยเอ็ด,ร้อยเอ็ด,16.02000,103.74389,31.1,09-15-2019,13:00:00,1006.58,080,13.0,0.00,31.10,990.65,24.7,0.00,10.00,69
48407,UBON RATCHATHANI,อุบลราชธานี (ศูนย์ฯ),อุบลราชธานี,15.25000,104.86667,31.8,09-15-2019,13:00:00,1006.68,130,7.4,1.10,30.24,992.87,24.2,0.00,10.00,64
48408,UBON RATCHATHANI AGROMET.,อุบลราชธานี สกษ.,อุบลราชธานี,15.23914,105.02350,31.0,09-15-2019,13:00:00,1007.28,000,0.0,0.80,30.90,992.64,24.6,0.00,10.00,69
48409,SI SAKET AGROMET.,ศรีสะเกษ,ศรีสะเกษ,15.00000,104.05000,30.5,09-15-2019,13:00:00,1007.68,000,0.0,0.00,34.52,993.17,26.5,0.00,10.00,79
48410,UTHAITHANI,อุทัยธานี,อุทัยธานี,15.37417,100.03889,34.0,09-15-2019,13:00:00,1006.55,"{'@attributes': {'Unit': 'degree'}, '0': '   '}",0.0,3.60,30.16,1003.60,24.2,0.00,10.00,57
48413,WICHIAN BURI,วิเชียรบุรี,เพชรบูรณ์,15.65700,101.10800,29.3,09-15-2019,13:00:00,1005.87,000,0.0,11.70,29.49,997.99,23.8,2.50,10.00,72
48415,AYUTTHAYA,พระนครศรีอยุธยา,พระนครศรีอยุธยา,14.53472,100.72500,33.4,09-15-2019,13:00:00,1005.83,010,5.6,0.00,33.63,1004.74,26.0,0.00,9.00,65
48416,THA TUM,ท่าตูม,สุรินทร์,15.31667,103.68333,31.5,09-15-2019,13:00:00,1006.73,000,0.0,0.00,33.40,992.26,25.9,0.00,8.00,72
48417,NAKORNNAYOK,นครนายก,นครนายก,14.36222,101.39278,23.8,09-15-2019,13:00:00,1005.36,050,7.4,14.20,22.09,872.37,19.1,0.01,8.00,75
48418,BUA CHUM,บัวชุม  ,ลพบุรี,15.26667,101.18736,33.5,09-15-2019,13:00:00,1005.76,050,7.4,0.00,31.16,1000.02,24.7,0.00,10.00,60
48419,PATHUMTHANI,ปทุมธานี สกษ.,ปทุมธานี,14.10000,100.61667,35.4,09-15-2019,13:00:00,1005.89,090,5.6,0.50,31.68,1005.11,25.0,0.00,12.00,55
48420,Samut Prakarn,สมุทรปราการ สกษ.,สมุทรปราการ,13.51667,100.76167,32.0,09-15-2019,13:00:00,1005.55,230,7.4,2.30,34.49,1005.11,26.4,0.00,10.00,73
48421,THONG PHAPHUM,ทองผาภูมิ,กาญจนบุรี,14.74222,98.63639,32.5,09-15-2019,13:00:00,1006.38,000,0.0,22.80,31.69,995.29,25.0,0.00,10.00,65
48425,SUPHAN BURI,สุพรรณบุรี,สุพรรณบุรี,14.47444,100.13889,33.5,09-15-2019,13:00:00,1006.18,030,7.4,0.00,33.25,1005.19,25.8,0.00,12.00,64
48426,LOP BURI,ลพบุรี,ลพบุรี,14.79972,100.64500,33.8,09-15-2019,13:00:00,1006.17,110,3.7,3.50,30.33,1004.39,24.3,0.00,9.00,58
48427,U THONG AGROMET.,อู่ทอง สกษ.,สุพรรณบุรี,14.30361,99.86472,33.2,09-15-2019,13:00:00,1005.78,000,0.0,1.00,29.37,1005.03,23.7,0.00,9.00,58
48429,SUVARNABHUMI AIRPORT,สนามบินสุวรรณภูมิ,สมุทรปราการ,13.68639,100.76750,32.2,09-15-2019,13:00:00,1006.13,110,5.6,10.00,29.63,1005.44,23.9,0.00,10.00,62
48430,PRACHIN BURI,ปราจีนบุรี,ปราจีนบุรี,14.05842,101.36930,32.5,09-15-2019,13:00:00,1005.66,000,0.0,26.60,33.17,1004.97,25.8,0.00,8.00,68
48431,NAKHON RATCHASIMA,นครราชสีมา,นครราชสีมา,14.96830,102.08603,32.4,09-15-2019,13:00:00,1006.01,080,9.3,0.00,26.94,985.24,22.3,0.00,12.00,55
48432,SURIN,สุรินทร์,สุรินทร์,14.88333,103.50000,31.2,09-15-2019,13:00:00,1006.61,040,5.6,0.00,31.31,990.13,24.8,0.00,12.00,69
48433,SURIN AGROMET.,สุรินทร์ สกษ.,สุรินทร์,14.88333,103.45000,30.8,09-15-2019,13:00:00,1007.01,050,5.6,11.40,33.39,990.78,25.9,0.00,12.00,75
48434,CHOK CHAI,โชคชัย,นครราชสีมา,14.71889,102.16861,33.5,09-15-2019,13:00:00,1005.84,040,9.3,3.00,30.28,984.47,24.2,0.00,12.00,59
48435,PAKCHONG AGROMET.,ปากช่อง สกษ.,นครราชสีมา,14.64389,101.33194,30.9,09-15-2019,13:00:00,1005.79,070,9.3,14.70,28.17,963.15,23.1,0.00,15.00,63
48436,NANG RONG,นางรอง,บุรีรัมย์,14.58333,102.80000,32.0,09-15-2019,13:00:00,1005.85,340,5.6,0.00,31.52,985.65,24.9,0.00,10.00,66
48437,BURIRUM,บุรีรัมย์,บุรีรัมย์,15.22575,103.24808,31.7,09-15-2019,13:00:00,1007.96,040,9.3,3.20,35.34,987.45,26.8,0.00,10.00,76
48438,SAMUTSONGKRAM,สมุทรสงคราม,สมุทรสงคราม,13.40778,100.03222,32.5,09-15-2019,13:00:00,1005.73,150,7.4,6.00,32.28,1005.31,25.3,0.00,10.00,66
48439,KABIN BURI,กบินทร์บุรี,ปราจีนบุรี,13.98333,101.70722,33.6,09-15-2019,13:00:00,1005.48,000,0.0,13.20,31.97,1004.09,25.2,0.00,11.00,61
48440,SA KAEW,สระแก้ว,สระแก้ว,13.78889,102.03472,33.0,09-15-2019,13:00:00,1005.41,120,9.3,8.30,32.76,1000.58,25.6,0.00,10.00,65
48450,KANCHANA BURI,กาญจนบุรี,กาญจนบุรี,14.02250,99.53583,33.4,09-15-2019,13:00:00,1005.99,230,3.7,20.90,30.37,1002.77,24.3,0.00,12.00,59
48451,NAKHONPATHOM,นครปฐม,นครปฐม,14.01167,99.97000,32.5,09-15-2019,13:00:00,1006.02,000,0.0,36.60,32.58,1004.94,25.5,0.00,10.00,67
48453,BANG NA AGROMET.,กรุงเทพฯ บางนา สกษ.,กรุงเทพมหานคร,13.66639,100.60611,32.7,09-15-2019,13:00:00,1005.84,220,9.3,2.70,31.82,1005.55,25.1,0.00,10.00,64
48454,BANGKOK PORT (KLONG TOEI),กรุงเทพฯ ท่าเรือคลองเตย,กรุงเทพมหานคร,13.70694,100.56805,32.5,09-15-2019,13:00:00,1005.59,250,5.6,13.30,32.28,1004.91,25.3,0.00,10.00,66
48455,BANGKOK METROPOLIS,กรุงเทพมหานคร,กรุงเทพมหานคร,13.72639,100.56000,32.5,09-15-2019,13:00:00,1004.84,120,3.7,31.80,31.98,1004.36,25.2,0.00,10.00,65
48456,DON MUANG AIRPORT,สนามบินดอนเมือง,กรุงเทพมหานคร,13.91917,100.60500,33.2,09-15-2019,13:00:00,1005.87,080,14.8,4.60,30.53,1004.50,24.4,0.00,10.00,60
48457,PILOT STATION,นำร่อง,สมุทรปราการ,13.39389,100.59944,30.2,09-15-2019,13:00:00,1006.32,230,11.1,0.00,35.97,1004.66,27.1,0.00,10.00,84
48458,CHACHOENGSAO,ฉะเชิงเทรา,ฉะเชิงเทรา,13.51556,101.45833,31.2,09-15-2019,13:00:00,1007.58,000,0.0,11.60,32.18,999.69,25.3,0.00,10.00,71
48459,CHON BURI,ชลบุรี,ชลบุรี,13.36667,100.98333,31.2,09-15-2019,13:00:00,1005.40,270,9.3,3.50,33.65,1005.12,26.0,0.00,10.00,74
48460,KO SICHANG,เกาะสีชัง,ชลบุรี,13.16167,100.80194,30.0,09-15-2019,13:00:00,1005.88,290,5.6,35.00,30.31,1002.78,24.3,0.00,10.00,71
48461,PHATTHAYA,พัทยา,ชลบุรี,12.92000,100.86944,28.5,09-15-2019,13:00:00,1006.33,270,9.3,3.40,31.54,999.43,24.9,0.00,12.00,81
48462,ARANYA PRATHET,อรัญประเทศ,สระแก้ว,13.70000,102.58333,33.7,09-15-2019,13:00:00,1005.29,070,9.3,3.10,33.69,999.82,26.0,0.00,10.00,64
48463,LAEM CHABANG,แหลมฉบัง,ชลบุรี,13.07694,100.87583,31.0,09-15-2019,13:00:00,1007.40,290,16.7,17.00,33.52,998.21,26.0,0.00,10.00,75
48464,RATCHA BURI,ราชบุรี,ราชบุรี,13.48931,99.79239,32.7,09-15-2019,13:00:00,1006.96,350,7.4,2.50,32.12,1005.72,25.2,0.00,15.00,65
48465,PHETCHA BURI,เพชรบุรี,เพชรบุรี,12.99944,100.06056,32.6,09-15-2019,13:00:00,1006.23,140,13.0,2.50,35.52,1005.81,26.9,0.00,11.00,72
48474,NONG PHLUB AGROMET.,หนองพลับ สกษ.,ประจวบคีรีขันธ์,12.58333,99.73333,29.0,09-15-2019,13:00:00,1006.84,010,5.6,40.50,31.98,994.66,25.2,0.01,9.00,80
48475,HUA HIN,หัวหิน,ประจวบคีรีขันธ์,12.58611,99.96250,30.0,09-15-2019,13:00:00,1006.76,110,9.3,11.00,31.72,1006.06,25.0,0.00,10.00,75
48477,SATTAHIP,สัตหีบ,ชลบุรี,12.68333,100.98333,29.0,09-15-2019,13:00:00,1006.97,230,11.1,40.40,29.74,1004.55,23.9,0.00,9.00,74
48478,RAYONG,ระยอง,ระยอง,12.63222,101.34361,25.7,09-15-2019,13:00:00,1006.73,300,9.3,38.40,30.28,1006.21,24.2,26.50,.10,92
48479,HUAI PONG AGROMET.,ห้วยโป่ง สกษ.,ระยอง,12.73333,101.13333,27.7,09-15-2019,13:00:00,1006.44,280,13.0,9.80,30.81,1001.30,24.5,0.50,9.00,83
48480,CHANTHA BURI,จันทบุรี,จันทบุรี,12.61667,102.11333,30.6,09-15-2019,13:00:00,1005.93,160,7.4,10.30,32.67,1005.52,25.5,0.00,8.00,74
48481,PHLIU  AGROMET.,พลิ้ว สกษ.,จันทบุรี,12.50861,102.17305,30.0,09-15-2019,13:00:00,1006.32,000,0.0,30.70,37.66,1003.58,27.9,1.20,8.00,89
48500,PRACHUAP KHIRIKHAN,ประจวบคีรีขันธ์,ประจวบคีรีขันธ์,11.83333,99.83333,30.7,09-15-2019,13:00:00,1007.30,200,7.4,0.00,32.59,1006.52,25.5,0.00,10.00,74
48501,TRAD,ตราด,ตราด,11.76667,102.88333,25.5,09-15-2019,13:00:00,1007.42,220,11.1,142.60,31.79,1006.96,25.1,39.00,3.00,97
48517,CHUMPHON,ชุมพร,ชุมพร,10.49875,99.18847,25.7,09-15-2019,13:00:00,1009.01,260,5.6,43.90,30.01,1008.32,24.1,8.50,6.00,91
48520,SAWI AGROMET.,สวี สกษ.,ชุมพร,10.33333,99.10000,25.2,09-15-2019,13:00:00,1009.14,270,3.7,27.20,29.36,1007.60,23.7,7.00,7.00,92
48532,RANONG,ระนอง,ระนอง,9.98333,98.61667,24.7,09-15-2019,13:00:00,1010.11,210,5.6,128.80,29.25,1009.19,23.7,45.70,6.00,94
48550,KO SAMUI,เกาะสมุย,สุราษฎร์ธานี,9.46667,100.05000,29.3,09-15-2019,13:00:00,1008.80,280,7.4,12.20,31.45,1008.12,24.9,0.10,9.00,77
48551,SURAT THANI,สุราษฎร์ธานี,สุราษฎร์ธานี,9.13556,99.15194,27.0,09-15-2019,13:00:00,1009.12,250,7.4,6.70,30.56,1008.33,24.4,0.90,8.00,86
48552,NAKHONSI THAMMARAT,นครศรีธรรมราช,นครศรีธรรมราช,8.53778,99.96389,31.6,09-15-2019,13:00:00,1008.06,000,0.0,5.20,28.99,1007.44,23.5,0.01,10.00,62
48554,NAKHONSI THAMMARAT AGROMET.,นครศรีธรรมราช สกษ.,นครศรีธรรมราช,8.35931,100.00000,32.7,09-15-2019,13:00:00,1008.20,310,14.8,22.00,30.94,1007.81,24.6,0.01,12.00,63
48555,SURAT THANI AGROMET.,สุราษฎร์ธานี สกษ.,สุราษฎร์ธานี,9.10000,99.63333,28.7,09-15-2019,13:00:00,1010.85,230,11.1,16.60,28.62,1006.65,23.3,0.00,6.00,73
48556,PHRA SANG,พระแสง สอท.,สุราษฎร์ธานี,8.57022,99.25825,31.5,09-15-2019,13:00:00,1008.77,000,0.0,10.20,31.93,1007.18,25.1,0.00,10.00,69
48557,CHAWANG,ฉวาง,นครศรีธรรมราช,8.43194,99.51194,31.3,09-15-2019,13:00:00,1009.23,300,7.4,14.10,28.12,1005.79,23.0,0.00,10.00,62
48560,PHATTHALUNG AGROMET.,พัทลุง สกษ.,พัทลุง,7.58333,100.16667,31.4,09-15-2019,13:00:00,1008.38,210,5.6,2.00,29.43,1007.04,23.8,0.01,10.00,64
48561,TAKUA PA,ตะกั่วป่า,พังงา,8.68417,98.25222,28.5,09-15-2019,13:00:00,1009.87,250,18.5,25.00,31.54,1008.99,24.9,0.20,10.00,81
48563,KRABI,กระบี่,กระบี่,8.10361,98.97528,30.0,09-15-2019,13:00:00,1008.70,270,7.4,15.20,28.91,1005.17,23.5,0.00,10.00,68
48564,PHUKET,ภูเก็ต,ภูเก็ต,7.88333,98.40000,30.2,09-15-2019,13:00:00,1008.80,280,11.1,17.40,29.30,1008.37,23.7,0.00,10.00,68
48565,PHUKET AIRPORT,ภูเก็ต (ศูนย์ฯ),ภูเก็ต,8.14500,98.31444,29.9,09-15-2019,13:00:00,1009.17,250,16.7,24.10,29.83,1008.19,24.0,0.00,10.00,71
48566,KO LANTA,เกาะลันตา,กระบี่,7.53333,99.05000,25.0,09-15-2019,13:00:00,1009.27,280,27.8,56.00,27.96,1008.45,22.9,8.20,10.00,88
48567,TRANG AIRPORT,ตรัง,ตรัง,7.51667,99.61667,30.2,09-15-2019,13:00:00,1008.51,160,11.1,15.00,32.42,1006.71,25.4,0.00,10.00,76
48568,SONGKHLA,สงขลา,สงขลา,7.18211,100.60769,32.0,09-15-2019,13:00:00,1008.43,270,7.4,0.00,29.79,1007.69,24.0,0.00,11.00,63
48569,HAT YAI AIRPORT,หาดใหญ่,สงขลา,6.91667,100.43333,31.8,09-15-2019,13:00:00,1008.44,240,14.8,0.01,29.67,1004.50,23.9,0.01,10.00,63
48570,SATUN,สตูล,สตูล,6.65000,100.08333,31.7,09-15-2019,13:00:00,1009.45,250,11.1,12.90,30.32,1008.78,24.3,0.00,10.00,65
48571,KHO HONG AGROMET.,คอหงษ์ สกษ.,สงขลา,7.00000,100.50000,32.2,09-15-2019,13:00:00,1009.17,250,5.6,0.00,28.50,1008.07,23.2,0.00,12.00,59
48574,SA DAO,สะเดา,สงขลา,6.79806,100.39056,31.0,09-15-2019,13:00:00,1008.79,240,11.1,6.60,31.47,1005.90,24.9,0.00,12.00,70
48580,PATTANI AIRPORT,ปัตตานี,ปัตตานี,6.78333,101.15000,31.7,09-15-2019,13:00:00,1008.09,210,9.3,3.80,33.24,1007.41,25.8,0.00,11.00,71
48581,YALA AGROMET.,ยะลา สกษ.,ยะลา,6.51667,101.28333,31.7,09-15-2019,13:00:00,1008.89,280,9.3,9.50,30.32,1004.82,24.3,0.00,9.00,65
48583,NARATHIWAT,นราธิวาส,นราธิวาส,6.41667,101.81667,32.5,09-15-2019,13:00:00,1008.39,060,13.0,7.10,29.66,1007.81,23.9,0.00,10.00,61
