WmoStationNumber,StationNameEnglish,StationNameThai,Province,Latitude,Longitude,AirTemperature,Date,Time,MeanSeaLevelPressure,WindDirection,WindSpeed,Rainfall24Hr,VaporPressure,StationPressure,DewPoint,Rainfall,LandVisibility,RelativeHumidity
48300,MAE HONG SON,แม่ฮ่องสอน,แม่ฮ่องสอน,19.29897,97.97578,32.4,09-15-2019,13:00:00,1006.09,150,5.6,4.20,31.19,975.84,24.7,0.00,12.00,64
48302,DOI ANG KANG,ดอยอ่างขาง,เชียงใหม่,19.93139,99.04833,22.6,09-15-2019,13:00:00,1005.68,100,5.6,0.00,20.11,846.49,17.6,0.00,8.00,73
48303,CHIANG RAI,เชียงราย,เชียงราย,19.96139,99.88139,32.1,09-15-2019,13:00:00,1006.89,210,3.7,10.50,24.75,964.18,20.9,0.00,10.00,52
48304,CHAING RAI AGROMET.,เชียงราย สกษ.,เชียงราย,19.87083,99.78278,31.7,09-15-2019,13:00:00,1006.81,000,0.0,10.20,27.52,962.18,22.7,0.00,15.00,59
48307,THUNG CHANG,ทุ่งช้าง,น่าน,19.41194,100.88353,33.5,09-15-2019,13:00:00,1006.38,000,0.0,42.20,29.41,969.71,23.8,0.00,12.00,57
48310,PHAYAO,พะเยา,พะเยา,19.13333,99.90000,32.2,09-15-2019,13:00:00,1006.51,310,3.7,9.00,27.38,962.40,22.6,0.00,11.00,57
48315,THA WANGPHA,ท่าวังผา,น่าน,19.11056,100.80250,34.5,09-15-2019,13:00:00,1006.96,200,5.6,0.00,28.30,980.95,23.1,0.00,12.00,52
48324,THOEN,เถิน,ลำปาง,17.63661,99.24475,33.2,09-15-2019,13:00:00,1006.21,200,1.9,7.20,29.95,984.96,24.1,0.00,11.00,59
48325,MAE SARIANG,แม่สะเรียง,แม่ฮ่องสอน,18.16667,97.93333,32.8,09-15-2019,13:00:00,1006.04,000,0.0,0.00,30.86,982.47,24.6,0.00,10.00,62
48327,CHIANG MAI,เชียงใหม่,เชียงใหม่,18.79000,98.97694,32.8,09-15-2019,13:00:00,1006.70,240,3.7,0.30,27.72,972.95,22.8,0.00,10.00,56
48328,LAMPANG,ลำปาง,ลำปาง,18.28333,99.51667,33.4,09-15-2019,13:00:00,1008.12,200,9.3,0.00,28.92,981.19,23.5,0.00,10.00,56
