WmoStationNumber,StationNameEnglish,StationNameThai,Province,Latitude,Longitude,Date,Time,LandVisibility,VaporPressure,WindDirection,MaximumTemperature,WindSpeed,RelativeHumidity,Rainfall24Hr,AirTemperature,MeanSeaLevelPressure,StationPressure,DewPoint,Rainfall
48426,LOP BURI,ลพบุรี,ลพบุรี,14.79972,100.64500,08-11-2019,19:00:00,8.00,31.99,000,33.5,0.0,92,2.60,26.6,1003.39,1001.58,25.2,2.50
48427,U THONG AGROMET.,อู่ทอง สกษ.,สุพรรณบุรี,14.30361,99.86472,08-11-2019,19:00:00,6.00,30.58,000,33.4,0.0,97,17.70,25.0,1003.31,1002.54,24.4,1.80
48429,SUVARNABHUMI AIRPORT,สนามบินสุวรรณภูมิ,สมุทรปราการ,13.68639,100.76750,08-11-2019,19:00:00,10.00,31.38,200,31.4,22.2,88,0.30,27.0,1004.07,1003.36,24.8,0.30
48430,PRACHIN BURI,ปราจีนบุรี,ปราจีนบุรี,14.05842,101.36930,08-11-2019,19:00:00,7.00,31.39,270,35.0,7.4,72,0.20,30.4,1003.67,1002.97,24.9,0.01
48431,NAKHON RATCHASIMA,นครราชสีมา,นครราชสีมา,14.96830,102.08603,08-11-2019,19:00:00,10.00,29.47,200,36.7,9.3,69,0.00,30.0,1003.25,982.38,23.8,0.00
48432,SURIN,สุรินทร์,สุรินทร์,14.88333,103.50000,08-11-2019,19:00:00,8.00,30.72,210,34.0,11.1,82,0.00,27.8,1004.01,987.39,24.5,0.00
48433,SURIN AGROMET.,สุรินทร์ สกษ.,สุรินทร์,14.88333,103.45000,08-11-2019,19:00:00,9.00,31.11,180,34.7,3.7,82,0.00,28.0,1004.45,988.12,24.7,0.00
48434,CHOK CHAI,โชคชัย,นครราชสีมา,14.71889,102.16861,08-11-2019,19:00:00,10.00,29.74,000,35.1,0.0,74,0.00,29.0,1003.41,981.78,23.9,0.00
48435,PAKCHONG AGROMET.,ปากช่อง สกษ.,นครราชสีมา,14.64389,101.33194,08-11-2019,19:00:00,10.00,27.77,180,31.3,11.1,80,1.20,26.5,1004.01,960.83,22.8,0.00
48436,NANG RONG,นางรอง,บุรีรัมย์,14.58333,102.80000,08-11-2019,19:00:00,10.00,28.95,190,35.7,5.6,75,0.80,28.3,1003.74,983.33,23.5,0.00
48437,BURIRUM,บุรีรัมย์,บุรีรัมย์,15.22575,103.24808,08-11-2019,19:00:00,5.00,32.42,190,32.8,5.6,100,4.60,25.4,1006.51,985.59,25.4,4.20
48438,SAMUTSONGKRAM,สมุทรสงคราม,สมุทรสงคราม,13.40778,100.03222,08-11-2019,19:00:00,10.00,31.84,210,30.5,18.5,85,0.80,27.8,1003.50,1003.07,25.1,0.00
48439,KABIN BURI,กบินทร์บุรี,ปราจีนบุรี,13.98333,101.70722,08-11-2019,19:00:00,6.00,32.93,000,33.2,0.0,90,8.90,27.5,1003.99,1002.58,25.7,0.00
48440,SA KAEW,สระแก้ว,สระแก้ว,13.78889,102.03472,08-11-2019,19:00:00,7.00,33.08,000,33.5,0.0,88,0.80,28.0,1004.65,999.75,25.7,0.00
48450,KANCHANA BURI,กาญจนบุรี,กาญจนบุรี,14.02250,99.53583,08-11-2019,19:00:00,11.00,32.12,000,33.0,0.0,95,21.90,26.1,1003.61,1000.32,25.2,21.70
48451,NAKHONPATHOM,นครปฐม,นครปฐม,14.01167,99.97000,08-11-2019,19:00:00,7.00,31.25,000,34.2,0.0,96,9.80,25.5,1003.96,1002.85,24.8,9.80
48453,BANG NA AGROMET.,กรุงเทพฯ บางนา สกษ.,กรุงเทพมหานคร,13.66639,100.60611,08-11-2019,19:00:00,10.00,30.72,220,32.6,11.1,82,0.10,27.8,1004.31,1004.01,24.5,0.00
48454,BANGKOK PORT (KLONG TOEI),กรุงเทพฯ ท่าเรือคลองเตย,กรุงเทพมหานคร,13.70694,100.56805,08-11-2019,19:00:00,10.00,31.11,210,32.8,13.0,82,0.00,28.0,1003.86,1003.18,24.7,0.00
48455,BANGKOK METROPOLIS,กรุงเทพมหานคร,กรุงเทพมหานคร,13.72639,100.56000,08-11-2019,19:00:00,10.00,30.04,180,33.0,9.3,78,0.00,28.3,1003.95,1003.47,24.1,0.00
48456,DON MUANG AIRPORT,สนามบินดอนเมือง,กรุงเทพมหานคร,13.91917,100.60500,08-11-2019,19:00:00,10.00,29.27,210,33.3,22.2,74,0.00,28.9,1003.87,1002.48,23.7,0.00
48457,PILOT STATION,นำร่อง,สมุทรปราการ,13.39389,100.59944,08-11-2019,19:00:00,10.00,31.95,210,30.8,37.0,85,0.00,28.0,1004.02,1002.35,25.1,0.00
48458,CHACHOENGSAO,ฉะเชิงเทรา,ฉะเชิงเทรา,13.51556,101.45833,08-11-2019,19:00:00,10.00,30.72,230,32.8,14.8,82,1.40,27.8,1005.49,997.52,24.5,1.20
48459,CHON BURI,ชลบุรี,ชลบุรี,13.36667,100.98333,08-11-2019,19:00:00,8.00,31.13,000,33.5,0.0,91,0.01,26.3,1004.20,1003.92,24.7,0.01
48460,KO SICHANG,เกาะสีชัง,ชลบุรี,13.16167,100.80194,08-11-2019,19:00:00,8.00,30.30,270,32.0,9.3,90,6.80,26.0,1004.75,1001.61,24.3,6.80
48461,PHATTHAYA,พัทยา,ชลบุรี,12.92000,100.86944,08-11-2019,19:00:00,10.00,31.25,240,31.7,13.0,96,5.00,25.5,1004.80,997.84,24.8,4.80
48462,ARANYA PRATHET,อรัญประเทศ,สระแก้ว,13.70000,102.58333,08-11-2019,19:00:00,7.00,31.46,000,33.8,0.0,80,2.70,28.6,1004.75,999.19,24.9,0.00
48463,LAEM CHABANG,แหลมฉบัง,ชลบุรี,13.07694,100.87583,08-11-2019,19:00:00,10.00,30.67,230,31.3,18.5,90,6.50,26.2,1004.61,995.30,24.5,6.50
48464,RATCHA BURI,ราชบุรี,ราชบุรี,13.48931,99.79239,08-11-2019,19:00:00,10.00,33.34,000,32.4,0.0,94,4.50,27.0,1004.26,1003.00,25.9,3.40
48465,PHETCHA BURI,เพชรบุรี,เพชรบุรี,12.99944,100.06056,08-11-2019,19:00:00,11.00,31.66,210,32.6,22.2,89,18.10,27.0,1004.05,1003.62,25.0,1.00
48474,NONG PHLUB AGROMET.,หนองพลับ สกษ.,ประจวบคีรีขันธ์,12.58333,99.73333,08-11-2019,19:00:00,8.00,30.32,000,30.8,0.0,96,10.20,25.0,1004.62,992.31,24.3,3.10
48475,HUA HIN,หัวหิน,ประจวบคีรีขันธ์,12.58611,99.96250,08-11-2019,19:00:00,8.00,30.71,000,31.5,0.0,94,13.10,25.5,1004.14,1003.43,24.5,1.50
48477,SATTAHIP,สัตหีบ,ชลบุรี,12.68333,100.98333,08-11-2019,19:00:00,10.00,30.44,000,33.1,0.0,93,11.00,25.5,1005.13,1002.68,24.3,11.00
48478,RAYONG,ระยอง,ระยอง,12.63222,101.34361,08-11-2019,19:00:00,10.00,31.38,300,30.8,14.8,88,0.01,27.0,1004.83,1004.31,24.8,0.01
48479,HUAI PONG AGROMET.,ห้วยโป่ง สกษ.,ระยอง,12.73333,101.13333,08-11-2019,19:00:00,10.00,30.09,290,31.3,5.6,92,1.30,25.6,1004.98,999.81,24.1,1.30
48480,CHANTHA BURI,จันทบุรี,จันทบุรี,12.61667,102.11333,08-11-2019,19:00:00,7.00,31.87,000,30.9,0.0,84,0.70,28.1,1005.64,1005.23,25.1,0.00
48481,PHLIU  AGROMET.,พลิ้ว สกษ.,จันทบุรี,12.50861,102.17305,08-11-2019,19:00:00,8.00,33.50,180,29.8,3.7,95,8.70,26.8,1006.02,1003.25,25.9,0.00
48500,PRACHUAP KHIRIKHAN,ประจวบคีรีขันธ์,ประจวบคีรีขันธ์,11.83333,99.83333,08-11-2019,19:00:00,10.00,27.70,270,31.0,11.1,88,15.30,25.0,1006.23,1005.44,22.8,2.30
48501,TRAD,ตราด,ตราด,11.76667,102.88333,08-11-2019,19:00:00,5.00,30.32,260,28.3,7.4,96,63.10,25.0,1006.97,1006.51,24.3,5.20
48517,CHUMPHON,ชุมพร,ชุมพร,10.49875,99.18847,08-11-2019,19:00:00,7.00,31.38,000,29.5,0.0,88,25.60,27.0,1006.16,1005.47,24.8,0.00
48520,SAWI AGROMET.,สวี สกษ.,ชุมพร,10.33333,99.10000,08-11-2019,19:00:00,7.00,32.20,260,30.0,3.7,96,24.40,26.0,1005.71,1004.18,25.3,2.20
48532,RANONG,ระนอง,ระนอง,9.98333,98.61667,08-11-2019,19:00:00,6.00,30.52,200,27.2,9.3,94,78.50,25.4,1007.31,1006.39,24.4,8.80
48550,KO SAMUI,เกาะสมุย,สุราษฎร์ธานี,9.46667,100.05000,08-11-2019,19:00:00,10.00,32.27,000,32.8,0.0,84,7.40,28.3,1006.58,1005.90,25.3,0.00
48551,SURAT THANI,สุราษฎร์ธานี,สุราษฎร์ธานี,9.13556,99.15194,08-11-2019,19:00:00,10.00,33.06,180,28.9,3.7,93,7.40,27.0,1007.15,1006.36,25.7,0.00
48552,NAKHONSI THAMMARAT,นครศรีธรรมราช,นครศรีธรรมราช,8.53778,99.96389,08-11-2019,19:00:00,10.00,29.57,320,33.3,5.6,77,0.00,28.2,1006.48,1005.85,23.9,0.00
48554,NAKHONSI THAMMARAT AGROMET.,นครศรีธรรมราช สกษ.,นครศรีธรรมราช,8.35931,100.00000,08-11-2019,19:00:00,10.00,32.04,000,33.9,0.0,94,7.30,26.2,1007.09,1006.68,25.2,0.01
48555,SURAT THANI AGROMET.,สุราษฎร์ธานี สกษ.,สุราษฎร์ธานี,9.10000,99.63333,08-11-2019,19:00:00,5.00,29.06,230,32.2,5.6,79,0.01,27.5,1008.67,1004.46,23.6,0.00
48556,PHRA SANG,พระแสง สอท.,สุราษฎร์ธานี,8.57022,99.25825,08-11-2019,19:00:00,10.00,30.48,000,30.5,0.0,97,21.10,24.8,1007.28,1005.66,24.4,3.80
48557,CHAWANG,ฉวาง,นครศรีธรรมราช,8.43194,99.51194,08-11-2019,19:00:00,7.00,32.20,000,29.0,0.0,96,17.80,26.0,1007.62,1004.13,25.3,0.30
48560,PHATTHALUNG AGROMET.,พัทลุง สกษ.,พัทลุง,7.58333,100.16667,08-11-2019,19:00:00,10.00,31.95,000,33.0,0.0,85,8.90,28.0,1006.85,1005.50,25.1,0.00
48561,TAKUA PA,ตะกั่วป่า,พังงา,8.68417,98.25222,08-11-2019,19:00:00,8.00,31.58,180,29.0,7.4,99,26.60,25.1,1007.01,1006.12,24.9,8.50
48563,KRABI,กระบี่,กระบี่,8.10361,98.97528,08-11-2019,19:00:00,6.00,31.65,230,29.4,5.6,94,23.40,26.0,1007.35,1003.78,25.0,3.40
48564,PHUKET,ภูเก็ต,ภูเก็ต,7.88333,98.40000,08-11-2019,19:00:00,10.00,32.77,000,31.5,0.0,92,4.00,27.0,1007.45,1007.01,25.6,2.00
48565,PHUKET AIRPORT,ภูเก็ต (ศูนย์ฯ),ภูเก็ต,8.14500,98.31444,08-11-2019,19:00:00,8.00,30.39,280,30.3,5.6,84,25.80,27.2,1007.15,1006.16,24.3,8.00
48566,KO LANTA,เกาะลันตา,กระบี่,7.53333,99.05000,08-11-2019,19:00:00,10.00,33.24,260,31.1,16.7,82,0.00,29.2,1007.36,1006.55,25.8,0.00
48567,TRANG AIRPORT,ตรัง,ตรัง,7.51667,99.61667,08-11-2019,19:00:00,12.00,32.12,000,31.7,0.0,86,20.10,27.8,1007.44,1005.63,25.2,0.00
48568,SONGKHLA,สงขลา,สงขลา,7.18211,100.60769,08-11-2019,19:00:00,10.00,28.45,220,34.3,5.6,64,10.90,30.9,1006.70,1005.96,23.2,0.00
48569,HAT YAI AIRPORT,หาดใหญ่,สงขลา,6.91667,100.43333,08-11-2019,19:00:00,10.00,27.53,240,33.5,7.4,66,6.40,29.7,1007.01,1003.05,22.7,0.00
48570,SATUN,สตูล,สตูล,6.65000,100.08333,08-11-2019,19:00:00,10.00,31.77,000,33.2,0.0,77,36.80,29.6,1006.80,1006.13,25.0,0.00
48571,KHO HONG AGROMET.,คอหงษ์ สกษ.,สงขลา,7.00000,100.50000,08-11-2019,19:00:00,10.00,28.09,000,34.2,0.0,63,10.20,31.0,1006.59,1005.49,23.0,0.00
48574,SA DAO,สะเดา,สงขลา,6.79806,100.39056,08-11-2019,19:00:00,10.00,30.31,000,33.2,0.0,71,28.70,30.0,1006.99,1004.10,24.3,0.00
48580,PATTANI AIRPORT,ปัตตานี,ปัตตานี,6.78333,101.15000,08-11-2019,19:00:00,10.00,35.02,000,34.2,0.0,83,4.90,29.9,1006.78,1006.10,26.7,0.00
48581,YALA AGROMET.,ยะลา สกษ.,ยะลา,6.51667,101.28333,08-11-2019,19:00:00,9.00,31.36,000,34.4,0.0,77,2.00,29.4,1006.77,1002.68,24.8,0.00
48583,NARATHIWAT,นราธิวาส,นราธิวาส,6.41667,101.81667,08-11-2019,19:00:00,10.00,32.88,070,33.0,9.3,78,0.00,30.0,1006.81,1006.23,25.6,0.00
