WmoStationNumber,StationNameEnglish,StationNameThai,Province,Latitude,Longitude,AirTemperature,Date,Time,DewPoint,WindSpeed,StationPressure,Rainfall,MeanSeaLevelPressure,Rainfall24Hr,LandVisibility,VaporPressure,WindDirection,RelativeHumidity
48300,MAE HONG SON,\u0e41\u0e21\u0e48\u0e2e\u0e48\u0e2d\u0e07\u0e2a\u0e2d\u0e19,\u0e41\u0e21\u0e48\u0e2e\u0e48\u0e2d\u0e07\u0e2a\u0e2d\u0e19,19.29897,97.97578,25.1,07-08-2019,01:00:00,23.0,0.0,976.32,0.00,1007.34,1.80,10.00,28.14,000,88
48302,DOI ANG KANG,\u0e14\u0e2d\u0e22\u0e2d\u0e48\u0e32\u0e07\u0e02\u0e32\u0e07,\u0e40\u0e0a\u0e35\u0e22\u0e07\u0e43\u0e2b\u0e21\u0e48,19.93139,99.04833,18.9,07-08-2019,01:00:00,17.3,33.3,844.33,0.00,1005.26,1.50,8.00,19.67,300,90
48303,CHIANG RAI,\u0e40\u0e0a\u0e35\u0e22\u0e07\u0e23\u0e32\u0e22,\u0e40\u0e0a\u0e35\u0e22\u0e07\u0e23\u0e32\u0e22,19.96139,99.88139,26.5,07-08-2019,01:00:00,22.3,0.0,962.21,0.00,1005.64,0.00,12.00,26.99,000,78
48304,CHAING RAI AGROMET.,\u0e40\u0e0a\u0e35\u0e22\u0e07\u0e23\u0e32\u0e22 \u0e2a\u0e01\u0e29.,\u0e40\u0e0a\u0e35\u0e22\u0e07\u0e23\u0e32\u0e22,19.87083,99.78278,25.2,07-08-2019,01:00:00,22.8,0.0,959.97,0.00,1005.48,2.00,12.00,27.80,000,87
48307,THUNG CHANG,\u0e17\u0e38\u0e48\u0e07\u0e0a\u0e49\u0e32\u0e07,\u0e19\u0e48\u0e32\u0e19,19.41194,100.88353,25.2,07-08-2019,01:00:00,24.6,0.0,969.51,0.80,1007.22,0.80,7.00,30.96,000,97
48310,PHAYAO,\u0e1e\u0e30\u0e40\u0e22\u0e32,\u0e1e\u0e30\u0e40\u0e22\u0e32,19.13333,99.90000,26.5,07-08-2019,01:00:00,22.8,7.4,961.15,0.00,1006.05,0.00,10.00,27.77,180,80
48315,THA WANGPHA,\u0e17\u0e48\u0e32\u0e27\u0e31\u0e07\u0e1c\u0e32,\u0e19\u0e48\u0e32\u0e19,19.11056,100.80250,26.0,07-08-2019,01:00:00,25.0,0.0,980.56,0.00,1007.30,7.90,7.00,31.65,000,94
48324,THOEN,\u0e40\u0e16\u0e34\u0e19,\u0e25\u0e33\u0e1b\u0e32\u0e07,17.63661,99.24475,26.6,07-08-2019,01:00:00,23.2,1.9,985.90,0.00,1007.65,0.00,11.00,28.47,350,82
48325,MAE SARIANG,\u0e41\u0e21\u0e48\u0e2a\u0e30\u0e40\u0e23\u0e35\u0e22\u0e07,\u0e41\u0e21\u0e48\u0e2e\u0e48\u0e2d\u0e07\u0e2a\u0e2d\u0e19,18.16667,97.93333,24.0,07-08-2019,01:00:00,23.4,0.0,984.48,0.00,1008.81,23.30,6.00,28.78,000,97
48327,CHIANG MAI,\u0e40\u0e0a\u0e35\u0e22\u0e07\u0e43\u0e2b\u0e21\u0e48,\u0e40\u0e0a\u0e35\u0e22\u0e07\u0e43\u0e2b\u0e21\u0e48,18.79000,98.97694,26.5,07-08-2019,01:00:00,21.7,0.0,973.16,0.00,1007.64,0.01,10.00,25.96,000,75
48328,LAMPANG,\u0e25\u0e33\u0e1b\u0e32\u0e07,\u0e25\u0e33\u0e1b\u0e32\u0e07,18.28333,99.51667,27.7,07-08-2019,01:00:00,22.2,5.6,980.00,0.00,1007.41,0.00,10.00,26.78,180,72
48329,LAMPHUN,\u0e25\u0e33\u0e1e\u0e39\u0e19,\u0e25\u0e33\u0e1e\u0e39\u0e19,18.56722,99.03389,26.4,07-08-2019,01:00:00,22.4,0.0,973.66,0.00,1007.20,0.00,10.00,27.07,000,79
48330,PHRAE,\u0e41\u0e1e\u0e23\u0e48,\u0e41\u0e1e\u0e23\u0e48,18.16667,100.16667,27.9,07-08-2019,01:00:00,22.0,5.6,988.41,0.00,1006.82,0.01,15.00,26.36,260,70
48331,NAN,\u0e19\u0e48\u0e32\u0e19,\u0e19\u0e48\u0e32\u0e19,18.77972,100.77778,27.6,07-08-2019,01:00:00,23.1,0.0,983.96,0.00,1006.68,0.00,10.00,28.18,000,76
48333,NAN AGROMET.,\u0e19\u0e48\u0e32\u0e19 \u0e2a\u0e01\u0e29.,\u0e19\u0e48\u0e32\u0e19,18.86667,100.75000,26.0,07-08-2019,01:00:00,24.3,0.0,977.08,0.00,1006.99,3.10,7.00,30.30,000,90
48334,LAMPANG AGROMET.,\u0e25\u0e33\u0e1b\u0e32\u0e07 \u0e2a\u0e01\u0e29.,\u0e25\u0e33\u0e1b\u0e32\u0e07,18.31667,99.28333,27.2,07-08-2019,01:00:00,21.7,0.0,971.92,0.00,1007.31,0.00,6.00,25.90,000,72
48350,LOEI AGROMET.,\u0e40\u0e25\u0e22 \u0e2a\u0e01\u0e29.,\u0e40\u0e25\u0e22,17.40000,101.73333,25.2,07-08-2019,01:00:00,22.2,0.0,976.57,0.00,1006.37,0.00,10.00,26.78,000,84
48351,UTTARADIT,\u0e2d\u0e38\u0e15\u0e23\u0e14\u0e34\u0e15\u0e16\u0e4c,\u0e2d\u0e38\u0e15\u0e23\u0e14\u0e34\u0e15\u0e16\u0e4c,17.61667,100.10000,28.2,07-08-2019,01:00:00,23.5,0.0,1000.18,0.00,1007.46,2.40,9.00,29.03,000,76
48352,NONG KHAI,\u0e2b\u0e19\u0e2d\u0e07\u0e04\u0e32\u0e22,\u0e2b\u0e19\u0e2d\u0e07\u0e04\u0e32\u0e22,17.86717,102.73303,28.0,07-08-2019,01:00:00,24.7,0.0,986.18,0.00,1005.98,0.90,10.00,31.11,000,82
48353,LOEI,\u0e40\u0e25\u0e22,\u0e40\u0e25\u0e22,17.45000,101.73333,28.7,07-08-2019,01:00:00,21.2,7.4,977.68,0.00,1006.11,0.00,12.00,25.18,310,64
48354,UDON THANI,\u0e2d\u0e38\u0e14\u0e23\u0e18\u0e32\u0e19\u0e35,\u0e2d\u0e38\u0e14\u0e23\u0e18\u0e32\u0e19\u0e35,17.38333,102.80000,27.8,07-08-2019,01:00:00,22.5,3.7,986.13,0.00,1006.22,0.00,14.00,27.22,200,73
48355,SAKON NAKHON AGROMET.,\u0e2a\u0e01\u0e25\u0e19\u0e04\u0e23 \u0e2a\u0e01\u0e29.,\u0e2a\u0e01\u0e25\u0e19\u0e04\u0e23,17.12503,104.06100,28.1,07-08-2019,01:00:00,22.8,0.0,985.05,0.00,1006.67,0.00,10.00,27.77,000,73
48356,SAKON NAKHON,\u0e2a\u0e01\u0e25\u0e19\u0e04\u0e23,\u0e2a\u0e01\u0e25\u0e19\u0e04\u0e23,17.15000,104.13333,28.7,07-08-2019,01:00:00,22.8,3.7,986.64,0.00,1005.98,0.00,10.00,27.81,170,71
48357,NAKHON PHANOM,\u0e19\u0e04\u0e23\u0e1e\u0e19\u0e21,\u0e19\u0e04\u0e23\u0e1e\u0e19\u0e21,17.41083,104.78250,27.1,07-08-2019,01:00:00,25.5,0.0,990.18,0.00,1006.91,3.50,12.00,32.69,000,91
