WmoStationNumber,StationNameEnglish,StationNameThai,Province,Latitude,Longitude,StationPressure,Date,Time,Rainfall,LandVisibility,MeanSeaLevelPressure,WindSpeed,VaporPressure,WindDirection,RelativeHumidity,AirTemperature,DewPoint,Rainfall24Hr
48300,MAE HONG SON,แม่ฮ่องสอน,แม่ฮ่องสอน,19.29897,97.97578,983.09,09-25-2019,13:00:00,0.00,12.00,1013.66,0.0,26.59,000,58,31.5,22.1,0.00
48302,DOI ANG KANG,ดอยอ่างขาง,เชียงใหม่,19.93139,99.04833,852.08,09-25-2019,13:00:00,0.00,8.00,1013.26,3.7,18.17,120,73,21.0,16.0,0.00
48303,CHIANG RAI,เชียงราย,เชียงราย,19.96139,99.88139,972.03,09-25-2019,13:00:00,0.00,10.00,1015.48,9.3,22.08,020,54,29.4,19.1,0.00
48304,CHAING RAI AGROMET.,เชียงราย สกษ.,เชียงราย,19.87083,99.78278,969.97,09-25-2019,13:00:00,0.00,15.00,1015.22,9.3,21.09,030,50,30.0,18.4,0.00
48307,THUNG CHANG,ทุ่งช้าง,น่าน,19.41194,100.88353,977.41,09-25-2019,13:00:00,0.00,12.00,1014.56,0.0,25.64,000,54,32.0,21.5,0.00
48310,PHAYAO,พะเยา,พะเยา,19.13333,99.90000,970.11,09-25-2019,13:00:00,0.00,8.00,1014.83,7.4,27.14,080,62,30.5,22.4,0.00
48315,THA WANGPHA,ท่าวังผา,น่าน,19.11056,100.80250,988.73,09-25-2019,13:00:00,0.00,10.00,1015.17,5.6,24.91,130,53,31.9,21.0,0.00
48324,THOEN,เถิน,ลำปาง,17.63661,99.24475,992.78,09-25-2019,13:00:00,0.00,7.00,1014.29,1.9,28.10,180,59,32.0,23.0,0.00
48325,MAE SARIANG,แม่สะเรียง,แม่ฮ่องสอน,18.16667,97.93333,989.46,09-25-2019,13:00:00,0.00,10.00,1013.19,0.0,27.00,000,54,33.0,22.4,0.00
48327,CHIANG MAI,เชียงใหม่,เชียงใหม่,18.79000,98.97694,980.22,09-25-2019,13:00:00,0.00,9.00,1014.35,3.7,23.06,360,50,31.6,19.8,0.50
48328,LAMPANG,ลำปาง,ลำปาง,18.28333,99.51667,980.60,09-25-2019,13:00:00,0.00,10.00,1007.65,0.0,26.61,000,57,31.8,22.1,0.50
48329,LAMPHUN,ลำพูน,ลำพูน,18.56722,99.03389,981.42,09-25-2019,13:00:00,0.00,10.00,1014.71,0.0,26.73,000,60,31.0,22.2,0.00
48330,PHRAE,แพร่,แพร่,18.16667,100.16667,995.71,09-25-2019,13:00:00,0.00,5.00,1013.95,9.3,25.54,050,51,33.1,21.4,0.00
48331,NAN,น่าน,น่าน,18.77972,100.77778,992.32,09-25-2019,13:00:00,0.00,10.00,1014.90,7.4,22.91,320,48,32.1,19.7,0.00
48333,NAN AGROMET.,น่าน สกษ.,น่าน,18.86667,100.75000,985.22,09-25-2019,13:00:00,0.00,12.00,1014.84,0.0,25.06,000,55,31.4,21.1,0.00
48334,LAMPANG AGROMET.,ลำปาง สกษ.,ลำปาง,18.31667,99.28333,979.41,09-25-2019,13:00:00,0.00,8.00,1014.71,0.0,27.93,000,65,30.2,22.9,1.80
48350,LOEI AGROMET.,เลย สกษ.,เลย,17.40000,101.73333,984.48,09-25-2019,13:00:00,0.00,10.00,1013.87,5.6,27.99,350,60,31.8,22.9,0.00
48351,UTTARADIT,อุตรดิตถ์,อุตรดิตถ์,17.61667,100.10000,1006.66,09-25-2019,13:00:00,0.00,9.00,1013.84,0.0,24.18,000,45,34.1,20.6,0.00
48352,NONG KHAI,หนองคาย,หนองคาย,17.86717,102.73303,994.58,09-25-2019,13:00:00,0.00,8.00,1014.20,5.6,23.58,030,46,33.2,20.1,0.00
48353,LOEI,เลย,เลย,17.45000,101.73333,985.89,09-25-2019,13:00:00,0.00,10.00,1014.17,5.6,21.56,130,43,32.8,18.7,0.00
48354,UDON THANI,อุดรธานี,อุดรธานี,17.38333,102.80000,994.67,09-25-2019,13:00:00,0.00,10.00,1014.65,5.6,20.69,100,44,32.0,18.1,0.00
48355,SAKON NAKHON AGROMET.,สกลนคร สกษ.,สกลนคร,17.12503,104.06100,992.85,09-25-2019,13:00:00,0.00,8.00,1014.40,5.6,23.66,040,51,31.5,20.2,0.00
48356,SAKON NAKHON,สกลนคร,สกลนคร,17.15000,104.13333,994.88,09-25-2019,13:00:00,0.00,10.00,1014.21,11.1,22.20,360,48,31.4,19.2,0.00
48357,NAKHON PHANOM,นครพนม,นครพนม,17.41083,104.78250,997.81,09-25-2019,13:00:00,0.00,10.00,1014.34,3.7,22.95,040,46,33.0,19.7,0.00
48358,NAKHON PHANOM AGROMET.,นครพนม สกษ.,นครพนม,17.44306,104.77361,997.45,09-25-2019,13:00:00,0.00,12.00,1014.62,3.7,25.84,120,50,33.4,21.6,0.00
48360,NONG BUA LAM PHU,หนองบัวลำภู,หนองบัวลำภู,17.23250,102.42944,987.93,09-25-2019,13:00:00,0.00,9.00,1013.44,7.4,20.19,080,42,32.0,17.7,0.00
48372,SUKHOTHAI*,สุโขทัย,สุโขทัย,17.10611,99.80000,1008.93,09-25-2019,13:00:00,0.00,10.00,1014.65,3.7,31.36,190,63,32.9,24.8,0.01
48373,SI SAMRONG AGROMET.,ศรีสำโรง สกษ.,สุโขทัย,17.16136,99.86167,1007.83,09-25-2019,13:00:00,0.00,12.00,1013.93,9.3,29.25,140,56,33.7,23.7,0.00
48374,LOM SAK,หล่มสัก,เพชรบูรณ์,16.77361,101.24944,997.53,09-25-2019,13:00:00,0.00,12.00,1013.73,9.3,20.22,360,39,33.5,17.7,0.00
48375,MAE SOT,แม่สอด,ตาก,16.65917,98.55083,989.39,09-25-2019,13:00:00,0.00,10.00,1011.37,14.8,23.74,030,47,33.0,20.3,0.00
48376,TAK,ตาก,ตาก,16.87833,99.14333,1000.77,09-25-2019,13:00:00,0.00,6.00,1015.18,0.0,29.19,000,73,29.0,23.6,3.00
48377,BHUMIBOL DAM,เขื่อนภูมิพล,ตาก,17.24389,99.00250,997.45,09-25-2019,13:00:00,0.00,7.00,1013.67,0.0,28.66,000,60,32.0,23.3,0.00
48378,PHITSANULOK,พิษณุโลก,พิษณุโลก,16.79481,100.27930,1009.16,09-25-2019,13:00:00,0.00,10.00,1014.32,3.7,25.63,020,51,33.0,21.5,0.00
48379,PHETCHABUN,เพชรบูรณ์,เพชรบูรณ์,16.43333,101.15000,999.28,09-25-2019,13:00:00,0.00,12.00,1012.24,7.4,23.19,010,44,34.0,19.9,0.00
48380,KAMPHAENG PHET,กำแพงเพชร,กำแพงเพชร,16.48681,99.52697,1004.72,09-25-2019,13:00:00,0.00,8.00,1013.92,5.6,26.72,030,53,33.0,22.2,0.00
