WmoStationNumber,StationNameEnglish,StationNameThai,Province,Latitude,Longitude,StationPressure,Date,Time,Rainfall,LandVisibility,MeanSeaLevelPressure,WindSpeed,VaporPressure,WindDirection,RelativeHumidity,AirTemperature,DewPoint,Rainfall24Hr
48381,KHON KAEN,ขอนแก่น,ขอนแก่น,16.46111,102.78972,992.52,09-25-2019,13:00:00,0.00,8.00,1013.97,9.3,23.36,090,48,32.5,20.0,0.00
48382,MAHASARAKHAM,มหาสารคาม,มหาสารคาม,16.24722,103.06805,996.75,09-25-2019,13:00:00,0.00,12.00,1014.08,11.1,27.27,020,57,32.0,22.5,0.00
48383,MUKDAHAN,มุกดาหาร,มุกดาหาร,16.54139,104.72889,997.47,09-25-2019,13:00:00,0.00,12.00,1013.14,3.7,27.27,040,57,32.0,22.5,0.00
48384,THA PHRA AGROMET.,ท่าพระ สกษ.,ขอนแก่น,16.33333,102.81667,994.53,09-25-2019,13:00:00,0.00,8.00,1013.16,3.7,27.28,040,54,33.0,22.5,0.00
48385,UMPHANG,อุ้มผาง,ตาก,16.02472,98.86444,962.45,09-25-2019,13:00:00,0.00,10.00,1012.97,9.3,22.12,080,47,31.8,19.1,0.00
48386,PICHIT AGROMET.,พิจิตร สกษ.,พิจิตร,16.43806,100.29250,1009.60,09-25-2019,13:00:00,0.00,6.00,1013.50,7.4,32.13,320,62,33.4,25.2,0.00
48387,DOI MU SOE AGROMET.,ดอยมูเซอร์ สกษ.,ตาก,16.75000,98.93333,919.37,09-25-2019,13:00:00,0.00,5.00,1013.94,5.6,23.63,050,73,25.4,20.2,0.00
48390,KALASIN,กาฬสินธุ์,กาฬสินธุ์,16.33250,103.58833,997.95,09-25-2019,13:00:00,0.00,10.00,1013.77,7.4,25.66,070,53,32.3,21.5,0.00
48400,NAKHON SAWAN,นครสวรรค์ ,นครสวรรค์,15.67183,100.13236,1010.21,09-25-2019,13:00:00,0.00,9.00,1014.19,5.6,28.65,100,58,32.7,23.3,0.00
48401,TAKFA AGROMET.,ตากฟ้า สกษ.,นครสวรรค์,15.34944,100.53028,1003.63,09-25-2019,13:00:00,0.00,9.00,1014.19,3.7,23.36,050,48,32.5,20.0,0.00
48402,CHAINAT AGROMET.,ชัยนาท สกษ.,ชัยนาท,15.15000,100.18333,1011.91,09-25-2019,13:00:00,0.00,11.00,1013.82,0.0,24.69,000,50,32.5,20.9,0.00
48403,CHAIYAPHUM,ชัยภูมิ,ชัยภูมิ,15.80000,102.03333,992.83,09-25-2019,13:00:00,0.00,10.00,1013.48,13.0,20.69,060,44,32.0,18.1,0.00
48404,ROI ET AGROMET.,ร้อยเอ็ด สกษ.,ร้อยเอ็ด,16.07322,103.60844,995.99,09-25-2019,13:00:00,0.00,10.00,1013.50,11.1,26.23,060,56,31.6,21.9,0.00
48405,ROI ET,ร้อยเอ็ด,ร้อยเอ็ด,16.02000,103.74389,997.56,09-25-2019,13:00:00,0.00,10.00,1013.55,11.1,25.74,070,54,32.2,21.6,0.00
48407,UBON RATCHATHANI,อุบลราชธานี (ศูนย์ฯ),อุบลราชธานี,15.25000,104.86667,999.33,09-25-2019,13:00:00,0.00,10.00,1013.19,5.6,28.17,160,57,32.6,23.0,0.00
48408,UBON RATCHATHANI AGROMET.,อุบลราชธานี สกษ.,อุบลราชธานี,15.23914,105.02350,998.31,09-25-2019,13:00:00,0.00,10.00,1012.95,0.0,31.11,000,64,32.5,24.7,0.00
48409,SI SAKET AGROMET.,ศรีสะเกษ,ศรีสะเกษ,15.00000,104.05000,998.96,09-25-2019,13:00:00,0.00,10.00,1013.49,14.8,31.52,040,66,32.0,24.9,0.00
48410,UTHAITHANI,อุทัยธานี,อุทัยธานี,15.37417,100.03889,1010.85,09-25-2019,13:00:00,0.00,9.00,1013.83,0.0,23.85,"{'0': '   ', '@attributes': {'Unit': 'degree'}}",47,33.2,20.3,0.00
48413,WICHIAN BURI,วิเชียรบุรี,เพชรบูรณ์,15.65700,101.10800,1005.29,09-25-2019,13:00:00,0.00,10.00,1013.11,20.4,27.66,030,52,33.9,22.7,0.00
48415,AYUTTHAYA,พระนครศรีอยุธยา,พระนครศรีอยุธยา,14.53472,100.72500,1012.89,09-25-2019,13:00:00,0.00,9.00,1013.99,9.3,29.34,050,61,32.2,23.7,0.00
48416,THA TUM,ท่าตูม,สุรินทร์,15.31667,103.68333,998.47,09-25-2019,13:00:00,0.00,9.00,1013.13,3.7,28.04,090,68,29.4,23.0,0.00
48417,NAKORNNAYOK,นครนายก,นครนายก,14.36222,101.39278,878.40,09-25-2019,13:00:00,0.00,8.00,1012.21,5.6,22.16,050,74,24.0,19.1,0.00
48418,BUA CHUM,บัวชุม  ,ลพบุรี,15.26667,101.18736,1007.54,09-25-2019,13:00:00,0.00,10.00,1013.35,18.5,26.86,040,55,32.5,22.3,0.00
48419,PATHUMTHANI,ปทุมธานี สกษ.,ปทุมธานี,14.10000,100.61667,1012.13,09-25-2019,13:00:00,0.00,7.00,1012.92,0.0,28.63,000,54,34.1,23.3,0.00
48420,Samut Prakarn,สมุทรปราการ สกษ.,สมุทรปราการ,13.51667,100.76167,1012.06,09-25-2019,13:00:00,0.00,10.00,1012.50,18.5,32.36,150,88,27.5,25.4,0.00
48421,THONG PHAPHUM,ทองผาภูมิ,กาญจนบุรี,14.74222,98.63639,1002.07,09-25-2019,13:00:00,0.00,7.00,1013.25,7.4,27.02,140,56,32.3,22.4,0.00
48425,SUPHAN BURI,สุพรรณบุรี,สุพรรณบุรี,14.47444,100.13889,1012.51,09-25-2019,13:00:00,0.00,10.00,1013.51,7.4,24.61,030,50,32.6,20.8,0.00
48426,LOP BURI,ลพบุรี,ลพบุรี,14.79972,100.64500,1011.52,09-25-2019,13:00:00,0.00,8.00,1013.32,7.4,24.87,050,51,32.6,21.0,0.00
48427,U THONG AGROMET.,อู่ทอง สกษ.,สุพรรณบุรี,14.30361,99.86472,1012.50,09-25-2019,13:00:00,0.00,9.00,1013.26,3.7,26.34,040,53,32.8,21.9,0.00
48429,SUVARNABHUMI AIRPORT,สนามบินสุวรรณภูมิ,สมุทรปราการ,13.68639,100.76750,1011.91,09-25-2019,13:00:00,0.00,9.00,1012.60,13.0,26.86,070,55,32.5,22.3,0.00
48430,PRACHIN BURI,ปราจีนบุรี,ปราจีนบุรี,14.05842,101.36930,1011.86,09-25-2019,13:00:00,0.00,10.00,1012.55,7.4,27.59,090,54,33.3,22.7,0.00
48431,NAKHON RATCHASIMA,นครราชสีมา,นครราชสีมา,14.96830,102.08603,992.79,09-25-2019,13:00:00,0.00,8.00,1013.81,9.3,25.47,080,57,30.9,21.4,0.00
48432,SURIN,สุรินทร์,สุรินทร์,14.88333,103.50000,997.12,09-25-2019,13:00:00,0.00,10.00,1013.72,9.3,28.37,030,63,31.0,23.2,0.00
48433,SURIN AGROMET.,สุรินทร์ สกษ.,สุรินทร์,14.88333,103.45000,997.85,09-25-2019,13:00:00,0.00,10.00,1014.20,7.4,26.97,040,61,30.7,22.3,0.00
48434,CHOK CHAI,โชคชัย,นครราชสีมา,14.71889,102.16861,991.57,09-25-2019,13:00:00,0.00,8.00,1013.27,9.3,26.73,050,60,31.0,22.2,0.00
48435,PAKCHONG AGROMET.,ปากช่อง สกษ.,นครราชสีมา,14.64389,101.33194,970.33,09-25-2019,13:00:00,0.00,10.00,1013.62,14.8,24.75,040,63,28.6,20.9,0.00
48436,NANG RONG,นางรอง,บุรีรัมย์,14.58333,102.80000,992.83,09-25-2019,13:00:00,0.00,10.00,1013.27,7.4,28.34,050,64,30.7,23.1,0.00
48437,BURIRUM,บุรีรัมย์,บุรีรัมย์,15.22575,103.24808,994.79,09-25-2019,13:00:00,0.00,8.00,1015.58,16.7,30.11,040,71,29.9,24.2,0.00
48438,SAMUTSONGKRAM,สมุทรสงคราม,สมุทรสงคราม,13.40778,100.03222,1012.31,09-25-2019,13:00:00,0.00,9.00,1012.74,11.1,27.74,020,58,32.1,22.8,2.00
48439,KABIN BURI,กบินทร์บุรี,ปราจีนบุรี,13.98333,101.70722,1011.01,09-25-2019,13:00:00,0.00,11.00,1012.41,5.6,30.32,060,65,31.7,24.3,0.80
48440,SA KAEW,สระแก้ว,สระแก้ว,13.78889,102.03472,1008.17,09-25-2019,13:00:00,0.00,12.00,1013.04,3.7,29.58,050,60,32.6,23.9,0.00
48450,KANCHANA BURI,กาญจนบุรี,กาญจนบุรี,14.02250,99.53583,1009.97,09-25-2019,13:00:00,0.00,8.00,1013.22,11.1,24.01,080,48,33.0,20.4,0.00
48451,NAKHONPATHOM,นครปฐม,นครปฐม,14.01167,99.97000,1012.34,09-25-2019,13:00:00,0.00,10.00,1013.44,3.7,26.73,010,60,31.0,22.2,0.30
48453,BANG NA AGROMET.,กรุงเทพฯ บางนา สกษ.,กรุงเทพมหานคร,13.66639,100.60611,1012.35,09-25-2019,13:00:00,0.00,10.00,1012.64,11.1,28.40,030,56,33.0,23.2,0.00
48454,BANGKOK PORT (KLONG TOEI),กรุงเทพฯ ท่าเรือคลองเตย,กรุงเทพมหานคร,13.70694,100.56805,1012.15,09-25-2019,13:00:00,0.00,12.00,1012.83,7.4,29.13,090,54,34.2,23.6,0.00
48455,BANGKOK METROPOLIS,กรุงเทพมหานคร,กรุงเทพมหานคร,13.72639,100.56000,1010.89,09-25-2019,13:00:00,0.00,10.00,1011.37,5.6,28.73,140,58,32.6,23.4,0.00
48456,DON MUANG AIRPORT,สนามบินดอนเมือง,กรุงเทพมหานคร,13.91917,100.60500,1011.65,09-25-2019,13:00:00,0.00,10.00,1013.04,7.4,27.97,020,57,32.5,22.9,0.00
48457,PILOT STATION,นำร่อง,สมุทรปราการ,13.39389,100.59944,1011.15,09-25-2019,13:00:00,0.00,10.00,1012.82,16.7,32.34,050,72,31.0,25.4,0.00
48458,CHACHOENGSAO,ฉะเชิงเทรา,ฉะเชิงเทรา,13.51556,101.45833,1006.06,09-25-2019,13:00:00,0.00,10.00,1013.97,5.6,29.58,090,60,32.6,23.9,0.00
48459,CHON BURI,ชลบุรี,ชลบุรี,13.36667,100.98333,1011.87,09-25-2019,13:00:00,0.00,10.00,1012.15,11.1,28.43,060,53,34.0,23.2,0.00
48460,KO SICHANG,เกาะสีชัง,ชลบุรี,13.16167,100.80194,1009.39,09-25-2019,13:00:00,0.00,10.00,1012.48,5.6,30.65,200,64,32.0,24.5,0.00
48461,PHATTHAYA,พัทยา,ชลบุรี,12.92000,100.86944,1005.21,09-25-2019,13:00:00,0.00,10.00,1012.08,5.6,30.41,340,65,31.6,24.3,20.70
48462,ARANYA PRATHET,อรัญประเทศ,สระแก้ว,13.70000,102.58333,1007.83,09-25-2019,13:00:00,0.00,8.00,1013.35,14.8,30.11,040,60,33.0,24.2,0.00
48463,LAEM CHABANG,แหลมฉบัง,ชลบุรี,13.07694,100.87583,1004.18,09-25-2019,13:00:00,0.00,8.00,1013.36,0.0,29.70,000,57,33.5,23.9,12.80
48464,RATCHA BURI,ราชบุรี,ราชบุรี,13.48931,99.79239,1012.20,09-25-2019,13:00:00,0.00,8.00,1013.45,18.5,30.25,360,67,31.1,24.2,0.20
48465,PHETCHA BURI,เพชรบุรี,เพชรบุรี,12.99944,100.06056,1012.37,09-25-2019,13:00:00,0.00,11.00,1012.80,7.4,26.42,050,53,32.7,22.0,0.40
48474,NONG PHLUB AGROMET.,หนองพลับ สกษ.,ประจวบคีรีขันธ์,12.58333,99.73333,1000.46,09-25-2019,13:00:00,0.00,6.00,1012.61,11.1,27.85,030,61,31.3,22.9,2.50
48475,HUA HIN,หัวหิน,ประจวบคีรีขันธ์,12.58611,99.96250,1011.87,09-25-2019,13:00:00,0.00,7.00,1012.58,11.1,31.81,090,67,32.0,25.1,0.00
48477,SATTAHIP,สัตหีบ,ชลบุรี,12.68333,100.98333,1009.69,09-25-2019,13:00:00,0.00,7.00,1012.08,9.3,29.46,030,54,34.5,23.8,6.30
48478,RAYONG,ระยอง,ระยอง,12.63222,101.34361,1011.93,09-25-2019,13:00:00,0.00,12.00,1012.44,9.3,27.58,090,52,34.0,22.7,0.00
48479,HUAI PONG AGROMET.,ห้วยโป่ง สกษ.,ระยอง,12.73333,101.13333,1006.47,09-25-2019,13:00:00,0.00,12.00,1011.54,9.3,27.67,340,54,33.2,22.8,17.20
48480,CHANTHA BURI,จันทบุรี,จันทบุรี,12.61667,102.11333,1011.64,09-25-2019,13:00:00,0.00,10.00,1012.05,11.1,30.04,030,57,33.8,24.1,0.00
48481,PHLIU  AGROMET.,พลิ้ว สกษ.,จันทบุรี,12.50861,102.17305,1009.22,09-25-2019,13:00:00,0.00,8.00,1011.95,0.0,31.53,000,64,32.7,24.9,0.00
48500,PRACHUAP KHIRIKHAN,ประจวบคีรีขันธ์,ประจวบคีรีขันธ์,11.83333,99.83333,1011.93,09-25-2019,13:00:00,0.00,10.00,1012.71,0.0,29.09,000,66,30.8,23.6,0.00
48501,TRAD,ตราด,ตราด,11.76667,102.88333,1010.94,09-25-2019,13:00:00,0.00,8.00,1011.39,5.6,34.29,250,70,32.6,26.3,0.00
48517,CHUMPHON,ชุมพร,ชุมพร,10.49875,99.18847,1012.07,09-25-2019,13:00:00,0.20,8.00,1012.75,0.0,33.08,000,84,28.7,25.7,0.20
48520,SAWI AGROMET.,สวี สกษ.,ชุมพร,10.33333,99.10000,1010.41,09-25-2019,13:00:00,0.00,9.00,1011.92,14.8,29.15,070,63,31.4,23.6,0.00
48532,RANONG,ระนอง,ระนอง,9.98333,98.61667,1010.37,09-25-2019,13:00:00,0.00,10.00,1011.27,5.6,28.66,270,60,32.0,23.3,0.00
48550,KO SAMUI,เกาะสมุย,สุราษฎร์ธานี,9.46667,100.05000,1011.78,09-25-2019,13:00:00,0.00,10.00,1012.47,14.8,35.40,080,84,29.8,26.9,4.70
48551,SURAT THANI,สุราษฎร์ธานี,สุราษฎร์ธานี,9.13556,99.15194,1011.64,09-25-2019,13:00:00,13.50,6.00,1012.44,3.7,30.76,030,91,26.1,24.5,23.60
48552,NAKHONSI THAMMARAT,นครศรีธรรมราช,นครศรีธรรมราช,8.53778,99.96389,1010.78,09-25-2019,13:00:00,0.00,10.00,1011.41,9.3,33.09,030,75,30.8,25.7,17.10
48554,NAKHONSI THAMMARAT AGROMET.,นครศรีธรรมราช สกษ.,นครศรีธรรมราช,8.35931,100.00000,1011.14,09-25-2019,13:00:00,7.00,10.00,1011.54,11.1,34.82,040,80,30.5,26.6,41.60
48555,SURAT THANI AGROMET.,สุราษฎร์ธานี สกษ.,สุราษฎร์ธานี,9.10000,99.63333,1010.26,09-25-2019,13:00:00,7.50,5.00,1014.49,0.0,33.20,000,87,28.2,25.8,10.80
48556,PHRA SANG,พระแสง สอท.,สุราษฎร์ธานี,8.57022,99.25825,1009.63,09-25-2019,13:00:00,0.00,10.00,1011.22,0.0,25.77,000,53,32.5,21.6,1.60
48557,CHAWANG,ฉวาง,นครศรีธรรมราช,8.43194,99.51194,1007.46,09-25-2019,13:00:00,0.00,12.00,1010.89,11.1,32.07,320,66,32.4,25.2,2.90
48560,PHATTHALUNG AGROMET.,พัทลุง สกษ.,พัทลุง,7.58333,100.16667,1009.88,09-25-2019,13:00:00,0.01,10.00,1011.22,18.5,32.18,120,71,31.2,25.3,42.50
48561,TAKUA PA,ตะกั่วป่า,พังงา,8.68417,98.25222,1010.00,09-25-2019,13:00:00,0.00,10.00,1010.87,9.3,30.53,300,62,32.5,24.4,14.80
48563,KRABI,กระบี่,กระบี่,8.10361,98.97528,1007.60,09-25-2019,13:00:00,0.00,10.00,1011.13,9.3,30.54,070,70,30.4,24.4,2.60
48564,PHUKET,ภูเก็ต,ภูเก็ต,7.88333,98.40000,1010.16,09-25-2019,13:00:00,0.00,10.00,1010.59,7.4,29.58,050,58,33.3,23.9,0.10
48565,PHUKET AIRPORT,ภูเก็ต (ศูนย์ฯ),ภูเก็ต,8.14500,98.31444,1009.29,09-25-2019,13:00:00,0.00,10.00,1010.26,9.3,31.90,040,65,32.6,25.1,11.90
48566,KO LANTA,เกาะลันตา,กระบี่,7.53333,99.05000,1009.77,09-25-2019,13:00:00,0.00,8.00,1010.57,0.0,33.15,000,71,31.8,25.8,0.00
48567,TRANG AIRPORT,ตรัง,ตรัง,7.51667,99.61667,1008.72,09-25-2019,13:00:00,0.01,10.00,1010.52,5.6,30.06,340,70,30.3,24.1,4.50
48568,SONGKHLA,สงขลา,สงขลา,7.18211,100.60769,1010.29,09-25-2019,13:00:00,0.00,10.00,1011.04,7.4,32.76,150,72,31.2,25.6,2.30
48569,HAT YAI AIRPORT,หาดใหญ่,สงขลา,6.91667,100.43333,1006.89,09-25-2019,13:00:00,0.00,10.00,1010.83,25.9,28.68,070,57,33.0,23.3,0.01
48570,SATUN,สตูล,สตูล,6.65000,100.08333,1009.46,09-25-2019,13:00:00,0.00,10.00,1010.13,11.1,28.35,070,53,34.1,23.2,0.00
48571,KHO HONG AGROMET.,คอหงษ์ สกษ.,สงขลา,7.00000,100.50000,1010.03,09-25-2019,13:00:00,0.00,12.00,1011.13,14.8,29.02,050,61,31.9,23.5,0.00
48574,SA DAO,สะเดา,สงขลา,6.79806,100.39056,1007.51,09-25-2019,13:00:00,0.00,10.00,1010.38,18.5,30.04,060,57,33.8,24.1,0.00
48580,PATTANI AIRPORT,ปัตตานี,ปัตตานี,6.78333,101.15000,1010.06,09-25-2019,13:00:00,0.00,9.00,1010.74,5.6,31.33,120,61,33.3,24.8,0.00
48581,YALA AGROMET.,ยะลา สกษ.,ยะลา,6.51667,101.28333,1007.14,09-25-2019,13:00:00,0.00,9.00,1011.20,11.1,29.13,090,59,32.8,23.6,5.90
48583,NARATHIWAT,นราธิวาส,นราธิวาส,6.41667,101.81667,1010.22,09-25-2019,13:00:00,0.00,10.00,1010.80,13.0,32.77,120,69,31.9,25.6,1.90
