WmoStationNumber,StationNameEnglish,StationNameThai,Province,Latitude,Longitude,VaporPressure,Date,Time,Rainfall24Hr,RelativeHumidity,StationPressure,DewPoint,WindDirection,AirTemperature,Rainfall,LandVisibility,WindSpeed,MeanSeaLevelPressure
48300,MAE HONG SON,แม่ฮ่องสอน,แม่ฮ่องสอน,19.29897,97.97578,26.01,10-09-2019,01:00:00,3.10,92,982.10,21.7,000,23.1,0.00,8.00,0.0,1013.51
48302,DOI ANG KANG,ดอยอ่างขาง,เชียงใหม่,19.93139,99.04833,18.62,10-09-2019,01:00:00,0.00,91,849.78,16.4,140,17.9,0.00,8.00,9.3,1012.35
48303,CHIANG RAI,เชียงราย,เชียงราย,19.96139,99.88139,24.39,10-09-2019,01:00:00,0.00,87,969.05,20.7,000,23.0,0.00,10.00,0.0,1013.32
48304,CHAING RAI AGROMET.,เชียงราย สกษ.,เชียงราย,19.87083,99.78278,24.34,10-09-2019,01:00:00,0.00,91,966.72,20.7,000,22.2,0.00,12.00,0.0,1013.03
48307,THUNG CHANG,ทุ่งช้าง,น่าน,19.41194,100.88353,27.57,10-09-2019,01:00:00,0.00,98,973.36,22.7,000,23.0,0.00,4.00,0.0,1011.49
48310,PHAYAO,พะเยา,พะเยา,19.13333,99.90000,26.33,10-09-2019,01:00:00,0.00,92,967.69,21.9,000,23.3,0.00,8.00,0.0,1013.40
48315,THA WANGPHA,ท่าวังผา,น่าน,19.11056,100.80250,26.41,10-09-2019,01:00:00,0.00,95,986.56,22.0,000,22.9,0.00,5.00,0.0,1013.75
48324,THOEN,เถิน,ลำปาง,17.63661,99.24475,27.77,10-09-2019,01:00:00,2.70,91,990.50,22.8,000,24.3,0.00,12.00,0.0,1012.52
48325,MAE SARIANG,แม่สะเรียง,แม่ฮ่องสอน,18.16667,97.93333,27.42,10-09-2019,01:00:00,0.00,93,988.63,22.6,000,23.8,0.00,6.00,0.0,1013.07
48327,CHIANG MAI,เชียงใหม่,เชียงใหม่,18.79000,98.97694,25.84,10-09-2019,01:00:00,0.00,86,978.47,21.6,140,24.2,0.00,10.00,3.7,1013.40
48328,LAMPANG,ลำปาง,ลำปาง,18.28333,99.51667,28.63,10-09-2019,01:00:00,5.70,93,985.23,23.3,000,24.5,0.00,10.00,0.0,1013.09
48329,LAMPHUN,ลำพูน,ลำพูน,18.56722,99.03389,26.42,10-09-2019,01:00:00,0.00,91,979.40,22.0,000,23.5,0.00,7.00,0.0,1013.47
