WmoStationNumber,StationNameEnglish,StationNameThai,Province,Latitude,Longitude,AirTemperature,Date,Time,LandVisibility,WindDirection,WindSpeed,RelativeHumidity,StationPressure,MeanSeaLevelPressure,VaporPressure,DewPoint,Rainfall24Hr,Rainfall
48300,MAE HONG SON,แม่ฮ่องสอน,แม่ฮ่องสอน,19.29897,97.97578,24.6,07-14-2019,22:00:00,8.00,000,0.0,92,975.66,1006.71,28.55,23.3,8.70,3.70
48302,DOI ANG KANG,ดอยอ่างขาง,เชียงใหม่,19.93139,99.04833,19.0,07-14-2019,22:00:00,8.00,270,22.2,92,843.11,1003.75,20.23,17.7,1.50,0.00
48303,CHIANG RAI,เชียงราย,เชียงราย,19.96139,99.88139,28.5,07-14-2019,22:00:00,15.00,220,16.7,61,959.42,1002.44,23.56,20.1,0.00,0.00
48304,CHAING RAI AGROMET.,เชียงราย สกษ.,เชียงราย,19.87083,99.78278,28.0,07-14-2019,22:00:00,12.00,220,16.7,67,957.82,1002.81,25.24,21.3,0.00,0.00
48307,THUNG CHANG,ทุ่งช้าง,น่าน,19.41194,100.88353,25.5,07-14-2019,22:00:00,7.00,000,0.0,96,967.53,1005.12,31.25,24.8,8.80,2.50
48310,PHAYAO,พะเยา,พะเยา,19.13333,99.90000,25.6,07-14-2019,22:00:00,10.00,000,0.0,83,959.03,1003.98,27.21,22.5,0.00,0.00
48315,THA WANGPHA,ท่าวังผา,น่าน,19.11056,100.80250,26.8,07-14-2019,22:00:00,9.00,180,3.7,85,978.42,1005.03,29.91,24.0,0.30,0.00
48324,THOEN,เถิน,ลำปาง,17.63661,99.24475,28.2,07-14-2019,22:00:00,12.00,250,3.7,65,983.76,1005.35,24.82,21.0,0.00,0.00
48325,MAE SARIANG,แม่สะเรียง,แม่ฮ่องสอน,18.16667,97.93333,24.5,07-14-2019,22:00:00,6.00,000,0.0,95,983.39,1007.65,29.15,23.6,10.40,0.00
48327,CHIANG MAI,เชียงใหม่,เชียงใหม่,18.79000,98.97694,25.5,07-14-2019,22:00:00,10.00,210,3.7,90,972.23,1006.80,29.38,23.7,9.50,9.50
48328,LAMPANG,ลำปาง,ลำปาง,18.28333,99.51667,28.5,07-14-2019,22:00:00,10.00,000,0.0,64,980.05,1007.39,24.83,21.0,0.00,0.00
48329,LAMPHUN,ลำพูน,ลำพูน,18.56722,99.03389,27.8,07-14-2019,22:00:00,10.00,000,0.0,69,972.09,1005.41,25.66,21.5,0.00,0.00
48330,PHRAE,แพร่,แพร่,18.16667,100.16667,26.9,07-14-2019,22:00:00,15.00,190,1.9,86,986.31,1004.75,30.37,24.3,0.40,0.00
48331,NAN,น่าน,น่าน,18.77972,100.77778,26.6,07-14-2019,22:00:00,10.00,000,0.0,90,981.83,1004.58,31.16,24.7,1.90,0.01
48333,NAN AGROMET.,น่าน สกษ.,น่าน,18.86667,100.75000,24.8,07-14-2019,22:00:00,7.00,000,0.0,95,975.06,1005.03,29.69,23.9,30.00,0.00
48334,LAMPANG AGROMET.,ลำปาง สกษ.,ลำปาง,18.31667,99.28333,29.7,07-14-2019,22:00:00,7.00,000,0.0,63,970.30,1005.34,26.46,22.0,0.00,0.00
48350,LOEI AGROMET.,เลย สกษ.,เลย,17.40000,101.73333,29.0,07-14-2019,22:00:00,13.00,000,0.0,71,974.71,1004.07,28.37,23.2,0.00,0.00
48351,UTTARADIT,อุตรดิตถ์,อุตรดิตถ์,17.61667,100.10000,29.1,07-14-2019,22:00:00,10.00,000,0.0,65,998.29,1005.53,26.16,21.8,0.00,0.00
48352,NONG KHAI,หนองคาย,หนองคาย,17.86717,102.73303,30.0,07-14-2019,22:00:00,12.00,250,3.7,75,984.27,1003.89,31.72,25.0,0.00,0.00
48353,LOEI,เลย,เลย,17.45000,101.73333,30.5,07-14-2019,22:00:00,15.00,260,5.6,54,975.84,1004.04,23.45,20.1,0.00,0.00
48354,UDON THANI,อุดรธานี,อุดรธานี,17.38333,102.80000,28.7,07-14-2019,22:00:00,10.00,000,0.0,77,983.66,1003.64,30.26,24.2,0.10,0.10
48355,SAKON NAKHON AGROMET.,สกลนคร สกษ.,สกลนคร,17.12503,104.06100,27.5,07-14-2019,22:00:00,10.00,000,0.0,95,983.26,1004.89,34.93,26.7,1.20,0.00
48356,SAKON NAKHON,สกลนคร,สกลนคร,17.15000,104.13333,28.2,07-14-2019,22:00:00,12.00,160,3.7,83,984.43,1003.77,31.79,25.1,0.00,0.00
48357,NAKHON PHANOM,นครพนม,นครพนม,17.41083,104.78250,29.0,07-14-2019,22:00:00,10.00,000,0.0,78,988.34,1004.93,31.13,24.7,0.00,0.00
48358,NAKHON PHANOM AGROMET.,นครพนม สกษ.,นครพนม,17.44306,104.77361,27.8,07-14-2019,22:00:00,10.00,000,0.0,84,987.79,1005.11,31.56,24.9,0.30,0.00
48360,NONG BUA LAM PHU,หนองบัวลำภู,หนองบัวลำภู,17.23250,102.42944,28.0,07-14-2019,22:00:00,10.00,000,0.0,81,977.78,1003.36,30.56,24.4,0.00,0.00
48372,SUKHOTHAI*,สุโขทัย,สุโขทัย,17.10611,99.80000,28.7,07-14-2019,22:00:00,10.00,000,0.0,69,999.63,1005.37,27.01,22.4,0.00,0.00
48373,SI SAMRONG AGROMET.,ศรีสำโรง สกษ.,สุโขทัย,17.16136,99.86167,28.8,07-14-2019,22:00:00,12.00,250,9.3,65,999.72,1005.86,25.88,21.7,0.00,0.00
48374,LOM SAK,หล่มสัก,เพชรบูรณ์,16.77361,101.24944,28.6,07-14-2019,22:00:00,10.00,000,0.0,69,989.35,1005.68,26.83,22.2,0.00,0.00
48375,MAE SOT,แม่สอด,ตาก,16.65917,98.55083,23.9,07-14-2019,22:00:00,10.00,220,7.4,91,983.87,1006.40,27.08,22.4,9.80,1.50
48376,TAK,ตาก,ตาก,16.87833,99.14333,27.8,07-14-2019,22:00:00,7.00,260,9.3,71,991.92,1006.25,26.70,22.2,0.00,0.00
48377,BHUMIBOL DAM,เขื่อนภูมิพล,ตาก,17.24389,99.00250,28.0,07-14-2019,22:00:00,8.00,250,7.4,70,988.55,1004.84,26.54,22.1,2.00,0.00
48378,PHITSANULOK,พิษณุโลก,พิษณุโลก,16.79481,100.27930,27.5,07-14-2019,22:00:00,10.00,040,5.6,82,1000.67,1005.89,30.15,24.2,0.01,0.00
