WmoStationNumber,StationNameEnglish,StationNameThai,Province,Latitude,Longitude,AirTemperature,Date,Time,WindSpeed,LandVisibility,VaporPressure,RelativeHumidity,Rainfall24Hr,DewPoint,WindDirection,Rainfall,MeanSeaLevelPressure,StationPressure
48300,MAE HONG SON,แม่ฮ่องสอน,แม่ฮ่องสอน,19.29897,97.97578,25.5,07-08-2019,22:00:00,0.0,10.00,29.91,92,1.20,24.0,000,0.00,1007.99,976.99
48302,DOI ANG KANG,ดอยอ่างขาง,เชียงใหม่,19.93139,99.04833,19.0,07-08-2019,22:00:00,59.3,7.00,20.65,94,2.40,18.0,300,0.00,1005.53,844.60
48303,CHIANG RAI,เชียงราย,เชียงราย,19.96139,99.88139,26.8,07-08-2019,22:00:00,0.0,12.00,30.18,86,1.90,24.2,000,0.00,1005.86,962.46
48304,CHAING RAI AGROMET.,เชียงราย สกษ.,เชียงราย,19.87083,99.78278,26.3,07-08-2019,22:00:00,0.0,12.00,31.41,92,2.00,24.9,000,0.00,1006.22,960.83
48307,THUNG CHANG,ทุ่งช้าง,น่าน,19.41194,100.88353,25.2,07-08-2019,22:00:00,0.0,7.00,31.49,98,8.20,24.9,000,1.00,1007.22,969.52
48310,PHAYAO,พะเยา,พะเยา,19.13333,99.90000,27.5,07-08-2019,22:00:00,9.3,12.00,26.95,73,0.00,22.3,160,0.00,1006.55,961.76
48315,THA WANGPHA,ท่าวังผา,น่าน,19.11056,100.80250,28.0,07-08-2019,22:00:00,5.6,10.00,27.85,74,0.00,22.9,180,0.00,1007.92,981.34
48324,THOEN,เถิน,ลำปาง,17.63661,99.24475,27.0,07-08-2019,22:00:00,7.4,12.00,27.36,77,2.20,22.6,200,0.00,1008.21,986.48
48325,MAE SARIANG,แม่สะเรียง,แม่ฮ่องสอน,18.16667,97.93333,25.0,07-08-2019,22:00:00,0.0,8.00,27.70,88,57.30,22.8,000,0.00,1009.73,985.46
48327,CHIANG MAI,เชียงใหม่,เชียงใหม่,18.79000,98.97694,26.5,07-08-2019,22:00:00,0.0,10.00,29.89,86,9.90,24.0,000,0.00,1007.88,973.39
48328,LAMPANG,ลำปาง,ลำปาง,18.28333,99.51667,27.0,07-08-2019,22:00:00,0.0,10.00,28.67,80,0.60,23.3,000,0.00,1007.99,980.50
48329,LAMPHUN,ลำพูน,ลำพูน,18.56722,99.03389,28.0,07-08-2019,22:00:00,5.6,10.00,25.76,68,0.00,21.6,240,0.00,1007.36,973.99
48330,PHRAE,แพร่,แพร่,18.16667,100.16667,26.0,07-08-2019,22:00:00,0.0,10.00,30.84,92,3.60,24.6,000,0.00,1007.86,989.31
48331,NAN,น่าน,น่าน,18.77972,100.77778,27.0,07-08-2019,22:00:00,0.0,10.00,29.21,82,0.00,23.6,000,0.00,1007.49,984.71
48333,NAN AGROMET.,น่าน สกษ.,น่าน,18.86667,100.75000,26.5,07-08-2019,22:00:00,0.0,10.00,29.08,84,0.00,23.6,000,0.00,1007.72,977.84
48334,LAMPANG AGROMET.,ลำปาง สกษ.,ลำปาง,18.31667,99.28333,27.5,07-08-2019,22:00:00,0.0,8.00,26.95,73,0.60,22.3,000,0.00,1007.90,972.53
48350,LOEI AGROMET.,เลย สกษ.,เลย,17.40000,101.73333,28.2,07-08-2019,22:00:00,0.0,12.00,27.42,72,0.00,22.6,000,0.00,1006.41,976.90
48351,UTTARADIT,อุตรดิตถ์,อุตรดิตถ์,17.61667,100.10000,26.5,07-08-2019,22:00:00,0.0,9.00,30.43,88,4.30,24.3,000,0.00,1007.88,1000.56
48352,NONG KHAI,หนองคาย,หนองคาย,17.86717,102.73303,29.2,07-08-2019,22:00:00,11.1,12.00,32.67,81,3.80,25.5,230,0.00,1006.29,986.56
48353,LOEI,เลย,เลย,17.45000,101.73333,29.2,07-08-2019,22:00:00,9.3,15.00,25.55,63,0.00,21.4,300,0.00,1006.29,977.91
48354,UDON THANI,อุดรธานี,อุดรธานี,17.38333,102.80000,27.2,07-08-2019,22:00:00,5.6,10.00,32.61,90,10.10,25.5,210,0.20,1006.56,986.43
48355,SAKON NAKHON AGROMET.,สกลนคร สกษ.,สกลนคร,17.12503,104.06100,28.8,07-08-2019,22:00:00,0.0,12.00,32.71,83,0.00,25.5,000,0.00,1006.06,984.50
48356,SAKON NAKHON,สกลนคร,สกลนคร,17.15000,104.13333,29.5,07-08-2019,22:00:00,0.0,10.00,33.58,81,0.00,26.0,000,0.00,1006.32,987.02
48357,NAKHON PHANOM,นครพนม,นครพนม,17.41083,104.78250,28.5,07-08-2019,22:00:00,3.7,10.00,31.54,81,0.00,24.9,090,0.00,1007.03,990.38
48358,NAKHON PHANOM AGROMET.,นครพนม สกษ.,นครพนม,17.44306,104.77361,28.1,07-08-2019,22:00:00,0.0,10.00,32.43,85,0.00,25.4,000,0.00,1007.25,989.91
48360,NONG BUA LAM PHU,หนองบัวลำภู,หนองบัวลำภู,17.23250,102.42944,29.3,07-08-2019,22:00:00,0.0,11.00,31.45,77,0.00,24.9,000,0.00,1006.66,981.10
48372,SUKHOTHAI*,สุโขทัย,สุโขทัย,17.10611,99.80000,28.2,07-08-2019,22:00:00,9.3,10.00,27.16,71,0.00,22.4,270,0.00,1007.85,1002.08
48373,SI SAMRONG AGROMET.,ศรีสำโรง สกษ.,สุโขทัย,17.16136,99.86167,28.5,07-08-2019,22:00:00,9.3,10.00,27.44,71,0.00,22.6,270,0.00,1008.25,1002.08
48374,LOM SAK,หล่มสัก,เพชรบูรณ์,16.77361,101.24944,27.2,07-08-2019,22:00:00,0.0,10.00,27.72,77,0.00,22.8,000,0.00,1008.53,992.09
48375,MAE SOT,แม่สอด,ตาก,16.65917,98.55083,24.0,07-08-2019,22:00:00,0.0,8.00,27.25,91,24.60,22.5,000,3.90,1008.70,986.12
48376,TAK,ตาก,ตาก,16.87833,99.14333,28.2,07-08-2019,22:00:00,11.1,6.00,26.90,70,0.00,22.3,270,0.00,1008.75,994.40
48377,BHUMIBOL DAM,เขื่อนภูมิพล,ตาก,17.24389,99.00250,28.0,07-08-2019,22:00:00,9.3,7.00,26.54,70,1.20,22.1,240,0.00,1008.06,991.71
48378,PHITSANULOK,พิษณุโลก,พิษณุโลก,16.79481,100.27930,28.0,07-08-2019,22:00:00,0.0,10.00,31.95,85,0.01,25.1,000,0.00,1008.10,1002.88
48379,PHETCHABUN,เพชรบูรณ์,เพชรบูรณ์,16.43333,101.15000,29.5,07-08-2019,22:00:00,0.0,10.00,29.33,71,0.00,23.7,000,0.00,1006.40,993.32
48380,KAMPHAENG PHET,กำแพงเพชร,กำแพงเพชร,16.48681,99.52697,27.5,07-08-2019,22:00:00,5.6,10.00,25.65,70,0.00,21.5,340,0.00,1007.89,998.57
48381,KHON KAEN,ขอนแก่น,ขอนแก่น,16.46111,102.78972,30.1,07-08-2019,22:00:00,7.4,10.00,27.74,65,0.00,22.8,240,0.00,1007.12,985.66
48382,MAHASARAKHAM,มหาสารคาม,มหาสารคาม,16.24722,103.06805,27.5,07-08-2019,22:00:00,5.6,10.00,29.60,81,0.00,23.9,240,0.00,1006.07,988.62
48383,MUKDAHAN,มุกดาหาร,มุกดาหาร,16.54139,104.72889,29.5,07-08-2019,22:00:00,9.3,10.00,29.88,72,0.00,24.0,200,0.00,1006.41,990.72
48384,THA PHRA AGROMET.,ท่าพระ สกษ.,ขอนแก่น,16.33333,102.81667,30.2,07-08-2019,22:00:00,0.0,8.00,32.42,76,0.00,25.4,000,0.00,1005.75,987.09
48385,UMPHANG,อุ้มผาง,ตาก,16.02472,98.86444,23.8,07-08-2019,22:00:00,0.0,5.00,26.67,91,2.70,22.1,000,1.60,1009.30,957.65
48386,PICHIT AGROMET.,พิจิตร สกษ.,พิจิตร,16.43806,100.29250,26.5,07-08-2019,22:00:00,3.7,6.00,30.43,88,8.30,24.3,080,0.01,1007.80,1003.83
48387,DOI MU SOE AGROMET.,ดอยมูเซอร์ สกษ.,ตาก,16.75000,98.93333,20.8,07-08-2019,22:00:00,13.0,.60,23.62,96,4.90,20.2,230,0.40,1009.83,914.26
48390,KALASIN,กาฬสินธุ์,กาฬสินธุ์,16.33250,103.58833,30.4,07-08-2019,22:00:00,0.0,8.00,30.54,70,0.00,24.4,000,0.00,1006.41,990.61
48400,NAKHON SAWAN,นครสวรรค์ ,นครสวรรค์,15.67183,100.13236,30.0,07-08-2019,22:00:00,0.0,10.00,31.72,75,0.00,25.0,000,0.00,1007.53,1003.53
48401,TAKFA AGROMET.,ตากฟ้า สกษ.,นครสวรรค์,15.34944,100.53028,27.8,07-08-2019,22:00:00,0.0,8.00,29.09,78,0.00,23.6,000,0.00,1009.23,998.56
48402,CHAINAT AGROMET.,ชัยนาท สกษ.,ชัยนาท,15.15000,100.18333,28.4,07-08-2019,22:00:00,9.3,9.00,27.52,71,0.00,22.7,190,0.00,1008.93,1007.01
48403,CHAIYAPHUM,ชัยภูมิ,ชัยภูมิ,15.80000,102.03333,28.9,07-08-2019,22:00:00,3.7,10.00,30.10,76,4.20,24.1,220,0.00,1008.10,987.35
48404,ROI ET AGROMET.,ร้อยเอ็ด สกษ.,ร้อยเอ็ด,16.07322,103.60844,30.7,07-08-2019,22:00:00,9.3,10.00,27.52,62,0.00,22.7,200,0.00,1006.64,989.20
48405,ROI ET,ร้อยเอ็ด,ร้อยเอ็ด,16.02000,103.74389,31.5,07-08-2019,22:00:00,11.1,10.00,29.07,63,0.00,23.6,240,0.00,1006.52,990.61
48407,UBON RATCHATHANI,อุบลราชธานี (ศูนย์ฯ),อุบลราชธานี,15.25000,104.86667,27.3,07-08-2019,22:00:00,0.0,10.00,32.53,90,2.80,25.4,000,2.80,1007.83,993.80
48408,UBON RATCHATHANI AGROMET.,อุบลราชธานี สกษ.,อุบลราชธานี,15.23914,105.02350,26.0,07-08-2019,22:00:00,0.0,9.00,31.11,93,4.20,24.7,000,3.00,1008.92,994.01
48409,SI SAKET AGROMET.,ศรีสะเกษ,ศรีสะเกษ,15.00000,104.05000,27.3,07-08-2019,22:00:00,7.4,8.00,28.43,78,0.00,23.2,220,0.00,1009.26,994.57
48410,UTHAITHANI,อุทัยธานี,อุทัยธานี,15.37417,100.03889,30.0,07-08-2019,22:00:00,0.0,10.00,27.55,65,0.00,22.7,"{'0': '   ', '@attributes': {'Unit': 'degree'}}",0.00,1007.39,1004.40
48413,WICHIAN BURI,วิเชียรบุรี,เพชรบูรณ์,15.65700,101.10800,28.1,07-08-2019,22:00:00,0.0,8.00,31.59,83,26.60,25.0,000,0.00,1007.65,999.73
48415,AYUTTHAYA,พระนครศรีอยุธยา,พระนครศรีอยุธยา,14.53472,100.72500,28.3,07-08-2019,22:00:00,7.4,8.00,27.87,72,0.00,22.9,190,0.00,1008.53,1007.43
48416,THA TUM,ท่าตูม,สุรินทร์,15.31667,103.68333,28.8,07-08-2019,22:00:00,0.0,8.00,31.86,80,0.00,25.1,000,0.00,1007.66,993.05
48417,NAKORNNAYOK,นครนายก,นครนายก,{'@attributes': {'Unit': 'decimal degree'}},{'@attributes': {'Unit': 'decimal degree'}},19.9,07-08-2019,22:00:00,7.4,.05,22.77,98,4.00,19.6,270,1.20,1009.81,874.62
48418,BUA CHUM,บัวชุม  ,ลพบุรี,15.26667,101.18736,29.5,07-08-2019,22:00:00,5.6,10.00,30.16,73,0.00,24.2,200,0.00,1008.10,1002.26
48419,PATHUMTHANI,ปทุมธานี สกษ.,ปทุมธานี,14.10000,100.61667,29.0,07-08-2019,22:00:00,5.6,8.00,35.46,89,0.00,26.9,240,0.00,1008.85,1008.05
48420,Samut Prakarn,สมุทรปราการ สกษ.,สมุทรปราการ,13.51667,100.76167,29.3,07-08-2019,22:00:00,0.0,10.00,30.88,76,0.00,24.6,000,0.00,1007.83,1007.39
48421,THONG PHAPHUM,ทองผาภูมิ,กาญจนบุรี,14.74222,98.63639,26.2,07-08-2019,22:00:00,0.0,6.00,30.13,89,6.70,24.2,000,0.00,1009.97,998.60
48425,SUPHAN BURI,สุพรรณบุรี,สุพรรณบุรี,14.47444,100.13889,28.8,07-08-2019,22:00:00,0.0,10.00,28.81,73,0.00,23.4,000,0.00,1008.75,1007.74
48426,LOP BURI,ลพบุรี,ลพบุรี,14.79972,100.64500,28.5,07-08-2019,22:00:00,0.0,8.00,28.51,73,0.00,23.2,000,0.00,1008.52,1006.70
48427,U THONG AGROMET.,อู่ทอง สกษ.,สุพรรณบุรี,14.30361,99.86472,29.0,07-08-2019,22:00:00,7.4,8.00,27.30,68,0.90,22.5,230,0.00,1008.76,1008.00
48429,SUVARNABHUMI AIRPORT,สนามบินสุวรรณภูมิ,สมุทรปราการ,13.68639,100.76750,28.3,07-08-2019,22:00:00,9.3,10.00,31.42,82,6.00,24.9,200,4.80,1009.39,1008.69
48430,PRACHIN BURI,ปราจีนบุรี,ปราจีนบุรี,14.05842,101.36930,27.5,07-08-2019,22:00:00,0.0,7.00,33.21,90,12.80,25.8,000,5.60,1009.00,1008.30
48431,NAKHON RATCHASIMA,นครราชสีมา,นครราชสีมา,14.96830,102.08603,29.6,07-08-2019,22:00:00,3.7,10.00,28.97,70,0.00,23.5,240,0.00,1008.23,987.23
48432,SURIN,สุรินทร์,สุรินทร์,14.88333,103.50000,27.2,07-08-2019,22:00:00,0.0,8.00,29.31,81,0.30,23.7,000,0.00,1008.22,991.50
48433,SURIN AGROMET.,สุรินทร์ สกษ.,สุรินทร์,14.88333,103.45000,27.7,07-08-2019,22:00:00,5.6,6.00,29.98,81,0.00,24.1,230,0.00,1008.80,992.38
48434,CHOK CHAI,โชคชัย,นครราชสีมา,14.71889,102.16861,27.5,07-08-2019,22:00:00,0.0,10.00,26.95,73,0.00,22.3,000,0.00,1008.32,986.47
48435,PAKCHONG AGROMET.,ปากช่อง สกษ.,นครราชสีมา,14.64389,101.33194,26.9,07-08-2019,22:00:00,3.7,12.00,24.88,70,0.00,21.0,200,0.00,1009.06,965.73
48436,NANG RONG,นางรอง,บุรีรัมย์,14.58333,102.80000,27.2,07-08-2019,22:00:00,0.0,10.00,28.51,79,0.00,23.2,000,0.00,1008.42,987.84
48437,BURIRUM,บุรีรัมย์,บุรีรัมย์,15.22575,103.24808,27.0,07-08-2019,22:00:00,11.1,8.00,30.83,87,0.01,24.5,200,0.00,1009.79,988.92
48438,SAMUTSONGKRAM,สมุทรสงคราม,สมุทรสงคราม,13.40778,100.03222,29.0,07-08-2019,22:00:00,7.4,10.00,29.46,74,0.10,23.8,300,0.00,1009.31,1008.88
48439,KABIN BURI,กบินทร์บุรี,ปราจีนบุรี,13.98333,101.70722,25.3,07-08-2019,22:00:00,0.0,6.00,30.34,94,22.00,24.3,000,1.30,1008.97,1007.54
48440,SA KAEW,สระแก้ว,สระแก้ว,13.78889,102.03472,26.8,07-08-2019,22:00:00,0.0,7.00,32.66,93,2.90,25.5,000,0.00,1009.45,1004.51
48450,KANCHANA BURI,กาญจนบุรี,กาญจนบุรี,14.02250,99.53583,29.0,07-08-2019,22:00:00,0.0,10.00,29.19,73,0.01,23.6,000,0.00,1008.95,1005.68
48451,NAKHONPATHOM,นครปฐม,นครปฐม,14.01167,99.97000,28.2,07-08-2019,22:00:00,0.0,10.00,32.35,85,0.00,25.4,000,0.00,1009.27,1008.17
48453,BANG NA AGROMET.,กรุงเทพฯ บางนา สกษ.,กรุงเทพมหานคร,13.66639,100.60611,29.2,07-08-2019,22:00:00,5.6,10.00,32.67,81,0.00,25.5,160,0.00,1009.37,1009.07
48455,BANGKOK METROPOLIS,กรุงเทพมหานคร,กรุงเทพมหานคร,13.72639,100.56000,29.3,07-08-2019,22:00:00,0.0,10.00,33.16,81,0.00,25.8,000,0.00,1009.88,1009.39
48456,DON MUANG AIRPORT,สนามบินดอนเมือง,กรุงเทพมหานคร,13.91917,100.60500,29.9,07-08-2019,22:00:00,9.3,10.00,29.55,70,0.00,23.8,230,0.00,1009.35,1007.95
48458,CHACHOENGSAO,ฉะเชิงเทรา,ฉะเชิงเทรา,13.51556,101.45833,26.8,07-08-2019,22:00:00,0.0,10.00,30.72,87,0.00,24.5,000,0.00,1011.10,1003.06
48459,CHON BURI,ชลบุรี,ชลบุรี,13.36667,100.98333,28.8,07-08-2019,22:00:00,0.0,10.00,31.29,79,0.00,24.8,000,0.00,1009.37,1009.09
48460,KO SICHANG,เกาะสีชัง,ชลบุรี,13.16167,100.80194,28.7,07-08-2019,22:00:00,5.6,10.00,31.38,80,0.00,24.8,250,0.00,1009.46,1006.34
48461,PHATTHAYA,พัทยา,ชลบุรี,12.92000,100.86944,28.8,07-08-2019,22:00:00,9.3,10.00,29.90,76,0.00,24.0,210,0.00,1009.65,1002.73
48462,ARANYA PRATHET,อรัญประเทศ,สระแก้ว,13.70000,102.58333,28.0,07-08-2019,22:00:00,0.0,7.00,32.52,86,0.00,25.4,000,0.00,1009.19,1003.60
48464,RATCHA BURI,ราชบุรี,ราชบุรี,13.48931,99.79239,27.5,07-08-2019,22:00:00,0.0,10.00,31.80,87,0.00,25.1,000,0.00,1010.10,1008.83
48465,PHETCHA BURI,เพชรบุรี,เพชรบุรี,12.99944,100.06056,28.4,07-08-2019,22:00:00,3.7,11.00,27.52,71,0.00,22.7,330,0.00,1009.76,1009.33
48474,NONG PHLUB AGROMET.,หนองพลับ สกษ.,ประจวบคีรีขันธ์,12.58333,99.73333,24.5,07-08-2019,22:00:00,0.0,8.00,28.11,91,0.00,23.0,000,0.00,1010.60,998.19
48475,HUA HIN,หัวหิน,ประจวบคีรีขันธ์,12.58611,99.96250,27.0,07-08-2019,22:00:00,5.6,10.00,27.36,77,6.10,22.6,240,0.00,1010.07,1009.35
48477,SATTAHIP,สัตหีบ,ชลบุรี,12.68333,100.98333,28.5,07-08-2019,22:00:00,5.6,10.00,29.60,76,0.00,23.9,230,0.00,1009.63,1007.20
48478,RAYONG,ระยอง,ระยอง,12.63222,101.34361,29.2,07-08-2019,22:00:00,7.4,10.00,30.96,76,0.00,24.6,270,0.00,1009.55,1009.03
48479,HUAI PONG AGROMET.,ห้วยโป่ง สกษ.,ระยอง,12.73333,101.13333,28.2,07-08-2019,22:00:00,0.0,11.00,30.12,79,0.00,24.2,000,0.00,1009.62,1004.47
