WmoStationNumber,StationNameEnglish,StationNameThai,Province,Latitude,Longitude,StationPressure,Date,Time,RelativeHumidity,LandVisibility,MeanSeaLevelPressure,Rainfall,DewPoint,VaporPressure,Rainfall24Hr,WindDirection,AirTemperature,MaximumTemperature,WindSpeed
48300,MAE HONG SON,แม่ฮ่องสอน,แม่ฮ่องสอน,19.29897,97.97578,972.58,08-02-2019,19:00:00,85,10.00,1003.21,0.20,25.0,31.64,8.30,000,27.7,29.8,0.0
48302,DOI ANG KANG,ดอยอ่างขาง,เชียงใหม่,19.93139,99.04833,841.21,08-02-2019,19:00:00,99,7.00,1001.49,3.90,18.8,21.73,3.90,300,19.0,23.5,59.3
48303,CHIANG RAI,เชียงราย,เชียงราย,19.96139,99.88139,957.88,08-02-2019,19:00:00,84,10.00,1000.93,1.10,24.8,31.28,2.10,000,27.8,32.3,0.0
48304,CHAING RAI AGROMET.,เชียงราย สกษ.,เชียงราย,19.87083,99.78278,956.21,08-02-2019,19:00:00,84,12.00,1001.19,0.50,24.6,30.97,13.50,000,27.5,31.7,0.0
48307,THUNG CHANG,ทุ่งช้าง,น่าน,19.41194,100.88353,964.78,08-02-2019,19:00:00,82,12.00,1002.01,0.00,24.2,30.15,0.00,200,27.5,30.2,5.6
48310,PHAYAO,พะเยา,พะเยา,19.13333,99.90000,957.92,08-02-2019,19:00:00,81,9.00,1002.52,0.00,23.9,29.60,0.00,000,27.5,28.0,0.0
48315,THA WANGPHA,ท่าวังผา,น่าน,19.11056,100.80250,975.75,08-02-2019,19:00:00,88,10.00,1002.22,0.00,25.4,32.36,0.00,160,27.5,31.0,3.7
48324,THOEN,เถิน,ลำปาง,17.63661,99.24475,981.78,08-02-2019,19:00:00,62,15.00,1003.25,0.00,21.1,25.03,0.00,210,29.2,32.1,14.8
48325,MAE SARIANG,แม่สะเรียง,แม่ฮ่องสอน,18.16667,97.93333,981.19,08-02-2019,19:00:00,84,8.00,1005.23,0.00,23.6,29.08,13.20,000,26.5,30.0,0.0
48327,CHIANG MAI,เชียงใหม่,เชียงใหม่,18.79000,98.97694,968.79,08-02-2019,19:00:00,77,10.00,1002.92,0.00,23.6,29.11,3.90,030,28.1,30.7,3.7
48328,LAMPANG,ลำปาง,ลำปาง,18.28333,99.51667,977.09,08-02-2019,19:00:00,62,10.00,1004.20,0.00,21.9,26.21,10.00,000,30.0,32.0,0.0
