WmoStationNumber,StationNameEnglish,StationNameThai,Province,Latitude,Longitude,StationPressure,Date,Time,RelativeHumidity,LandVisibility,MeanSeaLevelPressure,Rainfall,DewPoint,VaporPressure,Rainfall24Hr,WindDirection,AirTemperature,MaximumTemperature,WindSpeed
48329,LAMPHUN,ลำพูน,ลำพูน,18.56722,99.03389,969.37,08-02-2019,19:00:00,63,10.00,1002.39,0.00,21.9,26.19,0.20,250,29.7,31.7,5.6
48330,PHRAE,แพร่,แพร่,18.16667,100.16667,984.27,08-02-2019,19:00:00,84,10.00,1002.63,0.00,24.6,30.97,1.10,030,27.5,30.6,1.9
48331,NAN,น่าน,น่าน,18.77972,100.77778,979.50,08-02-2019,19:00:00,74,10.00,1002.05,0.00,23.4,28.78,0.00,000,28.5,32.3,0.0
48333,NAN AGROMET.,น่าน สกษ.,น่าน,18.86667,100.75000,972.54,08-02-2019,19:00:00,89,10.00,1002.21,0.00,25.0,31.66,0.00,000,27.0,30.7,0.0
48334,LAMPANG AGROMET.,ลำปาง สกษ.,ลำปาง,18.31667,99.28333,967.55,08-02-2019,19:00:00,71,7.00,1002.57,0.00,23.2,28.37,18.90,000,29.0,30.8,0.0
48350,LOEI AGROMET.,เลย สกษ.,เลย,17.40000,101.73333,971.96,08-02-2019,19:00:00,73,15.00,1001.27,0.00,23.3,28.62,0.00,000,28.7,33.6,0.0
48351,UTTARADIT,อุตรดิตถ์,อุตรดิตถ์,17.61667,100.10000,996.17,08-02-2019,19:00:00,59,8.00,1003.36,0.00,21.7,25.98,0.01,200,30.6,34.1,5.6
48352,NONG KHAI,หนองคาย,หนองคาย,17.86717,102.73303,980.83,08-02-2019,19:00:00,74,15.00,1000.37,0.00,24.9,31.56,0.00,250,30.2,33.5,13.0
48353,LOEI,เลย,เลย,17.45000,101.73333,973.93,08-02-2019,19:00:00,60,13.00,1002.20,0.00,20.7,24.43,0.00,290,29.3,33.4,9.3
48354,UDON THANI,อุดรธานี,อุดรธานี,17.38333,102.80000,980.93,08-02-2019,19:00:00,68,15.00,1000.81,0.00,22.8,27.77,0.00,240,29.4,33.0,13.0
48355,SAKON NAKHON AGROMET.,สกลนคร สกษ.,สกลนคร,17.12503,104.06100,979.37,08-02-2019,19:00:00,77,12.00,1000.89,0.00,23.4,28.82,0.00,210,27.8,31.2,3.7
48356,SAKON NAKHON,สกลนคร,สกลนคร,17.15000,104.13333,981.48,08-02-2019,19:00:00,77,15.00,1000.77,0.00,23.6,29.19,0.00,240,28.0,31.5,5.6
48357,NAKHON PHANOM,นครพนม,นครพนม,17.41083,104.78250,984.93,08-02-2019,19:00:00,95,7.00,1001.65,16.50,24.7,31.17,20.10,000,25.6,28.8,0.0
48358,NAKHON PHANOM AGROMET.,นครพนม สกษ.,นครพนม,17.44306,104.77361,985.56,08-02-2019,19:00:00,89,6.00,1002.89,0.20,25.0,31.66,1.10,000,27.0,29.7,0.0
48360,NONG BUA LAM PHU,หนองบัวลำภู,หนองบัวลำภู,17.23250,102.42944,975.28,08-02-2019,19:00:00,68,12.00,1000.71,0.00,22.4,27.03,0.00,000,29.0,33.2,0.0
48372,SUKHOTHAI*,สุโขทัย,สุโขทัย,17.10611,99.80000,997.26,08-02-2019,19:00:00,62,10.00,1002.95,0.00,22.7,27.52,0.00,270,30.7,35.0,11.1
48373,SI SAMRONG AGROMET.,ศรีสำโรง สกษ.,สุโขทัย,17.16136,99.86167,997.05,08-02-2019,19:00:00,68,10.00,1003.16,0.00,23.3,28.53,0.50,250,29.8,33.7,11.1
48374,LOM SAK,หล่มสัก,เพชรบูรณ์,16.77361,101.24944,987.66,08-02-2019,19:00:00,74,10.00,1003.99,0.00,22.9,27.85,0.01,000,28.0,30.0,0.0
48375,MAE SOT,แม่สอด,ตาก,16.65917,98.55083,981.62,08-02-2019,19:00:00,85,8.00,1003.96,0.20,23.2,28.34,31.90,230,25.8,28.8,7.4
48376,TAK,ตาก,ตาก,16.87833,99.14333,989.95,08-02-2019,19:00:00,66,7.00,1004.23,0.00,21.4,25.51,1.20,270,28.3,31.2,14.8
48377,BHUMIBOL DAM,เขื่อนภูมิพล,ตาก,17.24389,99.00250,987.57,08-02-2019,19:00:00,68,7.00,1003.78,0.00,22.8,27.67,0.10,230,29.2,30.5,7.4
48378,PHITSANULOK,พิษณุโลก,พิษณุโลก,16.79481,100.27930,998.47,08-02-2019,19:00:00,56,10.00,1003.62,0.00,20.8,24.48,2.40,270,30.5,33.5,16.7
48379,PHETCHABUN,เพชรบูรณ์,เพชรบูรณ์,16.43333,101.15000,989.01,08-02-2019,19:00:00,75,12.00,1002.06,0.00,24.1,30.01,1.00,000,29.0,30.1,0.0
48380,KAMPHAENG PHET,กำแพงเพชร,กำแพงเพชร,16.48681,99.52697,994.06,08-02-2019,19:00:00,59,12.00,1003.25,0.00,21.2,25.15,1.50,300,30.0,34.2,1.9
48381,KHON KAEN,ขอนแก่น,ขอนแก่น,16.46111,102.78972,980.93,08-02-2019,19:00:00,57,10.00,1002.31,0.00,20.6,24.20,0.00,240,29.9,33.2,18.5
48382,MAHASARAKHAM,มหาสารคาม,มหาสารคาม,16.24722,103.06805,985.52,08-02-2019,19:00:00,61,10.00,1002.78,0.00,21.5,25.58,0.00,100,29.8,32.1,22.2
48383,MUKDAHAN,มุกดาหาร,มุกดาหาร,16.54139,104.72889,988.07,08-02-2019,19:00:00,71,10.00,1003.78,0.00,22.6,27.44,0.00,220,28.5,31.0,3.7
48384,THA PHRA AGROMET.,ท่าพระ สกษ.,ขอนแก่น,16.33333,102.81667,982.76,08-02-2019,19:00:00,64,10.00,1001.35,0.00,22.4,27.01,0.00,180,30.0,32.0,5.6
48385,UMPHANG,อุ้มผาง,ตาก,16.02472,98.86444,955.95,08-02-2019,19:00:00,90,6.00,1007.44,0.40,22.4,27.09,10.50,000,24.2,29.0,0.0
48386,PICHIT AGROMET.,พิจิตร สกษ.,พิจิตร,16.43806,100.29250,999.75,08-02-2019,19:00:00,78,10.00,1003.65,0.00,25.9,33.50,0.80,160,30.3,32.6,3.7
48387,DOI MU SOE AGROMET.,ดอยมูเซอร์ สกษ.,ตาก,16.75000,98.93333,910.18,08-02-2019,19:00:00,93,5.00,1005.29,0.10,19.8,23.08,13.90,220,20.9,22.1,22.2
48390,KALASIN,กาฬสินธุ์,กาฬสินธุ์,16.33250,103.58833,986.08,08-02-2019,19:00:00,75,8.00,1001.90,0.00,23.8,29.52,0.01,240,28.6,30.6,5.6
48400,NAKHON SAWAN,นครสวรรค์ ,นครสวรรค์,15.67183,100.13236,1000.39,08-02-2019,19:00:00,56,10.00,1004.35,0.00,21.6,25.86,0.10,280,31.4,35.4,5.6
48401,TAKFA AGROMET.,ตากฟ้า สกษ.,นครสวรรค์,15.34944,100.53028,995.00,08-02-2019,19:00:00,51,9.00,1005.53,0.00,19.3,22.35,4.30,230,30.6,35.0,7.4
48402,CHAINAT AGROMET.,ชัยนาท สกษ.,ชัยนาท,15.15000,100.18333,1009.79,08-02-2019,19:00:00,58,12.00,1011.71,0.00,21.4,25.53,0.50,000,30.5,35.5,0.0
48403,CHAIYAPHUM,ชัยภูมิ,ชัยภูมิ,15.80000,102.03333,981.93,08-02-2019,19:00:00,67,10.00,1002.57,0.00,22.1,26.58,0.00,270,28.9,31.5,3.7
48404,ROI ET AGROMET.,ร้อยเอ็ด สกษ.,ร้อยเอ็ด,16.07322,103.60844,984.20,08-02-2019,19:00:00,68,11.00,1001.66,0.00,22.4,27.11,0.00,250,28.9,29.6,7.4
48405,ROI ET,ร้อยเอ็ด,ร้อยเอ็ด,16.02000,103.74389,985.51,08-02-2019,19:00:00,68,10.00,1001.45,0.00,22.7,27.59,0.00,210,29.3,30.8,9.3
48407,UBON RATCHATHANI,อุบลราชธานี (ศูนย์ฯ),อุบลราชธานี,15.25000,104.86667,989.05,08-02-2019,19:00:00,76,10.00,1002.95,0.00,24.1,29.98,0.50,210,28.7,31.4,5.6
48408,UBON RATCHATHANI AGROMET.,อุบลราชธานี สกษ.,อุบลราชธานี,15.23914,105.02350,988.69,08-02-2019,19:00:00,82,10.00,1003.44,0.00,24.2,30.15,0.80,170,27.5,31.2,3.7
48409,SI SAKET AGROMET.,ศรีสะเกษ,ศรีสะเกษ,15.00000,104.05000,988.42,08-02-2019,19:00:00,82,9.00,1002.97,0.01,25.0,31.70,0.10,000,28.3,31.1,0.0
48410,UTHAITHANI,อุทัยธานี,อุทัยธานี,15.37417,100.03889,1001.25,08-02-2019,19:00:00,49,10.00,1004.21,0.00,20.2,23.61,0.30,"{'@attributes': {'Unit': 'degree'}, '0': '   '}",32.2,35.2,0.0
48413,WICHIAN BURI,วิเชียรบุรี,เพชรบูรณ์,15.65700,101.10800,996.43,08-02-2019,19:00:00,70,8.00,1004.31,0.20,22.8,27.73,3.00,190,28.8,33.4,7.4
48415,AYUTTHAYA,พระนครศรีอยุธยา,พระนครศรีอยุธยา,14.53472,100.72500,1004.81,08-02-2019,19:00:00,59,8.00,1005.91,0.00,21.0,24.89,0.90,260,30.0,36.0,13.0
48416,THA TUM,ท่าตูม,สุรินทร์,15.31667,103.68333,989.14,08-02-2019,19:00:00,72,8.00,1003.62,0.00,24.5,30.70,0.00,000,30.2,32.0,0.0
48417,NAKORNNAYOK,นครนายก,นครนายก,14.36222,101.39278,872.46,08-02-2019,19:00:00,97,4.00,1007.42,0.00,19.2,22.26,3.60,220,19.7,22.2,9.3
48418,BUA CHUM,บัวชุม  ,ลพบุรี,15.26667,101.18736,998.30,08-02-2019,19:00:00,67,10.00,1004.09,0.00,23.7,29.25,4.70,000,30.6,35.4,0.0
48419,PATHUMTHANI,ปทุมธานี สกษ.,ปทุมธานี,14.10000,100.61667,1005.40,08-02-2019,19:00:00,57,8.00,1006.19,0.00,21.5,25.65,0.20,230,31.0,34.7,9.3
48420,Samut Prakarn,สมุทรปราการ สกษ.,สมุทรปราการ,13.51667,100.76167,1005.68,08-02-2019,19:00:00,61,10.00,1006.12,0.00,21.7,25.94,0.01,230,30.0,32.3,14.8
48421,THONG PHAPHUM,ทองผาภูมิ,กาญจนบุรี,14.74222,98.63639,995.79,08-02-2019,19:00:00,63,10.00,1007.02,0.00,21.3,25.28,24.20,000,28.9,31.3,0.0
48425,SUPHAN BURI,สุพรรณบุรี,สุพรรณบุรี,14.47444,100.13889,1004.83,08-02-2019,19:00:00,56,10.00,1005.83,0.00,20.8,24.48,0.90,240,30.5,35.0,13.0
48426,LOP BURI,ลพบุรี,ลพบุรี,14.79972,100.64500,1003.32,08-02-2019,19:00:00,54,8.00,1005.11,0.00,20.5,24.07,1.40,200,31.0,35.8,5.6
48427,U THONG AGROMET.,อู่ทอง สกษ.,สุพรรณบุรี,14.30361,99.86472,1005.08,08-02-2019,19:00:00,55,6.00,1005.84,0.00,20.0,23.44,0.01,230,30.2,33.5,7.4
48429,SUVARNABHUMI AIRPORT,สนามบินสุวรรณภูมิ,สมุทรปราการ,13.68639,100.76750,1005.35,08-02-2019,19:00:00,56,10.00,1006.05,0.00,20.6,24.21,0.20,270,30.2,33.8,14.8
48430,PRACHIN BURI,ปราจีนบุรี,ปราจีนบุรี,14.05842,101.36930,1004.62,08-02-2019,19:00:00,69,7.00,1005.32,0.00,23.5,28.89,0.20,240,29.7,34.6,5.6
48431,NAKHON RATCHASIMA,นครราชสีมา,นครราชสีมา,14.96830,102.08603,982.85,08-02-2019,19:00:00,55,10.00,1003.62,0.00,21.1,25.06,0.10,280,31.4,33.5,11.1
48432,SURIN,สุรินทร์,สุรินทร์,14.88333,103.50000,986.71,08-02-2019,19:00:00,57,8.00,1003.18,0.00,20.9,24.65,0.20,000,30.3,32.7,0.0
48433,SURIN AGROMET.,สุรินทร์ สกษ.,สุรินทร์,14.88333,103.45000,987.32,08-02-2019,19:00:00,60,8.00,1003.53,0.00,21.4,25.42,0.30,270,30.0,32.5,3.7
48434,CHOK CHAI,โชคชัย,นครราชสีมา,14.71889,102.16861,982.34,08-02-2019,19:00:00,45,10.00,1003.81,0.00,18.0,20.68,0.10,270,31.4,33.2,9.3
48435,PAKCHONG AGROMET.,ปากช่อง สกษ.,นครราชสีมา,14.64389,101.33194,962.19,08-02-2019,19:00:00,56,10.00,1005.23,0.00,18.2,20.94,1.60,240,27.8,31.5,18.5
48436,NANG RONG,นางรอง,บุรีรัมย์,14.58333,102.80000,983.22,08-02-2019,19:00:00,56,10.00,1003.45,0.00,20.9,24.76,0.00,240,30.8,34.3,18.5
48437,BURIRUM,บุรีรัมย์,บุรีรัมย์,15.22575,103.24808,983.95,08-02-2019,19:00:00,73,9.00,1004.59,0.00,23.4,28.81,0.30,260,28.8,31.1,7.4
48438,SAMUTSONGKRAM,สมุทรสงคราม,สมุทรสงคราม,13.40778,100.03222,1006.03,08-02-2019,19:00:00,69,10.00,1006.46,0.00,22.7,27.56,1.80,260,29.0,31.5,7.4
48439,KABIN BURI,กบินทร์บุรี,ปราจีนบุรี,13.98333,101.70722,1003.71,08-02-2019,19:00:00,75,11.00,1005.12,0.00,23.6,29.14,0.40,240,28.4,32.3,7.4
48440,SA KAEW,สระแก้ว,สระแก้ว,13.78889,102.03472,1001.04,08-02-2019,19:00:00,71,7.00,1005.94,0.00,23.2,28.37,0.00,000,29.0,31.5,0.0
48450,KANCHANA BURI,กาญจนบุรี,กาญจนบุรี,14.02250,99.53583,1002.77,08-02-2019,19:00:00,57,11.00,1006.02,0.01,20.9,24.74,0.01,250,30.5,32.7,7.4
48451,NAKHONPATHOM,นครปฐม,นครปฐม,14.01167,99.97000,1006.32,08-02-2019,19:00:00,62,10.00,1007.42,0.00,21.9,26.21,0.01,280,30.0,34.0,1.9
48453,BANG NA AGROMET.,กรุงเทพฯ บางนา สกษ.,กรุงเทพมหานคร,13.66639,100.60611,1006.24,08-02-2019,19:00:00,59,10.00,1006.53,0.00,21.6,25.80,0.01,000,30.5,34.4,0.0
48454,BANGKOK PORT (KLONG TOEI),กรุงเทพฯ ท่าเรือคลองเตย,กรุงเทพมหานคร,13.70694,100.56805,1004.95,08-02-2019,19:00:00,65,10.00,1005.63,0.00,22.1,26.62,0.00,000,29.5,33.5,0.0
48455,BANGKOK METROPOLIS,กรุงเทพมหานคร,กรุงเทพมหานคร,13.72639,100.56000,1005.76,08-02-2019,19:00:00,56,10.00,1006.25,0.00,20.8,24.48,0.20,290,30.5,33.7,3.7
48456,DON MUANG AIRPORT,สนามบินดอนเมือง,กรุงเทพมหานคร,13.91917,100.60500,1004.94,08-02-2019,19:00:00,55,10.00,1006.33,0.00,21.0,24.86,0.80,260,31.0,33.5,20.4
48457,PILOT STATION,นำร่อง,สมุทรปราการ,13.39389,100.59944,1004.67,08-02-2019,19:00:00,68,10.00,1006.33,0.00,23.4,28.83,0.00,220,30.1,32.2,24.1
48458,CHACHOENGSAO,ฉะเชิงเทรา,ฉะเชิงเทรา,13.51556,101.45833,999.79,08-02-2019,19:00:00,67,10.00,1007.76,0.00,21.9,26.30,0.01,180,28.6,32.5,11.1
48459,CHON BURI,ชลบุรี,ชลบุรี,13.36667,100.98333,1006.04,08-02-2019,19:00:00,77,10.00,1006.33,0.00,24.9,31.56,0.00,000,29.5,32.3,0.0
48460,KO SICHANG,เกาะสีชัง,ชลบุรี,13.16167,100.80194,1003.35,08-02-2019,19:00:00,71,10.00,1006.46,0.00,23.2,28.37,0.01,250,29.0,30.5,9.3
48461,PHATTHAYA,พัทยา,ชลบุรี,12.92000,100.86944,999.78,08-02-2019,19:00:00,71,10.00,1006.68,0.00,22.8,27.71,0.00,240,28.5,31.0,11.1
48462,ARANYA PRATHET,อรัญประเทศ,สระแก้ว,13.70000,102.58333,999.73,08-02-2019,19:00:00,66,7.00,1005.26,0.00,23.2,28.48,0.30,260,30.2,32.7,7.4
48463,LAEM CHABANG,แหลมฉบัง,ชลบุรี,13.07694,100.87583,998.37,08-02-2019,19:00:00,71,10.00,1007.64,0.00,22.6,27.44,0.01,270,28.5,33.0,22.2
48464,RATCHA BURI,ราชบุรี,ราชบุรี,13.48931,99.79239,1006.02,08-02-2019,19:00:00,76,10.00,1007.28,0.01,23.5,29.03,1.40,000,28.2,32.2,0.0
48465,PHETCHA BURI,เพชรบุรี,เพชรบุรี,12.99944,100.06056,1006.34,08-02-2019,19:00:00,74,11.00,1006.77,0.00,22.9,27.85,0.70,260,28.0,30.3,9.3
48474,NONG PHLUB AGROMET.,หนองพลับ สกษ.,ประจวบคีรีขันธ์,12.58333,99.73333,995.03,08-02-2019,19:00:00,94,8.00,1007.38,0.50,23.7,29.25,7.10,000,24.7,28.3,0.0
48475,HUA HIN,หัวหิน,ประจวบคีรีขันธ์,12.58611,99.96250,1006.44,08-02-2019,19:00:00,90,9.00,1007.15,0.40,24.9,31.55,0.50,000,26.8,30.5,0.0
48477,SATTAHIP,สัตหีบ,ชลบุรี,12.68333,100.98333,1005.30,08-02-2019,19:00:00,69,10.00,1007.73,0.01,22.1,26.65,4.50,260,28.5,34.2,7.4
48478,RAYONG,ระยอง,ระยอง,12.63222,101.34361,1006.73,08-02-2019,19:00:00,74,8.00,1007.25,0.00,23.5,28.97,1.20,250,28.6,31.0,22.2
48479,HUAI PONG AGROMET.,ห้วยโป่ง สกษ.,ระยอง,12.73333,101.13333,1001.95,08-02-2019,19:00:00,72,10.00,1007.09,0.00,22.6,27.42,0.00,170,28.2,32.2,1.9
48480,CHANTHA BURI,จันทบุรี,จันทบุรี,12.61667,102.11333,1006.88,08-02-2019,19:00:00,73,7.00,1007.29,0.00,22.7,27.59,4.20,000,28.0,30.5,0.0
48481,PHLIU  AGROMET.,พลิ้ว สกษ.,จันทบุรี,12.50861,102.17305,1005.34,08-02-2019,19:00:00,82,8.00,1008.11,0.00,24.0,29.77,38.30,000,27.3,29.4,0.0
48500,PRACHUAP KHIRIKHAN,ประจวบคีรีขันธ์,ประจวบคีรีขันธ์,11.83333,99.83333,1006.93,08-02-2019,19:00:00,83,8.00,1007.72,0.30,23.4,28.74,4.70,000,26.6,28.9,0.0
48501,TRAD,ตราด,ตราด,11.76667,102.88333,1007.78,08-02-2019,19:00:00,84,7.00,1008.24,0.00,24.3,30.31,35.20,270,27.3,28.0,18.5
48517,CHUMPHON,ชุมพร,ชุมพร,10.49875,99.18847,1007.89,08-02-2019,19:00:00,97,7.00,1008.57,0.20,24.5,30.67,14.00,000,24.9,27.3,0.0
48520,SAWI AGROMET.,สวี สกษ.,ชุมพร,10.33333,99.10000,1006.73,08-02-2019,19:00:00,93,8.00,1008.27,0.00,24.6,31.00,30.80,000,25.8,28.0,0.0
48532,RANONG,ระนอง,ระนอง,9.98333,98.61667,1008.22,08-02-2019,19:00:00,84,10.00,1009.14,0.00,23.6,29.08,91.20,190,26.5,29.5,5.6
48550,KO SAMUI,เกาะสมุย,สุราษฎร์ธานี,9.46667,100.05000,1008.06,08-02-2019,19:00:00,80,10.00,1008.75,0.00,22.8,27.77,1.40,000,26.5,33.0,0.0
48551,SURAT THANI,สุราษฎร์ธานี,สุราษฎร์ธานี,9.13556,99.15194,1008.12,08-02-2019,19:00:00,93,10.00,1008.92,0.20,25.0,31.76,3.60,000,26.2,34.5,0.0
48552,NAKHONSI THAMMARAT,นครศรีธรรมราช,นครศรีธรรมราช,8.53778,99.96389,1007.14,08-02-2019,19:00:00,85,10.00,1007.77,5.00,23.1,28.26,8.10,240,25.9,34.0,3.7
48554,NAKHONSI THAMMARAT AGROMET.,นครศรีธรรมราช สกษ.,นครศรีธรรมราช,8.35931,100.00000,1007.35,08-02-2019,19:00:00,78,10.00,1007.75,0.00,22.8,27.80,0.00,000,27.1,34.5,0.0
48555,SURAT THANI AGROMET.,สุราษฎร์ธานี สกษ.,สุราษฎร์ธานี,9.10000,99.63333,1006.05,08-02-2019,19:00:00,92,5.00,1010.30,0.00,23.9,29.62,23.00,000,25.2,33.5,0.0
48556,PHRA SANG,พระแสง สอท.,สุราษฎร์ธานี,8.57022,99.25825,1007.31,08-02-2019,19:00:00,91,8.00,1008.94,0.00,23.0,28.03,3.40,000,24.6,32.8,0.0
48557,CHAWANG,ฉวาง,นครศรีธรรมราช,8.43194,99.51194,1005.78,08-02-2019,19:00:00,92,7.00,1009.29,0.01,23.3,28.64,11.00,000,24.8,32.7,0.0
48560,PHATTHALUNG AGROMET.,พัทลุง สกษ.,พัทลุง,7.58333,100.16667,1007.83,08-02-2019,19:00:00,70,10.00,1009.17,0.00,24.1,30.06,0.00,000,30.3,34.5,0.0
48561,TAKUA PA,ตะกั่วป่า,พังงา,8.68417,98.25222,1007.31,08-02-2019,19:00:00,78,10.00,1008.19,0.00,24.7,31.13,0.50,240,29.0,32.1,7.4
48563,KRABI,กระบี่,กระบี่,8.10361,98.97528,1005.01,08-02-2019,19:00:00,85,10.00,1008.57,0.00,24.3,30.29,3.90,000,27.0,32.0,0.0
48564,PHUKET,ภูเก็ต,ภูเก็ต,7.88333,98.40000,1007.85,08-02-2019,19:00:00,73,10.00,1008.28,0.00,24.6,30.87,0.00,000,30.0,33.3,0.0
48565,PHUKET AIRPORT,ภูเก็ต (ศูนย์ฯ),ภูเก็ต,8.14500,98.31444,1006.96,08-02-2019,19:00:00,83,7.00,1007.95,0.00,25.8,33.20,3.50,000,28.9,33.0,0.0
48566,KO LANTA,เกาะลันตา,กระบี่,7.53333,99.05000,1007.63,08-02-2019,19:00:00,74,10.00,1008.44,0.00,23.6,29.16,0.00,110,28.7,33.7,5.6
48567,TRANG AIRPORT,ตรัง,ตรัง,7.51667,99.61667,1006.75,08-02-2019,19:00:00,83,9.00,1008.56,0.00,25.9,33.33,1.50,180,29.1,33.5,5.6
48568,SONGKHLA,สงขลา,สงขลา,7.18211,100.60769,1008.06,08-02-2019,19:00:00,63,10.00,1008.80,0.00,23.1,28.29,0.00,250,31.1,35.1,9.3
48569,HAT YAI AIRPORT,หาดใหญ่,สงขลา,6.91667,100.43333,1005.02,08-02-2019,19:00:00,66,10.00,1008.99,0.00,22.7,27.53,0.20,230,29.7,34.0,9.3
48570,SATUN,สตูล,สตูล,6.65000,100.08333,1009.90,08-02-2019,19:00:00,79,10.00,1010.58,0.00,25.0,31.69,0.00,000,29.0,32.5,0.0
48571,KHO HONG AGROMET.,คอหงษ์ สกษ.,สงขลา,7.00000,100.50000,1007.63,08-02-2019,19:00:00,65,10.00,1008.73,0.00,23.1,28.23,0.80,000,30.5,34.4,0.0
48574,SA DAO,สะเดา,สงขลา,6.79806,100.39056,1006.22,08-02-2019,19:00:00,75,10.00,1009.12,0.00,24.5,30.80,0.00,260,29.4,33.7,3.7
48580,PATTANI AIRPORT,ปัตตานี,ปัตตานี,6.78333,101.15000,1007.95,08-02-2019,19:00:00,70,8.00,1008.63,0.00,24.2,30.14,0.00,000,30.2,34.3,0.0
48581,YALA AGROMET.,ยะลา สกษ.,ยะลา,6.51667,101.28333,1004.87,08-02-2019,19:00:00,71,7.00,1008.96,0.00,23.7,29.24,0.00,000,29.6,34.3,0.0
48583,NARATHIWAT,นราธิวาส,นราธิวาส,6.41667,101.81667,1007.97,08-02-2019,19:00:00,60,10.00,1008.55,0.00,22.1,26.52,0.00,070,30.6,34.8,9.3
