WmoStationNumber,StationNameEnglish,StationNameThai,Province,Latitude,Longitude,MeanSeaLevelPressure,Date,Time,WindSpeed,VaporPressure,WindDirection,AirTemperature,DewPoint,Rainfall,StationPressure,Rainfall24Hr,RelativeHumidity,LandVisibility
48300,MAE HONG SON,แม่ฮ่องสอน,แม่ฮ่องสอน,19.29897,97.97578,1004.32,07-17-2019,01:00:00,0.0,28.95,000,25.7,23.5,0.00,973.45,0.00,88,10.00
48302,DOI ANG KANG,ดอยอ่างขาง,เชียงใหม่,19.93139,99.04833,1002.46,07-17-2019,01:00:00,3.7,20.92,200,20.0,18.2,0.00,842.51,17.70,90,8.00
48303,CHIANG RAI,เชียงราย,เชียงราย,19.96139,99.88139,1002.78,07-17-2019,01:00:00,3.7,29.93,030,27.1,24.1,0.00,959.55,0.00,84,10.00
48304,CHAING RAI AGROMET.,เชียงราย สกษ.,เชียงราย,19.87083,99.78278,1003.13,07-17-2019,01:00:00,0.0,30.72,000,26.8,24.5,0.00,957.95,0.00,87,15.00
48307,THUNG CHANG,ทุ่งช้าง,น่าน,19.41194,100.88353,1003.53,07-17-2019,01:00:00,0.0,30.32,000,25.0,24.3,0.00,965.94,0.00,96,6.00
48310,PHAYAO,พะเยา,พะเยา,19.13333,99.90000,1002.98,07-17-2019,01:00:00,5.6,28.12,150,28.0,23.0,0.00,958.43,2.00,74,8.00
48315,THA WANGPHA,ท่าวังผา,น่าน,19.11056,100.80250,1004.27,07-17-2019,01:00:00,0.0,31.38,000,27.0,24.8,0.00,977.69,0.00,88,8.00
48324,THOEN,เถิน,ลำปาง,17.63661,99.24475,1003.91,07-17-2019,01:00:00,3.7,27.19,180,27.2,22.5,0.00,982.29,0.00,75,14.00
48325,MAE SARIANG,แม่สะเรียง,แม่ฮ่องสอน,18.16667,97.93333,1005.45,07-17-2019,01:00:00,0.0,29.52,000,25.0,23.8,0.00,981.29,1.00,93,6.00
48327,CHIANG MAI,เชียงใหม่,เชียงใหม่,18.79000,98.97694,1003.57,07-17-2019,01:00:00,5.6,26.13,220,28.5,21.8,0.00,969.45,0.00,67,10.00
48328,LAMPANG,ลำปาง,ลำปาง,18.28333,99.51667,1003.60,07-17-2019,01:00:00,0.0,27.69,000,28.2,22.8,0.00,976.34,0.00,72,10.00
48329,LAMPHUN,ลำพูน,ลำพูน,18.56722,99.03389,1003.64,07-17-2019,01:00:00,0.0,28.92,000,26.7,23.5,0.00,970.25,0.70,83,10.00
48330,PHRAE,แพร่,แพร่,18.16667,100.16667,1003.16,07-17-2019,01:00:00,0.0,30.09,000,27.9,24.1,0.00,984.81,0.00,80,15.00
48331,NAN,น่าน,น่าน,18.77972,100.77778,1003.58,07-17-2019,01:00:00,0.0,31.08,000,27.7,24.7,0.00,980.93,0.00,84,10.00
48334,LAMPANG AGROMET.,ลำปาง สกษ.,ลำปาง,18.31667,99.28333,1003.75,07-17-2019,01:00:00,0.0,27.72,000,27.2,22.8,0.00,968.48,0.00,77,7.00
48350,LOEI AGROMET.,เลย สกษ.,เลย,17.40000,101.73333,1003.77,07-17-2019,01:00:00,0.0,30.30,000,24.7,24.3,3.80,973.99,3.80,97,5.00
48351,UTTARADIT,อุตรดิตถ์,อุตรดิตถ์,17.61667,100.10000,1003.69,07-17-2019,01:00:00,0.0,29.33,000,28.5,23.7,0.00,996.45,0.00,75,9.00
48352,NONG KHAI,หนองคาย,หนองคาย,17.86717,102.73303,1002.97,07-17-2019,01:00:00,5.6,34.88,080,29.7,26.6,0.00,983.34,0.00,84,12.00
48353,LOEI,เลย,เลย,17.45000,101.73333,1004.48,07-17-2019,01:00:00,0.0,30.17,000,25.5,24.2,11.40,975.80,11.40,93,2.00
48354,UDON THANI,อุดรธานี,อุดรธานี,17.38333,102.80000,1003.49,07-17-2019,01:00:00,5.6,33.62,200,29.8,26.0,0.00,983.59,0.00,80,12.00
48355,SAKON NAKHON AGROMET.,สกลนคร สกษ.,สกลนคร,17.12503,104.06100,1003.77,07-17-2019,01:00:00,0.0,33.33,000,27.7,25.9,0.00,982.18,0.00,90,12.00
48356,SAKON NAKHON,สกลนคร,สกลนคร,17.15000,104.13333,1002.80,07-17-2019,01:00:00,0.0,32.83,000,29.0,25.6,0.00,983.54,0.00,82,10.00
48357,NAKHON PHANOM,นครพนม,นครพนม,17.41083,104.78250,1003.86,07-17-2019,01:00:00,0.0,31.21,000,28.9,24.8,0.00,987.28,0.00,78,10.00
48358,NAKHON PHANOM AGROMET.,นครพนม สกษ.,นครพนม,17.44306,104.77361,1003.75,07-17-2019,01:00:00,0.0,32.93,000,27.5,25.7,0.00,986.44,0.00,90,10.00
48360,NONG BUA LAM PHU,หนองบัวลำภู,หนองบัวลำภู,17.23250,102.42944,1003.22,07-17-2019,01:00:00,7.4,30.39,150,27.2,24.3,0.50,977.57,0.50,84,11.00
48372,SUKHOTHAI*,สุโขทัย,สุโขทัย,17.10611,99.80000,1003.33,07-17-2019,01:00:00,11.1,27.83,280,29.0,22.9,0.00,997.60,0.00,70,10.00
48373,SI SAMRONG AGROMET.,ศรีสำโรง สกษ.,สุโขทัย,17.16136,99.86167,1003.16,07-17-2019,01:00:00,11.1,32.68,270,27.8,25.5,0.00,997.01,1.00,88,10.00
48374,LOM SAK,หล่มสัก,เพชรบูรณ์,16.77361,101.24944,1003.71,07-17-2019,01:00:00,0.0,28.78,000,28.5,23.4,0.00,987.41,0.00,74,9.00
48375,MAE SOT,แม่สอด,ตาก,16.65917,98.55083,1004.24,07-17-2019,01:00:00,0.0,28.37,000,24.5,23.2,1.00,981.80,8.50,92,10.00
48376,TAK,ตาก,ตาก,16.87833,99.14333,1004.63,07-17-2019,01:00:00,9.3,26.80,260,28.0,22.2,0.00,990.33,1.00,71,8.00
48378,PHITSANULOK,พิษณุโลก,พิษณุโลก,16.79481,100.27930,1003.70,07-17-2019,01:00:00,0.0,31.70,000,28.3,25.0,0.00,998.51,0.00,82,10.00
48379,PHETCHABUN,เพชรบูรณ์,เพชรบูรณ์,16.43333,101.15000,1002.20,07-17-2019,01:00:00,0.0,30.17,000,27.8,24.2,0.00,989.10,0.00,81,10.00
48380,KAMPHAENG PHET,กำแพงเพชร,กำแพงเพชร,16.48681,99.52697,1004.16,07-17-2019,01:00:00,0.0,27.83,000,27.7,22.9,0.00,994.88,0.00,75,11.00
48381,KHON KAEN,ขอนแก่น,ขอนแก่น,16.46111,102.78972,1004.83,07-17-2019,01:00:00,1.9,30.45,130,26.8,24.3,2.90,983.18,6.40,86,7.00
48382,MAHASARAKHAM,มหาสารคาม,มหาสารคาม,16.24722,103.06805,1003.94,07-17-2019,01:00:00,7.4,30.43,230,26.5,24.3,2.20,986.46,5.80,88,4.00
48383,MUKDAHAN,มุกดาหาร,มุกดาหาร,16.54139,104.72889,1002.83,07-17-2019,01:00:00,0.0,30.72,000,29.5,24.5,0.00,987.20,0.00,75,10.00
48384,THA PHRA AGROMET.,ท่าพระ สกษ.,ขอนแก่น,16.33333,102.81667,1003.26,07-17-2019,01:00:00,0.0,34.56,000,26.9,26.5,1.30,984.44,1.30,98,10.00
48385,UMPHANG,อุ้มผาง,ตาก,16.02472,98.86444,1007.85,07-17-2019,01:00:00,0.0,26.50,000,23.4,22.0,0.00,956.20,0.00,92,4.00
48386,PICHIT AGROMET.,พิจิตร สกษ.,พิจิตร,16.43806,100.29250,1003.00,07-17-2019,01:00:00,0.0,32.63,000,28.2,25.5,0.00,999.07,0.00,85,8.00
48387,DOI MU SOE AGROMET.,ดอยมูเซอร์ สกษ.,ตาก,16.75000,98.93333,1006.11,07-17-2019,01:00:00,9.3,23.24,200,20.7,19.9,0.20,910.86,5.80,95,4.00
48390,KALASIN,กาฬสินธุ์,กาฬสินธุ์,16.33250,103.58833,1003.17,07-17-2019,01:00:00,0.0,33.45,000,29.3,25.9,0.00,987.37,0.00,82,6.00
48400,NAKHON SAWAN,นครสวรรค์ ,นครสวรรค์,15.67183,100.13236,1004.09,07-17-2019,01:00:00,0.0,34.44,000,26.7,26.4,0.00,1000.07,17.40,98,9.00
48401,TAKFA AGROMET.,ตากฟ้า สกษ.,นครสวรรค์,15.34944,100.53028,1005.01,07-17-2019,01:00:00,0.0,29.19,000,26.7,23.6,0.00,994.35,0.00,83,8.00
48402,CHAINAT AGROMET.,ชัยนาท สกษ.,ชัยนาท,15.15000,100.18333,1004.61,07-17-2019,01:00:00,5.6,29.60,210,27.5,23.9,0.00,1002.69,0.00,81,9.00
48403,CHAIYAPHUM,ชัยภูมิ,ชัยภูมิ,15.80000,102.03333,1003.80,07-17-2019,01:00:00,3.7,27.82,260,30.0,22.8,0.00,983.21,0.00,66,10.00
48404,ROI ET AGROMET.,ร้อยเอ็ด สกษ.,ร้อยเอ็ด,16.07322,103.60844,1003.21,07-17-2019,01:00:00,0.0,30.83,000,27.0,24.5,0.00,985.61,0.00,87,10.00
48405,ROI ET,ร้อยเอ็ด,ร้อยเอ็ด,16.02000,103.74389,1002.35,07-17-2019,01:00:00,13.0,31.23,240,28.2,24.8,0.00,986.33,0.00,82,10.00
48407,UBON RATCHATHANI,อุบลราชธานี (ศูนย์ฯ),อุบลราชธานี,15.25000,104.86667,1003.96,07-17-2019,01:00:00,5.6,28.29,200,29.1,23.1,0.00,990.07,0.00,70,10.00
48408,UBON RATCHATHANI AGROMET.,อุบลราชธานี สกษ.,อุบลราชธานี,15.23914,105.02350,1005.04,07-17-2019,01:00:00,0.0,30.56,000,28.0,24.4,0.00,990.29,0.00,81,10.00
48409,SI SAKET AGROMET.,ศรีสะเกษ,ศรีสะเกษ,15.00000,104.05000,1004.81,07-17-2019,01:00:00,0.0,28.78,000,28.5,23.4,0.00,990.25,0.00,74,8.00
48410,UTHAITHANI,อุทัยธานี,อุทัยธานี,15.37417,100.03889,1004.05,07-17-2019,01:00:00,0.0,33.66,"{'@attributes': {'Unit': 'degree'}, '0': '   '}",27.3,26.0,0.00,1001.04,3.70,93,10.00
48413,WICHIAN BURI,วิเชียรบุรี,เพชรบูรณ์,15.65700,101.10800,1003.90,07-17-2019,01:00:00,0.0,30.26,000,28.7,24.2,0.00,996.02,0.00,77,7.00
48415,AYUTTHAYA,พระนครศรีอยุธยา,พระนครศรีอยุธยา,14.53472,100.72500,1004.92,07-17-2019,01:00:00,5.6,33.99,180,29.0,26.2,0.00,1003.82,0.00,85,6.00
