WmoStationNumber,StationNameEnglish,StationNameThai,Province,Latitude,Longitude,Date,Time,MeanSeaLevelPressure,Rainfall24Hr,DewPoint,VaporPressure,AirTemperature,Rainfall,LandVisibility,WindDirection,StationPressure,WindSpeed,RelativeHumidity
48300,MAE HONG SON,แม่ฮ่องสอน,แม่ฮ่องสอน,19.29897,97.97578,08-11-2019,16:00:00,998.70,14.70,24.5,30.76,26.1,12.50,6.00,110,968.05,3.7,91
48302,DOI ANG KANG,ดอยอ่างขาง,เชียงใหม่,19.93139,99.04833,08-11-2019,16:00:00,999.18,23.30,20.3,23.86,20.5,0.00,.10,100,840.00,11.1,99
48303,CHIANG RAI,เชียงราย,เชียงราย,19.96139,99.88139,08-11-2019,16:00:00,1000.26,18.30,24.0,29.86,26.2,12.20,10.00,290,957.02,3.7,88
48304,CHAING RAI AGROMET.,เชียงราย สกษ.,เชียงราย,19.87083,99.78278,08-11-2019,16:00:00,1000.54,22.40,24.1,30.03,26.0,11.20,12.00,000,955.37,0.0,89
48307,THUNG CHANG,ทุ่งช้าง,น่าน,19.41194,100.88353,08-11-2019,16:00:00,1001.49,10.30,25.4,32.46,26.7,1.30,12.00,000,964.19,0.0,93
48310,PHAYAO,พะเยา,พะเยา,19.13333,99.90000,08-11-2019,16:00:00,1000.17,4.30,25.0,31.72,30.0,0.00,12.00,140,956.03,9.3,75
48315,THA WANGPHA,ท่าวังผา,น่าน,19.11056,100.80250,08-11-2019,16:00:00,1001.23,24.10,25.8,33.12,28.3,1.90,12.00,150,974.85,5.6,86
48324,THOEN,เถิน,ลำปาง,17.63661,99.24475,08-11-2019,16:00:00,999.75,42.40,24.6,30.86,31.4,0.00,12.00,310,978.50,7.4,67
48325,MAE SARIANG,แม่สะเรียง,แม่ฮ่องสอน,18.16667,97.93333,08-11-2019,16:00:00,999.69,16.20,24.3,30.31,30.0,0.00,8.00,000,976.05,0.0,71
48327,CHIANG MAI,เชียงใหม่,เชียงใหม่,18.79000,98.97694,08-11-2019,16:00:00,999.59,8.90,24.1,29.99,29.7,0.00,10.00,220,965.75,7.4,72
48328,LAMPANG,ลำปาง,ลำปาง,18.28333,99.51667,08-11-2019,16:00:00,999.53,34.90,25.2,32.13,29.5,1.30,10.00,000,972.49,0.0,78
48329,LAMPHUN,ลำพูน,ลำพูน,18.56722,99.03389,08-11-2019,16:00:00,998.71,7.50,23.1,28.23,31.5,0.00,12.00,000,966.00,0.0,61
48330,PHRAE,แพร่,แพร่,18.16667,100.16667,08-11-2019,16:00:00,999.17,3.40,24.3,30.36,32.0,0.00,15.00,240,981.14,3.7,64
48331,NAN,น่าน,น่าน,18.77972,100.77778,08-11-2019,16:00:00,1000.67,17.30,26.2,34.07,28.2,5.10,10.00,000,978.13,0.0,89
48333,NAN AGROMET.,น่าน สกษ.,น่าน,18.86667,100.75000,08-11-2019,16:00:00,1000.56,15.70,24.3,30.42,28.5,0.00,9.00,000,971.08,0.0,78
48334,LAMPANG AGROMET.,ลำปาง สกษ.,ลำปาง,18.31667,99.28333,08-11-2019,16:00:00,999.70,11.50,23.7,29.24,29.6,0.00,8.00,000,964.85,0.0,71
48350,LOEI AGROMET.,เลย สกษ.,เลย,17.40000,101.73333,08-11-2019,16:00:00,998.99,10.90,27.2,36.00,30.9,0.70,8.00,050,969.95,3.7,81
48351,UTTARADIT,อุตรดิตถ์,อุตรดิตถ์,17.61667,100.10000,08-11-2019,16:00:00,1000.12,1.90,24.8,31.35,32.2,0.00,7.00,200,992.99,9.3,65
48352,NONG KHAI,หนองคาย,หนองคาย,17.86717,102.73303,08-11-2019,16:00:00,999.70,19.80,27.5,36.63,32.0,0.10,20.00,150,980.28,3.7,77
48353,LOEI,เลย,เลย,17.45000,101.73333,08-11-2019,16:00:00,1000.03,18.30,24.9,31.51,30.6,0.00,12.00,340,971.94,9.3,72
48354,UDON THANI,อุดรธานี,อุดรธานี,17.38333,102.80000,08-11-2019,16:00:00,1000.13,24.90,25.9,33.39,32.6,0.00,15.00,140,980.47,7.4,68
48355,SAKON NAKHON AGROMET.,สกลนคร สกษ.,สกลนคร,17.12503,104.06100,08-11-2019,16:00:00,1001.36,26.40,27.2,36.18,31.8,1.20,15.00,210,980.10,7.4,77
48356,SAKON NAKHON,สกลนคร,สกลนคร,17.15000,104.13333,08-11-2019,16:00:00,1000.27,2.60,25.3,32.27,31.8,0.00,15.00,180,981.22,5.6,69
48357,NAKHON PHANOM,นครพนม,นครพนม,17.41083,104.78250,08-11-2019,16:00:00,1001.55,0.00,24.1,30.08,32.0,0.00,13.00,170,985.17,3.7,63
48358,NAKHON PHANOM AGROMET.,นครพนม สกษ.,นครพนม,17.44306,104.77361,08-11-2019,16:00:00,1001.69,0.00,24.5,30.73,31.2,0.00,12.00,130,984.62,3.7,68
48360,NONG BUA LAM PHU,หนองบัวลำภู,หนองบัวลำภู,17.23250,102.42944,08-11-2019,16:00:00,999.11,45.00,25.1,31.93,31.5,0.00,13.00,300,973.92,9.3,69
48372,SUKHOTHAI*,สุโขทัย,สุโขทัย,17.10611,99.80000,08-11-2019,16:00:00,1001.06,1.70,27.8,37.35,31.5,0.00,10.00,000,995.39,0.0,81
48373,SI SAMRONG AGROMET.,ศรีสำโรง สกษ.,สุโขทัย,17.16136,99.86167,08-11-2019,16:00:00,999.88,1.90,26.6,34.90,31.5,0.00,10.00,000,993.83,0.0,76
48374,LOM SAK,หล่มสัก,เพชรบูรณ์,16.77361,101.24944,08-11-2019,16:00:00,1000.54,4.40,23.9,29.58,33.3,0.00,10.00,210,984.54,11.1,58
48375,MAE SOT,แม่สอด,ตาก,16.65917,98.55083,08-11-2019,16:00:00,999.26,17.00,23.9,29.68,28.4,0.00,10.00,000,977.22,0.0,77
48376,TAK,ตาก,ตาก,16.87833,99.14333,08-11-2019,16:00:00,1000.38,4.60,26.1,33.80,30.3,0.00,4.00,050,986.24,3.7,78
48377,BHUMIBOL DAM,เขื่อนภูมิพล,ตาก,17.24389,99.00250,08-11-2019,16:00:00,999.71,10.50,24.9,31.56,30.2,1.00,7.00,000,983.62,0.0,74
48378,PHITSANULOK,พิษณุโลก,พิษณุโลก,16.79481,100.27930,08-11-2019,16:00:00,1000.42,0.40,25.4,32.39,31.3,0.00,10.00,000,995.30,0.0,71
48379,PHETCHABUN,เพชรบูรณ์,เพชรบูรณ์,16.43333,101.15000,08-11-2019,16:00:00,999.23,3.00,26.0,33.52,31.0,2.40,12.00,000,986.31,0.0,75
48380,KAMPHAENG PHET,กำแพงเพชร,กำแพงเพชร,16.48681,99.52697,08-11-2019,16:00:00,1000.22,9.90,24.7,31.02,32.6,0.00,12.00,200,991.12,9.3,63
48381,KHON KAEN,ขอนแก่น,ขอนแก่น,16.46111,102.78972,08-11-2019,16:00:00,1000.30,33.40,23.1,28.24,33.2,0.00,12.00,210,979.20,7.4,56
48382,MAHASARAKHAM,มหาสารคาม,มหาสารคาม,16.24722,103.06805,08-11-2019,16:00:00,1000.44,37.40,24.1,30.04,33.8,0.00,12.00,220,983.44,11.1,57
48383,MUKDAHAN,มุกดาหาร,มุกดาหาร,16.54139,104.72889,08-11-2019,16:00:00,1001.02,2.20,26.2,33.99,29.0,2.20,12.00,000,985.39,0.0,85
48384,THA PHRA AGROMET.,ท่าพระ สกษ.,ขอนแก่น,16.33333,102.81667,08-11-2019,16:00:00,999.63,18.10,24.9,31.50,33.8,0.00,11.00,180,981.30,5.6,60
48385,UMPHANG,อุ้มผาง,ตาก,16.02472,98.86444,08-11-2019,16:00:00,1001.13,20.00,23.1,28.18,26.0,1.10,9.00,000,950.26,0.0,84
48386,PICHIT AGROMET.,พิจิตร สกษ.,พิจิตร,16.43806,100.29250,08-11-2019,16:00:00,999.97,3.10,25.1,31.95,32.9,0.00,9.00,180,996.11,9.3,64
48387,DOI MU SOE AGROMET.,ดอยมูเซอร์ สกษ.,ตาก,16.75000,98.93333,08-11-2019,16:00:00,1000.85,30.70,21.4,25.51,24.6,0.30,6.00,260,907.27,11.1,83
48390,KALASIN,กาฬสินธุ์,กาฬสินธุ์,16.33250,103.58833,08-11-2019,16:00:00,1001.36,3.00,26.6,34.75,29.5,0.00,10.00,180,985.60,9.3,84
48400,NAKHON SAWAN,นครสวรรค์ ,นครสวรรค์,15.67183,100.13236,08-11-2019,16:00:00,1000.35,0.00,24.9,31.54,33.4,0.00,10.00,180,996.43,5.6,61
48401,TAKFA AGROMET.,ตากฟ้า สกษ.,นครสวรรค์,15.34944,100.53028,08-11-2019,16:00:00,1001.44,0.00,23.9,29.70,32.8,0.00,8.00,150,991.03,7.4,60
48402,CHAINAT AGROMET.,ชัยนาท สกษ.,ชัยนาท,15.15000,100.18333,08-11-2019,16:00:00,1001.12,0.00,24.2,30.12,31.6,0.00,10.00,150,999.23,9.3,65
48403,CHAIYAPHUM,ชัยภูมิ,ชัยภูมิ,15.80000,102.03333,08-11-2019,16:00:00,1000.06,0.01,22.0,26.45,33.0,0.00,10.00,180,979.75,7.4,53
48404,ROI ET AGROMET.,ร้อยเอ็ด สกษ.,ร้อยเอ็ด,16.07322,103.60844,08-11-2019,16:00:00,1000.88,11.50,26.1,33.78,28.9,2.10,11.00,000,983.44,0.0,85
48405,ROI ET,ร้อยเอ็ด,ร้อยเอ็ด,16.02000,103.74389,08-11-2019,16:00:00,1000.96,19.90,25.2,32.09,30.6,0.00,10.00,220,985.09,7.4,73
48407,UBON RATCHATHANI,อุบลราชธานี (ศูนย์ฯ),อุบลราชธานี,15.25000,104.86667,08-11-2019,16:00:00,1001.60,5.20,24.5,30.66,33.4,0.01,9.00,160,987.93,11.1,60
48408,UBON RATCHATHANI AGROMET.,อุบลราชธานี สกษ.,อุบลราชธานี,15.23914,105.02350,08-11-2019,16:00:00,1002.32,0.20,24.3,30.44,31.9,0.00,10.00,180,987.80,13.0,64
48409,SI SAKET AGROMET.,ศรีสะเกษ,ศรีสะเกษ,15.00000,104.05000,08-11-2019,16:00:00,1001.83,0.00,26.3,34.28,34.1,0.00,10.00,190,987.57,14.8,64
48410,UTHAITHANI,อุทัยธานี,อุทัยธานี,15.37417,100.03889,08-11-2019,16:00:00,1000.80,0.01,25.2,32.08,33.1,0.00,10.00,"{'@attributes': {'Unit': 'degree'}, '0': '   '}",997.86,0.0,63
48413,WICHIAN BURI,วิเชียรบุรี,เพชรบูรณ์,15.65700,101.10800,08-11-2019,16:00:00,1000.65,0.30,24.7,31.11,32.5,0.00,10.00,150,992.89,5.6,64
48415,AYUTTHAYA,พระนครศรีอยุธยา,พระนครศรีอยุธยา,14.53472,100.72500,08-11-2019,16:00:00,1001.27,5.70,26.6,34.85,30.1,5.50,8.00,120,1000.17,5.6,82
48416,THA TUM,ท่าตูม,สุรินทร์,15.31667,103.68333,08-11-2019,16:00:00,1002.78,0.00,24.6,30.90,31.0,0.00,8.00,200,988.34,3.7,69
48417,NAKORNNAYOK,นครนายก,นครนายก,14.36222,101.39278,08-11-2019,16:00:00,1003.15,49.00,20.6,24.31,20.8,0.80,.10,180,869.22,9.3,99
48418,BUA CHUM,บัวชุม  ,ลพบุรี,15.26667,101.18736,08-11-2019,16:00:00,1000.94,5.40,26.8,35.31,31.0,2.10,10.00,220,995.17,5.6,79
48419,PATHUMTHANI,ปทุมธานี สกษ.,ปทุมธานี,14.10000,100.61667,08-11-2019,16:00:00,1001.71,0.10,23.7,29.25,33.0,0.00,8.00,280,1000.93,7.4,58
48420,Samut Prakarn,สมุทรปราการ สกษ.,สมุทรปราการ,13.51667,100.76167,08-11-2019,16:00:00,1003.12,0.00,24.0,29.92,31.5,0.00,10.00,210,1002.68,18.5,65
48421,THONG PHAPHUM,ทองผาภูมิ,กาญจนบุรี,14.74222,98.63639,08-11-2019,16:00:00,1002.07,25.30,25.5,32.54,29.7,1.50,4.00,000,990.92,0.0,78
48425,SUPHAN BURI,สุพรรณบุรี,สุพรรณบุรี,14.47444,100.13889,08-11-2019,16:00:00,1002.30,1.60,25.9,33.38,27.3,1.60,8.00,280,1001.29,3.7,92
48426,LOP BURI,ลพบุรี,ลพบุรี,14.79972,100.64500,08-11-2019,16:00:00,1001.56,0.10,24.5,30.74,30.5,0.00,8.00,090,999.77,11.1,70
48427,U THONG AGROMET.,อู่ทอง สกษ.,สุพรรณบุรี,14.30361,99.86472,08-11-2019,16:00:00,1001.50,16.30,24.9,31.55,25.8,15.90,8.00,000,1000.73,0.0,95
