WmoStationNumber,StationNameEnglish,StationNameThai,Province,Latitude,Longitude,WindDirection,Date,Time,AirTemperature,Rainfall24Hr,MeanSeaLevelPressure,WindSpeed,StationPressure,Rainfall,VaporPressure,DewPoint,RelativeHumidity,LandVisibility
48300,MAE HONG SON,แม่ฮ่องสอน,แม่ฮ่องสอน,19.29897,97.97578,000,08-07-2019,16:00:00,27.0,10.10,1003.81,0.0,973.09,5.60,31.38,24.8,88,3.00
48302,DOI ANG KANG,ดอยอ่างขาง,เชียงใหม่,19.93139,99.04833,270,08-07-2019,16:00:00,20.7,4.00,1001.11,14.8,841.72,4.00,22.79,19.6,93,8.00
48303,CHIANG RAI,เชียงราย,เชียงราย,19.96139,99.88139,240,08-07-2019,16:00:00,30.8,8.10,1001.33,1.9,958.67,3.10,30.78,24.5,69,10.00
48304,CHAING RAI AGROMET.,เชียงราย สกษ.,เชียงราย,19.87083,99.78278,230,08-07-2019,16:00:00,31.4,0.00,1000.71,9.3,956.31,0.00,29.15,23.6,63,15.00
48307,THUNG CHANG,ทุ่งช้าง,น่าน,19.41194,100.88353,000,08-07-2019,16:00:00,31.5,0.20,1002.20,0.0,965.44,0.00,30.49,24.4,66,10.00
48310,PHAYAO,พะเยา,พะเยา,19.13333,99.90000,000,08-07-2019,16:00:00,30.5,0.20,1001.45,0.0,957.33,0.20,31.31,24.8,72,10.00
48315,THA WANGPHA,ท่าวังผา,น่าน,19.11056,100.80250,180,08-07-2019,16:00:00,31.7,0.01,1002.41,7.4,976.29,0.01,32.94,25.7,70,12.00
48324,THOEN,เถิน,ลำปาง,17.63661,99.24475,210,08-07-2019,16:00:00,28.7,5.90,1004.03,3.7,982.51,0.20,29.98,24.1,76,15.00
48325,MAE SARIANG,แม่สะเรียง,แม่ฮ่องสอน,18.16667,97.93333,000,08-07-2019,16:00:00,27.7,25.00,1004.93,0.0,980.99,5.30,30.81,24.5,83,7.00
48327,CHIANG MAI,เชียงใหม่,เชียงใหม่,18.79000,98.97694,180,08-07-2019,16:00:00,29.8,0.60,1002.99,3.7,969.04,0.01,30.19,24.2,72,10.00
48328,LAMPANG,ลำปาง,ลำปาง,18.28333,99.51667,000,08-07-2019,16:00:00,29.8,0.70,1003.25,0.0,976.14,0.00,30.75,24.5,73,10.00
48329,LAMPHUN,ลำพูน,ลำพูน,18.56722,99.03389,240,08-07-2019,16:00:00,29.3,1.10,1003.14,5.6,970.05,0.01,30.04,24.1,74,10.00
48330,PHRAE,แพร่,แพร่,18.16667,100.16667,260,08-07-2019,16:00:00,30.2,0.60,1002.67,1.9,984.46,0.60,33.00,25.7,77,15.00
48331,NAN,น่าน,น่าน,18.77972,100.77778,000,08-07-2019,16:00:00,31.7,0.01,1001.82,0.0,979.51,0.01,31.19,24.7,67,10.00
48333,NAN AGROMET.,น่าน สกษ.,น่าน,18.86667,100.75000,000,08-07-2019,16:00:00,32.0,0.00,1001.75,0.0,972.57,0.00,29.22,23.7,61,12.00
48334,LAMPANG AGROMET.,ลำปาง สกษ.,ลำปาง,18.31667,99.28333,000,08-07-2019,16:00:00,23.5,3.80,1004.37,0.0,968.65,0.80,24.46,20.7,85,6.00
48350,LOEI AGROMET.,เลย สกษ.,เลย,17.40000,101.73333,270,08-07-2019,16:00:00,33.3,0.00,1000.68,14.8,971.82,0.00,29.29,23.7,57,17.00
48351,UTTARADIT,อุตรดิตถ์,อุตรดิตถ์,17.61667,100.10000,000,08-07-2019,16:00:00,31.4,0.01,1002.75,0.0,995.58,0.01,32.01,25.2,70,10.00
48352,NONG KHAI,หนองคาย,หนองคาย,17.86717,102.73303,230,08-07-2019,16:00:00,34.4,0.00,1000.14,9.3,980.87,0.00,32.51,25.4,60,18.00
48353,LOEI,เลย,เลย,17.45000,101.73333,280,08-07-2019,16:00:00,33.5,0.00,1001.85,22.2,973.98,0.00,26.04,21.8,50,15.00
48354,UDON THANI,อุดรธานี,อุดรธานี,17.38333,102.80000,260,08-07-2019,16:00:00,34.0,0.00,1000.90,20.4,981.32,0.00,28.43,23.2,53,18.00
48355,SAKON NAKHON AGROMET.,สกลนคร สกษ.,สกลนคร,17.12503,104.06100,280,08-07-2019,16:00:00,34.2,0.00,1000.66,11.1,979.59,0.00,27.98,22.9,52,15.00
48356,SAKON NAKHON,สกลนคร,สกลนคร,17.15000,104.13333,300,08-07-2019,16:00:00,34.5,0.70,999.74,13.0,980.88,0.00,28.02,23.0,51,18.00
48357,NAKHON PHANOM,นครพนม,นครพนม,17.41083,104.78250,210,08-07-2019,16:00:00,33.7,0.80,999.74,5.6,983.48,0.00,28.11,23.0,54,14.00
48358,NAKHON PHANOM AGROMET.,นครพนม สกษ.,นครพนม,17.44306,104.77361,200,08-07-2019,16:00:00,33.5,0.00,999.29,3.7,982.39,0.00,28.84,23.4,56,12.00
48360,NONG BUA LAM PHU,หนองบัวลำภู,หนองบัวลำภู,17.23250,102.42944,280,08-07-2019,16:00:00,33.9,0.60,1000.59,13.0,975.56,0.00,27.38,22.6,52,12.00
48372,SUKHOTHAI*,สุโขทัย,สุโขทัย,17.10611,99.80000,260,08-07-2019,16:00:00,30.0,2.90,1003.12,14.8,997.41,0.10,32.01,25.2,75,10.00
48373,SI SAMRONG AGROMET.,ศรีสำโรง สกษ.,สุโขทัย,17.16136,99.86167,270,08-07-2019,16:00:00,30.0,2.10,1003.35,7.4,997.24,0.01,30.31,24.3,71,12.00
48374,LOM SAK,หล่มสัก,เพชรบูรณ์,16.77361,101.24944,000,08-07-2019,16:00:00,29.0,2.20,1003.85,0.0,987.58,2.20,31.13,24.7,78,10.00
48375,MAE SOT,แม่สอด,ตาก,16.65917,98.55083,260,08-07-2019,16:00:00,26.5,35.80,1004.22,9.3,981.93,3.80,29.89,24.0,86,10.00
48376,TAK,ตาก,ตาก,16.87833,99.14333,280,08-07-2019,16:00:00,27.9,20.00,1004.64,7.4,990.33,0.50,29.82,24.0,79,6.00
48377,BHUMIBOL DAM,เขื่อนภูมิพล,ตาก,17.24389,99.00250,000,08-07-2019,16:00:00,27.5,18.20,1003.28,0.0,986.98,0.80,29.60,23.9,81,7.00
48378,PHITSANULOK,พิษณุโลก,พิษณุโลก,16.79481,100.27930,300,08-07-2019,16:00:00,30.0,1.20,1004.13,9.3,998.97,0.40,30.31,24.3,71,8.00
48379,PHETCHABUN,เพชรบูรณ์,เพชรบูรณ์,16.43333,101.15000,000,08-07-2019,16:00:00,31.0,0.20,1002.18,0.0,989.22,0.00,29.48,23.8,66,12.00
48380,KAMPHAENG PHET,กำแพงเพชร,กำแพงเพชร,16.48681,99.52697,050,08-07-2019,16:00:00,30.2,3.00,1003.66,7.4,994.47,0.00,32.42,25.4,76,10.00
48381,KHON KAEN,ขอนแก่น,ขอนแก่น,16.46111,102.78972,270,08-07-2019,16:00:00,35.0,0.00,1000.90,14.8,979.91,0.00,23.98,20.4,43,10.00
48382,MAHASARAKHAM,มหาสารคาม,มหาสารคาม,16.24722,103.06805,310,08-07-2019,16:00:00,34.5,0.00,999.42,20.4,982.47,0.00,30.93,24.6,57,12.00
48383,MUKDAHAN,มุกดาหาร,มุกดาหาร,16.54139,104.72889,270,08-07-2019,16:00:00,34.3,3.40,999.36,5.6,984.01,0.00,29.62,23.9,55,12.00
48384,THA PHRA AGROMET.,ท่าพระ สกษ.,ขอนแก่น,16.33333,102.81667,000,08-07-2019,16:00:00,34.5,0.00,1000.03,0.0,981.73,0.00,26.32,21.9,48,10.00
48385,UMPHANG,อุ้มผาง,ตาก,16.02472,98.86444,000,08-07-2019,16:00:00,25.2,17.70,1004.33,0.0,953.17,2.20,28.31,23.1,88,9.00
48386,PICHIT AGROMET.,พิจิตร สกษ.,พิจิตร,16.43806,100.29250,270,08-07-2019,16:00:00,32.7,0.01,1003.65,3.7,999.78,0.01,29.79,24.0,60,10.00
48387,DOI MU SOE AGROMET.,ดอยมูเซอร์ สกษ.,ตาก,16.75000,98.93333,230,08-07-2019,16:00:00,21.1,15.70,1005.47,9.3,910.41,2.30,24.77,20.9,99,.05
