WmoStationNumber,StationNameEnglish,StationNameThai,Province,Latitude,Longitude,LandVisibility,Date,Time,MaximumTemperature,Rainfall24Hr,RelativeHumidity,Rainfall,DewPoint,WindDirection,VaporPressure,WindSpeed,MeanSeaLevelPressure,StationPressure,AirTemperature
48300,MAE HONG SON,แม่ฮ่องสอน,แม่ฮ่องสอน,19.29897,97.97578,10.00,07-09-2019,19:00:00,32.3,1.80,88,1.80,24.2,000,30.24,0.0,1004.74,973.93,26.4
48302,DOI ANG KANG,ดอยอ่างขาง,เชียงใหม่,19.93139,99.04833,6.00,07-09-2019,19:00:00,24.1,6.00,99,6.00,18.6,250,21.46,24.1,1003.78,843.04,18.8
48303,CHIANG RAI,เชียงราย,เชียงราย,19.96139,99.88139,10.00,07-09-2019,19:00:00,33.2,0.00,51,0.00,20.2,240,23.66,16.7,1002.54,959.93,31.5
48304,CHAING RAI AGROMET.,เชียงราย สกษ.,เชียงราย,19.87083,99.78278,15.00,07-09-2019,19:00:00,34.0,0.00,62,0.00,21.9,220,26.21,14.8,1003.06,958.36,30.0
48307,THUNG CHANG,ทุ่งช้าง,น่าน,19.41194,100.88353,8.00,07-09-2019,19:00:00,33.0,1.00,74,0.00,23.9,000,29.74,0.0,1005.19,968.02,29.0
48310,PHAYAO,พะเยา,พะเยา,19.13333,99.90000,12.00,07-09-2019,19:00:00,32.6,0.00,59,0.00,21.6,180,25.80,11.1,1003.43,959.22,30.5
48315,THA WANGPHA,ท่าวังผา,น่าน,19.11056,100.80250,10.00,07-09-2019,19:00:00,33.2,1.60,67,0.20,23.5,190,28.94,5.6,1004.40,978.11,30.3
48324,THOEN,เถิน,ลำปาง,17.63661,99.24475,12.00,07-09-2019,19:00:00,33.4,0.00,63,0.00,21.3,240,25.37,25.9,1006.64,985.09,29.1
48325,MAE SARIANG,แม่สะเรียง,แม่ฮ่องสอน,18.16667,97.93333,8.00,07-09-2019,19:00:00,30.3,2.40,93,0.60,24.6,000,31.00,0.0,1008.14,983.97,25.8
48327,CHIANG MAI,เชียงใหม่,เชียงใหม่,18.79000,98.97694,10.00,07-09-2019,19:00:00,33.0,0.00,60,0.00,21.8,230,26.15,5.6,1004.58,970.64,30.4
48328,LAMPANG,ลำปาง,ลำปาง,18.28333,99.51667,10.00,07-09-2019,19:00:00,34.5,0.00,66,0.00,21.7,000,25.96,0.0,1005.27,978.01,28.7
48329,LAMPHUN,ลำพูน,ลำพูน,18.56722,99.03389,12.00,07-09-2019,19:00:00,35.6,0.00,68,0.00,22.4,230,27.03,11.1,1004.75,971.58,29.0
48330,PHRAE,แพร่,แพร่,18.16667,100.16667,10.00,07-09-2019,19:00:00,34.0,0.00,74,0.00,24.9,240,31.56,5.6,1004.36,986.13,30.2
48331,NAN,น่าน,น่าน,18.77972,100.77778,10.00,07-09-2019,19:00:00,33.8,0.00,64,0.00,23.5,000,28.92,0.0,1004.24,981.82,31.0
48333,NAN AGROMET.,น่าน สกษ.,น่าน,18.86667,100.75000,12.00,07-09-2019,19:00:00,32.5,1.40,84,0.00,26.1,000,33.91,0.0,1004.36,974.82,29.1
48334,LAMPANG AGROMET.,ลำปาง สกษ.,ลำปาง,18.31667,99.28333,7.00,07-09-2019,19:00:00,34.0,0.00,71,0.00,22.6,000,27.44,0.0,1005.31,970.14,28.5
48350,LOEI AGROMET.,เลย สกษ.,เลย,17.40000,101.73333,14.00,07-09-2019,19:00:00,35.4,0.00,61,0.00,21.9,230,26.31,3.7,1003.98,974.73,30.2
48351,UTTARADIT,อุตรดิตถ์,อุตรดิตถ์,17.61667,100.10000,10.00,07-09-2019,19:00:00,34.4,0.00,62,0.00,23.4,000,28.79,0.0,1004.90,997.72,31.5
48352,NONG KHAI,หนองคาย,หนองคาย,17.86717,102.73303,14.00,07-09-2019,19:00:00,35.1,0.00,72,0.00,26.4,220,34.40,5.6,1003.68,984.19,32.1
48353,LOEI,เลย,เลย,17.45000,101.73333,15.00,07-09-2019,19:00:00,35.5,0.00,54,0.00,21.0,200,24.79,9.3,1004.40,976.27,31.4
48354,UDON THANI,อุดรธานี,อุดรธานี,17.38333,102.80000,12.00,07-09-2019,19:00:00,34.2,0.20,62,0.00,22.5,230,27.33,5.6,1004.53,984.66,30.6
48355,SAKON NAKHON AGROMET.,สกลนคร สกษ.,สกลนคร,17.12503,104.06100,12.00,07-09-2019,19:00:00,33.6,5.40,73,0.00,24.5,180,30.67,3.7,1004.65,983.19,29.9
48356,SAKON NAKHON,สกลนคร,สกลนคร,17.15000,104.13333,12.00,07-09-2019,19:00:00,33.3,5.60,79,0.10,25.8,200,33.25,3.7,1004.03,984.80,29.9
48357,NAKHON PHANOM,นครพนม,นครพนม,17.41083,104.78250,10.00,07-09-2019,19:00:00,33.0,8.00,77,0.00,25.3,000,32.17,0.0,1004.89,988.34,29.8
48358,NAKHON PHANOM AGROMET.,นครพนม สกษ.,นครพนม,17.44306,104.77361,10.00,07-09-2019,19:00:00,32.8,4.10,81,0.00,25.7,000,33.08,0.0,1004.94,987.71,29.4
48360,NONG BUA LAM PHU,หนองบัวลำภู,หนองบัวลำภู,17.23250,102.42944,12.00,07-09-2019,19:00:00,34.0,0.00,71,0.00,24.3,000,30.31,0.0,1003.68,978.26,30.0
48372,SUKHOTHAI*,สุโขทัย,สุโขทัย,17.10611,99.80000,10.00,07-09-2019,19:00:00,35.1,0.00,62,0.00,23.5,280,28.99,3.7,1005.12,999.43,31.6
48373,SI SAMRONG AGROMET.,ศรีสำโรง สกษ.,สุโขทัย,17.16136,99.86167,10.00,07-09-2019,19:00:00,34.5,0.00,63,0.00,23.8,250,29.47,7.4,1005.44,999.35,31.7
48374,LOM SAK,หล่มสัก,เพชรบูรณ์,16.77361,101.24944,10.00,07-09-2019,19:00:00,33.7,0.00,60,0.00,22.2,000,26.73,0.0,1005.92,989.72,31.0
48375,MAE SOT,แม่สอด,ตาก,16.65917,98.55083,8.00,07-09-2019,19:00:00,31.8,11.90,89,4.30,22.9,260,27.87,7.4,1007.47,984.98,24.8
