WmoStationNumber,StationNameEnglish,StationNameThai,Province,Latitude,Longitude,Rainfall,Date,Time,StationPressure,RelativeHumidity,MeanSeaLevelPressure,WindSpeed,Rainfall24Hr,LandVisibility,DewPoint,WindDirection,VaporPressure,AirTemperature
48555,SURAT THANI AGROMET.,สุราษฎร์ธานี สกษ.,สุราษฎร์ธานี,9.10000,99.63333,0.00,09-27-2019,16:00:00,1008.27,77,1012.44,0.0,0.01,5.00,26.4,000,34.41,31.0
48556,PHRA SANG,พระแสง สอท.,สุราษฎร์ธานี,8.57022,99.25825,3.20,09-27-2019,16:00:00,1008.13,77,1009.74,0.0,3.20,10.00,23.6,000,29.19,28.0
48557,CHAWANG,ฉวาง,นครศรีธรรมราช,8.43194,99.51194,0.00,09-27-2019,16:00:00,1005.87,65,1009.29,9.3,0.00,10.00,25.2,060,31.98,32.5
48560,PHATTHALUNG AGROMET.,พัทลุง สกษ.,พัทลุง,7.58333,100.16667,0.00,09-27-2019,16:00:00,1008.88,68,1010.22,3.7,0.00,10.00,24.7,150,31.02,31.2
48561,TAKUA PA,ตะกั่วป่า,พังงา,8.68417,98.25222,25.00,09-27-2019,16:00:00,1009.59,91,1010.48,0.0,25.00,8.00,23.0,000,28.11,24.5
48563,KRABI,กระบี่,กระบี่,8.10361,98.97528,0.00,09-27-2019,16:00:00,1005.64,51,1009.12,0.0,0.00,10.00,22.6,000,27.33,34.3
48564,PHUKET,ภูเก็ต,ภูเก็ต,7.88333,98.40000,0.00,09-27-2019,16:00:00,1008.82,55,1009.24,3.7,0.00,10.00,24.3,090,30.34,34.5
48565,PHUKET AIRPORT,ภูเก็ต (ศูนย์ฯ),ภูเก็ต,8.14500,98.31444,0.00,09-27-2019,16:00:00,1008.64,65,1009.62,7.4,0.00,10.00,24.3,290,30.41,31.6
48566,KO LANTA,เกาะลันตา,กระบี่,7.53333,99.05000,0.00,09-27-2019,16:00:00,1008.10,66,1008.90,11.1,0.00,10.00,25.1,210,31.94,32.2
48567,TRANG AIRPORT,ตรัง,ตรัง,7.51667,99.61667,0.00,09-27-2019,16:00:00,1007.46,51,1009.24,13.0,0.00,14.00,21.6,070,25.73,33.2
48568,SONGKHLA,สงขลา,สงขลา,7.18211,100.60769,0.00,09-27-2019,16:00:00,1009.57,76,1010.31,9.3,0.30,11.00,25.8,040,33.26,30.6
48569,HAT YAI AIRPORT,หาดใหญ่,สงขลา,6.91667,100.43333,0.00,09-27-2019,16:00:00,1005.66,62,1009.60,18.5,0.00,10.00,24.0,060,29.91,32.2
48570,SATUN,สตูล,สตูล,6.65000,100.08333,0.00,09-27-2019,16:00:00,1009.03,68,1009.71,0.0,0.00,10.00,23.7,000,29.22,30.3
48571,KHO HONG AGROMET.,คอหงษ์ สกษ.,สงขลา,7.00000,100.50000,0.00,09-27-2019,16:00:00,1008.64,66,1009.75,11.1,0.00,10.00,23.8,060,29.48,31.0
48574,SA DAO,สะเดา,สงขลา,6.79806,100.39056,1.60,09-27-2019,16:00:00,1006.79,63,1009.67,9.3,1.60,11.00,24.5,090,30.69,32.3
48580,PATTANI AIRPORT,ปัตตานี,ปัตตานี,6.78333,101.15000,0.70,09-27-2019,16:00:00,1008.90,78,1009.58,0.0,35.40,8.00,25.8,000,33.17,30.0
48581,YALA AGROMET.,ยะลา สกษ.,ยะลา,6.51667,101.28333,0.00,09-27-2019,16:00:00,1006.31,67,1010.39,0.0,0.00,10.00,24.1,000,30.05,31.0
48583,NARATHIWAT,นราธิวาส,นราธิวาส,6.41667,101.81667,0.00,09-27-2019,16:00:00,1009.39,65,1009.97,14.8,0.00,10.00,23.5,070,29.01,30.9
