WmoStationNumber,StationNameEnglish,StationNameThai,Province,Latitude,Longitude,WindSpeed,Date,Time,StationPressure,WindDirection,VaporPressure,RelativeHumidity,Rainfall,AirTemperature,DewPoint,Rainfall24Hr,LandVisibility,MeanSeaLevelPressure
48425,SUPHAN BURI,สุพรรณบุรี,สุพรรณบุรี,14.47444,100.13889,0.0,08-23-2019,01:00:00,1007.33,000,31.74,90,0.00,26.9,25.0,0.20,10.00,1008.34
48426,LOP BURI,ลพบุรี,ลพบุรี,14.79972,100.64500,3.7,08-23-2019,01:00:00,1006.65,120,30.13,89,0.00,26.2,24.2,0.00,7.00,1008.48
48427,U THONG AGROMET.,อู่ทอง สกษ.,สุพรรณบุรี,14.30361,99.86472,0.0,08-23-2019,01:00:00,1007.42,000,30.76,91,0.00,26.1,24.5,0.30,7.00,1008.19
48429,SUVARNABHUMI AIRPORT,สนามบินสุวรรณภูมิ,สมุทรปราการ,13.68639,100.76750,7.4,08-23-2019,01:00:00,1007.98,120,33.02,94,0.00,26.7,25.7,0.01,10.00,1008.69
48430,PRACHIN BURI,ปราจีนบุรี,ปราจีนบุรี,14.05842,101.36930,0.0,08-23-2019,01:00:00,1007.70,000,30.57,91,0.60,26.0,24.4,0.60,7.00,1008.40
48431,NAKHON RATCHASIMA,นครราชสีมา,นครราชสีมา,14.96830,102.08603,3.7,08-23-2019,01:00:00,987.05,260,27.29,75,0.00,27.4,22.5,1.40,10.00,1008.20
48432,SURIN,สุรินทร์,สุรินทร์,14.88333,103.50000,0.0,08-23-2019,01:00:00,991.35,000,32.77,92,0.00,27.0,25.6,1.30,7.00,1008.08
48433,SURIN AGROMET.,สุรินทร์ สกษ.,สุรินทร์,14.88333,103.45000,3.7,08-23-2019,01:00:00,992.61,180,31.79,92,0.00,26.5,25.1,1.20,6.00,1009.10
48434,CHOK CHAI,โชคชัย,นครราชสีมา,14.71889,102.16861,0.0,08-23-2019,01:00:00,985.99,000,25.95,76,0.00,26.2,21.7,0.00,10.00,1007.92
48435,PAKCHONG AGROMET.,ปากช่อง สกษ.,นครราชสีมา,14.64389,101.33194,3.7,08-23-2019,01:00:00,965.08,230,26.43,83,0.00,25.0,22.0,5.80,10.00,1008.67
48436,NANG RONG,นางรอง,บุรีรัมย์,14.58333,102.80000,7.4,08-23-2019,01:00:00,987.41,180,29.15,80,0.00,27.4,23.6,0.01,8.00,1007.96
