WmoStationNumber,StationNameEnglish,StationNameThai,Province,Latitude,Longitude,Date,Time,DewPoint,MeanSeaLevelPressure,WindSpeed,Rainfall,WindDirection,StationPressure,LandVisibility,RelativeHumidity,VaporPressure,AirTemperature,Rainfall24Hr
48300,MAE HONG SON,แม่ฮ่องสอน,แม่ฮ่องสอน,19.29897,97.97578,10-15-2019,04:00:00,22.2,1014.49,0.0,0.00,000,983.03,.50,96,26.83,23.0,1.70
48302,DOI ANG KANG,ดอยอ่างขาง,เชียงใหม่,19.93139,99.04833,10-15-2019,04:00:00,17.1,1013.64,14.8,0.00,200,851.32,8.00,90,19.54,18.8,5.60
48303,CHIANG RAI,เชียงราย,เชียงราย,19.96139,99.88139,10-15-2019,04:00:00,22.2,1015.03,3.7,0.00,060,970.65,10.00,96,26.74,22.8,7.40
48304,CHAING RAI AGROMET.,เชียงราย สกษ.,เชียงราย,19.87083,99.78278,10-15-2019,04:00:00,21.6,1015.04,0.0,0.00,000,968.64,10.00,96,25.77,22.2,0.00
48307,THUNG CHANG,ทุ่งช้าง,น่าน,19.41194,100.88353,10-15-2019,04:00:00,22.0,1015.38,0.0,0.00,000,976.97,6.00,100,26.42,22.0,5.30
48310,PHAYAO,พะเยา,พะเยา,19.13333,99.90000,10-15-2019,04:00:00,22.5,1015.56,0.0,0.00,000,969.68,10.00,98,27.24,22.8,6.80
48315,THA WANGPHA,ท่าวังผา,น่าน,19.11056,100.80250,10-15-2019,04:00:00,22.0,1015.18,0.0,0.00,000,987.98,5.00,93,26.41,23.2,0.00
48324,THOEN,เถิน,ลำปาง,17.63661,99.24475,10-15-2019,04:00:00,21.8,1013.69,0.0,0.00,000,991.54,10.00,94,26.17,22.9,0.00
48325,MAE SARIANG,แม่สะเรียง,แม่ฮ่องสอน,18.16667,97.93333,10-15-2019,04:00:00,23.0,1013.96,0.0,0.00,000,989.46,5.00,97,28.17,23.5,3.20
48327,CHIANG MAI,เชียงใหม่,เชียงใหม่,18.79000,98.97694,10-15-2019,04:00:00,21.2,1015.00,0.0,0.00,000,979.79,8.00,94,25.21,22.3,61.10
48328,LAMPANG,ลำปาง,ลำปาง,18.28333,99.51667,10-15-2019,04:00:00,22.5,1014.97,0.0,0.00,000,986.92,50.00,97,27.32,23.0,10.80
48329,LAMPHUN,ลำพูน,ลำพูน,18.56722,99.03389,10-15-2019,04:00:00,22.0,1014.96,0.0,0.00,000,980.81,7.00,93,26.41,23.2,13.20
48331,NAN,น่าน,น่าน,18.77972,100.77778,10-15-2019,04:00:00,21.9,1014.81,0.0,0.00,000,991.56,10.00,94,26.33,23.0,0.00
48333,NAN AGROMET.,น่าน สกษ.,น่าน,18.86667,100.75000,10-15-2019,04:00:00,20.6,1014.84,0.0,0.00,000,984.26,6.00,94,24.28,21.7,1.30
48334,LAMPANG AGROMET.,ลำปาง สกษ.,ลำปาง,18.31667,99.28333,10-15-2019,04:00:00,21.7,1014.58,0.0,0.00,000,978.38,4.00,95,26.01,22.5,0.20
48350,LOEI AGROMET.,เลย สกษ.,เลย,17.40000,101.73333,10-15-2019,04:00:00,21.7,1013.78,0.0,0.00,000,983.49,6.00,95,26.01,22.5,0.00
48351,UTTARADIT,อุตรดิตถ์,อุตรดิตถ์,17.61667,100.10000,10-15-2019,04:00:00,22.7,1012.72,0.0,0.00,000,1005.33,8.00,86,27.54,25.2,0.00
48352,NONG KHAI,หนองคาย,หนองคาย,17.86717,102.73303,10-15-2019,04:00:00,22.0,1013.18,5.6,0.00,020,993.14,5.00,77,26.47,26.5,0.00
48353,LOEI,เลย,เลย,17.45000,101.73333,10-15-2019,04:00:00,21.7,1013.80,0.0,0.00,000,984.66,10.00,90,25.92,23.5,0.00
48354,UDON THANI,อุดรธานี,อุดรธานี,17.38333,102.80000,10-15-2019,04:00:00,22.3,1013.71,0.0,0.00,000,993.30,12.00,84,26.95,25.3,0.00
48355,SAKON NAKHON AGROMET.,สกลนคร สกษ.,สกลนคร,17.12503,104.06100,10-15-2019,04:00:00,21.5,1014.03,0.0,0.00,000,991.87,10.00,92,25.68,22.9,9.10
48356,SAKON NAKHON,สกลนคร,สกลนคร,17.15000,104.13333,10-15-2019,04:00:00,22.5,1013.32,0.0,0.00,000,993.59,10.00,87,27.28,24.9,3.10
48357,NAKHON PHANOM,นครพนม,นครพนม,17.41083,104.78250,10-15-2019,04:00:00,21.7,1013.37,0.0,0.00,000,996.44,11.00,80,26.02,25.5,0.00
