WmoStationNumber,StationNameEnglish,StationNameThai,Province,Latitude,Longitude,Date,Time,DewPoint,MeanSeaLevelPressure,WindSpeed,Rainfall,WindDirection,StationPressure,LandVisibility,RelativeHumidity,VaporPressure,AirTemperature,Rainfall24Hr
48358,NAKHON PHANOM AGROMET.,นครพนม สกษ.,นครพนม,17.44306,104.77361,10-15-2019,04:00:00,22.8,1013.54,0.0,0.00,000,995.83,10.00,96,27.66,23.5,0.00
48360,NONG BUA LAM PHU,หนองบัวลำภู,หนองบัวลำภู,17.23250,102.42944,10-15-2019,04:00:00,22.9,1012.56,0.0,0.00,000,986.53,8.00,86,27.89,25.4,0.00
48372,SUKHOTHAI*,สุโขทัย,สุโขทัย,17.10611,99.80000,10-15-2019,04:00:00,24.8,1012.11,3.7,0.00,050,1006.27,7.00,96,31.25,25.5,0.00
48373,SI SAMRONG AGROMET.,ศรีสำโรง สกษ.,สุโขทัย,17.16136,99.86167,10-15-2019,04:00:00,24.3,1011.87,0.0,0.00,000,1005.63,6.00,92,30.46,25.8,0.00
48374,LOM SAK,หล่มสัก,เพชรบูรณ์,16.77361,101.24944,10-15-2019,04:00:00,24.1,1014.09,0.0,0.00,000,997.43,10.00,94,29.97,25.1,0.00
48375,MAE SOT,แม่สอด,ตาก,16.65917,98.55083,10-15-2019,04:00:00,21.0,1011.49,0.0,0.00,000,988.74,8.00,91,24.80,22.5,11.90
48376,TAK,ตาก,ตาก,16.87833,99.14333,10-15-2019,04:00:00,23.2,1013.30,0.0,0.00,000,998.69,10.00,94,28.36,24.2,0.40
48377,BHUMIBOL DAM,เขื่อนภูมิพล,ตาก,17.24389,99.00250,10-15-2019,04:00:00,22.8,1013.21,0.0,0.00,000,996.54,7.00,96,27.66,23.5,0.00
48378,PHITSANULOK,พิษณุโลก,พิษณุโลก,16.79481,100.27930,10-15-2019,04:00:00,23.2,1012.10,5.6,0.00,040,1006.83,10.00,86,28.42,25.7,0.00
48379,PHETCHABUN,เพชรบูรณ์,เพชรบูรณ์,16.43333,101.15000,10-15-2019,04:00:00,22.3,1011.16,0.0,0.00,000,997.82,10.00,86,26.85,24.8,0.00
48380,KAMPHAENG PHET,กำแพงเพชร,กำแพงเพชร,16.48681,99.52697,10-15-2019,04:00:00,23.2,1012.28,0.0,0.00,000,1002.84,10.00,90,28.48,25.0,0.00
48381,KHON KAEN,ขอนแก่น,ขอนแก่น,16.46111,102.78972,10-15-2019,04:00:00,21.5,1012.86,9.3,0.00,010,990.89,9.00,82,25.60,24.8,0.00
48382,MAHASARAKHAM,มหาสารคาม,มหาสารคาม,16.24722,103.06805,10-15-2019,04:00:00,22.5,1013.10,0.0,0.00,000,995.38,10.00,86,27.19,25.0,0.00
48383,MUKDAHAN,มุกดาหาร,มุกดาหาร,16.54139,104.72889,10-15-2019,04:00:00,22.0,1011.91,0.0,0.00,000,995.90,10.00,83,26.43,25.0,0.00
48384,THA PHRA AGROMET.,ท่าพระ สกษ.,ขอนแก่น,16.33333,102.81667,10-15-2019,04:00:00,21.7,1012.05,1.9,0.00,010,992.88,8.00,87,26.01,24.0,0.00
48385,UMPHANG,อุ้มผาง,ตาก,16.02472,98.86444,10-15-2019,04:00:00,21.7,1011.45,0.0,0.00,000,959.46,5.00,95,26.01,22.5,18.20
48386,PICHIT AGROMET.,พิจิตร สกษ.,พิจิตร,16.43806,100.29250,10-15-2019,04:00:00,25.5,1012.42,0.0,0.00,000,1008.45,6.00,90,32.61,27.2,0.00
48387,DOI MU SOE AGROMET.,ดอยมูเซอร์ สกษ.,ตาก,16.75000,98.93333,10-15-2019,04:00:00,19.8,1013.05,11.1,0.00,050,917.21,6.00,93,23.08,20.9,13.50
48390,KALASIN,กาฬสินธุ์,กาฬสินธุ์,16.33250,103.58833,10-15-2019,04:00:00,22.0,1013.61,0.0,0.00,000,997.33,5.00,92,26.50,23.4,0.00
48400,NAKHON SAWAN,นครสวรรค์ ,นครสวรรค์,15.67183,100.13236,10-15-2019,04:00:00,24.2,1011.69,0.0,0.00,000,1007.61,7.00,93,30.17,25.5,0.00
48401,TAKFA AGROMET.,ตากฟ้า สกษ.,นครสวรรค์,15.34944,100.53028,10-15-2019,04:00:00,22.5,1012.60,3.7,0.00,040,1001.81,7.00,84,27.29,25.5,0.00
48402,CHAINAT AGROMET.,ชัยนาท สกษ.,ชัยนาท,15.15000,100.18333,10-15-2019,04:00:00,23.8,1012.14,3.7,0.00,300,1010.20,9.00,88,29.50,26.0,0.00
48403,CHAIYAPHUM,ชัยภูมิ,ชัยภูมิ,15.80000,102.03333,10-15-2019,04:00:00,21.4,1012.21,3.7,0.00,030,991.15,10.00,78,25.44,25.6,0.01
48404,ROI ET AGROMET.,ร้อยเอ็ด สกษ.,ร้อยเอ็ด,16.07322,103.60844,10-15-2019,04:00:00,21.7,1012.12,5.6,0.00,020,994.20,10.00,86,25.92,24.1,1.00
48405,ROI ET,ร้อยเอ็ด,ร้อยเอ็ด,16.02000,103.74389,10-15-2019,04:00:00,22.1,1011.98,9.3,0.00,020,995.63,10.00,84,26.52,24.9,0.00
48407,UBON RATCHATHANI,อุบลราชธานี (ศูนย์ฯ),อุบลราชธานี,15.25000,104.86667,10-15-2019,04:00:00,21.3,1011.55,5.6,0.00,020,997.34,10.00,82,25.35,24.5,0.00
48408,UBON RATCHATHANI AGROMET.,อุบลราชธานี สกษ.,อุบลราชธานี,15.23914,105.02350,10-15-2019,04:00:00,21.6,1012.41,0.0,0.00,000,997.37,8.00,85,25.76,24.3,0.00
48409,SI SAKET AGROMET.,ศรีสะเกษ,ศรีสะเกษ,15.00000,104.05000,10-15-2019,04:00:00,22.8,1011.95,0.0,0.00,000,997.11,10.00,88,27.79,24.9,0.00
48410,UTHAITHANI,อุทัยธานี,อุทัยธานี,15.37417,100.03889,10-15-2019,04:00:00,23.8,1011.44,0.0,0.00,"{'0': '   ', '@attributes': {'Unit': 'degree'}}",1008.39,6.00,89,29.48,25.7,0.00
48413,WICHIAN BURI,วิเชียรบุรี,เพชรบูรณ์,15.65700,101.10800,10-15-2019,04:00:00,23.2,1011.96,3.7,0.00,200,1003.91,7.00,90,28.48,25.0,0.00
48415,AYUTTHAYA,พระนครศรีอยุธยา,พระนครศรีอยุธยา,14.53472,100.72500,10-15-2019,04:00:00,23.9,1011.40,0.0,0.00,000,1010.28,6.00,90,29.74,25.7,6.10
48416,THA TUM,ท่าตูม,สุรินทร์,15.31667,103.68333,10-15-2019,04:00:00,22.6,1011.46,0.0,0.00,000,996.59,8.00,89,27.35,24.5,0.00
48417,NAKORNNAYOK,นครนายก,นครนายก,14.36222,101.39278,10-15-2019,04:00:00,17.9,1012.73,7.4,0.00,060,876.60,8.00,96,20.55,18.6,0.00
48418,BUA CHUM,บัวชุม  ,ลพบุรี,15.26667,101.18736,10-15-2019,04:00:00,23.1,1012.29,0.0,0.00,000,1006.33,10.00,92,28.29,24.6,0.00
48419,PATHUMTHANI,ปทุมธานี สกษ.,ปทุมธานี,14.10000,100.61667,10-15-2019,04:00:00,25.3,1011.16,5.6,0.00,330,1010.36,8.00,96,32.20,26.0,9.60
48420,Samut Prakarn,สมุทรปราการ สกษ.,สมุทรปราการ,13.51667,100.76167,10-15-2019,04:00:00,24.1,1010.58,0.0,0.00,000,1010.13,8.00,84,30.02,27.0,3.60
48421,THONG PHAPHUM,ทองผาภูมิ,กาญจนบุรี,14.74222,98.63639,10-15-2019,04:00:00,22.5,1012.26,0.0,0.00,000,1000.76,4.00,96,27.33,23.3,14.50
48425,SUPHAN BURI,สุพรรณบุรี,สุพรรณบุรี,14.47444,100.13889,10-15-2019,04:00:00,23.4,1011.37,0.0,0.00,000,1010.34,7.00,88,28.77,25.6,0.00
48426,LOP BURI,ลพบุรี,ลพบุรี,14.79972,100.64500,10-15-2019,04:00:00,23.8,1011.69,0.0,0.00,000,1009.85,7.00,90,29.56,25.6,0.00
48427,U THONG AGROMET.,อู่ทอง สกษ.,สุพรรณบุรี,14.30361,99.86472,10-15-2019,04:00:00,23.3,1010.44,0.0,0.00,000,1009.67,6.00,94,28.54,24.3,13.90
48429,SUVARNABHUMI AIRPORT,สนามบินสุวรรณภูมิ,สมุทรปราการ,13.68639,100.76750,10-15-2019,04:00:00,23.7,1011.33,3.7,0.00,320,1010.62,10.00,88,29.31,25.9,8.40
48430,PRACHIN BURI,ปราจีนบุรี,ปราจีนบุรี,14.05842,101.36930,10-15-2019,04:00:00,25.3,1010.65,0.0,0.00,000,1009.94,7.00,93,32.15,26.4,0.30
48431,NAKHON RATCHASIMA,นครราชสีมา,นครราชสีมา,14.96830,102.08603,10-15-2019,04:00:00,23.3,1012.41,0.0,0.00,000,991.02,8.00,89,28.57,25.2,0.00
48432,SURIN,สุรินทร์,สุรินทร์,14.88333,103.50000,10-15-2019,04:00:00,21.8,1011.88,0.0,0.00,000,994.93,6.00,87,26.17,24.1,0.00
48433,SURIN AGROMET.,สุรินทร์ สกษ.,สุรินทร์,14.88333,103.45000,10-15-2019,04:00:00,22.1,1012.48,3.7,0.00,040,995.76,6.00,93,26.58,23.3,0.00
48434,CHOK CHAI,โชคชัย,นครราชสีมา,14.71889,102.16861,10-15-2019,04:00:00,23.0,1012.13,0.0,0.00,000,989.98,8.00,91,28.11,24.5,0.00
48435,PAKCHONG AGROMET.,ปากช่อง สกษ.,นครราชสีมา,14.64389,101.33194,10-15-2019,04:00:00,21.1,1012.61,3.7,0.00,080,968.44,10.00,94,25.05,22.2,0.00
48436,NANG RONG,นางรอง,บุรีรัมย์,14.58333,102.80000,10-15-2019,04:00:00,22.6,1012.08,5.6,0.00,040,991.24,8.00,89,27.35,24.5,0.00
48437,BURIRUM,บุรีรัมย์,บุรีรัมย์,15.22575,103.24808,10-15-2019,04:00:00,23.3,1013.57,9.3,0.00,010,992.36,5.00,100,28.59,23.3,0.00
48438,SAMUTSONGKRAM,สมุทรสงคราม,สมุทรสงคราม,13.40778,100.03222,10-15-2019,04:00:00,23.6,1011.18,0.0,8.50,"{'0': '   ', '@attributes': {'Unit': 'degree'}}",1010.74,10.00,97,29.04,24.0,16.00
48439,KABIN BURI,กบินทร์บุรี,ปราจีนบุรี,13.98333,101.70722,10-15-2019,04:00:00,23.6,1010.75,0.0,0.00,000,1009.32,6.00,96,29.05,24.3,0.20
48440,SA KAEW,สระแก้ว,สระแก้ว,13.78889,102.03472,10-15-2019,04:00:00,23.9,1010.81,0.0,0.00,000,1005.82,7.00,97,29.57,24.3,7.00
48450,KANCHANA BURI,กาญจนบุรี,กาญจนบุรี,14.02250,99.53583,10-15-2019,04:00:00,23.8,1011.94,0.0,0.00,000,1008.61,10.00,93,29.52,25.0,9.60
48451,NAKHONPATHOM,นครปฐม,นครปฐม,14.01167,99.97000,10-15-2019,04:00:00,23.9,1011.20,0.0,0.00,000,1010.08,10.00,98,29.66,24.2,9.10
48453,BANG NA AGROMET.,กรุงเทพฯ บางนา สกษ.,กรุงเทพมหานคร,13.66639,100.60611,10-15-2019,04:00:00,25.0,1010.95,0.0,0.00,000,1010.65,10.00,90,31.63,26.7,9.60
48455,BANGKOK METROPOLIS,กรุงเทพมหานคร,กรุงเทพมหานคร,13.72639,100.56000,10-15-2019,04:00:00,24.6,1012.58,0.0,0.00,000,1012.08,8.00,92,30.84,26.0,9.40
48456,DON MUANG AIRPORT,สนามบินดอนเมือง,กรุงเทพมหานคร,13.91917,100.60500,10-15-2019,04:00:00,24.4,1011.39,9.3,0.00,320,1009.97,10.00,91,30.57,26.0,30.20
48458,CHACHOENGSAO,ฉะเชิงเทรา,ฉะเชิงเทรา,13.51556,101.45833,10-15-2019,04:00:00,23.6,1011.81,0.0,0.00,000,1003.69,10.00,97,29.04,24.0,4.20
48459,CHON BURI,ชลบุรี,ชลบุรี,13.36667,100.98333,10-15-2019,04:00:00,25.3,1010.60,0.0,0.00,000,1010.31,4.00,92,32.18,26.7,0.00
48460,KO SICHANG,เกาะสีชัง,ชลบุรี,13.16167,100.80194,10-15-2019,04:00:00,25.4,1009.96,0.0,0.00,000,1006.82,10.00,90,32.53,27.3,8.90
48461,PHATTHAYA,พัทยา,ชลบุรี,12.92000,100.86944,10-15-2019,04:00:00,25.2,1010.34,0.0,0.00,000,1003.36,10.00,94,32.04,26.2,14.40
48462,ARANYA PRATHET,อรัญประเทศ,สระแก้ว,13.70000,102.58333,10-15-2019,04:00:00,24.6,1011.81,0.0,0.00,000,1006.16,8.00,92,30.84,26.0,0.00
48464,RATCHA BURI,ราชบุรี,ราชบุรี,13.48931,99.79239,10-15-2019,04:00:00,23.4,1012.43,3.7,27.00,180,1011.14,8.00,97,28.69,23.8,32.80
48465,PHETCHA BURI,เพชรบุรี,เพชรบุรี,12.99944,100.06056,10-15-2019,04:00:00,23.4,1010.81,14.8,1.20,350,1010.37,11.00,88,28.85,25.5,1.20
48474,NONG PHLUB AGROMET.,หนองพลับ สกษ.,ประจวบคีรีขันธ์,12.58333,99.73333,10-15-2019,04:00:00,23.1,1011.45,0.0,0.00,000,999.01,7.00,96,28.26,23.7,0.00
48475,HUA HIN,หัวหิน,ประจวบคีรีขันธ์,12.58611,99.96250,10-15-2019,04:00:00,25.1,1010.75,0.0,0.00,000,1010.03,10.00,97,31.79,25.5,0.00
48477,SATTAHIP,สัตหีบ,ชลบุรี,12.68333,100.98333,10-15-2019,04:00:00,24.2,1011.22,5.6,0.00,360,1008.76,8.00,92,30.28,25.7,0.00
48478,RAYONG,ระยอง,ระยอง,12.63222,101.34361,10-15-2019,04:00:00,24.2,1010.56,3.7,0.00,360,1010.04,9.00,93,30.17,25.5,0.00
48479,HUAI PONG AGROMET.,ห้วยโป่ง สกษ.,ระยอง,12.73333,101.13333,10-15-2019,04:00:00,24.9,1010.50,0.0,0.00,000,1005.31,6.00,94,31.46,25.9,0.00
48480,CHANTHA BURI,จันทบุรี,จันทบุรี,12.61667,102.11333,10-15-2019,04:00:00,23.4,1010.55,0.0,0.00,000,1010.14,7.00,90,28.83,25.2,0.00
48481,PHLIU  AGROMET.,พลิ้ว สกษ.,จันทบุรี,12.50861,102.17305,10-15-2019,04:00:00,23.8,1010.41,0.0,0.00,000,1007.61,8.00,93,29.52,25.0,0.00
48500,PRACHUAP KHIRIKHAN,ประจวบคีรีขันธ์,ประจวบคีรีขันธ์,11.83333,99.83333,10-15-2019,04:00:00,23.7,1010.91,0.0,0.00,000,1010.12,10.00,90,29.38,25.5,30.70
48501,TRAD,ตราด,ตราด,11.76667,102.88333,10-15-2019,04:00:00,22.5,1010.00,7.4,0.00,090,1009.53,6.00,95,27.24,23.4,3.60
48517,CHUMPHON,ชุมพร,ชุมพร,10.49875,99.18847,10-15-2019,04:00:00,23.7,1010.00,0.0,0.00,000,1009.31,7.00,97,29.22,24.1,10.20
48520,SAWI AGROMET.,สวี สกษ.,ชุมพร,10.33333,99.10000,10-15-2019,04:00:00,23.5,1010.43,0.0,0.00,000,1008.89,8.00,95,28.97,24.4,19.20
48532,RANONG,ระนอง,ระนอง,9.98333,98.61667,10-15-2019,04:00:00,23.2,1009.94,0.0,0.00,000,1009.02,10.00,94,28.36,24.2,0.00
48550,KO SAMUI,เกาะสมุย,สุราษฎร์ธานี,9.46667,100.05000,10-15-2019,04:00:00,24.9,1010.01,0.0,0.00,000,1009.32,10.00,92,31.41,26.3,15.30
48551,SURAT THANI,สุราษฎร์ธานี,สุราษฎร์ธานี,9.13556,99.15194,10-15-2019,04:00:00,23.8,1010.26,0.0,0.00,000,1009.45,7.00,96,29.41,24.5,1.30
48552,NAKHONSI THAMMARAT,นครศรีธรรมราช,นครศรีธรรมราช,8.53778,99.96389,10-15-2019,04:00:00,24.0,1010.20,5.6,0.00,120,1009.56,10.00,98,29.84,24.3,23.90
48554,NAKHONSI THAMMARAT AGROMET.,นครศรีธรรมราช สกษ.,นครศรีธรรมราช,8.35931,100.00000,10-15-2019,04:00:00,24.0,1009.82,0.0,1.60,000,1009.41,7.00,96,29.77,24.7,9.20
48555,SURAT THANI AGROMET.,สุราษฎร์ธานี สกษ.,สุราษฎร์ธานี,9.10000,99.63333,10-15-2019,04:00:00,22.8,1011.94,0.0,0.00,000,1007.66,5.00,96,27.75,23.4,8.30
48556,PHRA SANG,พระแสง สอท.,สุราษฎร์ธานี,8.57022,99.25825,10-15-2019,04:00:00,23.2,1009.01,0.0,0.00,000,1007.38,5.00,97,28.43,23.8,0.00
48557,CHAWANG,ฉวาง,นครศรีธรรมราช,8.43194,99.51194,10-15-2019,04:00:00,22.2,1010.51,0.0,0.00,000,1006.98,8.00,96,26.83,23.0,0.00
48560,PHATTHALUNG AGROMET.,พัทลุง สกษ.,พัทลุง,7.58333,100.16667,10-15-2019,04:00:00,24.4,1010.06,0.0,1.40,000,1008.69,8.00,97,30.48,24.8,7.20
48561,TAKUA PA,ตะกั่วป่า,พังงา,8.68417,98.25222,10-15-2019,04:00:00,23.1,1009.58,0.0,0.00,000,1008.69,10.00,95,28.27,24.0,0.80
48563,KRABI,กระบี่,กระบี่,8.10361,98.97528,10-15-2019,04:00:00,22.8,1009.79,0.0,0.00,000,1006.19,10.00,95,27.75,23.7,0.00
48564,PHUKET,ภูเก็ต,ภูเก็ต,7.88333,98.40000,10-15-2019,04:00:00,24.3,1009.39,0.0,0.00,000,1008.95,10.00,96,30.32,25.0,30.40
48565,PHUKET AIRPORT,ภูเก็ต (ศูนย์ฯ),ภูเก็ต,8.14500,98.31444,10-15-2019,04:00:00,23.6,1009.41,0.0,0.00,000,1008.41,10.00,96,29.05,24.3,0.00
48566,KO LANTA,เกาะลันตา,กระบี่,7.53333,99.05000,10-15-2019,04:00:00,22.6,1009.76,7.4,0.00,080,1008.94,10.00,86,27.37,25.1,0.01
48567,TRANG AIRPORT,ตรัง,ตรัง,7.51667,99.61667,10-15-2019,04:00:00,23.8,1009.72,0.0,0.00,000,1007.89,8.00,96,29.41,24.5,0.00
48568,SONGKHLA,สงขลา,สงขลา,7.18211,100.60769,10-15-2019,04:00:00,24.4,1010.17,0.0,0.00,000,1009.41,10.00,91,30.57,26.0,11.20
48569,HAT YAI AIRPORT,หาดใหญ่,สงขลา,6.91667,100.43333,10-15-2019,04:00:00,24.5,1010.05,0.0,0.00,000,1006.01,.50,99,30.83,24.7,7.00
48570,SATUN,สตูล,สตูล,6.65000,100.08333,10-15-2019,04:00:00,24.3,1010.21,0.0,0.00,000,1009.52,10.00,96,30.32,25.0,0.00
48571,KHO HONG AGROMET.,คอหงษ์ สกษ.,สงขลา,7.00000,100.50000,10-15-2019,04:00:00,24.2,1009.77,0.0,0.00,000,1008.64,10.00,97,30.22,24.8,4.20
48574,SA DAO,สะเดา,สงขลา,6.79806,100.39056,10-15-2019,04:00:00,23.8,1010.07,0.0,0.00,000,1007.12,8.00,97,29.49,24.4,0.01
48583,NARATHIWAT,นราธิวาส,นราธิวาส,6.41667,101.81667,10-15-2019,04:00:00,23.2,1008.74,0.0,0.00,000,1008.15,8.00,92,28.37,24.5,0.00
