WmoStationNumber,StationNameEnglish,StationNameThai,Province,Latitude,Longitude,StationPressure,Date,Time,AirTemperature,VaporPressure,DewPoint,RelativeHumidity,WindSpeed,MeanSeaLevelPressure,Rainfall24Hr,Rainfall,LandVisibility,WindDirection,MaximumTemperature
48438,SAMUTSONGKRAM,สมุทรสงคราม,สมุทรสงคราม,13.40778,100.03222,1005.49,08-12-2019,19:00:00,28.5,33.82,26.1,87,7.4,1005.92,0.30,0.30,10.00,220,30.5
48439,KABIN BURI,กบินทร์บุรี,ปราจีนบุรี,13.98333,101.70722,1004.03,08-12-2019,19:00:00,28.1,32.15,25.3,85,0.0,1005.44,2.00,1.70,8.00,000,32.0
48440,SA KAEW,สระแก้ว,สระแก้ว,13.78889,102.03472,1000.87,08-12-2019,19:00:00,27.5,32.93,25.7,90,0.0,1005.79,0.01,0.01,8.00,000,34.1
48450,KANCHANA BURI,กาญจนบุรี,กาญจนบุรี,14.02250,99.53583,1002.92,08-12-2019,19:00:00,28.3,30.87,24.6,80,0.0,1006.20,2.30,0.40,10.00,000,33.8
48451,NAKHONPATHOM,นครปฐม,นครปฐม,14.01167,99.97000,1005.13,08-12-2019,19:00:00,28.1,33.86,26.1,89,0.0,1006.23,2.10,0.50,10.00,000,33.4
48453,BANG NA AGROMET.,กรุงเทพฯ บางนา สกษ.,กรุงเทพมหานคร,13.66639,100.60611,1005.76,08-12-2019,19:00:00,28.7,32.51,25.4,83,9.3,1006.05,0.01,0.00,10.00,200,32.8
48454,BANGKOK PORT (KLONG TOEI),กรุงเทพฯ ท่าเรือคลองเตย,กรุงเทพมหานคร,13.70694,100.56805,1005.22,08-12-2019,19:00:00,28.5,32.96,25.7,85,7.4,1005.90,0.00,0.00,10.00,250,33.3
48455,BANGKOK METROPOLIS,กรุงเทพมหานคร,กรุงเทพมหานคร,13.72639,100.56000,1006.31,08-12-2019,19:00:00,29.0,33.12,25.8,83,0.0,1006.79,0.00,0.00,10.00,000,33.8
48456,DON MUANG AIRPORT,สนามบินดอนเมือง,กรุงเทพมหานคร,13.91917,100.60500,1004.50,08-12-2019,19:00:00,29.2,31.53,24.9,78,18.5,1005.90,0.01,0.00,10.00,190,33.5
48457,PILOT STATION,นำร่อง,สมุทรปราการ,13.39389,100.59944,1004.30,08-12-2019,19:00:00,28.7,33.66,26.0,86,27.8,1005.97,0.00,0.00,10.00,210,29.2
