WmoStationNumber,StationNameEnglish,StationNameThai,Province,Latitude,Longitude,LandVisibility,Date,Time,MeanSeaLevelPressure,AirTemperature,Rainfall24Hr,WindDirection,VaporPressure,Rainfall,RelativeHumidity,DewPoint,WindSpeed,StationPressure
48300,MAE HONG SON,แม่ฮ่องสอน,แม่ฮ่องสอน,19.29897,97.97578,10.00,09-12-2019,10:00:00,1014.04,26.7,0.30,000,27.34,0.00,78,22.6,0.0,982.98
48302,DOI ANG KANG,ดอยอ่างขาง,เชียงใหม่,19.93139,99.04833,8.00,09-12-2019,10:00:00,1011.91,18.9,0.00,080,19.88,0.00,91,17.4,9.3,849.91
48303,CHIANG RAI,เชียงราย,เชียงราย,19.96139,99.88139,10.00,09-12-2019,10:00:00,1013.65,26.9,2.80,140,29.02,0.00,82,23.5,5.6,969.92
48304,CHAING RAI AGROMET.,เชียงราย สกษ.,เชียงราย,19.87083,99.78278,15.00,09-12-2019,10:00:00,1013.60,27.4,0.00,000,28.08,0.00,77,23.0,0.0,968.05
48307,THUNG CHANG,ทุ่งช้าง,น่าน,19.41194,100.88353,10.00,09-12-2019,10:00:00,1013.80,27.0,3.60,000,30.02,0.00,84,24.1,0.0,976.07
48310,PHAYAO,พะเยา,พะเยา,19.13333,99.90000,10.00,09-12-2019,10:00:00,1013.72,28.2,0.00,000,26.37,0.00,69,22.0,0.0,968.72
48315,THA WANGPHA,ท่าวังผา,น่าน,19.11056,100.80250,12.00,09-12-2019,10:00:00,1014.37,28.5,1.90,000,30.15,0.00,78,24.2,0.0,987.67
48324,THOEN,เถิน,ลำปาง,17.63661,99.24475,12.00,09-12-2019,10:00:00,1014.41,26.5,1.00,040,28.29,0.00,82,23.1,1.9,992.50
48325,MAE SARIANG,แม่สะเรียง,แม่ฮ่องสอน,18.16667,97.93333,8.00,09-12-2019,10:00:00,1014.59,26.5,4.20,000,29.08,0.00,84,23.6,0.0,990.33
48327,CHIANG MAI,เชียงใหม่,เชียงใหม่,18.79000,98.97694,10.00,09-12-2019,10:00:00,1013.90,27.8,0.01,240,26.70,0.00,71,22.2,3.7,979.35
48328,LAMPANG,ลำปาง,ลำปาง,18.28333,99.51667,10.00,09-12-2019,10:00:00,1014.21,27.7,0.10,000,28.37,0.00,76,23.2,0.0,986.62
48329,LAMPHUN,ลำพูน,ลำพูน,18.56722,99.03389,12.00,09-12-2019,10:00:00,1013.42,28.0,0.00,000,27.85,0.00,74,22.9,0.0,979.85
48330,PHRAE,แพร่,แพร่,18.16667,100.16667,12.00,09-12-2019,10:00:00,1014.04,27.8,1.20,250,29.36,0.00,79,23.7,3.7,995.49
48331,NAN,น่าน,น่าน,18.77972,100.77778,10.00,09-12-2019,10:00:00,1013.39,28.5,0.00,000,28.51,0.00,73,23.2,0.0,990.58
48333,NAN AGROMET.,น่าน สกษ.,น่าน,18.86667,100.75000,12.00,09-12-2019,10:00:00,1013.85,27.5,0.01,000,28.53,0.00,78,23.3,0.0,983.88
48334,LAMPANG AGROMET.,ลำปาง สกษ.,ลำปาง,18.31667,99.28333,8.00,09-12-2019,10:00:00,1013.92,26.5,1.20,000,29.08,0.00,84,23.6,0.0,978.22
48350,LOEI AGROMET.,เลย สกษ.,เลย,17.40000,101.73333,15.00,09-12-2019,10:00:00,1012.59,27.3,0.00,140,30.31,0.00,84,24.3,5.6,982.81
48351,UTTARADIT,อุตรดิตถ์,อุตรดิตถ์,17.61667,100.10000,9.00,09-12-2019,10:00:00,1013.99,27.4,9.20,000,29.69,0.00,81,23.9,0.0,1006.65
48352,NONG KHAI,หนองคาย,หนองคาย,17.86717,102.73303,20.00,09-12-2019,10:00:00,1012.63,29.4,1.00,230,32.22,0.00,79,25.3,11.1,992.79
48353,LOEI,เลย,เลย,17.45000,101.73333,12.00,09-12-2019,10:00:00,1012.36,29.0,0.01,170,29.74,0.00,74,23.9,3.7,983.78
48354,UDON THANI,อุดรธานี,อุดรธานี,17.38333,102.80000,15.00,09-12-2019,10:00:00,1012.80,29.0,22.30,270,28.37,0.00,71,23.2,14.8,992.67
48355,SAKON NAKHON AGROMET.,สกลนคร สกษ.,สกลนคร,17.12503,104.06100,15.00,09-12-2019,10:00:00,1012.99,31.2,0.60,310,30.73,0.00,68,24.5,11.1,991.45
48356,SAKON NAKHON,สกลนคร,สกลนคร,17.15000,104.13333,15.00,09-12-2019,10:00:00,1012.33,30.0,0.30,040,30.87,0.00,73,24.6,7.4,992.95
48357,NAKHON PHANOM,นครพนม,นครพนม,17.41083,104.78250,11.00,09-12-2019,10:00:00,1013.04,29.4,0.01,030,30.80,0.00,75,24.5,7.4,996.34
48358,NAKHON PHANOM AGROMET.,นครพนม สกษ.,นครพนม,17.44306,104.77361,12.00,09-12-2019,10:00:00,1013.07,29.6,0.90,120,32.34,0.00,78,25.3,3.7,995.71
48360,NONG BUA LAM PHU,หนองบัวลำภู,หนองบัวลำภู,17.23250,102.42944,15.00,09-12-2019,10:00:00,1011.79,27.2,11.30,000,32.61,0.00,90,25.5,0.0,985.93
48372,SUKHOTHAI*,สุโขทัย,สุโขทัย,17.10611,99.80000,10.00,09-12-2019,10:00:00,1014.28,28.0,0.60,000,27.85,0.00,74,22.9,0.0,1008.47
48373,SI SAMRONG AGROMET.,ศรีสำโรง สกษ.,สุโขทัย,17.16136,99.86167,12.00,09-12-2019,10:00:00,1013.53,28.5,0.50,290,30.15,0.00,78,24.2,5.6,1007.33
48374,LOM SAK,หล่มสัก,เพชรบูรณ์,16.77361,101.24944,12.00,09-12-2019,10:00:00,1014.46,27.5,17.90,000,29.60,0.00,81,23.9,0.0,997.93
48375,MAE SOT,แม่สอด,ตาก,16.65917,98.55083,10.00,09-12-2019,10:00:00,1013.24,26.4,7.40,000,27.33,0.00,79,22.6,0.0,990.75
48376,TAK,ตาก,ตาก,16.87833,99.14333,9.00,09-12-2019,10:00:00,1014.68,27.7,1.60,000,27.83,0.00,75,22.9,0.0,1000.22
48377,BHUMIBOL DAM,เขื่อนภูมิพล,ตาก,17.24389,99.00250,7.00,09-12-2019,10:00:00,1014.57,27.0,3.40,000,28.67,0.00,80,23.3,0.0,998.07
48378,PHITSANULOK,พิษณุโลก,พิษณุโลก,16.79481,100.27930,10.00,09-12-2019,10:00:00,1014.20,27.5,0.10,110,30.42,0.00,83,24.3,5.6,1008.94
48379,PHETCHABUN,เพชรบูรณ์,เพชรบูรณ์,16.43333,101.15000,12.00,09-12-2019,10:00:00,1012.55,27.5,0.60,000,29.60,0.00,81,23.9,0.0,999.31
48380,KAMPHAENG PHET,กำแพงเพชร,กำแพงเพชร,16.48681,99.52697,12.00,09-12-2019,10:00:00,1014.15,27.6,0.20,150,29.52,0.00,80,23.8,3.7,1004.78
48381,KHON KAEN,ขอนแก่น,ขอนแก่น,16.46111,102.78972,8.00,09-12-2019,10:00:00,1012.98,28.8,0.10,290,30.18,0.00,76,24.2,5.6,991.30
48382,MAHASARAKHAM,มหาสารคาม,มหาสารคาม,16.24722,103.06805,12.00,09-12-2019,10:00:00,1012.97,30.7,0.01,130,29.73,0.00,67,23.9,11.1,995.58
48383,MUKDAHAN,มุกดาหาร,มุกดาหาร,16.54139,104.72889,12.00,09-12-2019,10:00:00,1011.72,30.0,0.00,240,31.72,0.00,75,25.0,5.6,995.97
48384,THA PHRA AGROMET.,ท่าพระ สกษ.,ขอนแก่น,16.33333,102.81667,10.00,09-12-2019,10:00:00,1011.99,29.1,0.01,200,31.33,0.00,78,24.8,5.6,993.15
48385,UMPHANG,อุ้มผาง,ตาก,16.02472,98.86444,11.00,09-12-2019,10:00:00,1015.53,26.0,5.00,000,25.61,0.00,76,21.5,0.0,963.93
48386,PICHIT AGROMET.,พิจิตร สกษ.,พิจิตร,16.43806,100.29250,8.00,09-12-2019,10:00:00,1013.71,28.0,28.40,000,31.95,1.00,85,25.1,0.0,1009.73
48387,DOI MU SOE AGROMET.,ดอยมูเซอร์ สกษ.,ตาก,16.75000,98.93333,7.00,09-12-2019,10:00:00,1014.67,21.6,5.60,200,22.28,0.00,86,19.2,9.3,918.89
48390,KALASIN,กาฬสินธุ์,กาฬสินธุ์,16.33250,103.58833,10.00,09-12-2019,10:00:00,1012.57,27.8,0.20,000,31.56,0.00,84,24.9,0.0,996.54
48400,NAKHON SAWAN,นครสวรรค์ ,นครสวรรค์,15.67183,100.13236,10.00,09-12-2019,10:00:00,1014.23,28.9,0.01,270,29.54,0.01,74,23.8,3.7,1010.19
48401,TAKFA AGROMET.,ตากฟ้า สกษ.,นครสวรรค์,15.34944,100.53028,10.00,09-12-2019,10:00:00,1014.68,28.1,1.80,310,29.38,0.00,77,23.7,5.6,1003.97
48402,CHAINAT AGROMET.,ชัยนาท สกษ.,ชัยนาท,15.15000,100.18333,12.00,09-12-2019,10:00:00,1014.29,28.0,0.20,000,29.19,0.00,77,23.6,0.0,1012.35
48403,CHAIYAPHUM,ชัยภูมิ,ชัยภูมิ,15.80000,102.03333,12.00,09-12-2019,10:00:00,1013.24,28.6,0.70,000,28.16,0.00,72,23.0,0.0,992.36
48404,ROI ET AGROMET.,ร้อยเอ็ด สกษ.,ร้อยเอ็ด,16.07322,103.60844,10.00,09-12-2019,10:00:00,1012.74,26.0,32.90,000,31.11,0.90,93,24.7,0.0,994.92
48405,ROI ET,ร้อยเอ็ด,ร้อยเอ็ด,16.02000,103.74389,9.00,09-12-2019,10:00:00,1012.72,26.0,25.20,220,32.48,1.50,97,25.4,5.6,996.42
