WmoStationNumber,StationNameEnglish,StationNameThai,Province,Latitude,Longitude,WindSpeed,Date,Time,MeanSeaLevelPressure,Rainfall24Hr,LandVisibility,WindDirection,VaporPressure,RelativeHumidity,DewPoint,StationPressure,AirTemperature,Rainfall
48462,ARANYA PRATHET,อรัญประเทศ,สระแก้ว,13.70000,102.58333,11.1,07-16-2019,13:00:00,1006.45,0.00,10.00,280,30.76,56,24.5,1000.99,34.7,0.00
48463,LAEM CHABANG,แหลมฉบัง,ชลบุรี,13.07694,100.87583,7.4,07-16-2019,13:00:00,1007.31,0.00,12.00,260,29.87,56,24.0,998.20,34.0,0.00
48464,RATCHA BURI,ราชบุรี,ราชบุรี,13.48931,99.79239,14.8,07-16-2019,13:00:00,1005.86,2.90,15.00,270,27.34,53,22.6,1004.62,33.6,0.00
48465,PHETCHA BURI,เพชรบุรี,เพชรบุรี,12.99944,100.06056,7.4,07-16-2019,13:00:00,1004.55,0.00,11.00,120,33.23,59,25.8,1004.13,35.0,0.00
48474,NONG PHLUB AGROMET.,หนองพลับ สกษ.,ประจวบคีรีขันธ์,12.58333,99.73333,11.1,07-16-2019,13:00:00,1005.65,0.00,10.00,330,27.92,56,22.9,993.64,32.9,0.00
48475,HUA HIN,หัวหิน,ประจวบคีรีขันธ์,12.58611,99.96250,11.1,07-16-2019,13:00:00,1005.57,21.00,10.00,290,31.76,74,25.0,1004.86,30.3,0.00
48477,SATTAHIP,สัตหีบ,ชลบุรี,12.68333,100.98333,18.5,07-16-2019,13:00:00,1005.73,0.00,10.00,180,29.13,54,23.6,1003.35,34.2,0.00
48478,RAYONG,ระยอง,ระยอง,12.63222,101.34361,9.3,07-16-2019,13:00:00,1005.82,0.00,12.00,260,30.53,65,24.4,1005.31,31.8,0.00
48479,HUAI PONG AGROMET.,ห้วยโป่ง สกษ.,ระยอง,12.73333,101.13333,1.9,07-16-2019,13:00:00,1005.26,0.00,12.00,270,28.68,55,23.3,1000.23,33.7,0.00
48480,CHANTHA BURI,จันทบุรี,จันทบุรี,12.61667,102.11333,9.3,07-16-2019,13:00:00,1005.59,0.00,11.00,230,30.94,63,24.6,1005.19,32.7,0.00
48481,PHLIU  AGROMET.,พลิ้ว สกษ.,จันทบุรี,12.50861,102.17305,16.7,07-16-2019,13:00:00,1005.96,0.00,10.00,200,30.77,67,24.5,1003.23,31.5,0.00
48500,PRACHUAP KHIRIKHAN,ประจวบคีรีขันธ์,ประจวบคีรีขันธ์,11.83333,99.83333,16.7,07-16-2019,13:00:00,1006.48,0.00,10.00,320,23.50,50,20.1,1005.71,31.7,0.00
48501,TRAD,ตราด,ตราด,11.76667,102.88333,7.4,07-16-2019,13:00:00,1005.76,1.00,8.00,280,34.79,73,26.6,1005.31,32.0,0.00
48517,CHUMPHON,ชุมพร,ชุมพร,10.49875,99.18847,13.0,07-16-2019,13:00:00,1006.42,0.01,10.00,270,28.66,60,23.3,1005.75,32.0,0.00
48520,SAWI AGROMET.,สวี สกษ.,ชุมพร,10.33333,99.10000,0.0,07-16-2019,13:00:00,1007.02,6.80,9.00,000,28.92,64,23.5,1005.52,31.0,0.00
48532,RANONG,ระนอง,ระนอง,9.98333,98.61667,0.0,07-16-2019,13:00:00,1008.69,20.40,10.00,000,29.08,84,23.6,1007.77,26.5,9.80
48550,KO SAMUI,เกาะสมุย,สุราษฎร์ธานี,9.46667,100.05000,9.3,07-16-2019,13:00:00,1007.33,1.60,12.00,220,32.03,64,25.2,1006.66,32.8,0.00
48551,SURAT THANI,สุราษฎร์ธานี,สุราษฎร์ธานี,9.13556,99.15194,5.6,07-16-2019,13:00:00,1007.91,10.90,10.00,240,29.48,83,23.8,1007.12,27.0,10.90
48552,NAKHONSI THAMMARAT,นครศรีธรรมราช,นครศรีธรรมราช,8.53778,99.96389,9.3,07-16-2019,13:00:00,1006.28,0.00,12.00,360,29.29,53,23.7,1005.67,34.7,0.00
48554,NAKHONSI THAMMARAT AGROMET.,นครศรีธรรมราช สกษ.,นครศรีธรรมราช,8.35931,100.00000,7.4,07-16-2019,13:00:00,1006.41,0.00,10.00,270,31.68,55,25.0,1006.02,35.4,0.00
48555,SURAT THANI AGROMET.,สุราษฎร์ธานี สกษ.,สุราษฎร์ธานี,9.10000,99.63333,5.6,07-16-2019,13:00:00,1008.95,0.00,7.00,230,31.15,71,24.7,1004.79,30.7,0.00
48556,PHRA SANG,พระแสง สอท.,สุราษฎร์ธานี,8.57022,99.25825,7.4,07-16-2019,13:00:00,1008.67,7.60,9.00,240,28.97,86,23.5,1007.05,26.0,2.00
48557,CHAWANG,ฉวาง,นครศรีธรรมราช,8.43194,99.51194,14.8,07-16-2019,13:00:00,1008.27,16.70,7.00,220,31.56,77,24.9,1004.82,29.5,6.20
48560,PHATTHALUNG AGROMET.,พัทลุง สกษ.,พัทลุง,7.58333,100.16667,7.4,07-16-2019,13:00:00,1007.37,0.00,10.00,270,27.76,60,22.8,1006.03,31.4,0.00
48561,TAKUA PA,ตะกั่วป่า,พังงา,8.68417,98.25222,0.0,07-16-2019,13:00:00,1008.98,37.50,8.00,000,30.15,94,24.2,1008.09,25.2,27.20
48563,KRABI,กระบี่,กระบี่,8.10361,98.97528,0.0,07-16-2019,13:00:00,1007.88,1.20,10.00,000,30.01,91,24.1,1004.30,25.7,1.20
48564,PHUKET,ภูเก็ต,ภูเก็ต,7.88333,98.40000,11.1,07-16-2019,13:00:00,1007.86,1.00,10.00,250,31.31,66,24.8,1007.43,31.9,0.00
48565,PHUKET AIRPORT,ภูเก็ต (ศูนย์ฯ),ภูเก็ต,8.14500,98.31444,9.3,07-16-2019,13:00:00,1007.53,0.00,9.00,230,32.55,75,25.5,1006.55,30.4,0.00
48566,KO LANTA,เกาะลันตา,กระบี่,7.53333,99.05000,9.3,07-16-2019,13:00:00,1008.25,5.40,10.00,150,31.68,76,25.0,1007.45,29.7,1.20
48567,TRANG AIRPORT,ตรัง,ตรัง,7.51667,99.61667,11.1,07-16-2019,13:00:00,1008.23,1.80,13.00,220,30.24,64,24.2,1006.44,31.8,0.00
48568,SONGKHLA,สงขลา,สงขลา,7.18211,100.60769,11.1,07-16-2019,13:00:00,1007.66,0.01,12.00,230,28.78,60,23.4,1006.92,32.2,0.01
48569,HAT YAI AIRPORT,หาดใหญ่,สงขลา,6.91667,100.43333,22.2,07-16-2019,13:00:00,1008.18,23.40,10.00,240,28.08,71,23.0,1004.21,28.7,23.40
48570,SATUN,สตูล,สตูล,6.65000,100.08333,0.0,07-16-2019,13:00:00,1010.19,6.00,6.00,000,29.66,89,23.9,1009.51,25.8,1.50
48571,KHO HONG AGROMET.,คอหงษ์ สกษ.,สงขลา,7.00000,100.50000,7.4,07-16-2019,13:00:00,1007.99,0.00,10.00,200,27.93,65,22.9,1006.88,30.2,0.00
48574,SA DAO,สะเดา,สงขลา,6.79806,100.39056,18.5,07-16-2019,13:00:00,1008.99,0.00,10.00,260,27.11,68,22.4,1006.09,28.9,0.00
48580,PATTANI AIRPORT,ปัตตานี,ปัตตานี,6.78333,101.15000,5.6,07-16-2019,13:00:00,1007.86,0.00,10.00,260,30.36,64,24.3,1007.19,32.0,0.00
48581,YALA AGROMET.,ยะลา สกษ.,ยะลา,6.51667,101.28333,13.0,07-16-2019,13:00:00,1007.90,0.00,10.00,200,30.12,65,24.2,1003.84,31.6,0.00
48583,NARATHIWAT,นราธิวาส,นราธิวาส,6.41667,101.81667,11.1,07-16-2019,13:00:00,1007.59,0.00,10.00,270,26.95,52,22.3,1007.01,33.4,0.00
