WmoStationNumber,StationNameEnglish,StationNameThai,Province,Latitude,Longitude,MeanSeaLevelPressure,Date,Time,WindSpeed,WindDirection,Rainfall24Hr,VaporPressure,Rainfall,AirTemperature,StationPressure,DewPoint,LandVisibility,RelativeHumidity
48300,MAE HONG SON,แม่ฮ่องสอน,แม่ฮ่องสอน,19.29897,97.97578,1004.45,08-03-2019,04:00:00,0.0,000,7.90,28.72,0.00,24.7,973.48,23.4,6.00,92
48302,DOI ANG KANG,ดอยอ่างขาง,เชียงใหม่,19.93139,99.04833,1001.29,08-03-2019,04:00:00,61.1,280,4.40,19.78,0.00,18.0,840.55,17.3,8.00,96
48303,CHIANG RAI,เชียงราย,เชียงราย,19.96139,99.88139,1001.57,08-03-2019,04:00:00,0.0,000,2.10,26.19,0.00,25.6,958.19,21.9,10.00,80
48304,CHAING RAI AGROMET.,เชียงราย สกษ.,เชียงราย,19.87083,99.78278,1002.11,08-03-2019,04:00:00,0.0,000,13.50,28.11,0.00,24.5,956.65,23.0,10.00,91
48307,THUNG CHANG,ทุ่งช้าง,น่าน,19.41194,100.88353,1003.83,08-03-2019,04:00:00,0.0,000,0.00,29.77,0.00,24.7,966.19,24.0,6.00,96
48310,PHAYAO,พะเยา,พะเยา,19.13333,99.90000,1003.02,08-03-2019,04:00:00,7.4,160,0.00,29.74,0.00,25.7,958.13,23.9,8.00,90
48315,THA WANGPHA,ท่าวังผา,น่าน,19.11056,100.80250,1003.30,08-03-2019,04:00:00,0.0,000,0.00,29.11,0.00,25.5,976.62,23.6,7.00,89
48324,THOEN,เถิน,ลำปาง,17.63661,99.24475,1004.40,08-03-2019,04:00:00,3.7,300,0.00,25.87,0.00,26.3,982.70,21.7,14.00,76
48325,MAE SARIANG,แม่สะเรียง,แม่ฮ่องสอน,18.16667,97.93333,1006.59,08-03-2019,04:00:00,0.0,000,13.70,27.58,0.00,23.6,982.28,22.7,6.00,95
48327,CHIANG MAI,เชียงใหม่,เชียงใหม่,18.79000,98.97694,1003.90,08-03-2019,04:00:00,0.0,000,1.50,27.73,0.00,25.6,969.45,22.8,10.00,85
48328,LAMPANG,ลำปาง,ลำปาง,18.28333,99.51667,1003.78,08-03-2019,04:00:00,0.0,000,1.80,25.96,0.00,26.5,976.36,21.7,10.00,75
48329,LAMPHUN,ลำพูน,ลำพูน,18.56722,99.03389,1003.19,08-03-2019,04:00:00,0.0,000,0.00,28.14,0.00,27.0,969.85,23.0,10.00,79
48330,PHRAE,แพร่,แพร่,18.16667,100.16667,1003.25,08-03-2019,04:00:00,3.7,270,1.10,27.66,0.00,26.0,984.78,22.7,10.00,82
48331,NAN,น่าน,น่าน,18.77972,100.77778,1003.10,08-03-2019,04:00:00,0.0,000,0.00,29.74,0.00,25.7,980.32,23.9,10.00,90
48333,NAN AGROMET.,น่าน สกษ.,น่าน,18.86667,100.75000,1003.35,08-03-2019,04:00:00,0.0,000,0.00,29.52,0.00,25.0,973.45,23.8,8.00,93
48334,LAMPANG AGROMET.,ลำปาง สกษ.,ลำปาง,18.31667,99.28333,1003.19,08-03-2019,04:00:00,0.0,000,3.40,25.64,0.00,27.2,967.95,21.5,6.00,71
48350,LOEI AGROMET.,เลย สกษ.,เลย,17.40000,101.73333,1001.47,08-03-2019,04:00:00,0.0,000,0.00,26.59,0.00,27.3,972.02,22.1,10.00,73
48351,UTTARADIT,อุตรดิตถ์,อุตรดิตถ์,17.61667,100.10000,1004.89,08-03-2019,04:00:00,0.0,000,0.00,27.36,0.00,27.0,997.60,22.6,8.00,77
48352,NONG KHAI,หนองคาย,หนองคาย,17.86717,102.73303,1001.33,08-03-2019,04:00:00,9.3,260,0.00,27.90,0.00,27.3,981.58,22.9,10.00,77
48353,LOEI,เลย,เลย,17.45000,101.73333,1002.00,08-03-2019,04:00:00,7.4,310,0.00,22.56,0.00,28.2,973.64,19.4,13.00,59
48354,UDON THANI,อุดรธานี,อุดรธานี,17.38333,102.80000,1001.83,08-03-2019,04:00:00,3.7,240,0.00,26.16,0.00,27.2,981.79,21.8,12.00,73
48355,SAKON NAKHON AGROMET.,สกลนคร สกษ.,สกลนคร,17.12503,104.06100,1001.28,08-03-2019,04:00:00,7.4,240,0.00,25.30,0.00,27.0,979.69,21.3,12.00,71
48356,SAKON NAKHON,สกลนคร,สกลนคร,17.15000,104.13333,1000.95,08-03-2019,04:00:00,7.4,200,0.00,25.65,0.00,27.5,981.63,21.5,11.00,70
48358,NAKHON PHANOM AGROMET.,นครพนม สกษ.,นครพนม,17.44306,104.77361,1001.89,08-03-2019,04:00:00,0.0,000,1.50,29.44,0.00,25.1,984.47,23.8,10.00,92
48360,NONG BUA LAM PHU,หนองบัวลำภู,หนองบัวลำภู,17.23250,102.42944,1001.01,08-03-2019,04:00:00,0.0,000,0.00,28.51,0.00,25.6,975.29,23.2,10.00,87
