WmoStationNumber,StationNameEnglish,StationNameThai,Province,Latitude,Longitude,StationPressure,Date,Time,DewPoint,AirTemperature,WindSpeed,VaporPressure,Rainfall24Hr,MeanSeaLevelPressure,WindDirection,Rainfall,RelativeHumidity,LandVisibility
48300,MAE HONG SON,แม่ฮ่องสอน,แม่ฮ่องสอน,19.29897,97.97578,976.83,09-30-2019,16:00:00,24.4,31.8,0.0,30.53,0.00,1007.17,000,0.00,65,12.00
48302,DOI ANG KANG,ดอยอ่างขาง,เชียงใหม่,19.93139,99.04833,846.84,09-30-2019,16:00:00,18.2,24.4,7.4,20.91,0.00,1005.08,300,0.00,68,8.00
48303,CHIANG RAI,เชียงราย,เชียงราย,19.96139,99.88139,963.88,09-30-2019,16:00:00,18.8,32.7,7.4,21.64,0.00,1006.49,120,0.00,44,10.00
48304,CHAING RAI AGROMET.,เชียงราย สกษ.,เชียงราย,19.87083,99.78278,962.10,09-30-2019,16:00:00,18.3,33.1,0.0,21.06,0.00,1006.52,000,0.00,42,15.00
48307,THUNG CHANG,ทุ่งช้าง,น่าน,19.41194,100.88353,971.23,09-30-2019,16:00:00,23.7,33.0,0.0,29.25,0.00,1008.03,000,0.00,58,10.00
48310,PHAYAO,พะเยา,พะเยา,19.13333,99.90000,962.66,09-30-2019,16:00:00,22.9,33.0,9.3,27.84,0.00,1006.66,210,0.00,55,10.00
48315,THA WANGPHA,ท่าวังผา,น่าน,19.11056,100.80250,981.73,09-30-2019,16:00:00,23.7,34.7,3.7,29.29,0.00,1007.74,170,0.00,53,10.00
48324,THOEN,เถิน,ลำปาง,17.63661,99.24475,984.63,09-30-2019,16:00:00,22.7,35.0,1.9,27.61,0.00,1005.75,120,0.00,49,8.00
48325,MAE SARIANG,แม่สะเรียง,แม่ฮ่องสอน,18.16667,97.93333,983.91,09-30-2019,16:00:00,25.1,33.4,0.0,31.83,0.00,1007.47,000,0.00,62,10.00
48327,CHIANG MAI,เชียงใหม่,เชียงใหม่,18.79000,98.97694,972.99,09-30-2019,16:00:00,21.1,34.5,0.0,24.94,0.00,1006.56,000,0.00,46,10.00
48328,LAMPANG,ลำปาง,ลำปาง,18.28333,99.51667,981.54,09-30-2019,16:00:00,22.6,34.2,0.0,27.41,0.00,1008.41,000,0.00,51,10.00
48329,LAMPHUN,ลำพูน,ลำพูน,18.56722,99.03389,973.81,09-30-2019,16:00:00,20.5,34.2,0.0,24.10,0.00,1006.49,000,0.00,45,15.00
48330,PHRAE,แพร่,แพร่,18.16667,100.16667,988.61,09-30-2019,16:00:00,22.4,34.6,1.9,27.08,0.00,1006.63,140,0.00,49,5.00
48331,NAN,น่าน,น่าน,18.77972,100.77778,984.88,09-30-2019,16:00:00,22.9,34.7,0.0,27.85,0.00,1007.09,000,0.00,50,10.00
48333,NAN AGROMET.,น่าน สกษ.,น่าน,18.86667,100.75000,978.17,09-30-2019,16:00:00,22.4,34.0,0.0,27.01,0.00,1007.32,000,0.00,51,12.00
48334,LAMPANG AGROMET.,ลำปาง สกษ.,ลำปาง,18.31667,99.28333,972.21,09-30-2019,16:00:00,24.2,32.5,0.0,30.24,0.00,1006.99,000,0.00,62,7.00
48350,LOEI AGROMET.,เลย สกษ.,เลย,17.40000,101.73333,977.40,09-30-2019,16:00:00,24.0,34.0,3.7,29.87,0.00,1006.36,080,0.00,56,8.00
48351,UTTARADIT,อุตรดิตถ์,อุตรดิตถ์,17.61667,100.10000,999.52,09-30-2019,16:00:00,24.2,35.5,0.0,30.10,0.00,1006.62,000,0.00,52,8.00
