WmoStationNumber,StationNameEnglish,StationNameThai,Province,Latitude,Longitude,Rainfall24Hr,Date,Time,Rainfall,StationPressure,WindSpeed,RelativeHumidity,WindDirection,LandVisibility,VaporPressure,DewPoint,AirTemperature,MeanSeaLevelPressure
48300,MAE HONG SON,แม่ฮ่องสอน,แม่ฮ่องสอน,19.29897,97.97578,1.80,07-10-2019,01:00:00,0.00,976.37,0.0,92,000,7.00,29.00,23.5,25.0,1007.40
48302,DOI ANG KANG,ดอยอ่างขาง,เชียงใหม่,19.93139,99.04833,7.20,07-10-2019,01:00:00,1.20,843.92,16.7,98,260,8.00,20.45,17.9,18.2,1005.18
48303,CHIANG RAI,เชียงราย,เชียงราย,19.96139,99.88139,0.60,07-10-2019,01:00:00,0.00,961.95,1.9,81,240,10.00,26.53,22.1,25.5,1005.53
48304,CHAING RAI AGROMET.,เชียงราย สกษ.,เชียงราย,19.87083,99.78278,0.80,07-10-2019,01:00:00,0.00,959.93,9.3,87,260,10.00,26.84,22.3,24.5,1005.55
48307,THUNG CHANG,ทุ่งช้าง,น่าน,19.41194,100.88353,3.20,07-10-2019,01:00:00,3.20,968.69,0.0,92,000,5.00,30.84,24.6,26.0,1006.26
48310,PHAYAO,พะเยา,พะเยา,19.13333,99.90000,0.20,07-10-2019,01:00:00,0.20,960.90,0.0,83,000,10.00,24.78,20.9,24.0,1006.18
48315,THA WANGPHA,ท่าวังผา,น่าน,19.11056,100.80250,1.60,07-10-2019,01:00:00,0.00,979.55,5.6,77,160,8.00,28.26,23.1,27.5,1006.13
48324,THOEN,เถิน,ลำปาง,17.63661,99.24475,0.00,07-10-2019,01:00:00,0.00,985.81,0.0,82,000,12.00,27.48,22.6,25.9,1007.61
48325,MAE SARIANG,แม่สะเรียง,แม่ฮ่องสอน,18.16667,97.93333,2.40,07-10-2019,01:00:00,0.00,984.47,0.0,95,000,6.00,28.27,23.1,24.0,1008.79
48327,CHIANG MAI,เชียงใหม่,เชียงใหม่,18.79000,98.97694,1.70,07-10-2019,01:00:00,0.00,972.50,0.0,90,000,10.00,29.19,23.6,25.4,1007.09
48328,LAMPANG,ลำปาง,ลำปาง,18.28333,99.51667,0.00,07-10-2019,01:00:00,0.00,980.63,0.0,80,000,10.00,27.69,22.8,26.6,1008.15
48329,LAMPHUN,ลำพูน,ลำพูน,18.56722,99.03389,0.00,07-10-2019,01:00:00,0.00,973.28,0.0,80,000,10.00,26.02,21.7,25.5,1006.90
