WmoStationNumber,StationNameEnglish,StationNameThai,Province,Latitude,Longitude,MinimumTemperature,Date,Time,Rainfall24Hr,VaporPressure,AirTemperature,MeanSeaLevelPressure,Rainfall,RelativeHumidity,WindDirection,LandVisibility,StationPressure,DewPoint,WindSpeed
48302,DOI ANG KANG,ดอยอ่างขาง,เชียงใหม่,19.93139,99.04833,17.9,10-06-2019,07:00:00,0.00,21.08,19.8,1012.54,0.00,91,100,8.00,850.89,18.3,9.3
48303,CHIANG RAI,เชียงราย,เชียงราย,19.96139,99.88139,23.5,10-06-2019,07:00:00,0.00,26.93,24.4,1012.84,0.00,88,030,10.00,968.79,22.3,3.7
48304,CHAING RAI AGROMET.,เชียงราย สกษ.,เชียงราย,19.87083,99.78278,22.0,10-06-2019,07:00:00,1.00,27.66,23.5,1013.27,1.00,96,000,15.00,967.14,22.8,0.0
48307,THUNG CHANG,ทุ่งช้าง,น่าน,19.41194,100.88353,21.4,10-06-2019,07:00:00,0.00,26.42,22.0,1014.52,0.00,100,000,8.00,976.14,22.0,0.0
48310,PHAYAO,พะเยา,พะเยา,19.13333,99.90000,23.5,10-06-2019,07:00:00,0.00,27.42,23.8,1014.17,0.00,93,000,5.00,968.50,22.6,0.0
48315,THA WANGPHA,ท่าวังผา,น่าน,19.11056,100.80250,22.9,10-06-2019,07:00:00,0.00,26.99,23.1,1014.49,0.00,96,000,3.00,987.31,22.3,0.0
48324,THOEN,เถิน,ลำปาง,17.63661,99.24475,23.5,10-06-2019,07:00:00,0.40,28.61,23.9,1012.89,0.00,97,060,8.00,990.83,23.3,3.7
48325,MAE SARIANG,แม่สะเรียง,แม่ฮ่องสอน,18.16667,97.93333,22.0,10-06-2019,07:00:00,0.00,27.42,23.8,1013.03,0.00,93,000,6.00,988.59,22.6,0.0
48327,CHIANG MAI,เชียงใหม่,เชียงใหม่,18.79000,98.97694,23.4,10-06-2019,07:00:00,0.00,25.92,23.8,1013.36,0.00,88,000,10.00,978.38,21.7,0.0
48328,LAMPANG,ลำปาง,ลำปาง,18.28333,99.51667,23.2,10-06-2019,07:00:00,0.00,28.52,23.7,1014.73,0.00,97,000,7.00,986.75,23.3,0.0
48329,LAMPHUN,ลำพูน,ลำพูน,18.56722,99.03389,23.2,10-06-2019,07:00:00,0.00,27.41,23.2,1013.16,0.00,96,000,7.00,979.07,22.6,0.0
48330,PHRAE,แพร่,แพร่,18.16667,100.16667,24.2,10-06-2019,07:00:00,0.00,29.25,24.7,1011.96,0.00,94,000,2.00,993.26,23.7,0.0
48331,NAN,น่าน,น่าน,18.77972,100.77778,23.4,10-06-2019,07:00:00,0.00,28.09,23.6,1013.43,0.00,96,000,6.00,990.25,23.0,0.0
48333,NAN AGROMET.,น่าน สกษ.,น่าน,18.86667,100.75000,22.2,10-06-2019,07:00:00,0.00,26.66,22.9,1013.79,0.00,96,000,.90,983.37,22.1,0.0
48334,LAMPANG AGROMET.,ลำปาง สกษ.,ลำปาง,18.31667,99.28333,22.2,10-06-2019,07:00:00,0.00,25.53,22.2,1013.42,0.00,95,000,4.00,977.23,21.4,0.0
48350,LOEI AGROMET.,เลย สกษ.,เลย,17.40000,101.73333,22.0,10-06-2019,07:00:00,1.00,26.01,22.5,1013.18,1.00,95,000,8.00,982.90,21.7,0.0
48351,UTTARADIT,อุตรดิตถ์,อุตรดิตถ์,17.61667,100.10000,24.5,10-06-2019,07:00:00,0.00,28.11,24.5,1012.21,0.00,91,000,7.00,1004.81,23.0,0.0
48352,NONG KHAI,หนองคาย,หนองคาย,17.86717,102.73303,23.5,10-06-2019,07:00:00,0.00,26.01,24.0,1013.61,0.00,87,000,6.00,993.40,21.7,0.0
48353,LOEI,เลย,เลย,17.45000,101.73333,21.8,10-06-2019,07:00:00,8.60,26.01,22.5,1013.76,1.60,95,300,10.00,984.52,21.7,3.7
48354,UDON THANI,อุดรธานี,อุดรธานี,17.38333,102.80000,21.6,10-06-2019,07:00:00,17.00,26.01,23.1,1013.10,0.10,92,340,12.00,992.56,21.7,5.6
48355,SAKON NAKHON AGROMET.,สกลนคร สกษ.,สกลนคร,17.12503,104.06100,22.0,10-06-2019,07:00:00,5.30,26.50,23.1,1013.50,0.00,94,310,6.00,991.37,22.0,3.7
48356,SAKON NAKHON,สกลนคร,สกลนคร,17.15000,104.13333,22.6,10-06-2019,07:00:00,0.01,28.27,24.0,1012.59,0.00,95,320,6.00,992.81,23.1,3.7
48357,NAKHON PHANOM,นครพนม,นครพนม,17.41083,104.78250,23.8,10-06-2019,07:00:00,1.40,28.01,24.0,1013.14,0.00,94,000,10.00,996.13,23.0,0.0
48358,NAKHON PHANOM AGROMET.,นครพนม สกษ.,นครพนม,17.44306,104.77361,22.5,10-06-2019,07:00:00,4.50,28.35,23.9,1013.35,0.00,96,000,8.00,995.66,23.2,0.0
48360,NONG BUA LAM PHU,หนองบัวลำภู,หนองบัวลำภู,17.23250,102.42944,22.0,10-06-2019,07:00:00,2.50,26.25,22.2,1012.18,0.30,98,310,8.00,985.88,21.9,9.3
48372,SUKHOTHAI*,สุโขทัย,สุโขทัย,17.10611,99.80000,24.0,10-06-2019,07:00:00,0.00,31.49,25.2,1012.50,0.00,98,000,6.00,1006.65,24.9,0.0
48373,SI SAMRONG AGROMET.,ศรีสำโรง สกษ.,สุโขทัย,17.16136,99.86167,24.0,10-06-2019,07:00:00,0.00,29.67,24.5,1012.78,0.00,97,000,4.00,1006.50,23.9,0.0
48374,LOM SAK,หล่มสัก,เพชรบูรณ์,16.77361,101.24944,22.8,10-06-2019,07:00:00,3.80,27.25,24.0,1013.23,3.80,91,000,12.00,996.53,22.5,0.0
48375,MAE SOT,แม่สอด,ตาก,16.65917,98.55083,22.5,10-06-2019,07:00:00,3.50,27.16,23.5,1011.26,0.00,94,000,8.00,988.59,22.4,0.0
48376,TAK,ตาก,ตาก,16.87833,99.14333,23.8,10-06-2019,07:00:00,0.00,29.41,24.5,1013.20,0.00,96,000,6.00,998.61,23.8,0.0
48377,BHUMIBOL DAM,เขื่อนภูมิพล,ตาก,17.24389,99.00250,23.8,10-06-2019,07:00:00,0.00,28.97,24.4,1012.73,0.00,95,000,7.00,996.12,23.5,0.0
48378,PHITSANULOK,พิษณุโลก,พิษณุโลก,16.79481,100.27930,24.0,10-06-2019,07:00:00,0.00,29.33,24.6,1012.25,0.00,95,340,6.00,1006.96,23.7,5.6
48379,PHETCHABUN,เพชรบูรณ์,เพชรบูรณ์,16.43333,101.15000,23.3,10-06-2019,07:00:00,0.40,27.59,23.9,1011.09,0.00,93,000,10.00,997.71,22.7,0.0
48380,KAMPHAENG PHET,กำแพงเพชร,กำแพงเพชร,16.48681,99.52697,24.0,10-06-2019,07:00:00,12.30,31.68,25.3,1012.67,0.00,98,000,8.00,1003.24,25.0,0.0
48381,KHON KAEN,ขอนแก่น,ขอนแก่น,16.46111,102.78972,22.5,10-06-2019,07:00:00,4.00,26.99,22.8,1013.07,0.00,97,320,7.00,990.95,22.3,3.7
48382,MAHASARAKHAM,มหาสารคาม,มหาสารคาม,16.24722,103.06805,21.5,10-06-2019,07:00:00,7.50,25.60,23.0,1012.73,0.00,91,020,10.00,994.90,21.5,5.6
48383,MUKDAHAN,มุกดาหาร,มุกดาหาร,16.54139,104.72889,22.5,10-06-2019,07:00:00,11.00,26.68,24.7,1012.27,0.00,86,070,10.00,996.24,22.2,3.7
48384,THA PHRA AGROMET.,ท่าพระ สกษ.,ขอนแก่น,16.33333,102.81667,21.4,10-06-2019,07:00:00,7.00,27.32,23.0,1011.92,0.01,97,000,7.00,992.69,22.5,0.0
48385,UMPHANG,อุ้มผาง,ตาก,16.02472,98.86444,20.5,10-06-2019,07:00:00,0.00,23.75,21.2,1014.18,0.00,94,000,.90,961.84,20.3,0.0
48386,PICHIT AGROMET.,พิจิตร สกษ.,พิจิตร,16.43806,100.29250,23.9,10-06-2019,07:00:00,0.10,29.79,25.0,1011.99,0.00,94,300,3.00,1007.99,24.0,1.9
