WmoStationNumber,StationNameEnglish,StationNameThai,Province,Latitude,Longitude,VaporPressure,Date,Time,Rainfall24Hr,AirTemperature,LandVisibility,WindSpeed,Rainfall,MeanSeaLevelPressure,DewPoint,StationPressure,WindDirection,RelativeHumidity
48300,MAE HONG SON,แม่ฮ่องสอน,แม่ฮ่องสอน,19.29897,97.97578,29.36,09-14-2019,01:00:00,0.40,25.2,8.00,0.0,0.00,1008.80,23.7,977.75,000,92
48302,DOI ANG KANG,ดอยอ่างขาง,เชียงใหม่,19.93139,99.04833,21.63,09-14-2019,01:00:00,8.80,19.4,8.00,7.4,0.00,1007.45,18.8,846.42,270,96
48303,CHIANG RAI,เชียงราย,เชียงราย,19.96139,99.88139,29.54,09-14-2019,01:00:00,0.00,26.6,12.00,0.0,0.00,1007.30,23.8,963.81,000,85
48304,CHAING RAI AGROMET.,เชียงราย สกษ.,เชียงราย,19.87083,99.78278,30.84,09-14-2019,01:00:00,0.00,26.0,15.00,0.0,0.00,1007.48,24.6,961.99,000,92
48307,THUNG CHANG,ทุ่งช้าง,น่าน,19.41194,100.88353,30.32,09-14-2019,01:00:00,0.00,25.0,6.00,0.0,0.00,1008.13,24.3,970.37,000,96
48310,PHAYAO,พะเยา,พะเยา,19.13333,99.90000,27.60,09-14-2019,01:00:00,0.00,24.5,10.00,0.0,0.00,1007.56,22.7,962.29,000,90
48315,THA WANGPHA,ท่าวังผา,น่าน,19.11056,100.80250,31.38,09-14-2019,01:00:00,0.00,26.0,7.00,0.0,0.00,1008.13,24.8,981.37,000,93
48324,THOEN,เถิน,ลำปาง,17.63661,99.24475,29.04,09-14-2019,01:00:00,3.90,24.0,14.00,0.0,0.00,1008.04,23.6,986.09,000,97
48325,MAE SARIANG,แม่สะเรียง,แม่ฮ่องสอน,18.16667,97.93333,31.25,09-14-2019,01:00:00,0.00,25.5,6.00,0.0,0.00,1009.16,24.8,984.95,000,96
48327,CHIANG MAI,เชียงใหม่,เชียงใหม่,18.79000,98.97694,29.82,09-14-2019,01:00:00,29.70,25.6,10.00,0.0,0.00,1008.43,24.0,973.82,000,91
