WmoStationNumber,StationNameEnglish,StationNameThai,Province,Latitude,Longitude,VaporPressure,Date,Time,LandVisibility,RelativeHumidity,StationPressure,Rainfall,WindSpeed,DewPoint,Rainfall24Hr,MeanSeaLevelPressure,WindDirection,AirTemperature
48300,MAE HONG SON,แม่ฮ่องสอน,แม่ฮ่องสอน,19.29897,97.97578,25.37,10-16-2019,13:00:00,15.00,53,981.19,0.00,7.4,21.3,0.00,1011.64,340,32.0
48302,DOI ANG KANG,ดอยอ่างขาง,เชียงใหม่,19.93139,99.04833,21.08,10-16-2019,13:00:00,8.00,87,850.53,0.00,7.4,18.3,2.70,1011.65,140,20.6
48303,CHIANG RAI,เชียงราย,เชียงราย,19.96139,99.88139,24.88,10-16-2019,13:00:00,12.00,54,969.65,0.00,7.4,21.0,0.00,1012.71,060,31.3
48304,CHAING RAI AGROMET.,เชียงราย สกษ.,เชียงราย,19.87083,99.78278,24.71,10-16-2019,13:00:00,15.00,53,967.69,0.00,0.0,20.9,0.00,1012.60,000,31.5
48307,THUNG CHANG,ทุ่งช้าง,น่าน,19.41194,100.88353,31.14,10-16-2019,13:00:00,10.00,86,975.79,0.60,0.0,24.7,13.80,1013.46,000,27.3
48310,PHAYAO,พะเยา,พะเยา,19.13333,99.90000,27.22,10-16-2019,13:00:00,10.00,63,968.65,0.00,3.7,22.5,36.70,1013.31,260,30.4
48315,THA WANGPHA,ท่าวังผา,น่าน,19.11056,100.80250,27.69,10-16-2019,13:00:00,12.00,57,986.65,0.00,5.6,22.8,0.80,1012.97,110,32.5
48324,THOEN,เถิน,ลำปาง,17.63661,99.24475,27.25,10-16-2019,13:00:00,12.00,62,990.90,0.00,3.7,22.5,11.00,1012.46,080,30.7
48325,MAE SARIANG,แม่สะเรียง,แม่ฮ่องสอน,18.16667,97.93333,28.68,10-16-2019,13:00:00,10.00,57,987.85,0.00,0.0,23.3,0.30,1011.53,000,33.0
48327,CHIANG MAI,เชียงใหม่,เชียงใหม่,18.79000,98.97694,25.49,10-16-2019,13:00:00,15.00,52,978.46,0.00,3.7,21.4,0.01,1012.43,120,32.5
48328,LAMPANG,ลำปาง,ลำปาง,18.28333,99.51667,27.30,10-16-2019,13:00:00,10.00,56,985.20,0.00,0.0,22.5,1.00,1012.33,000,32.3
48329,LAMPHUN,ลำพูน,ลำพูน,18.56722,99.03389,26.78,10-16-2019,13:00:00,12.00,58,979.62,0.00,0.0,22.2,5.00,1012.78,000,31.6
48330,PHRAE,แพร่,แพร่,18.16667,100.16667,28.72,10-16-2019,13:00:00,10.00,54,993.71,0.00,5.6,23.4,0.00,1011.85,300,34.0
48331,NAN,น่าน,น่าน,18.77972,100.77778,27.02,10-16-2019,13:00:00,10.00,56,990.01,0.00,0.0,22.4,8.40,1012.51,000,32.3
