WmoStationNumber,StationNameEnglish,StationNameThai,Province,Latitude,Longitude,LandVisibility,Date,Time,WindDirection,VaporPressure,Rainfall,RelativeHumidity,WindSpeed,AirTemperature,DewPoint,StationPressure,Rainfall24Hr,MeanSeaLevelPressure
48300,MAE HONG SON,แม่ฮ่องสอน,แม่ฮ่องสอน,19.29897,97.97578,6.00,08-01-2019,01:00:00,000,30.05,30.80,95,0.0,25.0,24.1,974.09,35.90,1005.04
48302,DOI ANG KANG,ดอยอ่างขาง,เชียงใหม่,19.93139,99.04833,8.00,08-01-2019,01:00:00,270,21.03,0.00,97,9.3,18.8,18.3,842.72,7.00,1003.41
48303,CHIANG RAI,เชียงราย,เชียงราย,19.96139,99.88139,5.00,08-01-2019,01:00:00,140,28.28,1.30,93,5.6,24.3,23.1,960.43,5.60,1004.11
48304,CHAING RAI AGROMET.,เชียงราย สกษ.,เชียงราย,19.87083,99.78278,1.00,08-01-2019,01:00:00,000,28.97,18.80,95,0.0,24.4,23.5,958.27,26.00,1003.83
48307,THUNG CHANG,ทุ่งช้าง,น่าน,19.41194,100.88353,6.00,08-01-2019,01:00:00,000,28.07,26.20,100,0.0,23.0,23.0,966.47,79.40,1004.34
48310,PHAYAO,พะเยา,พะเยา,19.13333,99.90000,6.00,08-01-2019,01:00:00,000,28.34,5.90,97,0.0,23.6,23.2,959.35,51.00,1004.62
48315,THA WANGPHA,ท่าวังผา,น่าน,19.11056,100.80250,6.00,08-01-2019,01:00:00,000,29.85,7.20,97,0.0,24.6,24.0,977.90,137.60,1004.69
48324,THOEN,เถิน,ลำปาง,17.63661,99.24475,11.00,08-01-2019,01:00:00,210,25.75,0.00,69,5.6,27.7,21.6,982.68,0.80,1004.28
48325,MAE SARIANG,แม่สะเรียง,แม่ฮ่องสอน,18.16667,97.93333,6.00,08-01-2019,01:00:00,000,29.33,0.00,95,0.0,24.6,23.7,982.08,1.80,1006.30
48327,CHIANG MAI,เชียงใหม่,เชียงใหม่,18.79000,98.97694,10.00,08-01-2019,01:00:00,000,30.78,0.40,89,0.0,26.4,24.5,969.85,9.40,1004.22
48328,LAMPANG,ลำปาง,ลำปาง,18.28333,99.51667,8.00,08-01-2019,01:00:00,000,31.11,2.00,93,0.0,26.0,24.7,977.15,6.40,1004.64
48329,LAMPHUN,ลำพูน,ลำพูน,18.56722,99.03389,10.00,08-01-2019,01:00:00,000,30.78,0.00,89,0.0,26.4,24.5,970.66,5.10,1004.09
48330,PHRAE,แพร่,แพร่,18.16667,100.16667,1.00,08-01-2019,01:00:00,040,28.78,28.60,97,5.6,24.0,23.4,986.11,41.20,1004.73
48331,NAN,น่าน,น่าน,18.77972,100.77778,6.00,08-01-2019,01:00:00,000,29.67,17.30,97,0.0,24.5,23.9,981.15,86.80,1004.05
48333,NAN AGROMET.,น่าน สกษ.,น่าน,18.86667,100.75000,6.00,08-01-2019,01:00:00,000,29.95,2.40,96,0.0,24.8,24.1,975.10,76.10,1005.08
48334,LAMPANG AGROMET.,ลำปาง สกษ.,ลำปาง,18.31667,99.28333,6.00,08-01-2019,01:00:00,000,31.71,0.40,97,0.0,25.6,25.0,969.05,2.60,1004.52
48350,LOEI AGROMET.,เลย สกษ.,เลย,17.40000,101.73333,12.00,08-01-2019,01:00:00,000,29.72,0.00,92,0.0,25.4,23.9,972.86,5.30,1002.53
48351,UTTARADIT,อุตรดิตถ์,อุตรดิตถ์,17.61667,100.10000,8.00,08-01-2019,01:00:00,000,30.84,0.00,92,0.0,26.0,24.6,996.41,7.40,1003.71
48352,NONG KHAI,หนองคาย,หนองคาย,17.86717,102.73303,10.00,08-01-2019,01:00:00,000,30.96,0.00,97,0.0,25.2,24.6,984.01,10.30,1003.95
48353,LOEI,เลย,เลย,17.45000,101.73333,12.00,08-01-2019,01:00:00,000,29.52,0.00,86,0.0,26.3,23.8,974.46,7.70,1003.03
48354,UDON THANI,อุดรธานี,อุดรธานี,17.38333,102.80000,10.00,08-01-2019,01:00:00,120,30.56,3.00,98,1.9,24.7,24.4,983.43,28.00,1003.67
48355,SAKON NAKHON AGROMET.,สกลนคร สกษ.,สกลนคร,17.12503,104.06100,12.00,08-01-2019,01:00:00,000,29.13,0.20,97,0.0,24.2,23.6,982.47,12.80,1004.33
48356,SAKON NAKHON,สกลนคร,สกลนคร,17.15000,104.13333,10.00,08-01-2019,01:00:00,000,30.20,0.00,98,0.0,24.5,24.2,984.13,8.00,1003.70
48357,NAKHON PHANOM,นครพนม,นครพนม,17.41083,104.78250,10.00,08-01-2019,01:00:00,000,29.00,0.00,92,0.0,25.0,23.5,987.89,10.70,1004.70
48358,NAKHON PHANOM AGROMET.,นครพนม สกษ.,นครพนม,17.44306,104.77361,10.00,08-01-2019,01:00:00,000,29.15,0.40,95,0.0,24.5,23.6,987.37,28.80,1004.88
48360,NONG BUA LAM PHU,หนองบัวลำภู,หนองบัวลำภู,17.23250,102.42944,10.00,08-01-2019,01:00:00,000,30.84,0.50,92,0.0,26.0,24.6,976.28,12.80,1001.99
48372,SUKHOTHAI*,สุโขทัย,สุโขทัย,17.10611,99.80000,10.00,08-01-2019,01:00:00,270,28.28,0.00,76,5.6,27.8,23.1,998.84,0.00,1004.59
48373,SI SAMRONG AGROMET.,ศรีสำโรง สกษ.,สุโขทัย,17.16136,99.86167,10.00,08-01-2019,01:00:00,000,31.95,0.00,85,0.0,28.0,25.1,997.56,0.00,1003.71
48374,LOM SAK,หล่มสัก,เพชรบูรณ์,16.77361,101.24944,8.00,08-01-2019,01:00:00,000,29.41,10.80,96,0.0,24.5,23.8,988.96,18.10,1005.50
48375,MAE SOT,แม่สอด,ตาก,16.65917,98.55083,10.00,08-01-2019,01:00:00,240,27.66,11.30,96,7.4,23.5,22.8,983.21,21.90,1005.76
48376,TAK,ตาก,ตาก,16.87833,99.14333,8.00,08-01-2019,01:00:00,260,24.95,5.00,72,20.4,26.5,21.1,990.96,5.00,1005.34
48377,BHUMIBOL DAM,เขื่อนภูมิพล,ตาก,17.24389,99.00250,10.00,08-01-2019,01:00:00,270,27.03,0.00,68,11.1,29.0,22.4,987.64,0.00,1003.86
48378,PHITSANULOK,พิษณุโลก,พิษณุโลก,16.79481,100.27930,10.00,08-01-2019,01:00:00,130,32.25,0.00,89,5.6,27.3,25.3,999.77,0.10,1004.98
48379,PHETCHABUN,เพชรบูรณ์,เพชรบูรณ์,16.43333,101.15000,10.00,08-01-2019,01:00:00,000,30.32,1.00,96,0.0,25.0,24.3,990.33,12.70,1003.56
48380,KAMPHAENG PHET,กำแพงเพชร,กำแพงเพชร,16.48681,99.52697,7.00,08-01-2019,01:00:00,000,31.79,5.00,92,0.0,26.5,25.1,995.66,5.00,1004.98
48381,KHON KAEN,ขอนแก่น,ขอนแก่น,16.46111,102.78972,7.00,08-01-2019,01:00:00,000,30.17,6.70,93,0.0,25.5,24.2,982.17,20.10,1003.89
48382,MAHASARAKHAM,มหาสารคาม,มหาสารคาม,16.24722,103.06805,10.00,08-01-2019,01:00:00,000,29.41,0.20,87,0.0,26.1,23.8,986.78,22.80,1004.28
48383,MUKDAHAN,มุกดาหาร,มุกดาหาร,16.54139,104.72889,10.00,08-01-2019,01:00:00,000,29.41,0.20,96,0.0,24.5,23.8,988.07,16.00,1003.99
48384,THA PHRA AGROMET.,ท่าพระ สกษ.,ขอนแก่น,16.33333,102.81667,8.00,08-01-2019,01:00:00,000,31.65,0.90,94,0.0,26.0,25.0,984.15,5.20,1003.02
48385,UMPHANG,อุ้มผาง,ตาก,16.02472,98.86444,5.00,08-01-2019,01:00:00,000,25.21,2.00,95,0.0,22.0,21.2,957.18,6.30,1009.12
48386,PICHIT AGROMET.,พิจิตร สกษ.,พิจิตร,16.43806,100.29250,7.00,08-01-2019,01:00:00,000,28.74,0.00,83,0.0,26.6,23.4,1000.75,0.70,1004.70
48387,DOI MU SOE AGROMET.,ดอยมูเซอร์ สกษ.,ตาก,16.75000,98.93333,.10,08-01-2019,01:00:00,250,22.91,25.20,98,13.0,20.0,19.7,911.23,32.30,1006.76
48390,KALASIN,กาฬสินธุ์,กาฬสินธุ์,16.33250,103.58833,6.00,08-01-2019,01:00:00,000,30.40,0.00,97,0.0,24.9,24.3,988.02,17.30,1004.07
48400,NAKHON SAWAN,นครสวรรค์ ,นครสวรรค์,15.67183,100.13236,10.00,08-01-2019,01:00:00,000,31.05,0.00,85,0.0,27.4,24.7,1001.13,0.20,1005.15
48401,TAKFA AGROMET.,ตากฟ้า สกษ.,นครสวรรค์,15.34944,100.53028,8.00,08-01-2019,01:00:00,000,27.29,0.00,84,0.0,25.5,22.5,995.80,4.20,1006.52
48402,CHAINAT AGROMET.,ชัยนาท สกษ.,ชัยนาท,15.15000,100.18333,9.00,08-01-2019,01:00:00,000,26.06,0.00,73,0.0,27.0,21.8,1004.19,1.20,1006.11
48403,CHAIYAPHUM,ชัยภูมิ,ชัยภูมิ,15.80000,102.03333,10.00,08-01-2019,01:00:00,250,29.16,1.70,93,5.6,24.8,23.6,984.04,4.70,1005.01
48404,ROI ET AGROMET.,ร้อยเอ็ด สกษ.,ร้อยเอ็ด,16.07322,103.60844,10.00,08-01-2019,01:00:00,260,30.17,2.10,93,7.4,25.5,24.2,986.05,10.30,1003.75
48405,ROI ET,ร้อยเอ็ด,ร้อยเอ็ด,16.02000,103.74389,10.00,08-01-2019,01:00:00,230,31.82,1.20,96,7.4,25.8,25.1,987.28,19.40,1003.45
48407,UBON RATCHATHANI,อุบลราชธานี (ศูนย์ฯ),อุบลราชธานี,15.25000,104.86667,10.00,08-01-2019,01:00:00,260,29.80,0.00,92,5.6,25.3,24.0,990.42,14.00,1004.50
48408,UBON RATCHATHANI AGROMET.,อุบลราชธานี สกษ.,อุบลราชธานี,15.23914,105.02350,10.00,08-01-2019,01:00:00,210,29.29,0.00,89,5.6,25.6,23.7,990.14,15.60,1005.00
48409,SI SAKET AGROMET.,ศรีสะเกษ,ศรีสะเกษ,15.00000,104.05000,6.00,08-01-2019,01:00:00,210,29.41,5.00,96,3.7,24.5,23.8,990.44,7.70,1005.20
48410,UTHAITHANI,อุทัยธานี,อุทัยธานี,15.37417,100.03889,10.00,08-01-2019,01:00:00,"{'@attributes': {'Unit': 'degree'}, '0': '   '}",23.67,0.01,58,0.0,29.3,20.2,1002.19,0.01,1005.18
48413,WICHIAN BURI,วิเชียรบุรี,เพชรบูรณ์,15.65700,101.10800,6.00,08-01-2019,01:00:00,000,31.00,0.20,93,0.0,25.8,24.6,996.94,1.60,1004.91
48415,AYUTTHAYA,พระนครศรีอยุธยา,พระนครศรีอยุธยา,14.53472,100.72500,6.00,08-01-2019,01:00:00,220,28.24,0.00,78,13.0,27.2,23.1,1005.31,0.00,1006.42
48416,THA TUM,ท่าตูม,สุรินทร์,15.31667,103.68333,8.00,08-01-2019,01:00:00,000,28.59,2.10,88,0.0,25.5,23.3,990.19,4.30,1004.92
48417,NAKORNNAYOK,นครนายก,นครนายก,14.36222,101.39278,8.00,08-01-2019,01:00:00,280,20.54,0.00,99,13.0,18.1,17.9,872.39,18.50,1008.12
48418,BUA CHUM,บัวชุม  ,ลพบุรี,15.26667,101.18736,10.00,08-01-2019,01:00:00,170,27.05,0.00,81,7.4,25.8,22.4,999.54,4.20,1005.43
48419,PATHUMTHANI,ปทุมธานี สกษ.,ปทุมธานี,14.10000,100.61667,8.00,08-01-2019,01:00:00,240,24.79,0.00,70,9.3,27.0,21.0,1006.41,0.00,1007.21
48420,Samut Prakarn,สมุทรปราการ สกษ.,สมุทรปราการ,13.51667,100.76167,10.00,08-01-2019,01:00:00,230,28.68,0.00,75,11.1,28.3,23.3,1006.44,0.00,1006.88
48421,THONG PHAPHUM,ทองผาภูมิ,กาญจนบุรี,14.74222,98.63639,4.00,08-01-2019,01:00:00,000,27.25,0.00,91,0.0,24.0,22.5,996.46,13.80,1007.88
48425,SUPHAN BURI,สุพรรณบุรี,สุพรรณบุรี,14.47444,100.13889,10.00,08-01-2019,01:00:00,190,25.81,0.00,72,3.7,27.0,21.6,1005.30,0.00,1006.31
48426,LOP BURI,ลพบุรี,ลพบุรี,14.79972,100.64500,7.00,08-01-2019,01:00:00,180,24.12,0.00,69,9.3,26.6,20.5,1004.26,0.00,1006.08
48427,U THONG AGROMET.,อู่ทอง สกษ.,สุพรรณบุรี,14.30361,99.86472,5.00,08-01-2019,01:00:00,000,26.23,0.00,74,0.0,26.8,21.9,1005.19,0.01,1005.95
48429,SUVARNABHUMI AIRPORT,สนามบินสุวรรณภูมิ,สมุทรปราการ,13.68639,100.76750,10.00,08-01-2019,01:00:00,210,27.60,0.00,79,9.3,26.7,22.7,1006.28,2.20,1006.98
48430,PRACHIN BURI,ปราจีนบุรี,ปราจีนบุรี,14.05842,101.36930,7.00,08-01-2019,01:00:00,000,30.34,0.00,87,0.0,26.6,24.3,1006.15,4.20,1006.85
48431,NAKHON RATCHASIMA,นครราชสีมา,นครราชสีมา,14.96830,102.08603,10.00,08-01-2019,01:00:00,260,26.81,0.00,78,3.7,26.4,22.2,984.02,2.00,1005.17
48432,SURIN,สุรินทร์,สุรินทร์,14.88333,103.50000,6.00,08-01-2019,01:00:00,000,29.93,9.10,97,0.0,24.5,24.1,987.99,19.90,1004.81
48433,SURIN AGROMET.,สุรินทร์ สกษ.,สุรินทร์,14.88333,103.45000,5.00,08-01-2019,01:00:00,180,29.77,8.50,96,3.7,24.7,24.0,988.58,22.60,1005.10
48434,CHOK CHAI,โชคชัย,นครราชสีมา,14.71889,102.16861,10.00,08-01-2019,01:00:00,000,29.70,0.00,86,0.0,26.4,23.9,983.44,2.90,1005.30
48435,PAKCHONG AGROMET.,ปากช่อง สกษ.,นครราชสีมา,14.64389,101.33194,10.00,08-01-2019,01:00:00,180,24.04,0.00,76,14.8,24.9,20.5,962.39,1.10,1005.87
48436,NANG RONG,นางรอง,บุรีรัมย์,14.58333,102.80000,10.00,08-01-2019,01:00:00,240,24.63,0.00,68,7.4,27.2,20.9,984.72,0.20,1005.23
48437,BURIRUM,บุรีรัมย์,บุรีรัมย์,15.22575,103.24808,8.00,08-01-2019,01:00:00,220,30.18,0.20,100,11.1,24.2,24.2,984.78,8.00,1005.76
48438,SAMUTSONGKRAM,สมุทรสงคราม,สมุทรสงคราม,13.40778,100.03222,10.00,08-01-2019,01:00:00,000,28.76,0.00,81,0.0,26.9,23.4,1006.85,0.01,1007.29
48439,KABIN BURI,กบินทร์บุรี,ปราจีนบุรี,13.98333,101.70722,6.00,08-01-2019,01:00:00,000,29.64,0.00,91,0.0,25.5,23.9,1005.28,0.80,1006.70
48440,SA KAEW,สระแก้ว,สระแก้ว,13.78889,102.03472,7.00,08-01-2019,01:00:00,000,28.49,0.00,88,0.0,25.3,23.2,1002.33,0.10,1007.30
48450,KANCHANA BURI,กาญจนบุรี,กาญจนบุรี,14.02250,99.53583,10.00,08-01-2019,01:00:00,000,25.55,0.00,72,0.0,27.0,21.4,1003.60,0.30,1006.89
48451,NAKHONPATHOM,นครปฐม,นครปฐม,14.01167,99.97000,10.00,08-01-2019,01:00:00,000,27.29,0.00,84,0.0,25.5,22.5,1005.75,0.70,1006.86
48453,BANG NA AGROMET.,กรุงเทพฯ บางนา สกษ.,กรุงเทพมหานคร,13.66639,100.60611,8.00,08-01-2019,01:00:00,230,27.55,0.01,76,3.7,27.4,22.7,1006.91,0.30,1007.21
48455,BANGKOK METROPOLIS,กรุงเทพมหานคร,กรุงเทพมหานคร,13.72639,100.56000,10.00,08-01-2019,01:00:00,000,29.37,0.00,83,0.0,26.8,23.7,1005.98,0.40,1006.47
48456,DON MUANG AIRPORT,สนามบินดอนเมือง,กรุงเทพมหานคร,13.91917,100.60500,10.00,08-01-2019,01:00:00,230,25.63,0.00,72,14.8,26.9,21.5,1005.93,0.40,1007.34
48458,CHACHOENGSAO,ฉะเชิงเทรา,ฉะเชิงเทรา,13.51556,101.45833,10.00,08-01-2019,01:00:00,000,27.25,0.00,91,0.0,24.0,22.5,1000.88,2.50,1008.98
48459,CHON BURI,ชลบุรี,ชลบุรี,13.36667,100.98333,8.00,08-01-2019,01:00:00,000,29.60,0.00,81,0.0,27.5,23.9,1006.80,2.30,1007.08
48460,KO SICHANG,เกาะสีชัง,ชลบุรี,13.16167,100.80194,10.00,08-01-2019,01:00:00,270,27.44,0.00,71,9.3,28.5,22.6,1003.29,0.00,1006.40
48461,PHATTHAYA,พัทยา,ชลบุรี,12.92000,100.86944,10.00,08-01-2019,01:00:00,250,27.47,0.00,75,5.6,27.5,22.6,1000.93,0.80,1007.86
48462,ARANYA PRATHET,อรัญประเทศ,สระแก้ว,13.70000,102.58333,7.00,08-01-2019,01:00:00,260,26.80,0.00,79,5.6,26.1,22.2,1001.36,0.01,1006.98
48464,RATCHA BURI,ราชบุรี,ราชบุรี,13.48931,99.79239,10.00,08-01-2019,01:00:00,000,29.52,0.00,93,0.0,25.0,23.8,1006.55,0.01,1007.83
48465,PHETCHA BURI,เพชรบุรี,เพชรบุรี,12.99944,100.06056,11.00,08-01-2019,01:00:00,140,27.57,0.00,74,5.6,27.7,22.7,1006.84,0.90,1007.27
48474,NONG PHLUB AGROMET.,หนองพลับ สกษ.,ประจวบคีรีขันธ์,12.58333,99.73333,8.00,08-01-2019,01:00:00,190,28.36,0.00,94,3.7,24.2,23.2,995.08,2.00,1007.45
48475,HUA HIN,หัวหิน,ประจวบคีรีขันธ์,12.58611,99.96250,10.00,08-01-2019,01:00:00,000,28.54,0.00,84,0.0,26.2,23.3,1006.70,0.50,1007.42
48477,SATTAHIP,สัตหีบ,ชลบุรี,12.68333,100.98333,8.00,08-01-2019,01:00:00,000,27.98,0.00,78,0.0,27.2,22.9,1005.34,10.30,1007.78
48478,RAYONG,ระยอง,ระยอง,12.63222,101.34361,8.00,08-01-2019,01:00:00,240,28.14,0.00,73,9.3,28.3,23.0,1007.66,12.60,1008.17
