WmoStationNumber,StationNameEnglish,StationNameThai,Province,Latitude,Longitude,MeanSeaLevelPressure,Date,Time,WindDirection,LandVisibility,WindSpeed,Rainfall,StationPressure,DewPoint,Rainfall24Hr,VaporPressure,AirTemperature,RelativeHumidity
48415,AYUTTHAYA,พระนครศรีอยุธยา,พระนครศรีอยุธยา,14.53472,100.72500,1010.29,09-30-2019,22:00:00,160,6.00,3.7,0.00,1009.19,26.2,0.00,34.08,29.6,82
48416,THA TUM,ท่าตูม,สุรินทร์,15.31667,103.68333,1011.08,09-30-2019,22:00:00,000,8.00,0.0,0.00,996.31,25.1,0.00,31.79,26.5,92
48417,NAKORNNAYOK,นครนายก,นครนายก,14.36222,101.39278,1012.46,09-30-2019,22:00:00,180,4.00,1.9,0.00,877.20,20.1,0.00,23.55,20.6,97
48418,BUA CHUM,บัวชุม  ,ลพบุรี,15.26667,101.18736,1010.42,09-30-2019,22:00:00,000,8.00,0.0,0.00,1004.54,25.9,0.00,33.49,28.2,88
48419,PATHUMTHANI,ปทุมธานี สกษ.,ปทุมธานี,14.10000,100.61667,1010.53,09-30-2019,22:00:00,000,5.00,0.0,0.00,1009.73,23.9,0.00,29.74,29.0,74
48420,Samut Prakarn,สมุทรปราการ สกษ.,สมุทรปราการ,13.51667,100.76167,1011.55,09-30-2019,22:00:00,210,6.00,5.6,0.00,1011.11,24.3,0.00,30.35,29.6,73
48421,THONG PHAPHUM,ทองผาภูมิ,กาญจนบุรี,14.74222,98.63639,1011.63,09-30-2019,22:00:00,000,5.00,0.0,0.00,1000.28,24.5,19.30,30.83,27.0,87
48425,SUPHAN BURI,สุพรรณบุรี,สุพรรณบุรี,14.47444,100.13889,1010.51,09-30-2019,22:00:00,170,7.00,3.7,0.00,1009.51,25.0,0.00,31.64,30.1,74
48426,LOP BURI,ลพบุรี,ลพบุรี,14.79972,100.64500,1010.30,09-30-2019,22:00:00,000,7.00,0.0,0.00,1008.49,25.2,0.00,32.01,29.3,79
48427,U THONG AGROMET.,อู่ทอง สกษ.,สุพรรณบุรี,14.30361,99.86472,1010.57,09-30-2019,22:00:00,000,8.00,0.0,0.00,1009.81,24.5,0.00,30.80,29.4,75
48429,SUVARNABHUMI AIRPORT,สนามบินสุวรรณภูมิ,สมุทรปราการ,13.68639,100.76750,1010.79,09-30-2019,22:00:00,210,8.00,11.1,0.00,1010.09,24.5,0.00,30.65,28.9,77
48430,PRACHIN BURI,ปราจีนบุรี,ปราจีนบุรี,14.05842,101.36930,1010.80,09-30-2019,22:00:00,000,7.00,0.0,3.20,1010.09,24.9,3.20,31.57,28.8,80
48431,NAKHON RATCHASIMA,นครราชสีมา,นครราชสีมา,14.96830,102.08603,1010.60,09-30-2019,22:00:00,180,7.00,3.7,0.00,989.47,23.1,0.00,28.33,28.4,73
48432,SURIN,สุรินทร์,สุรินทร์,14.88333,103.50000,1010.84,09-30-2019,22:00:00,000,7.00,0.0,0.00,994.05,24.1,0.00,29.99,26.7,86
48433,SURIN AGROMET.,สุรินทร์ สกษ.,สุรินทร์,14.88333,103.45000,1011.49,09-30-2019,22:00:00,000,6.00,0.0,0.00,994.88,23.1,0.00,28.22,25.0,89
48434,CHOK CHAI,โชคชัย,นครราชสีมา,14.71889,102.16861,1010.82,09-30-2019,22:00:00,000,8.00,0.0,0.00,988.92,23.2,0.00,28.35,27.4,78
48435,PAKCHONG AGROMET.,ปากช่อง สกษ.,นครราชสีมา,14.64389,101.33194,1010.42,09-30-2019,22:00:00,120,8.00,7.4,0.00,966.79,22.2,0.00,26.78,25.2,84
48436,NANG RONG,นางรอง,บุรีรัมย์,14.58333,102.80000,1010.90,09-30-2019,22:00:00,000,7.00,0.0,0.00,990.15,23.3,0.00,28.67,25.4,88
48437,BURIRUM,บุรีรัมย์,บุรีรัมย์,15.22575,103.24808,1012.24,09-30-2019,22:00:00,170,6.00,3.7,0.00,991.12,23.5,0.00,28.88,24.2,96
48438,SAMUTSONGKRAM,สมุทรสงคราม,สมุทรสงคราม,13.40778,100.03222,1010.68,09-30-2019,22:00:00,"{'@attributes': {'Unit': 'degree'}, '0': '   '}",9.00,0.0,0.00,1010.25,25.7,0.00,33.00,30.2,77
48439,KABIN BURI,กบินทร์บุรี,ปราจีนบุรี,13.98333,101.70722,1010.79,09-30-2019,22:00:00,000,6.00,0.0,0.00,1009.38,25.4,0.00,32.42,28.8,82
48440,SA KAEW,สระแก้ว,สระแก้ว,13.78889,102.03472,1011.10,09-30-2019,22:00:00,000,7.00,0.0,0.00,1006.16,26.2,0.00,34.07,28.2,89
48450,KANCHANA BURI,กาญจนบุรี,กาญจนบุรี,14.02250,99.53583,1010.60,09-30-2019,22:00:00,250,7.00,5.6,0.00,1007.32,23.8,0.00,29.52,29.6,71
48451,NAKHONPATHOM,นครปฐม,นครปฐม,14.01167,99.97000,1010.69,09-30-2019,22:00:00,000,10.00,0.0,0.00,1009.59,26.2,0.00,34.07,28.9,86
48453,BANG NA AGROMET.,กรุงเทพฯ บางนา สกษ.,กรุงเทพมหานคร,13.66639,100.60611,1010.93,09-30-2019,22:00:00,190,10.00,11.1,0.00,1010.63,26.5,0.70,34.64,30.0,82
48455,BANGKOK METROPOLIS,กรุงเทพมหานคร,กรุงเทพมหานคร,13.72639,100.56000,1010.24,09-30-2019,22:00:00,120,7.00,1.9,0.30,1009.75,25.7,1.60,32.96,28.5,85
48456,DON MUANG AIRPORT,สนามบินดอนเมือง,กรุงเทพมหานคร,13.91917,100.60500,1010.45,09-30-2019,22:00:00,180,8.00,9.3,4.40,1009.04,25.3,13.80,32.22,28.7,82
48458,CHACHOENGSAO,ฉะเชิงเทรา,ฉะเชิงเทรา,13.51556,101.45833,1012.49,09-30-2019,22:00:00,180,10.00,3.7,0.00,1004.46,24.1,0.00,30.07,27.6,81
48459,CHON BURI,ชลบุรี,ชลบุรี,13.36667,100.98333,1010.54,09-30-2019,22:00:00,150,4.00,5.6,0.00,1010.26,25.4,0.00,32.42,29.5,79
48460,KO SICHANG,เกาะสีชัง,ชลบุรี,13.16167,100.80194,1010.58,09-30-2019,22:00:00,270,10.00,5.6,0.00,1007.46,25.5,0.00,32.63,28.9,82
48461,PHATTHAYA,พัทยา,ชลบุรี,12.92000,100.86944,1010.79,09-30-2019,22:00:00,000,7.00,0.0,0.00,1003.85,25.3,0.00,32.27,28.3,84
48462,ARANYA PRATHET,อรัญประเทศ,สระแก้ว,13.70000,102.58333,1011.37,09-30-2019,22:00:00,000,7.00,0.0,0.00,1005.79,25.2,0.00,31.98,29.0,80
48464,RATCHA BURI,ราชบุรี,ราชบุรี,13.48931,99.79239,1011.11,09-30-2019,22:00:00,140,5.00,3.7,0.00,1009.85,25.8,0.00,33.12,28.3,86
48465,PHETCHA BURI,เพชรบุรี,เพชรบุรี,12.99944,100.06056,1010.57,09-30-2019,22:00:00,200,11.00,24.1,0.00,1010.14,25.8,0.00,33.17,30.0,78
48474,NONG PHLUB AGROMET.,หนองพลับ สกษ.,ประจวบคีรีขันธ์,12.58333,99.73333,1011.33,09-30-2019,22:00:00,000,8.00,0.0,0.00,999.01,24.0,0.00,29.89,26.5,86
48475,HUA HIN,หัวหิน,ประจวบคีรีขันธ์,12.58611,99.96250,1011.00,09-30-2019,22:00:00,210,10.00,3.7,0.00,1010.28,25.4,0.00,32.35,28.2,85
48477,SATTAHIP,สัตหีบ,ชลบุรี,12.68333,100.98333,1010.75,09-30-2019,22:00:00,190,5.00,7.4,0.00,1008.32,24.6,0.00,30.87,28.3,80
48478,RAYONG,ระยอง,ระยอง,12.63222,101.34361,1011.09,09-30-2019,22:00:00,250,7.00,9.3,0.00,1010.57,25.3,0.00,32.22,29.4,79
48479,HUAI PONG AGROMET.,ห้วยโป่ง สกษ.,ระยอง,12.73333,101.13333,1011.04,09-30-2019,22:00:00,000,6.00,0.0,0.00,1005.89,24.5,0.10,30.70,28.5,79
48480,CHANTHA BURI,จันทบุรี,จันทบุรี,12.61667,102.11333,1011.61,09-30-2019,22:00:00,000,6.00,0.0,1.60,1011.20,25.2,1.60,32.10,26.8,91
48481,PHLIU  AGROMET.,พลิ้ว สกษ.,จันทบุรี,12.50861,102.17305,1011.93,09-30-2019,22:00:00,000,8.00,0.0,0.20,1009.14,25.8,4.30,33.19,26.5,96
48500,PRACHUAP KHIRIKHAN,ประจวบคีรีขันธ์,ประจวบคีรีขันธ์,11.83333,99.83333,1011.71,09-30-2019,22:00:00,230,6.00,3.7,0.00,1010.92,24.0,0.00,29.88,27.5,81
48501,TRAD,ตราด,ตราด,11.76667,102.88333,1011.56,09-30-2019,22:00:00,060,6.00,3.7,0.30,1011.10,25.4,15.50,32.51,26.3,95
48517,CHUMPHON,ชุมพร,ชุมพร,10.49875,99.18847,1011.95,09-30-2019,22:00:00,000,8.00,0.0,0.00,1011.27,24.8,0.00,31.22,27.2,87
48520,SAWI AGROMET.,สวี สกษ.,ชุมพร,10.33333,99.10000,1011.84,09-30-2019,22:00:00,000,8.00,0.0,0.00,1010.30,24.6,0.00,30.84,26.0,92
48532,RANONG,ระนอง,ระนอง,9.98333,98.61667,1012.38,09-30-2019,22:00:00,050,10.00,3.7,0.00,1011.46,24.2,3.60,30.28,25.7,92
48550,KO SAMUI,เกาะสมุย,สุราษฎร์ธานี,9.46667,100.05000,1011.99,09-30-2019,22:00:00,100,10.00,5.6,0.00,1011.31,25.6,0.00,32.79,29.4,80
48551,SURAT THANI,สุราษฎร์ธานี,สุราษฎร์ธานี,9.13556,99.15194,1012.34,09-30-2019,22:00:00,260,9.00,3.7,0.00,1011.53,23.0,0.00,28.10,24.2,93
48552,NAKHONSI THAMMARAT,นครศรีธรรมราช,นครศรีธรรมราช,8.53778,99.96389,1012.23,09-30-2019,22:00:00,000,10.00,0.0,0.00,1011.59,24.2,0.00,30.17,25.5,93
48554,NAKHONSI THAMMARAT AGROMET.,นครศรีธรรมราช สกษ.,นครศรีธรรมราช,8.35931,100.00000,1012.39,09-30-2019,22:00:00,000,10.00,0.0,0.00,1011.98,24.7,0.00,31.17,25.6,95
48555,SURAT THANI AGROMET.,สุราษฎร์ธานี สกษ.,สุราษฎร์ธานี,9.10000,99.63333,1014.26,09-30-2019,22:00:00,000,5.00,0.0,0.00,1009.99,24.3,1.20,30.32,25.0,96
48556,PHRA SANG,พระแสง สอท.,สุราษฎร์ธานี,8.57022,99.25825,1011.44,09-30-2019,22:00:00,000,8.00,0.0,0.20,1009.80,22.8,27.40,27.66,23.5,96
48557,CHAWANG,ฉวาง,นครศรีธรรมราช,8.43194,99.51194,1011.75,09-30-2019,22:00:00,000,7.00,0.0,0.00,1008.22,22.6,53.40,27.41,23.2,96
48560,PHATTHALUNG AGROMET.,พัทลุง สกษ.,พัทลุง,7.58333,100.16667,1012.01,09-30-2019,22:00:00,000,8.00,0.0,0.00,1010.64,24.2,1.40,30.15,25.2,94
48561,TAKUA PA,ตะกั่วป่า,พังงา,8.68417,98.25222,1011.40,09-30-2019,22:00:00,000,10.00,0.0,0.00,1010.51,25.1,0.00,31.82,26.8,90
48563,KRABI,กระบี่,กระบี่,8.10361,98.97528,1012.38,09-30-2019,22:00:00,000,10.00,0.0,0.00,1008.77,22.9,1.20,27.83,23.6,96
48564,PHUKET,ภูเก็ต,ภูเก็ต,7.88333,98.40000,1011.99,09-30-2019,22:00:00,000,10.00,0.0,0.00,1011.56,24.6,0.00,30.97,27.5,84
48565,PHUKET AIRPORT,ภูเก็ต (ศูนย์ฯ),ภูเก็ต,8.14500,98.31444,1011.64,09-30-2019,22:00:00,000,9.00,0.0,0.00,1010.64,25.0,0.00,31.71,26.6,91
48566,KO LANTA,เกาะลันตา,กระบี่,7.53333,99.05000,1011.91,09-30-2019,22:00:00,000,10.00,0.0,0.00,1011.09,24.4,0.40,30.57,26.0,91
48567,TRANG AIRPORT,ตรัง,ตรัง,7.51667,99.61667,1012.49,09-30-2019,22:00:00,000,10.00,0.0,0.00,1010.65,23.4,92.90,28.78,24.0,97
48568,SONGKHLA,สงขลา,สงขลา,7.18211,100.60769,1012.41,09-30-2019,22:00:00,240,10.00,1.9,0.00,1011.66,23.0,0.00,28.03,26.5,81
48569,HAT YAI AIRPORT,หาดใหญ่,สงขลา,6.91667,100.43333,1012.69,09-30-2019,22:00:00,000,10.00,0.0,0.00,1008.63,23.6,35.80,29.12,23.9,98
48570,SATUN,สตูล,สตูล,6.65000,100.08333,1012.48,09-30-2019,22:00:00,000,10.00,0.0,0.00,1011.79,23.8,37.20,29.42,24.8,94
48571,KHO HONG AGROMET.,คอหงษ์ สกษ.,สงขลา,7.00000,100.50000,1012.10,09-30-2019,22:00:00,000,10.00,0.0,0.00,1010.98,24.1,11.00,29.95,24.8,96
48574,SA DAO,สะเดา,สงขลา,6.79806,100.39056,1012.84,09-30-2019,22:00:00,000,10.00,0.0,0.00,1009.88,23.8,6.10,29.49,24.4,97
48580,PATTANI AIRPORT,ปัตตานี,ปัตตานี,6.78333,101.15000,1012.13,09-30-2019,22:00:00,000,8.00,0.0,0.00,1011.43,23.2,0.00,28.40,25.1,89
48581,YALA AGROMET.,ยะลา สกษ.,ยะลา,6.51667,101.28333,1013.25,09-30-2019,22:00:00,000,6.00,0.0,0.00,1009.07,23.8,4.10,29.41,24.5,96
48583,NARATHIWAT,นราธิวาส,นราธิวาส,6.41667,101.81667,1012.23,09-30-2019,22:00:00,240,10.00,5.6,0.00,1011.64,21.8,0.00,26.06,27.0,73
