WmoStationNumber,StationNameEnglish,StationNameThai,Province,Latitude,Longitude,MinimumTemperature,Date,Time,WindSpeed,RelativeHumidity,AirTemperature,DewPoint,WindDirection,LandVisibility,VaporPressure,Rainfall24Hr,MeanSeaLevelPressure,Rainfall,StationPressure
48300,MAE HONG SON,แม่ฮ่องสอน,แม่ฮ่องสอน,19.29897,97.97578,25.2,08-30-2019,07:00:00,0.0,93,26.2,25.0,000,8.00,31.76,0.01,1003.02,0.01,972.25
48302,DOI ANG KANG,ดอยอ่างขาง,เชียงใหม่,19.93139,99.04833,19.5,08-30-2019,07:00:00,9.3,99,19.7,19.5,080,8.00,22.71,0.00,1001.01,0.00,841.15
48303,CHIANG RAI,เชียงราย,เชียงราย,19.96139,99.88139,25.6,08-30-2019,07:00:00,0.0,94,26.0,25.0,000,10.00,31.65,0.00,1000.63,0.00,957.34
48304,CHAING RAI AGROMET.,เชียงราย สกษ.,เชียงราย,19.87083,99.78278,23.6,08-30-2019,07:00:00,0.0,94,24.8,23.8,000,15.00,29.42,0.00,1000.73,0.00,955.37
48307,THUNG CHANG,ทุ่งช้าง,น่าน,19.41194,100.88353,23.0,08-30-2019,07:00:00,0.0,100,23.5,23.5,000,8.00,28.94,8.20,1002.90,8.20,965.15
48310,PHAYAO,พะเยา,พะเยา,19.13333,99.90000,24.5,08-30-2019,07:00:00,0.0,95,25.9,25.0,000,12.00,31.74,1.30,1000.70,1.30,955.95
48315,THA WANGPHA,ท่าวังผา,น่าน,19.11056,100.80250,24.1,08-30-2019,07:00:00,5.6,94,24.5,23.5,170,6.00,28.89,2.50,1001.94,1.50,975.22
48324,THOEN,เถิน,ลำปาง,17.63661,99.24475,25.3,08-30-2019,07:00:00,3.7,95,25.5,24.6,020,12.00,30.98,0.00,1002.20,0.00,980.49
48325,MAE SARIANG,แม่สะเรียง,แม่ฮ่องสอน,18.16667,97.93333,24.2,08-30-2019,07:00:00,0.0,92,26.0,24.6,000,6.00,30.84,0.00,1003.61,0.00,979.57
48327,CHIANG MAI,เชียงใหม่,เชียงใหม่,18.79000,98.97694,25.7,08-30-2019,07:00:00,0.0,92,26.0,24.6,000,10.00,30.84,0.40,1002.21,0.40,967.86
48328,LAMPANG,ลำปาง,ลำปาง,18.28333,99.51667,25.0,08-30-2019,07:00:00,0.0,94,25.3,24.3,000,8.00,30.34,2.80,1001.53,1.60,974.06
48329,LAMPHUN,ลำพูน,ลำพูน,18.56722,99.03389,25.8,08-30-2019,07:00:00,0.0,93,26.0,24.8,000,10.00,31.38,0.00,1002.05,0.00,968.64
