WmoStationNumber,StationNameEnglish,StationNameThai,Province,Latitude,Longitude,VaporPressure,Date,Time,Rainfall24Hr,WindDirection,StationPressure,AirTemperature,Rainfall,RelativeHumidity,LandVisibility,MinimumTemperature,WindSpeed,MeanSeaLevelPressure,DewPoint
48300,MAE HONG SON,แม่ฮ่องสอน,แม่ฮ่องสอน,19.29897,97.97578,30.98,08-14-2019,07:00:00,0.80,000,977.25,25.5,0.60,95,5.00,24.1,0.0,1008.25,24.6
48302,DOI ANG KANG,ดอยอ่างขาง,เชียงใหม่,19.93139,99.04833,21.41,08-14-2019,07:00:00,1.20,300,844.71,18.6,1.20,100,.50,18.4,37.0,1005.89,18.6
48303,CHIANG RAI,เชียงราย,เชียงราย,19.96139,99.88139,31.00,08-14-2019,07:00:00,1.40,000,963.21,25.8,0.30,93,7.00,25.3,0.0,1006.80,24.6
48304,CHAING RAI AGROMET.,เชียงราย สกษ.,เชียงราย,19.87083,99.78278,29.50,08-14-2019,07:00:00,1.00,000,961.42,26.0,0.00,88,12.00,23.5,0.0,1006.88,23.8
48307,THUNG CHANG,ทุ่งช้าง,น่าน,19.41194,100.88353,31.66,08-14-2019,07:00:00,2.90,000,970.15,25.0,0.60,100,6.00,24.5,0.0,1007.90,25.0
48310,PHAYAO,พะเยา,พะเยา,19.13333,99.90000,29.26,08-14-2019,07:00:00,0.10,000,962.29,25.0,0.00,92,10.00,23.8,0.0,1007.48,23.7
48315,THA WANGPHA,ท่าวังผา,น่าน,19.11056,100.80250,30.92,08-14-2019,07:00:00,0.50,000,981.29,25.9,0.00,93,7.00,25.5,0.0,1008.06,24.6
48324,THOEN,เถิน,ลำปาง,17.63661,99.24475,30.15,08-14-2019,07:00:00,0.00,120,985.95,25.2,0.00,94,12.00,24.8,3.7,1007.80,24.2
48325,MAE SARIANG,แม่สะเรียง,แม่ฮ่องสอน,18.16667,97.93333,30.60,08-14-2019,07:00:00,9.30,000,984.57,25.3,2.20,95,4.00,23.5,0.0,1008.79,24.4
48327,CHIANG MAI,เชียงใหม่,เชียงใหม่,18.79000,98.97694,29.41,08-14-2019,07:00:00,0.60,000,972.88,26.1,0.00,87,10.00,25.6,0.0,1007.40,23.8
48328,LAMPANG,ลำปาง,ลำปาง,18.28333,99.51667,30.25,08-14-2019,07:00:00,0.00,000,981.09,25.4,0.00,93,10.00,24.7,0.0,1008.75,24.2
48329,LAMPHUN,ลำพูน,ลำพูน,18.56722,99.03389,30.17,08-14-2019,07:00:00,0.00,000,973.72,25.5,0.00,93,10.00,25.2,0.0,1007.36,24.2
48330,PHRAE,แพร่,แพร่,18.16667,100.16667,30.32,08-14-2019,07:00:00,2.00,180,989.02,25.0,0.00,96,10.00,24.4,1.9,1007.62,24.3
48331,NAN,น่าน,น่าน,18.77972,100.77778,30.17,08-14-2019,07:00:00,0.10,000,984.64,25.5,0.00,93,10.00,25.1,0.0,1007.54,24.2
48333,NAN AGROMET.,น่าน สกษ.,น่าน,18.86667,100.75000,29.97,08-14-2019,07:00:00,0.00,000,977.64,25.1,0.00,94,7.00,25.0,0.0,1007.66,24.1
48334,LAMPANG AGROMET.,ลำปาง สกษ.,ลำปาง,18.31667,99.28333,29.04,08-14-2019,07:00:00,0.00,000,971.90,24.0,0.00,97,6.00,24.0,0.0,1007.67,23.6
48350,LOEI AGROMET.,เลย สกษ.,เลย,17.40000,101.73333,29.79,08-14-2019,07:00:00,0.60,000,976.64,25.0,0.00,94,12.00,24.9,0.0,1006.46,24.0
48351,UTTARADIT,อุตรดิตถ์,อุตรดิตถ์,17.61667,100.10000,30.32,08-14-2019,07:00:00,2.70,000,1000.69,25.0,0.00,96,6.00,24.9,0.0,1008.05,24.3
48352,NONG KHAI,หนองคาย,หนองคาย,17.86717,102.73303,33.59,08-14-2019,07:00:00,2.60,000,986.20,26.7,1.40,96,15.00,26.4,0.0,1006.09,26.0
48353,LOEI,เลย,เลย,17.45000,101.73333,28.59,08-14-2019,07:00:00,0.40,350,978.10,25.5,0.00,88,10.00,25.0,5.6,1006.85,23.3
48354,UDON THANI,อุดรธานี,อุดรธานี,17.38333,102.80000,31.05,08-14-2019,07:00:00,1.10,000,984.00,26.4,0.30,90,10.00,26.1,0.0,1004.14,24.7
48355,SAKON NAKHON AGROMET.,สกลนคร สกษ.,สกลนคร,17.12503,104.06100,29.23,08-14-2019,07:00:00,3.80,210,984.57,26.0,0.00,87,10.00,25.9,7.4,1006.34,23.7
48356,SAKON NAKHON,สกลนคร,สกลนคร,17.15000,104.13333,30.43,08-14-2019,07:00:00,4.20,220,986.81,26.5,0.00,88,12.00,25.8,3.7,1006.30,24.3
48357,NAKHON PHANOM,นครพนม,นครพนม,17.41083,104.78250,32.23,08-14-2019,07:00:00,15.90,000,990.48,26.3,0.00,94,8.00,25.4,0.0,1007.26,25.3
