WmoStationNumber,StationNameEnglish,StationNameThai,Province,Latitude,Longitude,VaporPressure,Date,Time,Rainfall,WindDirection,DewPoint,AirTemperature,Rainfall24Hr,LandVisibility,MeanSeaLevelPressure,StationPressure,RelativeHumidity,WindSpeed
48300,MAE HONG SON,แม่ฮ่องสอน,แม่ฮ่องสอน,19.29897,97.97578,28.11,10-16-2019,01:00:00,0.00,000,23.0,24.5,0.00,8.00,1014.32,983.02,91,0.0
48302,DOI ANG KANG,ดอยอ่างขาง,เชียงใหม่,19.93139,99.04833,19.69,10-16-2019,01:00:00,0.00,140,17.3,17.6,5.10,8.00,1013.47,850.58,98,5.6
48303,CHIANG RAI,เชียงราย,เชียงราย,19.96139,99.88139,26.25,10-16-2019,01:00:00,0.00,000,21.9,23.7,0.00,10.00,1015.39,971.13,90,0.0
48304,CHAING RAI AGROMET.,เชียงราย สกษ.,เชียงราย,19.87083,99.78278,24.89,10-16-2019,01:00:00,0.00,000,21.0,22.4,0.00,12.00,1015.35,968.97,92,0.0
48307,THUNG CHANG,ทุ่งช้าง,น่าน,19.41194,100.88353,27.74,10-16-2019,01:00:00,0.00,000,22.8,22.8,13.80,6.00,1015.10,976.80,100,0.0
48310,PHAYAO,พะเยา,พะเยา,19.13333,99.90000,26.17,10-16-2019,01:00:00,0.00,000,21.8,22.3,36.70,10.00,1016.16,970.17,97,0.0
48315,THA WANGPHA,ท่าวังผา,น่าน,19.11056,100.80250,27.66,10-16-2019,01:00:00,0.00,000,22.8,23.5,0.80,7.00,1016.24,989.04,96,0.0
48324,THOEN,เถิน,ลำปาง,17.63661,99.24475,27.66,10-16-2019,01:00:00,0.00,000,22.7,23.2,11.00,7.00,1014.20,992.06,97,0.0
48325,MAE SARIANG,แม่สะเรียง,แม่ฮ่องสอน,18.16667,97.93333,26.83,10-16-2019,01:00:00,0.00,000,22.2,23.0,0.30,6.00,1014.40,989.85,96,0.0
48327,CHIANG MAI,เชียงใหม่,เชียงใหม่,18.79000,98.97694,27.86,10-16-2019,01:00:00,0.00,000,22.9,24.5,0.01,10.00,1015.15,980.18,91,0.0
48328,LAMPANG,ลำปาง,ลำปาง,18.28333,99.51667,27.66,10-16-2019,01:00:00,0.00,000,22.8,23.5,1.00,10.00,1015.94,987.92,96,0.0
48329,LAMPHUN,ลำพูน,ลำพูน,18.56722,99.03389,27.07,10-16-2019,01:00:00,0.00,000,22.4,23.0,5.00,7.00,1015.09,980.91,96,0.0
48330,PHRAE,แพร่,แพร่,18.16667,100.16667,27.34,10-16-2019,01:00:00,0.00,000,22.6,23.9,0.00,5.00,1014.37,995.57,92,0.0
48331,NAN,น่าน,น่าน,18.77972,100.77778,26.99,10-16-2019,01:00:00,0.00,000,22.3,23.1,8.40,10.00,1015.20,991.94,96,0.0
48333,NAN AGROMET.,น่าน สกษ.,น่าน,18.86667,100.75000,25.04,10-16-2019,01:00:00,0.00,000,21.1,22.5,29.30,6.00,1015.72,985.19,92,0.0
48334,LAMPANG AGROMET.,ลำปาง สกษ.,ลำปาง,18.31667,99.28333,27.66,10-16-2019,01:00:00,0.00,000,22.8,23.5,11.20,7.00,1015.01,978.91,96,0.0
48350,LOEI AGROMET.,เลย สกษ.,เลย,17.40000,101.73333,26.58,10-16-2019,01:00:00,0.00,000,22.1,22.7,4.90,10.00,1014.60,984.31,96,0.0
48351,UTTARADIT,อุตรดิตถ์,อุตรดิตถ์,17.61667,100.10000,28.01,10-16-2019,01:00:00,0.00,000,23.0,26.2,3.70,8.00,1013.72,1006.35,82,0.0
48352,NONG KHAI,หนองคาย,หนองคาย,17.86717,102.73303,26.02,10-16-2019,01:00:00,0.00,000,21.7,25.5,0.00,5.00,1014.19,994.06,80,0.0
48354,UDON THANI,อุดรธานี,อุดรธานี,17.38333,102.80000,26.35,10-16-2019,01:00:00,0.00,000,22.0,25.1,0.00,12.00,1014.51,994.08,83,0.0
48355,SAKON NAKHON AGROMET.,สกลนคร สกษ.,สกลนคร,17.12503,104.06100,26.58,10-16-2019,01:00:00,0.00,000,22.1,23.0,11.50,10.00,1015.39,993.20,95,0.0
48356,SAKON NAKHON,สกลนคร,สกลนคร,17.15000,104.13333,26.11,10-16-2019,01:00:00,0.00,000,21.8,25.4,2.00,10.00,1014.03,994.32,81,0.0
48357,NAKHON PHANOM,นครพนม,นครพนม,17.41083,104.78250,25.43,10-16-2019,01:00:00,0.00,000,21.4,25.0,0.00,11.00,1015.01,998.03,80,0.0
48358,NAKHON PHANOM AGROMET.,นครพนม สกษ.,นครพนม,17.44306,104.77361,25.92,10-16-2019,01:00:00,0.00,000,21.7,23.5,1.00,10.00,1014.90,997.16,90,0.0
48360,NONG BUA LAM PHU,หนองบัวลำภู,หนองบัวลำภู,17.23250,102.42944,28.98,10-16-2019,01:00:00,0.00,100,23.5,26.3,0.00,9.00,1013.98,987.98,85,3.7
48372,SUKHOTHAI*,สุโขทัย,สุโขทัย,17.10611,99.80000,31.05,10-16-2019,01:00:00,0.00,310,24.7,26.4,0.00,10.00,1013.51,1007.67,90,3.7
48373,SI SAMRONG AGROMET.,ศรีสำโรง สกษ.,สุโขทัย,17.16136,99.86167,31.79,10-16-2019,01:00:00,0.00,000,25.1,26.5,0.00,6.00,1013.62,1007.38,92,0.0
48374,LOM SAK,หล่มสัก,เพชรบูรณ์,16.77361,101.24944,26.96,10-16-2019,01:00:00,0.00,000,22.3,25.6,0.00,10.00,1014.64,998.01,82,0.0
48375,MAE SOT,แม่สอด,ตาก,16.65917,98.55083,27.44,10-16-2019,01:00:00,0.00,160,22.6,24.7,0.00,10.00,1011.73,989.14,88,5.6
48376,TAK,ตาก,ตาก,16.87833,99.14333,30.18,10-16-2019,01:00:00,0.00,000,24.2,26.8,0.00,7.00,1014.07,999.58,86,0.0
48378,PHITSANULOK,พิษณุโลก,พิษณุโลก,16.79481,100.27930,26.80,10-16-2019,01:00:00,0.00,060,22.2,28.0,0.00,10.00,1013.42,1008.17,71,5.6
48379,PHETCHABUN,เพชรบูรณ์,เพชรบูรณ์,16.43333,101.15000,26.98,10-16-2019,01:00:00,0.00,000,22.3,26.2,0.00,10.00,1012.02,998.72,79,0.0
48380,KAMPHAENG PHET,กำแพงเพชร,กำแพงเพชร,16.48681,99.52697,28.82,10-16-2019,01:00:00,0.00,010,23.4,26.5,7.50,11.00,1013.14,1003.74,83,3.7
48381,KHON KAEN,ขอนแก่น,ขอนแก่น,16.46111,102.78972,27.25,10-16-2019,01:00:00,0.00,010,22.5,24.0,12.20,9.00,1013.88,991.84,91,9.3
48382,MAHASARAKHAM,มหาสารคาม,มหาสารคาม,16.24722,103.06805,29.26,10-16-2019,01:00:00,0.00,000,23.7,25.0,1.10,10.00,1014.27,996.52,92,0.0
48383,MUKDAHAN,มุกดาหาร,มุกดาหาร,16.54139,104.72889,27.14,10-16-2019,01:00:00,0.00,030,22.4,26.0,0.00,10.00,1012.96,996.98,81,3.7
48384,THA PHRA AGROMET.,ท่าพระ สกษ.,ขอนแก่น,16.33333,102.81667,27.09,10-16-2019,01:00:00,0.00,000,22.4,24.2,4.50,8.00,1013.07,993.90,90,0.0
48385,UMPHANG,อุ้มผาง,ตาก,16.02472,98.86444,24.50,10-16-2019,01:00:00,0.00,000,20.8,22.0,0.00,6.00,1014.48,962.26,93,0.0
48386,PICHIT AGROMET.,พิจิตร สกษ.,พิจิตร,16.43806,100.29250,31.88,10-16-2019,01:00:00,0.00,000,25.1,26.4,0.00,7.00,1012.66,1008.68,93,0.0
48387,DOI MU SOE AGROMET.,ดอยมูเซอร์ สกษ.,ตาก,16.75000,98.93333,23.23,10-16-2019,01:00:00,16.60,020,19.9,21.0,21.30,5.00,1014.24,918.31,93,11.1
48390,KALASIN,กาฬสินธุ์,กาฬสินธุ์,16.33250,103.58833,27.44,10-16-2019,01:00:00,0.00,000,22.6,24.7,1.60,8.00,1013.78,997.57,88,0.0
48400,NAKHON SAWAN,นครสวรรค์ ,นครสวรรค์,15.67183,100.13236,29.23,10-16-2019,01:00:00,0.00,000,23.7,27.3,0.00,6.00,1013.09,1009.03,81,0.0
48401,TAKFA AGROMET.,ตากฟ้า สกษ.,นครสวรรค์,15.34944,100.53028,26.17,10-16-2019,01:00:00,0.00,060,21.8,27.5,0.00,7.00,1013.56,1002.84,71,9.3
48402,CHAINAT AGROMET.,ชัยนาท สกษ.,ชัยนาท,15.15000,100.18333,27.36,10-16-2019,01:00:00,0.00,000,22.6,27.0,0.00,9.00,1013.16,1011.22,77,0.0
48403,CHAIYAPHUM,ชัยภูมิ,ชัยภูมิ,15.80000,102.03333,25.19,10-16-2019,01:00:00,0.00,000,21.2,25.9,1.90,10.00,1013.27,992.20,75,0.0
48404,ROI ET AGROMET.,ร้อยเอ็ด สกษ.,ร้อยเอ็ด,16.07322,103.60844,26.43,10-16-2019,01:00:00,0.00,050,22.0,25.0,0.00,10.00,1013.16,995.27,83,11.1
48405,ROI ET,ร้อยเอ็ด,ร้อยเอ็ด,16.02000,103.74389,26.78,10-16-2019,01:00:00,0.00,000,22.2,25.2,0.00,10.00,1013.22,996.86,84,0.0
48407,UBON RATCHATHANI,อุบลราชธานี (ศูนย์ฯ),อุบลราชธานี,15.25000,104.86667,26.78,10-16-2019,01:00:00,0.00,020,22.2,25.2,0.10,10.00,1012.84,998.64,84,3.7
48408,UBON RATCHATHANI AGROMET.,อุบลราชธานี สกษ.,อุบลราชธานี,15.23914,105.02350,27.10,10-16-2019,01:00:00,0.00,000,22.4,24.8,22.00,9.00,1013.78,998.74,87,0.0
