WmoStationNumber,StationNameEnglish,StationNameThai,Province,Latitude,Longitude,VaporPressure,Date,Time,Rainfall,WindDirection,DewPoint,AirTemperature,Rainfall24Hr,LandVisibility,MeanSeaLevelPressure,StationPressure,RelativeHumidity,WindSpeed
48409,SI SAKET AGROMET.,ศรีสะเกษ,ศรีสะเกษ,15.00000,104.05000,28.59,10-16-2019,01:00:00,0.00,060,23.3,25.5,0.00,7.00,1013.45,998.61,88,11.1
48410,UTHAITHANI,อุทัยธานี,อุทัยธานี,15.37417,100.03889,28.30,10-16-2019,01:00:00,0.00,"{'0': '   ', '@attributes': {'Unit': 'degree'}}",23.1,28.1,0.00,10.00,1012.26,1009.23,74,0.0
48413,WICHIAN BURI,วิเชียรบุรี,เพชรบูรณ์,15.65700,101.10800,26.95,10-16-2019,01:00:00,0.00,000,22.3,27.5,0.00,7.00,1012.63,1004.65,73,0.0
48415,AYUTTHAYA,พระนครศรีอยุธยา,พระนครศรีอยุธยา,14.53472,100.72500,32.02,10-16-2019,01:00:00,0.00,030,25.2,26.9,0.00,8.00,1012.81,1011.70,90,11.1
48416,THA TUM,ท่าตูม,สุรินทร์,15.31667,103.68333,30.02,10-16-2019,01:00:00,0.00,090,24.1,27.0,0.00,8.00,1011.11,996.36,84,3.7
48417,NAKORNNAYOK,นครนายก,นครนายก,14.36222,101.39278,22.15,10-16-2019,01:00:00,0.00,050,19.1,19.3,0.00,8.00,1013.88,877.89,99,7.4
48418,BUA CHUM,บัวชุม  ,ลพบุรี,15.26667,101.18736,24.79,10-16-2019,01:00:00,0.00,070,21.0,27.0,0.00,10.00,1013.00,1007.08,70,7.4
48419,PATHUMTHANI,ปทุมธานี สกษ.,ปทุมธานี,14.10000,100.61667,31.38,10-16-2019,01:00:00,0.00,000,24.8,27.0,0.00,7.00,1012.01,1011.20,88,0.0
48420,Samut Prakarn,สมุทรปราการ สกษ.,สมุทรปราการ,13.51667,100.76167,29.19,10-16-2019,01:00:00,0.00,120,23.6,28.0,0.00,6.00,1011.71,1011.26,77,7.4
48421,THONG PHAPHUM,ทองผาภูมิ,กาญจนบุรี,14.74222,98.63639,28.28,10-16-2019,01:00:00,0.00,000,23.1,24.3,0.00,4.00,1012.96,1001.49,93,0.0
48425,SUPHAN BURI,สุพรรณบุรี,สุพรรณบุรี,14.47444,100.13889,30.07,10-16-2019,01:00:00,0.00,030,24.1,27.6,0.00,6.00,1012.49,1011.48,81,3.7
48426,LOP BURI,ลพบุรี,ลพบุรี,14.79972,100.64500,26.54,10-16-2019,01:00:00,0.00,030,22.1,28.0,0.00,7.00,1012.53,1010.71,70,3.7
48427,U THONG AGROMET.,อู่ทอง สกษ.,สุพรรณบุรี,14.30361,99.86472,30.62,10-16-2019,01:00:00,0.00,000,24.4,26.6,0.00,8.00,1012.11,1011.34,88,0.0
48429,SUVARNABHUMI AIRPORT,สนามบินสุวรรณภูมิ,สมุทรปราการ,13.68639,100.76750,30.15,10-16-2019,01:00:00,0.00,100,24.2,27.5,0.01,9.00,1011.54,1010.83,82,3.7
48430,PRACHIN BURI,ปราจีนบุรี,ปราจีนบุรี,14.05842,101.36930,30.81,10-16-2019,01:00:00,0.00,000,24.5,27.7,0.01,7.00,1011.58,1010.87,83,0.0
48431,NAKHON RATCHASIMA,นครราชสีมา,นครราชสีมา,14.96830,102.08603,27.64,10-16-2019,01:00:00,0.00,040,22.7,25.7,0.00,8.00,1013.28,991.91,84,1.9
48432,SURIN,สุรินทร์,สุรินทร์,14.88333,103.50000,27.46,10-16-2019,01:00:00,0.00,000,22.6,25.3,0.00,7.00,1012.67,995.77,85,0.0
48433,SURIN AGROMET.,สุรินทร์ สกษ.,สุรินทร์,14.88333,103.45000,28.11,10-16-2019,01:00:00,0.00,000,23.0,24.5,0.01,6.00,1013.27,996.60,91,0.0
48434,CHOK CHAI,โชคชัย,นครราชสีมา,14.71889,102.16861,27.19,10-16-2019,01:00:00,0.00,000,22.5,25.0,0.00,6.00,1012.82,990.69,86,0.0
48435,PAKCHONG AGROMET.,ปากช่อง สกษ.,นครราชสีมา,14.64389,101.33194,26.84,10-16-2019,01:00:00,0.00,080,22.3,24.5,0.00,12.00,1013.37,969.50,87,14.8
48436,NANG RONG,นางรอง,บุรีรัมย์,14.58333,102.80000,27.70,10-16-2019,01:00:00,1.30,000,22.8,25.0,1.30,10.00,1012.59,991.78,88,0.0
48437,BURIRUM,บุรีรัมย์,บุรีรัมย์,15.22575,103.24808,30.00,10-16-2019,01:00:00,0.00,020,24.1,24.1,1.40,7.00,1014.43,993.26,100,9.3
48438,SAMUTSONGKRAM,สมุทรสงคราม,สมุทรสงคราม,13.40778,100.03222,29.60,10-16-2019,01:00:00,0.00,"{'0': '   ', '@attributes': {'Unit': 'degree'}}",23.9,27.5,8.50,10.00,1011.89,1011.45,81,0.0
48439,KABIN BURI,กบินทร์บุรี,ปราจีนบุรี,13.98333,101.70722,31.33,10-16-2019,01:00:00,0.00,000,24.8,25.4,6.70,6.00,1011.77,1010.34,97,0.0
48440,SA KAEW,สระแก้ว,สระแก้ว,13.78889,102.03472,30.50,10-16-2019,01:00:00,0.00,000,24.4,25.1,0.00,7.00,1012.08,1007.09,96,0.0
48450,KANCHANA BURI,กาญจนบุรี,กาญจนบุรี,14.02250,99.53583,30.97,10-16-2019,01:00:00,0.00,000,24.6,27.5,0.00,10.00,1012.07,1008.76,84,0.0
48451,NAKHONPATHOM,นครปฐม,นครปฐม,14.01167,99.97000,33.22,10-16-2019,01:00:00,0.00,000,25.8,26.8,0.00,10.00,1012.02,1010.91,94,0.0
48453,BANG NA AGROMET.,กรุงเทพฯ บางนา สกษ.,กรุงเทพมหานคร,13.66639,100.60611,31.94,10-16-2019,01:00:00,0.00,000,25.1,27.0,3.30,10.00,1011.50,1011.20,90,0.0
48455,BANGKOK METROPOLIS,กรุงเทพมหานคร,กรุงเทพมหานคร,13.72639,100.56000,32.21,10-16-2019,01:00:00,0.00,000,25.3,27.0,1.60,10.00,1010.94,1010.45,90,0.0
48456,DON MUANG AIRPORT,สนามบินดอนเมือง,กรุงเทพมหานคร,13.91917,100.60500,31.74,10-16-2019,01:00:00,0.00,040,25.0,26.9,2.20,10.00,1012.23,1010.81,90,11.1
48458,CHACHOENGSAO,ฉะเชิงเทรา,ฉะเชิงเทรา,13.51556,101.45833,28.53,10-16-2019,01:00:00,0.00,000,23.3,24.0,0.50,10.00,1013.68,1005.54,96,0.0
48459,CHON BURI,ชลบุรี,ชลบุรี,13.36667,100.98333,31.22,10-16-2019,01:00:00,0.00,050,24.8,27.2,0.00,4.00,1011.46,1011.18,87,7.4
48460,KO SICHANG,เกาะสีชัง,ชลบุรี,13.16167,100.80194,31.54,10-16-2019,01:00:00,0.00,000,24.9,28.5,0.00,10.00,1010.78,1007.65,81,0.0
48461,PHATTHAYA,พัทยา,ชลบุรี,12.92000,100.86944,28.67,10-16-2019,01:00:00,0.00,060,23.3,27.0,0.00,10.00,1011.60,1004.63,80,5.6
48462,ARANYA PRATHET,อรัญประเทศ,สระแก้ว,13.70000,102.58333,31.79,10-16-2019,01:00:00,0.00,000,25.1,26.5,8.50,8.00,1012.38,1006.74,92,0.0
48464,RATCHA BURI,ราชบุรี,ราชบุรี,13.48931,99.79239,30.26,10-16-2019,01:00:00,0.00,280,24.2,26.7,27.00,8.00,1012.37,1011.10,86,3.7
48465,PHETCHA BURI,เพชรบุรี,เพชรบุรี,12.99944,100.06056,31.25,10-16-2019,01:00:00,0.00,310,24.8,27.5,1.20,11.00,1011.64,1011.20,85,11.1
48474,NONG PHLUB AGROMET.,หนองพลับ สกษ.,ประจวบคีรีขันธ์,12.58333,99.73333,29.00,10-16-2019,01:00:00,1.70,000,23.5,25.0,1.70,8.00,1012.46,1000.05,92,0.0
48475,HUA HIN,หัวหิน,ประจวบคีรีขันธ์,12.58611,99.96250,31.65,10-16-2019,01:00:00,1.40,000,25.0,26.0,9.20,8.00,1011.67,1010.95,94,0.0
48477,SATTAHIP,สัตหีบ,ชลบุรี,12.68333,100.98333,30.23,10-16-2019,01:00:00,0.00,360,24.2,25.1,14.20,9.00,1011.65,1009.18,95,7.4
48478,RAYONG,ระยอง,ระยอง,12.63222,101.34361,30.71,10-16-2019,01:00:00,0.00,000,24.5,25.5,6.40,8.00,1011.71,1011.19,94,0.0
48479,HUAI PONG AGROMET.,ห้วยโป่ง สกษ.,ระยอง,12.73333,101.13333,29.48,10-16-2019,01:00:00,0.00,000,23.8,25.7,0.01,7.00,1011.58,1006.38,89,0.0
48480,CHANTHA BURI,จันทบุรี,จันทบุรี,12.61667,102.11333,28.70,10-16-2019,01:00:00,0.00,000,23.4,26.0,0.80,7.00,1011.54,1011.12,85,0.0
48481,PHLIU  AGROMET.,พลิ้ว สกษ.,จันทบุรี,12.50861,102.17305,29.00,10-16-2019,01:00:00,0.00,000,23.5,25.0,0.00,8.00,1011.61,1008.81,92,0.0
48500,PRACHUAP KHIRIKHAN,ประจวบคีรีขันธ์,ประจวบคีรีขันธ์,11.83333,99.83333,29.50,10-16-2019,01:00:00,0.00,000,23.8,26.0,0.00,10.00,1012.07,1011.27,88,0.0
48501,TRAD,ตราด,ตราด,11.76667,102.88333,29.52,10-16-2019,01:00:00,0.00,080,23.8,25.0,6.30,6.00,1011.64,1011.18,93,5.6
48517,CHUMPHON,ชุมพร,ชุมพร,10.49875,99.18847,29.33,10-16-2019,01:00:00,0.00,000,23.7,24.6,3.40,7.00,1010.76,1010.07,95,0.0
48520,SAWI AGROMET.,สวี สกษ.,ชุมพร,10.33333,99.10000,29.36,10-16-2019,01:00:00,0.00,000,23.7,25.2,6.40,7.00,1010.56,1009.02,92,0.0
48532,RANONG,ระนอง,ระนอง,9.98333,98.61667,28.85,10-16-2019,01:00:00,0.00,000,23.4,25.5,0.30,10.00,1011.35,1010.43,88,0.0
48550,KO SAMUI,เกาะสมุย,สุราษฎร์ธานี,9.46667,100.05000,32.35,10-16-2019,01:00:00,0.00,000,25.4,26.5,9.20,10.00,1011.48,1010.79,93,0.0
48551,SURAT THANI,สุราษฎร์ธานี,สุราษฎร์ธานี,9.13556,99.15194,30.32,10-16-2019,01:00:00,0.00,000,24.3,25.0,0.80,8.00,1011.39,1010.59,96,0.0
48552,NAKHONSI THAMMARAT,นครศรีธรรมราช,นครศรีธรรมราช,8.53778,99.96389,28.78,10-16-2019,01:00:00,0.00,000,23.4,24.0,17.40,10.00,1009.85,1009.21,97,0.0
48554,NAKHONSI THAMMARAT AGROMET.,นครศรีธรรมราช สกษ.,นครศรีธรรมราช,8.35931,100.00000,29.23,10-16-2019,01:00:00,0.00,000,23.7,24.4,13.90,10.00,1010.98,1010.57,96,0.0
48555,SURAT THANI AGROMET.,สุราษฎร์ธานี สกษ.,สุราษฎร์ธานี,9.10000,99.63333,28.72,10-16-2019,01:00:00,0.00,000,23.4,24.7,8.20,6.00,1012.77,1008.50,92,0.0
48556,PHRA SANG,พระแสง สอท.,สุราษฎร์ธานี,8.57022,99.25825,28.60,10-16-2019,01:00:00,0.40,000,23.3,23.6,0.40,10.00,1011.30,1009.67,98,0.0
48557,CHAWANG,ฉวาง,นครศรีธรรมราช,8.43194,99.51194,29.41,10-16-2019,01:00:00,0.00,000,23.8,24.5,2.90,10.00,1010.86,1007.34,96,0.0
48560,PHATTHALUNG AGROMET.,พัทลุง สกษ.,พัทลุง,7.58333,100.16667,31.58,10-16-2019,01:00:00,0.00,000,24.9,25.1,4.90,7.00,1010.98,1009.61,99,0.0
48561,TAKUA PA,ตะกั่วป่า,พังงา,8.68417,98.25222,28.53,10-16-2019,01:00:00,0.00,000,23.3,24.0,17.70,10.00,1011.07,1010.18,96,0.0
48563,KRABI,กระบี่,กระบี่,8.10361,98.97528,28.17,10-16-2019,01:00:00,0.00,000,23.0,23.5,1.60,10.00,1010.45,1006.83,97,0.0
48564,PHUKET,ภูเก็ต,ภูเก็ต,7.88333,98.40000,29.19,10-16-2019,01:00:00,0.00,000,23.6,26.7,0.40,10.00,1010.51,1010.07,83,0.0
48565,PHUKET AIRPORT,ภูเก็ต (ศูนย์ฯ),ภูเก็ต,8.14500,98.31444,29.91,10-16-2019,01:00:00,0.00,000,24.0,25.5,2.90,8.00,1010.33,1009.33,92,0.0
48566,KO LANTA,เกาะลันตา,กระบี่,7.53333,99.05000,29.25,10-16-2019,01:00:00,0.00,000,23.7,24.7,20.80,10.00,1010.46,1009.63,94,0.0
48567,TRANG AIRPORT,ตรัง,ตรัง,7.51667,99.61667,30.67,10-16-2019,01:00:00,0.00,000,24.5,24.9,1.30,7.00,1010.69,1008.86,97,0.0
48568,SONGKHLA,สงขลา,สงขลา,7.18211,100.60769,30.57,10-16-2019,01:00:00,0.00,000,24.4,26.0,0.10,10.00,1010.78,1010.03,91,0.0
48569,HAT YAI AIRPORT,หาดใหญ่,สงขลา,6.91667,100.43333,31.77,10-16-2019,01:00:00,0.00,090,25.0,25.2,7.20,10.00,1010.99,1006.96,99,3.7
48570,SATUN,สตูล,สตูล,6.65000,100.08333,30.34,10-16-2019,01:00:00,0.00,000,24.3,25.3,4.40,7.00,1010.80,1010.11,94,0.0
48571,KHO HONG AGROMET.,คอหงษ์ สกษ.,สงขลา,7.00000,100.50000,29.85,10-16-2019,01:00:00,0.00,000,24.0,24.6,0.80,10.00,1011.16,1010.03,97,0.0
48574,SA DAO,สะเดา,สงขลา,6.79806,100.39056,31.87,10-16-2019,01:00:00,0.00,000,25.1,25.4,10.80,10.00,1011.09,1008.14,98,0.0
