WmoStationNumber,StationNameEnglish,StationNameThai,Province,Latitude,Longitude,VaporPressure,Date,Time,StationPressure,Rainfall24Hr,WindDirection,DewPoint,MaximumTemperature,LandVisibility,WindSpeed,AirTemperature,MeanSeaLevelPressure,Rainfall,RelativeHumidity
48552,NAKHONSI THAMMARAT,นครศรีธรรมราช,นครศรีธรรมราช,8.53778,99.96389,31.95,09-18-2019,19:00:00,1008.68,9.80,000,25.1,33.0,10.00,0.0,28.0,1009.31,0.00,85
48554,NAKHONSI THAMMARAT AGROMET.,นครศรีธรรมราช สกษ.,นครศรีธรรมราช,8.35931,100.00000,32.96,09-18-2019,19:00:00,1008.76,0.20,000,25.7,33.5,10.00,0.0,28.5,1009.16,0.00,85
48555,SURAT THANI AGROMET.,สุราษฎร์ธานี สกษ.,สุราษฎร์ธานี,9.10000,99.63333,29.77,09-18-2019,19:00:00,1007.76,47.80,000,24.0,32.1,4.00,0.0,24.7,1012.02,47.80,96
48556,PHRA SANG,พระแสง สอท.,สุราษฎร์ธานี,8.57022,99.25825,30.46,09-18-2019,19:00:00,1008.71,0.00,000,24.3,31.8,10.00,0.0,25.8,1010.33,0.00,92
48557,CHAWANG,ฉวาง,นครศรีธรรมราช,8.43194,99.51194,32.04,09-18-2019,19:00:00,1006.64,1.20,000,25.2,32.3,7.00,0.0,26.2,1010.14,1.20,94
48560,PHATTHALUNG AGROMET.,พัทลุง สกษ.,พัทลุง,7.58333,100.16667,28.28,09-18-2019,19:00:00,1007.79,0.00,150,23.1,31.0,8.00,5.6,27.8,1009.14,0.00,76
48561,TAKUA PA,ตะกั่วป่า,พังงา,8.68417,98.25222,29.79,09-18-2019,19:00:00,1009.90,19.30,000,24.0,30.5,9.00,0.0,25.0,1010.80,3.50,94
48563,KRABI,กระบี่,กระบี่,8.10361,98.97528,29.72,09-18-2019,19:00:00,1006.57,29.00,000,23.9,30.3,10.00,0.0,26.7,1010.15,0.00,85
48564,PHUKET,ภูเก็ต,ภูเก็ต,7.88333,98.40000,29.52,09-18-2019,19:00:00,1009.75,9.60,000,23.8,30.0,10.00,0.0,27.6,1010.19,0.00,80
48565,PHUKET AIRPORT,ภูเก็ต (ศูนย์ฯ),ภูเก็ต,8.14500,98.31444,31.03,09-18-2019,19:00:00,1009.02,29.70,280,24.7,30.0,6.00,14.8,26.1,1010.02,3.90,92
48566,KO LANTA,เกาะลันตา,กระบี่,7.53333,99.05000,27.58,09-18-2019,19:00:00,1009.09,21.00,000,22.7,29.0,10.00,0.0,26.1,1009.91,0.00,82
48567,TRANG AIRPORT,ตรัง,ตรัง,7.51667,99.61667,29.72,09-18-2019,19:00:00,1008.38,0.20,170,23.9,30.3,7.00,7.4,26.7,1010.20,0.00,85
48568,SONGKHLA,สงขลา,สงขลา,7.18211,100.60769,30.43,09-18-2019,19:00:00,1009.25,3.40,200,24.3,32.3,2.00,5.6,26.5,1010.00,3.30,88
48569,HAT YAI AIRPORT,หาดใหญ่,สงขลา,6.91667,100.43333,27.74,09-18-2019,19:00:00,1006.19,0.20,240,22.8,33.2,10.00,5.6,25.9,1010.21,0.20,83
48570,SATUN,สตูล,สตูล,6.65000,100.08333,29.34,09-18-2019,19:00:00,1009.83,11.70,000,23.7,32.7,6.00,0.0,24.9,1010.52,4.60,93
48571,KHO HONG AGROMET.,คอหงษ์ สกษ.,สงขลา,7.00000,100.50000,28.43,09-18-2019,19:00:00,1008.37,0.00,000,23.2,33.5,8.00,0.0,27.3,1009.48,0.00,78
48574,SA DAO,สะเดา,สงขลา,6.79806,100.39056,29.62,09-18-2019,19:00:00,1007.22,0.01,000,23.9,33.5,8.00,0.0,26.5,1010.16,0.01,86
48580,PATTANI AIRPORT,ปัตตานี,ปัตตานี,6.78333,101.15000,31.41,09-18-2019,19:00:00,1009.73,8.30,000,24.9,33.7,4.00,0.0,25.3,1010.43,6.10,97
48581,YALA AGROMET.,ยะลา สกษ.,ยะลา,6.51667,101.28333,28.90,09-18-2019,19:00:00,1006.79,0.00,000,23.5,33.6,5.00,0.0,24.8,1010.95,0.00,92
48583,NARATHIWAT,นราธิวาส,นราธิวาส,6.41667,101.81667,29.96,09-18-2019,19:00:00,1009.09,2.80,120,24.1,32.5,7.00,3.7,27.4,1009.68,2.80,82
