WmoStationNumber,StationNameEnglish,StationNameThai,Province,Latitude,Longitude,Rainfall,Date,Time,RelativeHumidity,LandVisibility,Rainfall24Hr,DewPoint,MeanSeaLevelPressure,WindSpeed,StationPressure,VaporPressure,WindDirection,AirTemperature
48300,MAE HONG SON,แม่ฮ่องสอน,แม่ฮ่องสอน,19.29897,97.97578,0.00,10-11-2019,10:00:00,81,10.00,1.20,23.5,1012.49,0.0,981.51,28.94,000,27.0
48302,DOI ANG KANG,ดอยอ่างขาง,เชียงใหม่,19.93139,99.04833,0.00,10-11-2019,10:00:00,90,8.00,6.50,19.4,1009.64,7.4,849.09,22.46,100,21.1
48303,CHIANG RAI,เชียงราย,เชียงราย,19.96139,99.88139,1.10,10-11-2019,10:00:00,80,10.00,35.60,23.3,1012.75,0.0,969.08,28.67,000,27.0
48304,CHAING RAI AGROMET.,เชียงราย สกษ.,เชียงราย,19.87083,99.78278,0.01,10-11-2019,10:00:00,77,15.00,0.40,23.1,1012.49,0.0,967.00,28.26,000,27.5
48307,THUNG CHANG,ทุ่งช้าง,น่าน,19.41194,100.88353,0.00,10-11-2019,10:00:00,71,12.00,0.00,24.0,1012.36,0.0,975.02,29.91,000,29.8
48310,PHAYAO,พะเยา,พะเยา,19.13333,99.90000,0.00,10-11-2019,10:00:00,85,7.00,0.00,25.1,1012.54,0.0,967.56,31.95,000,28.0
48315,THA WANGPHA,ท่าวังผา,น่าน,19.11056,100.80250,0.00,10-11-2019,10:00:00,73,12.00,0.00,23.6,1012.86,5.6,986.24,29.19,310,29.0
48324,THOEN,เถิน,ลำปาง,17.63661,99.24475,0.00,10-11-2019,10:00:00,73,10.00,10.30,23.5,1012.55,5.6,990.85,28.89,210,28.7
48325,MAE SARIANG,แม่สะเรียง,แม่ฮ่องสอน,18.16667,97.93333,0.00,10-11-2019,10:00:00,82,8.00,5.50,23.4,1013.25,0.0,989.04,28.84,000,26.8
48327,CHIANG MAI,เชียงใหม่,เชียงใหม่,18.79000,98.97694,0.20,10-11-2019,10:00:00,73,10.00,3.90,22.0,1012.85,0.0,978.30,26.51,000,27.4
48328,LAMPANG,ลำปาง,ลำปาง,18.28333,99.51667,0.00,10-11-2019,10:00:00,66,10.00,0.00,23.0,1012.43,3.7,985.09,28.09,300,30.0
48329,LAMPHUN,ลำพูน,ลำพูน,18.56722,99.03389,0.00,10-11-2019,10:00:00,79,10.00,15.60,22.5,1012.71,0.0,979.01,27.25,000,26.5
48330,PHRAE,แพร่,แพร่,18.16667,100.16667,0.00,10-11-2019,10:00:00,69,10.00,0.10,23.9,1011.68,0.0,993.32,29.58,000,30.2
48331,NAN,น่าน,น่าน,18.77972,100.77778,0.00,10-11-2019,10:00:00,71,10.00,0.00,24.2,1012.33,0.0,989.67,30.22,000,30.1
48333,NAN AGROMET.,น่าน สกษ.,น่าน,18.86667,100.75000,0.00,10-11-2019,10:00:00,76,12.00,0.00,24.3,1012.45,0.0,982.67,30.29,000,29.0
48334,LAMPANG AGROMET.,ลำปาง สกษ.,ลำปาง,18.31667,99.28333,0.00,10-11-2019,10:00:00,69,8.00,0.00,23.9,1011.94,0.0,976.73,29.58,000,30.2
48350,LOEI AGROMET.,เลย สกษ.,เลย,17.40000,101.73333,0.00,10-11-2019,10:00:00,72,15.00,1.80,24.8,1011.46,5.6,982.02,31.31,110,30.5
48351,UTTARADIT,อุตรดิตถ์,อุตรดิตถ์,17.61667,100.10000,0.00,10-11-2019,10:00:00,74,10.00,31.30,24.1,1012.01,0.0,1004.72,29.93,000,29.1
48352,NONG KHAI,หนองคาย,หนองคาย,17.86717,102.73303,0.00,10-11-2019,10:00:00,69,8.00,0.00,25.1,1012.42,3.7,992.73,31.85,150,31.6
48353,LOEI,เลย,เลย,17.45000,101.73333,0.00,10-11-2019,10:00:00,62,7.00,0.00,23.1,1011.64,5.6,983.29,28.20,040,31.2
48354,UDON THANI,อุดรธานี,อุดรธานี,17.38333,102.80000,0.00,10-11-2019,10:00:00,62,15.00,0.00,23.2,1012.04,3.7,992.08,28.51,170,31.5
48355,SAKON NAKHON AGROMET.,สกลนคร สกษ.,สกลนคร,17.12503,104.06100,0.00,10-11-2019,10:00:00,61,12.00,0.00,22.4,1012.64,5.6,991.08,27.16,120,30.8
48356,SAKON NAKHON,สกลนคร,สกลนคร,17.15000,104.13333,0.00,10-11-2019,10:00:00,62,14.00,0.00,22.4,1012.44,3.7,993.09,27.06,180,30.6
48357,NAKHON PHANOM,นครพนม,นครพนม,17.41083,104.78250,0.00,10-11-2019,10:00:00,53,10.00,0.00,21.0,1012.72,0.0,996.15,24.81,000,31.7
48358,NAKHON PHANOM AGROMET.,นครพนม สกษ.,นครพนม,17.44306,104.77361,0.00,10-11-2019,10:00:00,51,12.00,0.00,20.6,1012.98,0.0,995.76,24.30,000,32.0
48360,NONG BUA LAM PHU,หนองบัวลำภู,หนองบัวลำภู,17.23250,102.42944,0.00,10-11-2019,10:00:00,69,11.00,0.00,24.5,1011.65,5.6,986.10,30.70,260,30.9
48372,SUKHOTHAI*,สุโขทัย,สุโขทัย,17.10611,99.80000,0.00,10-11-2019,10:00:00,80,10.00,0.00,25.9,1012.11,3.7,1006.34,33.41,270,29.7
48373,SI SAMRONG AGROMET.,ศรีสำโรง สกษ.,สุโขทัย,17.16136,99.86167,0.00,10-11-2019,10:00:00,72,8.00,0.00,25.0,1011.90,0.0,1005.75,31.60,000,30.5
48374,LOM SAK,หล่มสัก,เพชรบูรณ์,16.77361,101.24944,5.70,10-11-2019,10:00:00,81,12.00,11.10,23.5,1013.16,0.0,996.62,28.94,000,27.0
48375,MAE SOT,แม่สอด,ตาก,16.65917,98.55083,0.00,10-11-2019,10:00:00,80,10.00,62.50,22.8,1011.22,0.0,988.78,27.77,000,26.5
48376,TAK,ตาก,ตาก,16.87833,99.14333,0.00,10-11-2019,10:00:00,72,10.00,12.40,23.5,1013.14,0.0,998.76,28.91,000,29.0
48377,BHUMIBOL DAM,เขื่อนภูมิพล,ตาก,17.24389,99.00250,0.00,10-11-2019,10:00:00,80,7.00,50.90,24.8,1012.41,0.0,996.03,31.38,000,28.7
48378,PHITSANULOK,พิษณุโลก,พิษณุโลก,16.79481,100.27930,0.00,10-11-2019,10:00:00,69,10.00,0.00,24.2,1012.19,3.7,1006.99,30.18,090,30.5
48379,PHETCHABUN,เพชรบูรณ์,เพชรบูรณ์,16.43333,101.15000,0.00,10-11-2019,10:00:00,79,12.00,11.80,23.5,1011.16,0.0,997.94,28.98,000,27.6
48380,KAMPHAENG PHET,กำแพงเพชร,กำแพงเพชร,16.48681,99.52697,0.00,10-11-2019,10:00:00,70,12.00,0.00,23.6,1012.30,3.7,1003.01,29.16,330,29.7
48381,KHON KAEN,ขอนแก่น,ขอนแก่น,16.46111,102.78972,0.00,10-11-2019,10:00:00,64,8.00,0.00,23.9,1012.29,3.7,990.82,29.63,060,31.5
48382,MAHASARAKHAM,มหาสารคาม,มหาสารคาม,16.24722,103.06805,0.00,10-11-2019,10:00:00,67,10.00,0.00,25.0,1012.97,0.0,995.65,31.68,000,31.8
48383,MUKDAHAN,มุกดาหาร,มุกดาหาร,16.54139,104.72889,0.00,10-11-2019,10:00:00,-36,13.00,0.00,{'@attributes': {'Unit': 'celcius'}},1012.03,5.6,996.01,-11.38,030,25.0
48384,THA PHRA AGROMET.,ท่าพระ สกษ.,ขอนแก่น,16.33333,102.81667,0.00,10-11-2019,10:00:00,68,10.00,0.00,24.5,1011.34,1.9,992.63,30.82,170,31.1
48385,UMPHANG,อุ้มผาง,ตาก,16.02472,98.86444,0.00,10-11-2019,10:00:00,79,11.00,44.60,21.3,1013.72,0.0,962.07,25.27,000,25.2
48386,PICHIT AGROMET.,พิจิตร สกษ.,พิจิตร,16.43806,100.29250,0.00,10-11-2019,10:00:00,73,7.00,0.01,25.7,1011.39,1.9,1007.46,32.93,100,31.0
48387,DOI MU SOE AGROMET.,ดอยมูเซอร์ สกษ.,ตาก,16.75000,98.93333,0.00,10-11-2019,10:00:00,72,8.00,0.00,20.1,1011.74,0.0,917.44,23.47,000,25.6
48390,KALASIN,กาฬสินธุ์,กาฬสินธุ์,16.33250,103.58833,0.00,10-11-2019,10:00:00,78,10.00,0.00,24.9,1012.52,0.0,996.57,31.53,000,29.2
48400,NAKHON SAWAN,นครสวรรค์ ,นครสวรรค์,15.67183,100.13236,0.00,10-11-2019,10:00:00,78,10.00,12.90,26.3,1011.93,0.0,1007.92,34.22,000,30.5
