WmoStationNumber,StationNameEnglish,StationNameThai,Province,Latitude,Longitude,Rainfall,Date,Time,Rainfall24Hr,LandVisibility,MeanSeaLevelPressure,DewPoint,StationPressure,WindDirection,WindSpeed,RelativeHumidity,VaporPressure,AirTemperature
48300,MAE HONG SON,แม่ฮ่องสอน,แม่ฮ่องสอน,19.29897,97.97578,0.00,08-08-2019,13:00:00,9.20,12.00,1004.51,24.2,974.09,000,0.0,70,30.14,30.2
48302,DOI ANG KANG,ดอยอ่างขาง,เชียงใหม่,19.93139,99.04833,0.00,08-08-2019,13:00:00,5.10,8.00,1001.78,18.8,842.91,300,18.5,82,21.73,22.0
48303,CHIANG RAI,เชียงราย,เชียงราย,19.96139,99.88139,0.00,08-08-2019,13:00:00,3.10,12.00,1002.05,23.9,959.50,130,7.4,63,29.67,31.8
48304,CHAING RAI AGROMET.,เชียงราย สกษ.,เชียงราย,19.87083,99.78278,0.00,08-08-2019,13:00:00,0.00,15.00,1002.16,23.9,957.85,220,9.3,61,29.66,32.5
48307,THUNG CHANG,ทุ่งช้าง,น่าน,19.41194,100.88353,0.00,08-08-2019,13:00:00,0.00,12.00,1003.93,23.4,967.00,000,0.0,65,28.70,30.6
48310,PHAYAO,พะเยา,พะเยา,19.13333,99.90000,0.00,08-08-2019,13:00:00,0.20,12.00,1002.23,23.7,958.42,330,3.7,58,29.25,33.0
48315,THA WANGPHA,ท่าวังผา,น่าน,19.11056,100.80250,0.00,08-08-2019,13:00:00,0.01,12.00,1002.96,24.9,976.93,060,5.6,63,31.57,33.0
48324,THOEN,เถิน,ลำปาง,17.63661,99.24475,0.00,08-08-2019,13:00:00,4.30,15.00,1004.05,23.5,982.75,270,11.1,61,28.94,32.0
48325,MAE SARIANG,แม่สะเรียง,แม่ฮ่องสอน,18.16667,97.93333,0.00,08-08-2019,13:00:00,18.80,6.00,1005.75,25.3,981.78,000,0.0,87,32.28,27.6
48327,CHIANG MAI,เชียงใหม่,เชียงใหม่,18.79000,98.97694,0.00,08-08-2019,13:00:00,0.01,10.00,1003.83,23.2,970.12,100,3.7,59,28.41,32.3
48328,LAMPANG,ลำปาง,ลำปาง,18.28333,99.51667,0.00,08-08-2019,13:00:00,0.00,10.00,1003.18,23.8,976.33,000,0.0,60,29.50,32.7
48329,LAMPHUN,ลำพูน,ลำพูน,18.56722,99.03389,0.00,08-08-2019,13:00:00,0.01,12.00,1003.17,23.3,970.37,000,0.0,60,28.66,32.0
48330,PHRAE,แพร่,แพร่,18.16667,100.16667,0.00,08-08-2019,13:00:00,0.60,15.00,1003.31,24.6,985.20,030,1.9,65,30.94,32.0
48331,NAN,น่าน,น่าน,18.77972,100.77778,0.00,08-08-2019,13:00:00,0.01,10.00,1002.45,24.3,980.30,000,0.0,57,30.37,34.1
48333,NAN AGROMET.,น่าน สกษ.,น่าน,18.86667,100.75000,0.00,08-08-2019,13:00:00,0.00,12.00,1002.65,23.4,973.56,000,0.0,56,28.72,33.3
48334,LAMPANG AGROMET.,ลำปาง สกษ.,ลำปาง,18.31667,99.28333,0.00,08-08-2019,13:00:00,1.60,8.00,1002.84,23.3,968.24,000,0.0,57,28.56,32.8
48350,LOEI AGROMET.,เลย สกษ.,เลย,17.40000,101.73333,0.00,08-08-2019,13:00:00,0.00,17.00,1000.41,24.4,971.80,320,13.0,51,30.59,36.0
48351,UTTARADIT,อุตรดิตถ์,อุตรดิตถ์,17.61667,100.10000,0.00,08-08-2019,13:00:00,0.01,8.00,1004.24,24.9,997.07,190,7.4,66,31.52,32.0
48352,NONG KHAI,หนองคาย,หนองคาย,17.86717,102.73303,0.00,08-08-2019,13:00:00,0.00,20.00,999.98,25.8,980.77,280,20.4,57,33.12,35.5
48353,LOEI,เลย,เลย,17.45000,101.73333,0.00,08-08-2019,13:00:00,0.00,15.00,1001.00,21.5,973.33,320,13.0,44,25.70,35.6
48354,UDON THANI,อุดรธานี,อุดรธานี,17.38333,102.80000,0.00,08-08-2019,13:00:00,0.00,15.00,1001.46,22.7,981.89,280,25.9,51,27.53,34.4
48355,SAKON NAKHON AGROMET.,สกลนคร สกษ.,สกลนคร,17.12503,104.06100,0.00,08-08-2019,13:00:00,0.00,18.00,1001.00,24.3,979.91,270,7.4,57,30.46,34.0
48356,SAKON NAKHON,สกลนคร,สกลนคร,17.15000,104.13333,0.00,08-08-2019,13:00:00,0.00,18.00,1000.36,24.0,981.45,280,7.4,56,29.87,34.0
48357,NAKHON PHANOM,นครพนม,นครพนม,17.41083,104.78250,0.00,08-08-2019,13:00:00,0.00,12.00,1001.11,24.4,984.82,180,1.9,59,30.57,33.5
48358,NAKHON PHANOM AGROMET.,นครพนม สกษ.,นครพนม,17.44306,104.77361,0.00,08-08-2019,13:00:00,0.00,12.00,1001.25,25.2,984.35,210,3.7,60,32.07,34.2
48360,NONG BUA LAM PHU,หนองบัวลำภู,หนองบัวลำภู,17.23250,102.42944,0.00,08-08-2019,13:00:00,0.00,13.00,1000.66,22.6,975.59,290,14.8,53,27.43,33.5
48372,SUKHOTHAI*,สุโขทัย,สุโขทัย,17.10611,99.80000,0.00,08-08-2019,13:00:00,1.40,10.00,1003.38,26.0,997.73,000,0.0,67,33.66,33.0
48373,SI SAMRONG AGROMET.,ศรีสำโรง สกษ.,สุโขทัย,17.16136,99.86167,0.00,08-08-2019,13:00:00,1.50,12.00,1003.80,24.9,997.75,240,5.6,63,31.44,32.8
48374,LOM SAK,หล่มสัก,เพชรบูรณ์,16.77361,101.24944,0.00,08-08-2019,13:00:00,2.20,10.00,1003.87,23.5,987.82,000,0.0,57,29.01,33.3
48375,MAE SOT,แม่สอด,ตาก,16.65917,98.55083,0.00,08-08-2019,13:00:00,14.00,10.00,1004.25,24.8,982.12,240,5.6,80,31.38,28.7
48376,TAK,ตาก,ตาก,16.87833,99.14333,0.00,08-08-2019,13:00:00,12.30,8.00,1004.86,23.8,990.69,270,13.0,66,29.48,31.0
48377,BHUMIBOL DAM,เขื่อนภูมิพล,ตาก,17.24389,99.00250,0.00,08-08-2019,13:00:00,3.40,12.00,1003.79,23.9,987.75,000,0.0,61,29.66,32.5
48378,PHITSANULOK,พิษณุโลก,พิษณุโลก,16.79481,100.27930,0.00,08-08-2019,13:00:00,1.60,10.00,1004.20,25.1,999.08,360,7.4,64,31.82,32.7
48379,PHETCHABUN,เพชรบูรณ์,เพชรบูรณ์,16.43333,101.15000,0.00,08-08-2019,13:00:00,0.00,12.00,1002.18,24.6,989.30,000,0.0,62,30.86,32.8
48380,KAMPHAENG PHET,กำแพงเพชร,กำแพงเพชร,16.48681,99.52697,0.00,08-08-2019,13:00:00,5.60,11.00,1004.11,24.9,994.96,260,1.9,66,31.52,32.0
48381,KHON KAEN,ขอนแก่น,ขอนแก่น,16.46111,102.78972,0.00,08-08-2019,13:00:00,0.00,10.00,1001.24,21.3,980.31,280,16.7,43,25.37,36.0
48382,MAHASARAKHAM,มหาสารคาม,มหาสารคาม,16.24722,103.06805,0.00,08-08-2019,13:00:00,0.00,12.00,1001.82,23.9,984.95,220,11.1,48,29.58,36.5
48383,MUKDAHAN,มุกดาหาร,มุกดาหาร,16.54139,104.72889,0.00,08-08-2019,13:00:00,0.00,12.00,1000.65,24.4,985.25,230,3.7,59,30.49,33.6
48384,THA PHRA AGROMET.,ท่าพระ สกษ.,ขอนแก่น,16.33333,102.81667,0.00,08-08-2019,13:00:00,0.00,10.00,1000.58,21.9,982.37,270,7.4,44,26.33,36.2
48385,UMPHANG,อุ้มผาง,ตาก,16.02472,98.86444,4.20,08-08-2019,13:00:00,31.60,10.00,1007.06,24.1,956.06,000,0.0,84,30.02,27.0
48386,PICHIT AGROMET.,พิจิตร สกษ.,พิจิตร,16.43806,100.29250,0.00,08-08-2019,13:00:00,4.00,8.00,1005.90,24.0,1002.02,280,7.4,59,29.83,33.0
48387,DOI MU SOE AGROMET.,ดอยมูเซอร์ สกษ.,ตาก,16.75000,98.93333,0.01,08-08-2019,13:00:00,9.50,2.50,1005.27,21.4,910.73,250,13.0,92,25.52,22.8
48390,KALASIN,กาฬสินธุ์,กาฬสินธุ์,16.33250,103.58833,0.00,08-08-2019,13:00:00,3.30,10.00,1001.47,25.8,985.96,210,5.6,60,33.25,34.6
48400,NAKHON SAWAN,นครสวรรค์ ,นครสวรรค์,15.67183,100.13236,0.00,08-08-2019,13:00:00,1.60,10.00,1004.40,25.2,1000.45,320,5.6,64,32.03,32.8
48401,TAKFA AGROMET.,ตากฟ้า สกษ.,นครสวรรค์,15.34944,100.53028,0.00,08-08-2019,13:00:00,0.90,8.00,1004.94,21.9,994.47,310,9.3,55,26.28,32.2
48402,CHAINAT AGROMET.,ชัยนาท สกษ.,ชัยนาท,15.15000,100.18333,0.00,08-08-2019,13:00:00,2.40,11.00,1004.69,24.8,1002.81,000,0.0,59,31.34,34.0
48403,CHAIYAPHUM,ชัยภูมิ,ชัยภูมิ,15.80000,102.03333,0.00,08-08-2019,13:00:00,0.00,10.00,1002.39,21.2,982.09,270,5.6,48,25.16,33.9
48404,ROI ET AGROMET.,ร้อยเอ็ด สกษ.,ร้อยเอ็ด,16.07322,103.60844,0.00,08-08-2019,13:00:00,0.00,10.00,1001.46,22.7,984.30,230,11.1,52,27.58,34.0
48405,ROI ET,ร้อยเอ็ด,ร้อยเอ็ด,16.02000,103.74389,0.00,08-08-2019,13:00:00,0.00,10.00,1001.31,22.2,985.63,260,13.0,49,26.68,34.4
48407,UBON RATCHATHANI,อุบลราชธานี (ศูนย์ฯ),อุบลราชธานี,15.25000,104.86667,0.00,08-08-2019,13:00:00,0.01,10.00,1002.51,24.1,988.80,250,5.6,60,29.99,32.8
48408,UBON RATCHATHANI AGROMET.,อุบลราชธานี สกษ.,อุบลราชธานี,15.23914,105.02350,0.00,08-08-2019,13:00:00,0.00,10.00,1002.77,25.4,988.28,260,7.4,66,32.41,32.7
48409,SI SAKET AGROMET.,ศรีสะเกษ,ศรีสะเกษ,15.00000,104.05000,0.00,08-08-2019,13:00:00,2.50,10.00,1002.74,25.1,988.42,300,20.4,63,31.87,33.0
48410,UTHAITHANI,อุทัยธานี,อุทัยธานี,15.37417,100.03889,0.00,08-08-2019,13:00:00,2.50,10.00,1004.46,22.8,1001.52,"{'@attributes': {'Unit': 'degree'}, '0': '   '}",0.0,53,27.74,33.8
48413,WICHIAN BURI,วิเชียรบุรี,เพชรบูรณ์,15.65700,101.10800,0.00,08-08-2019,13:00:00,0.01,10.00,1003.80,22.3,996.02,250,9.3,55,26.86,32.5
48415,AYUTTHAYA,พระนครศรีอยุธยา,พระนครศรีอยุธยา,14.53472,100.72500,0.00,08-08-2019,13:00:00,0.90,8.00,1005.14,24.5,1004.05,230,11.1,66,30.69,31.6
