WmoStationNumber,StationNameEnglish,StationNameThai,Province,Latitude,Longitude,Rainfall24Hr,Date,Time,AirTemperature,LandVisibility,StationPressure,VaporPressure,DewPoint,WindDirection,Rainfall,MeanSeaLevelPressure,WindSpeed,RelativeHumidity
48300,MAE HONG SON,แม่ฮ่องสอน,แม่ฮ่องสอน,19.29897,97.97578,0.00,10-01-2019,01:00:00,25.0,8.00,979.40,29.26,23.7,000,0.00,1010.53,0.0,92
48302,DOI ANG KANG,ดอยอ่างขาง,เชียงใหม่,19.93139,99.04833,0.00,10-01-2019,01:00:00,19.1,8.00,847.95,18.67,16.4,270,0.00,1009.46,3.7,85
48303,CHIANG RAI,เชียงราย,เชียงราย,19.96139,99.88139,0.00,10-01-2019,01:00:00,24.0,10.00,966.07,24.54,20.8,000,0.00,1010.05,0.0,82
48304,CHAING RAI AGROMET.,เชียงราย สกษ.,เชียงราย,19.87083,99.78278,0.00,10-01-2019,01:00:00,23.0,12.00,964.34,24.87,21.0,000,0.00,1010.41,0.0,89
48307,THUNG CHANG,ทุ่งช้าง,น่าน,19.41194,100.88353,0.00,10-01-2019,01:00:00,22.5,4.00,972.66,26.01,21.7,000,0.00,1010.84,0.0,95
48310,PHAYAO,พะเยา,พะเยา,19.13333,99.90000,0.00,10-01-2019,01:00:00,23.0,7.00,964.97,26.09,21.8,000,0.00,1010.60,0.0,93
48315,THA WANGPHA,ท่าวังผา,น่าน,19.11056,100.80250,0.00,10-01-2019,01:00:00,23.8,7.00,984.27,27.42,22.6,000,0.00,1011.31,0.0,93
48324,THOEN,เถิน,ลำปาง,17.63661,99.24475,0.00,10-01-2019,01:00:00,24.9,5.00,988.36,29.08,23.6,000,0.00,1010.30,0.0,92
48325,MAE SARIANG,แม่สะเรียง,แม่ฮ่องสอน,18.16667,97.93333,0.00,10-01-2019,01:00:00,25.3,6.00,987.15,30.87,24.6,000,0.00,1011.44,0.0,96
48327,CHIANG MAI,เชียงใหม่,เชียงใหม่,18.79000,98.97694,0.00,10-01-2019,01:00:00,26.0,10.00,976.08,27.14,22.4,000,0.00,1010.72,0.0,81
48328,LAMPANG,ลำปาง,ลำปาง,18.28333,99.51667,0.00,10-01-2019,01:00:00,25.0,10.00,983.11,27.70,22.8,000,0.00,1010.86,0.0,88
48329,LAMPHUN,ลำพูน,ลำพูน,18.56722,99.03389,0.00,10-01-2019,01:00:00,26.8,10.00,976.66,28.04,23.0,000,0.00,1010.25,0.0,80
48330,PHRAE,แพร่,แพร่,18.16667,100.16667,0.00,10-01-2019,01:00:00,24.7,4.00,991.36,27.19,22.5,000,0.00,1010.03,0.0,87
48331,NAN,น่าน,น่าน,18.77972,100.77778,0.00,10-01-2019,01:00:00,24.5,10.00,987.50,27.60,22.7,000,0.00,1010.54,0.0,90
48333,NAN AGROMET.,น่าน สกษ.,น่าน,18.86667,100.75000,0.00,10-01-2019,01:00:00,23.9,7.00,980.12,27.34,22.6,000,0.00,1010.34,0.0,92
48334,LAMPANG AGROMET.,ลำปาง สกษ.,ลำปาง,18.31667,99.28333,0.00,10-01-2019,01:00:00,25.0,7.00,974.46,30.32,24.3,000,0.00,1010.21,0.0,96
