WmoStationNumber,StationNameEnglish,StationNameThai,Province,Latitude,Longitude,RelativeHumidity,Date,Time,AirTemperature,LandVisibility,Rainfall,Rainfall24Hr,DewPoint,MeanSeaLevelPressure,StationPressure,WindSpeed,WindDirection,VaporPressure
48463,LAEM CHABANG,แหลมฉบัง,ชลบุรี,13.07694,100.87583,46,09-11-2019,13:00:00,37.2,15.00,0.00,0.00,23.7,1012.83,1003.77,11.1,300,29.30
48464,RATCHA BURI,ราชบุรี,ราชบุรี,13.48931,99.79239,61,09-11-2019,13:00:00,32.0,14.00,0.00,2.40,23.5,1012.15,1010.90,3.7,140,28.94
48465,PHETCHA BURI,เพชรบุรี,เพชรบุรี,12.99944,100.06056,66,09-11-2019,13:00:00,32.6,11.00,0.00,4.10,25.4,1011.74,1011.31,5.6,140,32.49
48474,NONG PHLUB AGROMET.,หนองพลับ สกษ.,ประจวบคีรีขันธ์,12.58333,99.73333,58,09-11-2019,13:00:00,33.1,12.00,0.00,0.00,23.6,1011.30,999.23,3.7,300,29.17
48475,HUA HIN,หัวหิน,ประจวบคีรีขันธ์,12.58611,99.96250,63,09-11-2019,13:00:00,30.5,10.00,0.00,0.00,22.6,1012.05,1011.34,9.3,120,27.41
48477,SATTAHIP,สัตหีบ,ชลบุรี,12.68333,100.98333,49,09-11-2019,13:00:00,35.5,10.00,0.00,0.00,23.0,1010.80,1008.43,14.8,240,28.06
48478,RAYONG,ระยอง,ระยอง,12.63222,101.34361,72,09-11-2019,13:00:00,31.3,12.00,0.00,0.00,25.5,1011.94,1011.43,14.8,240,32.68
48479,HUAI PONG AGROMET.,ห้วยโป่ง สกษ.,ระยอง,12.73333,101.13333,51,09-11-2019,13:00:00,34.0,17.00,0.00,0.00,22.4,1011.62,1006.56,3.7,230,27.01
48480,CHANTHA BURI,จันทบุรี,จันทบุรี,12.61667,102.11333,64,09-11-2019,13:00:00,32.4,10.00,0.00,0.40,24.6,1011.73,1011.32,0.0,000,30.90
48481,PHLIU  AGROMET.,พลิ้ว สกษ.,จันทบุรี,12.50861,102.17305,71,09-11-2019,13:00:00,32.2,8.00,0.00,2.10,26.4,1011.87,1009.14,11.1,260,34.32
48500,PRACHUAP KHIRIKHAN,ประจวบคีรีขันธ์,ประจวบคีรีขันธ์,11.83333,99.83333,69,09-11-2019,13:00:00,32.0,10.00,0.00,0.00,25.7,1011.99,1011.21,13.0,140,32.99
48501,TRAD,ตราด,ตราด,11.76667,102.88333,70,09-11-2019,13:00:00,31.0,8.00,0.00,12.90,24.9,1012.25,1011.80,5.6,280,31.47
48517,CHUMPHON,ชุมพร,ชุมพร,10.49875,99.18847,69,09-11-2019,13:00:00,31.5,10.00,0.00,1.00,25.1,1011.78,1011.10,7.4,080,31.93
48520,SAWI AGROMET.,สวี สกษ.,ชุมพร,10.33333,99.10000,68,09-11-2019,13:00:00,32.0,9.00,0.00,0.00,25.2,1011.74,1010.23,5.6,130,32.10
48532,RANONG,ระนอง,ระนอง,9.98333,98.61667,61,09-11-2019,13:00:00,31.8,10.00,0.00,0.01,23.3,1012.53,1011.62,9.3,270,28.54
48550,KO SAMUI,เกาะสมุย,สุราษฎร์ธานี,9.46667,100.05000,80,09-11-2019,13:00:00,30.4,10.00,0.00,0.10,26.6,1012.55,1011.87,11.1,070,34.90
48551,SURAT THANI,สุราษฎร์ธานี,สุราษฎร์ธานี,9.13556,99.15194,68,09-11-2019,13:00:00,32.5,10.00,0.00,1.60,25.8,1011.91,1011.13,0.0,000,33.17
48552,NAKHONSI THAMMARAT,นครศรีธรรมราช,นครศรีธรรมราช,8.53778,99.96389,67,09-11-2019,13:00:00,31.6,10.00,0.00,0.60,24.6,1011.35,1010.72,9.3,060,30.98
48554,NAKHONSI THAMMARAT AGROMET.,นครศรีธรรมราช สกษ.,นครศรีธรรมราช,8.35931,100.00000,65,09-11-2019,13:00:00,32.2,10.00,0.00,30.80,24.8,1011.54,1011.14,0.0,000,31.35
