WmoStationNumber,StationNameEnglish,StationNameThai,Province,Latitude,Longitude,MeanSeaLevelPressure,Date,Time,VaporPressure,LandVisibility,AirTemperature,StationPressure,MaximumTemperature,DewPoint,WindSpeed,Rainfall24Hr,Rainfall,WindDirection,RelativeHumidity
48300,MAE HONG SON,แม่ฮ่องสอน,แม่ฮ่องสอน,19.29897,97.97578,1003.74,09-01-2019,19:00:00,31.44,10.00,27.6,973.09,31.7,24.9,0.0,8.20,0.10,000,85
48302,DOI ANG KANG,ดอยอ่างขาง,เชียงใหม่,19.93139,99.04833,1003.17,09-01-2019,19:00:00,22.04,2.00,19.7,842.97,21.1,19.1,0.0,19.20,0.00,000,96
48303,CHIANG RAI,เชียงราย,เชียงราย,19.96139,99.88139,1003.16,09-01-2019,19:00:00,29.30,12.00,29.2,960.21,31.0,23.7,5.6,9.40,0.00,350,72
48304,CHAING RAI AGROMET.,เชียงราย สกษ.,เชียงราย,19.87083,99.78278,1003.15,09-01-2019,19:00:00,31.54,15.00,28.5,958.22,32.0,24.9,0.0,25.00,0.00,000,81
48307,THUNG CHANG,ทุ่งช้าง,น่าน,19.41194,100.88353,1004.94,09-01-2019,19:00:00,31.71,8.00,26.6,967.50,30.0,25.0,0.0,9.10,0.00,000,91
48310,PHAYAO,พะเยา,พะเยา,19.13333,99.90000,1003.87,09-01-2019,19:00:00,29.00,10.00,25.0,958.84,30.5,23.5,0.0,6.40,2.20,000,92
48315,THA WANGPHA,ท่าวังผา,น่าน,19.11056,100.80250,1004.56,09-01-2019,19:00:00,32.79,10.00,28.7,978.13,31.6,25.6,3.7,2.30,0.00,190,83
48324,THOEN,เถิน,ลำปาง,17.63661,99.24475,1005.04,09-01-2019,19:00:00,30.28,14.00,25.7,983.28,32.7,24.2,0.0,4.20,0.70,000,92
48325,MAE SARIANG,แม่สะเรียง,แม่ฮ่องสอน,18.16667,97.93333,1005.47,09-01-2019,19:00:00,30.84,6.00,26.0,981.39,32.0,24.6,0.0,5.10,2.00,000,92
48327,CHIANG MAI,เชียงใหม่,เชียงใหม่,18.79000,98.97694,1002.96,09-01-2019,19:00:00,27.39,10.00,30.2,969.05,33.0,22.6,0.0,0.10,0.00,000,64
48328,LAMPANG,ลำปาง,ลำปาง,18.28333,99.51667,1004.36,09-01-2019,19:00:00,31.05,10.00,29.1,977.16,32.7,24.7,0.0,8.80,0.00,000,77
48329,LAMPHUN,ลำพูน,ลำพูน,18.56722,99.03389,1004.80,09-01-2019,19:00:00,30.32,7.00,25.0,971.19,32.8,24.3,20.4,3.20,3.20,230,96
48330,PHRAE,แพร่,แพร่,18.16667,100.16667,1004.14,09-01-2019,19:00:00,32.67,10.00,28.5,985.81,31.5,25.5,0.0,41.50,0.00,000,84
48331,NAN,น่าน,น่าน,18.77972,100.77778,1004.42,09-01-2019,19:00:00,33.12,10.00,28.3,981.80,30.6,25.8,0.0,4.40,0.00,000,86
48333,NAN AGROMET.,น่าน สกษ.,น่าน,18.86667,100.75000,1004.49,09-01-2019,19:00:00,31.85,8.00,27.1,974.76,29.5,25.1,0.0,6.40,0.01,000,89
48334,LAMPANG AGROMET.,ลำปาง สกษ.,ลำปาง,18.31667,99.28333,1004.47,09-01-2019,19:00:00,30.71,4.00,25.5,968.98,31.0,24.5,0.0,4.60,4.00,000,94
48350,LOEI AGROMET.,เลย สกษ.,เลย,17.40000,101.73333,1003.91,09-01-2019,19:00:00,31.94,14.00,27.0,974.35,32.0,25.1,3.7,0.70,0.00,280,90
48351,UTTARADIT,อุตรดิตถ์,อุตรดิตถ์,17.61667,100.10000,1004.64,09-01-2019,19:00:00,33.87,6.00,29.5,997.41,32.7,26.1,16.7,27.30,0.01,210,82
48352,NONG KHAI,หนองคาย,หนองคาย,17.86717,102.73303,1004.17,09-01-2019,19:00:00,33.86,15.00,28.8,984.46,31.8,26.1,0.0,0.00,0.00,000,86
48353,LOEI,เลย,เลย,17.45000,101.73333,1004.42,09-01-2019,19:00:00,31.38,14.00,27.0,975.88,31.1,24.8,3.7,0.40,0.00,350,88
48354,UDON THANI,อุดรธานี,อุดรธานี,17.38333,102.80000,1005.10,09-01-2019,19:00:00,32.66,12.00,26.8,984.97,32.2,25.5,0.0,15.30,0.00,000,93
48355,SAKON NAKHON AGROMET.,สกลนคร สกษ.,สกลนคร,17.12503,104.06100,1004.89,09-01-2019,19:00:00,32.77,9.00,27.0,983.22,31.5,25.6,0.0,0.01,0.01,000,92
48356,SAKON NAKHON,สกลนคร,สกลนคร,17.15000,104.13333,1004.45,09-01-2019,19:00:00,31.80,9.00,27.5,985.06,31.5,25.1,0.0,0.01,0.01,000,87
48357,NAKHON PHANOM,นครพนม,นครพนม,17.41083,104.78250,1004.89,09-01-2019,19:00:00,31.84,10.00,27.8,988.24,30.7,25.1,0.0,0.40,0.00,000,85
48358,NAKHON PHANOM AGROMET.,นครพนม สกษ.,นครพนม,17.44306,104.77361,1005.56,09-01-2019,19:00:00,32.45,12.00,27.4,988.21,31.5,25.4,0.0,0.00,0.00,000,89
48360,NONG BUA LAM PHU,หนองบัวลำภู,หนองบัวลำภู,17.23250,102.42944,1004.10,09-01-2019,19:00:00,33.19,9.00,26.5,978.37,32.6,25.8,3.7,20.50,20.50,060,96
48372,SUKHOTHAI*,สุโขทัย,สุโขทัย,17.10611,99.80000,1005.66,09-01-2019,19:00:00,34.44,8.00,26.7,999.87,32.5,26.4,9.3,11.80,7.80,180,98
48373,SI SAMRONG AGROMET.,ศรีสำโรง สกษ.,สุโขทัย,17.16136,99.86167,1005.21,09-01-2019,19:00:00,32.45,8.00,27.4,999.04,32.2,25.4,11.1,5.50,0.80,230,89
48374,LOM SAK,หล่มสัก,เพชรบูรณ์,16.77361,101.24944,1004.83,09-01-2019,19:00:00,31.54,10.00,28.5,988.52,31.5,24.9,0.0,2.70,0.00,000,81
48375,MAE SOT,แม่สอด,ตาก,16.65917,98.55083,1004.47,09-01-2019,19:00:00,27.47,8.00,25.6,982.11,31.5,22.6,3.7,17.90,0.20,200,84
48376,TAK,ตาก,ตาก,16.87833,99.14333,1005.74,09-01-2019,19:00:00,31.49,10.00,26.2,991.34,31.7,24.9,0.0,3.30,0.50,000,93
48377,BHUMIBOL DAM,เขื่อนภูมิพล,ตาก,17.24389,99.00250,1004.98,09-01-2019,19:00:00,29.60,7.00,27.5,988.66,30.5,23.9,0.0,13.90,0.00,000,81
48378,PHITSANULOK,พิษณุโลก,พิษณุโลก,16.79481,100.27930,1006.07,09-01-2019,19:00:00,30.63,7.00,25.6,1000.82,33.0,24.4,13.0,5.20,5.00,210,93
48379,PHETCHABUN,เพชรบูรณ์,เพชรบูรณ์,16.43333,101.15000,1003.09,09-01-2019,19:00:00,32.87,12.00,29.3,990.04,33.5,25.6,0.0,1.60,0.00,000,81
48380,KAMPHAENG PHET,กำแพงเพชร,กำแพงเพชร,16.48681,99.52697,1005.13,09-01-2019,19:00:00,31.63,5.00,25.7,995.78,32.5,25.0,0.0,17.50,16.00,000,96
48381,KHON KAEN,ขอนแก่น,ขอนแก่น,16.46111,102.78972,1003.99,09-01-2019,19:00:00,33.82,7.00,27.8,982.43,33.0,26.1,3.7,5.30,5.20,310,91
48382,MAHASARAKHAM,มหาสารคาม,มหาสารคาม,16.24722,103.06805,1004.48,09-01-2019,19:00:00,31.46,12.00,28.6,987.12,33.3,24.9,0.0,8.50,0.00,000,80
48383,MUKDAHAN,มุกดาหาร,มุกดาหาร,16.54139,104.72889,1003.97,09-01-2019,19:00:00,33.21,10.00,27.5,988.21,31.4,25.8,3.7,1.80,0.00,050,90
48384,THA PHRA AGROMET.,ท่าพระ สกษ.,ขอนแก่น,16.33333,102.81667,1002.73,09-01-2019,19:00:00,31.72,8.00,30.0,984.11,33.2,25.0,0.0,0.40,0.00,000,75
48385,UMPHANG,อุ้มผาง,ตาก,16.02472,98.86444,1007.13,09-01-2019,19:00:00,27.25,5.00,24.0,955.63,30.8,22.5,0.0,18.70,4.20,000,91
48386,PICHIT AGROMET.,พิจิตร สกษ.,พิจิตร,16.43806,100.29250,1005.42,09-01-2019,19:00:00,31.79,4.00,25.5,1001.45,32.0,25.1,11.1,27.40,27.00,240,97
48387,DOI MU SOE AGROMET.,ดอยมูเซอร์ สกษ.,ตาก,16.75000,98.93333,1006.35,09-01-2019,19:00:00,24.68,.20,21.2,911.23,26.9,20.9,7.4,25.30,1.70,230,98
48390,KALASIN,กาฬสินธุ์,กาฬสินธุ์,16.33250,103.58833,1003.85,09-01-2019,19:00:00,36.06,10.00,29.0,988.02,32.5,27.2,0.0,0.40,0.00,000,90
48400,NAKHON SAWAN,นครสวรรค์ ,นครสวรรค์,15.67183,100.13236,1005.77,09-01-2019,19:00:00,32.37,8.00,25.8,1001.73,33.0,25.4,5.6,16.00,16.00,210,97
48401,TAKFA AGROMET.,ตากฟ้า สกษ.,นครสวรรค์,15.34944,100.53028,1006.48,09-01-2019,19:00:00,30.63,5.00,25.6,995.77,32.4,24.4,0.0,5.60,4.80,000,93
48402,CHAINAT AGROMET.,ชัยนาท สกษ.,ชัยนาท,15.15000,100.18333,1005.83,09-01-2019,19:00:00,31.00,9.00,25.8,1003.89,33.1,24.6,0.0,13.20,11.60,000,93
48403,CHAIYAPHUM,ชัยภูมิ,ชัยภูมิ,15.80000,102.03333,1004.33,09-01-2019,19:00:00,31.46,10.00,28.6,983.64,34.4,24.9,0.0,0.00,0.00,000,80
48404,ROI ET AGROMET.,ร้อยเอ็ด สกษ.,ร้อยเอ็ด,16.07322,103.60844,1003.82,09-01-2019,19:00:00,32.87,10.00,29.3,986.35,31.7,25.6,0.0,0.60,0.00,000,81
48405,ROI ET,ร้อยเอ็ด,ร้อยเอ็ด,16.02000,103.74389,1003.63,09-01-2019,19:00:00,32.17,10.00,29.8,987.67,32.7,25.3,0.0,1.50,0.00,000,77
48407,UBON RATCHATHANI,อุบลราชธานี (ศูนย์ฯ),อุบลราชธานี,15.25000,104.86667,1004.41,09-01-2019,19:00:00,32.22,10.00,29.4,990.52,32.4,25.3,0.0,9.40,0.00,000,79
48408,UBON RATCHATHANI AGROMET.,อุบลราชธานี สกษ.,อุบลราชธานี,15.23914,105.02350,1004.93,09-01-2019,19:00:00,29.60,8.00,28.5,990.21,32.8,23.9,0.0,2.00,0.00,000,76
48409,SI SAKET AGROMET.,ศรีสะเกษ,ศรีสะเกษ,15.00000,104.05000,1004.80,09-01-2019,19:00:00,35.08,10.00,29.1,990.27,34.6,26.7,0.0,0.10,0.00,000,87
48410,UTHAITHANI,อุทัยธานี,อุทัยธานี,15.37417,100.03889,1005.21,09-01-2019,19:00:00,33.62,8.00,27.0,1002.19,33.3,26.0,0.0,5.00,5.00,"{'@attributes': {'Unit': 'degree'}, '0': '   '}",94
48413,WICHIAN BURI,วิเชียรบุรี,เพชรบูรณ์,15.65700,101.10800,1004.98,09-01-2019,19:00:00,30.83,10.00,29.7,997.11,35.6,24.6,13.0,0.01,0.00,220,74
